FeatureCode,DateCode,Measurement,Units,Value,DCLG Dwelling Stock Tenure
E07000198,2013,Numbers of Dwellings,,43750,All tenure types
E07000198,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2015,Numbers of Dwellings,,44110,All tenure types
E07000198,2012,Numbers of Dwellings,,43660,All tenure types
E07000198,2014,Numbers of Dwellings,,43830,All tenure types
E07000198,2015,Numbers of Dwellings,,3740,Private Registered Provider
E07000198,2016,Numbers of Dwellings,,40560,Private Sector
E07000198,2012,Numbers of Dwellings,,0,Other Public Sector
E07000198,2010,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2013,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2010,Numbers of Dwellings,,3604,Private Registered Provider
E07000198,2010,Numbers of Dwellings,,39810,Private Sector
E07000198,2016,Numbers of Dwellings,,44210,All tenure types
E07000198,2011,Numbers of Dwellings,,3646,Private Registered Provider
E07000198,2011,Numbers of Dwellings,,39930,Private Sector
E07000198,2010,Numbers of Dwellings,,43410,All tenure types
E07000198,2013,Numbers of Dwellings,,40110,Private Sector
E07000198,2012,Numbers of Dwellings,,40050,Private Sector
E07000198,2011,Numbers of Dwellings,,6,Other Public Sector
E07000198,2012,Numbers of Dwellings,,3610,Private Registered Provider
E07000198,2013,Numbers of Dwellings,,10,Other Public Sector
E07000198,2013,Numbers of Dwellings,,3630,Private Registered Provider
E10000028,2014,Numbers of Dwellings,,240,Other Public Sector
E10000028,2013,Numbers of Dwellings,,370480,All tenure types
E10000028,2016,Numbers of Dwellings,,9570,Local-Authority (incl. owned by other LAs)
E10000028,2015,Numbers of Dwellings,,9630,Local-Authority (incl. owned by other LAs)
E10000028,2015,Numbers of Dwellings,,320650,Private Sector
E10000028,2013,Numbers of Dwellings,,9910,Local-Authority (incl. owned by other LAs)
E10000028,2012,Numbers of Dwellings,,368830,All tenure types
E10000028,2014,Numbers of Dwellings,,9870,Local-Authority (incl. owned by other LAs)
E10000028,2014,Numbers of Dwellings,,43040,Private Registered Provider
E10000028,2012,Numbers of Dwellings,,250,Other Public Sector
E10000028,2012,Numbers of Dwellings,,316030,Private Sector
E10000028,2013,Numbers of Dwellings,,317270,Private Sector
E10000028,2015,Numbers of Dwellings,,590,Other Public Sector
E10000028,2013,Numbers of Dwellings,,43060,Private Registered Provider
E10000028,2014,Numbers of Dwellings,,372130,All tenure types
E10000028,2015,Numbers of Dwellings,,43670,Private Registered Provider
E10000028,2012,Numbers of Dwellings,,9970,Local-Authority (incl. owned by other LAs)
E10000028,2012,Numbers of Dwellings,,42580,Private Registered Provider
E10000028,2016,Numbers of Dwellings,,43950,Private Registered Provider
E10000028,2015,Numbers of Dwellings,,374540,All tenure types
E10000028,2016,Numbers of Dwellings,,740,Other Public Sector
E10000028,2013,Numbers of Dwellings,,240,Other Public Sector
E10000028,2016,Numbers of Dwellings,,376390,All tenure types
E10000028,2014,Numbers of Dwellings,,318970,Private Sector
E10000028,2016,Numbers of Dwellings,,322130,Private Sector
E07000193,2010,Numbers of Dwellings,,48670,All tenure types
E07000193,2015,Numbers of Dwellings,,0,Other Public Sector
E07000193,2016,Numbers of Dwellings,,50670,All tenure types
E07000193,2016,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2014,Numbers of Dwellings,,43330,Private Sector
E07000193,2010,Numbers of Dwellings,,42440,Private Sector
E07000193,2014,Numbers of Dwellings,,6530,Private Registered Provider
E07000193,2011,Numbers of Dwellings,,42750,Private Sector
E07000193,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2015,Numbers of Dwellings,,6680,Private Registered Provider
E07000193,2015,Numbers of Dwellings,,43530,Private Sector
E07000193,2014,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2012,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2011,Numbers of Dwellings,,49100,All tenure types
E07000193,2010,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2010,Numbers of Dwellings,,0,Other Public Sector
E07000193,2016,Numbers of Dwellings,,6570,Private Registered Provider
E07000193,2010,Numbers of Dwellings,,6233,Private Registered Provider
E07000193,2013,Numbers of Dwellings,,6440,Private Registered Provider
E07000193,2012,Numbers of Dwellings,,0,Other Public Sector
E07000193,2016,Numbers of Dwellings,,44100,Private Sector
E07000193,2012,Numbers of Dwellings,,49360,All tenure types
E07000193,2011,Numbers of Dwellings,,6356,Private Registered Provider
E07000193,2013,Numbers of Dwellings,,49630,All tenure types
E07000193,2011,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2012,Numbers of Dwellings,,6460,Private Registered Provider
E07000193,2015,Numbers of Dwellings,,50210,All tenure types
E07000193,2014,Numbers of Dwellings,,49860,All tenure types
E07000193,2014,Numbers of Dwellings,,0,Other Public Sector
E07000193,2013,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000193,2011,Numbers of Dwellings,,0,Other Public Sector
E07000193,2013,Numbers of Dwellings,,43190,Private Sector
E07000193,2013,Numbers of Dwellings,,0,Other Public Sector
E07000193,2016,Numbers of Dwellings,,0,Other Public Sector
E07000193,2012,Numbers of Dwellings,,42890,Private Sector
E07000197,2015,Numbers of Dwellings,,430,Other Public Sector
E07000197,2012,Numbers of Dwellings,,7400,Private Registered Provider
E07000197,2014,Numbers of Dwellings,,7520,Private Registered Provider
E07000197,2011,Numbers of Dwellings,,57510,All tenure types
E07000197,2010,Numbers of Dwellings,,48650,Private Sector
E07000197,2011,Numbers of Dwellings,,50160,Private Sector
E07000197,2010,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2012,Numbers of Dwellings,,50440,Private Sector
E07000197,2012,Numbers of Dwellings,,80,Other Public Sector
E07000197,2015,Numbers of Dwellings,,50790,Private Sector
E07000197,2012,Numbers of Dwellings,,57920,All tenure types
E07000197,2010,Numbers of Dwellings,,57170,All tenure types
E07000197,2010,Numbers of Dwellings,,7520,Private Registered Provider
E07000197,2014,Numbers of Dwellings,,80,Other Public Sector
E07000197,2010,Numbers of Dwellings,,1000,Other Public Sector
E07000197,2013,Numbers of Dwellings,,7820,Private Registered Provider
E07000197,2014,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2013,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2013,Numbers of Dwellings,,50320,Private Sector
E07000197,2012,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2016,Numbers of Dwellings,,7660,Private Registered Provider
E07000197,2013,Numbers of Dwellings,,58220,All tenure types
E07000197,2016,Numbers of Dwellings,,570,Other Public Sector
E07000197,2011,Numbers of Dwellings,,83,Other Public Sector
E07000197,2014,Numbers of Dwellings,,50860,Private Sector
E07000197,2016,Numbers of Dwellings,,59570,All tenure types
E07000197,2011,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2014,Numbers of Dwellings,,58470,All tenure types
E07000197,2011,Numbers of Dwellings,,7266,Private Registered Provider
E07000197,2015,Numbers of Dwellings,,7670,Private Registered Provider
E07000197,2015,Numbers of Dwellings,,58880,All tenure types
E07000197,2016,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000197,2013,Numbers of Dwellings,,80,Other Public Sector
E07000197,2016,Numbers of Dwellings,,51340,Private Sector
E07000035,2011,Numbers of Dwellings,,33480,All tenure types
E07000035,2013,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2014,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2010,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2010,Numbers of Dwellings,,3703,Private Registered Provider
E07000035,2015,Numbers of Dwellings,,10,Other Public Sector
E07000035,2013,Numbers of Dwellings,,33830,All tenure types
E07000035,2014,Numbers of Dwellings,,10,Other Public Sector
E07000035,2010,Numbers of Dwellings,,29460,Private Sector
E07000035,2014,Numbers of Dwellings,,4000,Private Registered Provider
E07000035,2012,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2012,Numbers of Dwellings,,10,Other Public Sector
E07000035,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
