
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Age 0 - 4"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"

"Darlington","E06000005",6440,6562,6565,6624,6634,6501,6409,6370,6105,5917,5790,5692,5473
"County Durham","E06000047",27615,28143,28661,28851,28797,28820,28411,27933,27585,27021,26347,25658,24546
"Hartlepool","E06000001",5634,5732,5765,5798,5762,5658,5527,5484,5403,5297,5229,5147,4969
"Middlesbrough","E06000002",9170,9426,9479,9649,9788,9911,9942,9826,9821,9657,9583,9431,8881
"Northumberland","E06000057",15721,15873,15938,16191,15830,15711,15309,15098,14985,14910,14765,14506,14198
"Redcar and Cleveland","E06000003",7619,7587,7604,7729,7819,7921,7938,7710,7554,7348,7106,6954,6747
"Stockton-on-Tees","E06000004",11871,12141,12341,12466,12544,12476,12415,12119,11914,11648,11462,11077,10602
"Gateshead","E08000037",11242,11516,11858,11859,11750,11588,11515,11337,11075,10857,10508,10174,10006
"Newcastle upon Tyne","E08000021",15637,16099,16517,16929,17197,17382,17204,17078,16833,16630,16526,16383,15482
"North Tyneside","E08000022",11574,11692,11718,11762,11707,11642,11446,11467,11439,11471,11415,11256,10859
"South Tyneside","E08000023",8049,8173,8167,8291,8366,8332,8298,8452,8296,8359,8239,8130,7757
"Sunderland","E08000024",15505,15569,15380,15686,15591,15645,15606,15507,15086,14954,14774,14370,13753
"Blackburn with Darwen","E06000008",11294,11292,11261,11349,11246,11085,11043,11032,10826,10576,10575,10307,10033
"Blackpool","E06000009",8179,8279,8212,8476,8483,8401,8543,8549,8485,8365,8262,7995,7296
"Cheshire East","E06000049",20047,20131,20182,20402,20356,20388,20420,20454,20214,20262,20307,20193,19963
"Cheshire West and Chester","E06000050",18180,18264,18114,18332,18334,18581,18724,18851,18765,18571,18284,18059,17495
"Halton","E06000006",8085,8301,8270,8270,8286,8210,8001,7914,7813,7676,7580,7374,6914
"Warrington","E06000007",11976,12191,12386,12514,12596,12618,12612,12477,12206,11933,11596,11267,10543
"Cumbria","E10000006",25172,25295,25303,25358,25225,25192,25101,24907,24566,24066,23638,23018,22252
"Bolton","E08000001",18333,18780,18897,19292,19478,19502,19491,19542,19468,19294,19162,18984,18255
"Bury","E08000002",11957,12039,12235,12541,12485,12489,12438,12344,12109,11819,11688,11454,11095
"Manchester","E08000003",34510,35640,36517,37486,37838,38306,38807,39288,38464,37768,37112,36158,33932
"Oldham","E08000004",16370,16440,16458,16553,16584,16673,16911,16933,16930,16792,16535,16184,15894
"Rochdale","E08000005",14638,14871,14823,14965,14955,14978,14997,15154,15236,15123,15157,14978,14497
"Salford","E08000006",15323,15865,16346,16750,17060,17326,17528,17637,17692,17614,17631,17687,17189
"Stockport","E08000007",16808,17147,17342,17494,17612,17811,17976,18050,17961,17631,17261,16966,16514
"Tameside","E08000008",13843,14357,14517,14812,14851,14946,14839,14736,14664,14500,14348,14117,13540
"Trafford","E08000009",14422,14590,14888,15088,15060,15150,15002,14998,14853,14701,14321,14063,13308
"Wigan","E08000010",19268,19557,19619,19669,19553,19397,19115,18782,18510,18450,18342,18085,17650
"Lancashire","E10000017",67440,67978,68679,69154,69115,69044,68915,68388,68005,67104,66279,65173,63284
"Knowsley","E08000011",9233,9190,9132,9307,9362,9429,9695,9752,9831,10076,10235,10089,9792
"Liverpool","E08000012",25363,25793,26320,27252,27712,28141,28824,29276,29320,29676,29509,28836,26258
"Sefton","E08000014",13836,14264,14616,14655,14714,14890,14833,14733,14596,14441,14166,13789,13497
"St. Helens","E08000013",10068,10227,10323,10562,10518,10554,10397,10368,10288,10282,10096,9879,9599
"Wirral","E08000015",18451,18532,18543,18947,18954,19112,19060,19017,18436,18051,17553,17149,16237
"East Riding of Yorkshire","E06000011",16108,16254,16417,16617,16366,16348,16142,15998,15748,15572,15412,15148,14686
"Kingston upon Hull, City of","E06000010",16483,16974,17391,17809,18007,17977,17883,17849,17541,17207,16883,16575,15786
"North East Lincolnshire","E06000012",9739,9866,10001,10144,10183,10126,9949,9848,9653,9516,9166,8863,8359
"North Lincolnshire","E06000013",9870,10086,10221,10202,10056,9778,9599,9500,9380,9204,8973,8785,8405
"York","E06000014",10188,10357,10641,10687,10674,10626,10487,10240,10023,9822,9538,9329,8560
"North Yorkshire","E10000023",30457,30908,31097,31279,31137,30861,30594,30489,30019,29706,29248,28487,27572
"Barnsley","E08000016",13670,13890,14055,14381,14509,14621,14664,14595,14373,14227,14142,13926,13354
"Doncaster","E08000017",18548,18838,19241,19283,19172,18969,18813,18667,18459,18267,18067,17957,16911
"Rotherham","E08000018",15537,15740,15805,16034,16014,16101,15990,16017,15972,15832,15562,15195,14536
"Sheffield","E08000019",32543,33249,33917,34311,34264,33923,33513,33436,32865,32700,32212,31777,29932
"Bradford","E08000032",40714,41393,41078,41346,41144,40989,40741,40903,40308,39705,38992,37964,35807
"Calderdale","E08000033",12866,12960,12886,13117,13165,13150,13129,13065,12803,12448,12190,11655,11228
"Kirklees","E08000034",27787,28010,28398,28725,28609,28615,28552,28143,27944,27446,26742,26020,24948
"Leeds","E08000035",45694,47285,48131,49559,50366,50940,51282,51612,51068,50495,49914,48733,46367
"Wakefield","E08000036",19098,19551,19666,20056,20448,20621,20728,20875,20985,21149,21094,21103,19924
"Derby","E06000015",16747,17341,17808,18060,18025,17898,17711,17494,17080,16674,16321,15795,15114
"Leicester","E06000016",23693,24005,24360,24979,25184,25423,25914,26078,25574,25049,24447,23697,21943
"Nottingham","E06000018",19040,19721,20082,20377,20650,20932,21113,21328,21108,20755,20335,19700,17610
