
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 10-14"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"West Northamptonshire","E06000062",23004,22717,22479,22292,22174,22137,22437,23060,23854,24852,25716,26431,26865
"Herefordshire, County of","E06000019",10868,10747,10406,10220,9848,9788,9653,9765,9918,10251,10370,10565,10094
"Shropshire","E06000051",18248,18080,17785,17171,16860,16577,16554,16662,17018,17492,17737,18113,17278
"Stoke-on-Trent","E06000021",14372,14211,14122,13600,13415,13395,13690,14082,14637,15303,15587,15676,16926
"Telford and Wrekin","E06000020",10971,10825,10514,10237,10030,10061,10072,10354,10781,11251,11728,12258,12263
"Staffordshire","E10000028",50379,49663,48715,47100,46042,45918,45896,46388,47339,48609,49345,50050,49158
"Warwickshire","E10000031",31806,31566,31054,30342,29912,29883,29933,30343,31245,32335,33308,34091,34765
"Birmingham","E08000025",72437,73084,73423,72331,71986,72070,73068,74896,76679,78407,79409,79251,83096
"Coventry","E08000026",18562,18309,17820,17573,17617,17925,18262,18934,19707,20649,21321,22370,22076
"Dudley","E08000027",19345,18934,18462,18065,17759,17814,18144,18461,18708,19275,19544,19718,19253
"Sandwell","E08000028",19428,19376,19327,19079,19049,19260,19805,20540,21205,21918,22770,23258,24472
"Solihull","E08000029",13610,13376,12990,12681,12578,12477,12453,12569,13130,13419,13662,13907,13704
"Walsall","E08000030",17325,17282,17218,16937,16856,16820,16946,17440,17853,18494,19017,19321,19548
"Wolverhampton","E08000031",15371,15291,14985,14462,14163,14133,14380,14825,15419,16313,16817,17433,18098
"Worcestershire","E10000034",33764,33126,32328,31505,30782,30614,30885,31497,32383,33439,34101,34520,34590
"Bedford","E06000055",10166,10114,9865,9761,9637,9697,9771,10067,10381,10747,11079,11480,11966
"Central Bedfordshire","E06000056",15819,15672,15431,15119,15076,15158,15384,15809,16324,16880,17429,18023,17992
"Luton","E06000032",13076,13145,13146,13162,13228,13291,13752,14170,14387,14821,15100,15280,16743
"Peterborough","E06000031",11386,11413,11309,11204,11016,11109,11243,11565,12080,12825,13357,14056,15626
"Southend-on-Sea","E06000033",10303,10293,10150,9845,9637,9594,9655,9860,10267,10716,11147,11437,11101
"Thurrock","E06000034",10191,10130,9917,9736,9728,9783,10060,10510,11067,11707,12104,12326,12446
"Cambridgeshire","E10000003",35431,35197,34728,34425,33969,34022,34551,35110,36052,37150,38278,39288,38898
"Essex","E10000012",85115,84091,82651,80958,79768,79396,79889,81501,83417,86038,88115,90276,90229
"Hertfordshire","E10000015",69455,69051,68586,67724,67135,67587,68020,69399,71610,74386,76595,79355,78583
"Norfolk","E10000020",48000,47292,46102,44705,43734,43387,43587,44196,45628,47458,48816,50238,49176
"Suffolk","E10000029",43494,42996,42117,40627,39971,40054,40046,40856,42185,43481,44064,44787,43185
"Camden","E09000007",9179,9419,9593,10029,10510,11259,11784,12291,12803,13704,14377,15249,10416
"City of London","E09000001",186,174,159,157,171,192,231,272,316,367,417,465,168
"Hackney","E09000012",13608,13788,13888,13898,14097,14342,14680,15303,15791,16219,16416,16591,15369
"Hammersmith and Fulham","E09000013",7629,7678,7587,7501,7708,7756,7995,8211,8823,9335,9834,10199,8995
"Haringey","E09000014",14411,14886,15114,14922,14935,15048,15252,15626,15750,15906,15871,15987,15510
"Islington","E09000019",8924,9047,9109,9171,9253,9364,9604,9868,10236,10693,11007,11493,9969
"Kensington and Chelsea","E09000020",6601,6562,6480,6570,6723,6952,7133,7360,7565,7736,7925,7953,6489
"Lambeth","E09000022",14488,14690,14766,14701,14817,14898,15004,15422,15918,16332,16662,16798,15331
"Lewisham","E09000023",15237,15312,15228,14969,15012,15169,15429,15991,16607,17386,17724,17970,17560
"Newham","E09000025",19203,19359,19542,19451,19482,19446,19822,20315,20850,21376,21479,21287,23326
"Southwark","E09000028",14366,14234,13983,13833,14014,14145,14633,15015,15685,16362,16787,17165,16211
"Tower Hamlets","E09000030",12834,13098,13246,13578,14248,14975,15688,16534,17263,17990,18553,19382,17428
"Wandsworth","E09000032",12121,12336,12578,12523,12659,12843,13114,13473,14376,14938,15494,16329,15702
"Westminster","E09000033",8060,8472,8715,8948,9283,9715,10259,10805,11381,12201,12899,13877,8636
"Barking and Dagenham","E09000002",12662,12628,12819,12887,12911,13281,13956,14606,15556,16383,17003,17516,18252
"Barnet","E09000003",21048,21334,21207,21315,21670,21849,22227,23167,24203,25061,25849,26600,25757
"Bexley","E09000004",15130,15137,14984,14816,14606,14564,14541,14714,15088,15668,16008,16212,16506
"Brent","E09000005",17253,17613,17910,17762,17811,18194,18331,18791,19298,19682,19736,20055,20818
"Bromley","E09000006",18952,18698,18512,18208,18093,18174,18420,18944,19632,20268,20663,21274,20924
"Croydon","E09000008",23196,23193,23001,22562,22590,22683,23037,23724,24579,25426,25963,26501,25458
"Ealing","E09000009",18583,19021,19030,18954,19016,19142,19425,19944,20490,21248,21642,22239,23550
"Enfield","E09000010",19973,20159,20292,20172,20079,20276,20732,21327,22112,22955,23378,23691,24113
"Greenwich","E09000011",14765,14994,14877,14685,14637,14758,15250,15957,16672,17464,18123,18455,18187
"Harrow","E09000015",14321,14522,14519,14178,14047,14133,14339,14524,14694,15080,15333,15552,16401
"Havering","E09000016",14813,14563,14295,13969,13874,13744,13908,14199,14665,15098,15570,15719,16041
"Hillingdon","E09000017",16636,16830,16871,16748,16592,16716,16944,17396,18047,18910,19484,19878,19981
"Hounslow","E09000018",13790,13870,13922,13735,13691,13738,14137,14762,15518,16234,16842,17304,18696
"Kingston upon Thames","E09000021",8545,8641,8515,8570,8583,8825,9038,9425,9914,10478,10924,11385,10590
"Merton","E09000024",10596,10467,10505,10397,10221,10415,10653,10835,11379,11905,12190,12547,13201
"Redbridge","E09000026",18213,18472,18643,18544,18743,18952,19287,19664,19855,20207,20501,20801,21336
"Richmond upon Thames","E09000027",9820,10000,9850,9979,10235,10429,10796,11189,11737,12290,12921,13517,13267
"Sutton","E09000029",11920,11902,11676,11307,11231,11310,11486,11750,12400,12783,13366,13961,14462
"Waltham Forest","E09000031",14625,14638,14775,14794,14944,15177,15372,15650,16169,16441,16664,16801,16675
"Bracknell Forest","E06000036",7150,7146,7056,6953,6836,6866,6972,7145,7484,7842,8248,8566,8134
"Brighton and Hove","E06000043",12976,13185,13432,13221,13157,13243,13362,13475,13809,14208,14284,14610,14136
"Isle of Wight","E06000046",8244,8086,7907,7479,7215,6988,6900,6934,7084,7183,7208,7292,7063
"Medway","E06000035",17017,16888,16677,16453,16331,16271,16230,16569,16914,17280,17640,18151,18071
"Milton Keynes","E06000042",15565,15772,15758,15679,15798,16030,16265,16895,17621,18580,19361,20247,20692
"Portsmouth","E06000044",11021,10944,10867,10522,10320,10599,10654,11071,11558,11923,12114,12435,11698
"Reading","E06000038",7867,7989,7914,7810,7952,8040,8205,8475,8930,9411,9744,10109,10233
"Slough","E06000039",8718,8825,9042,8989,9120,9363,9677,10132,10847,11309,11788,12265,12883
"Southampton","E06000045",11830,11703,11580,11189,11160,11174,11294,11659,12262,12880,13349,13891,13964
"West Berkshire","E06000037",9831,9904,9946,9651,9740,9689,9607,9738,10009,10230,10408,10700,10651
"Windsor and Maidenhead","E06000040",8761,8727,8839,8973,8931,8980,9183,9454,9756,10048,10215,10487,10373
"Wokingham","E06000041",10007,9836,9774,9764,9824,9961,10171,10452,10795,11347,11878,12447,12532
"Buckinghamshire","E06000060",32670,32820,32510,32269,32088,32209,32501,33210,34174,35462,36562,37729,36972
"East Sussex","E10000011",31116,30604,30224,29442,28743,28623,28694,29078,29785,30481,31129,31934,30670
"Hampshire","E10000014",80789,80036,78526,76950,75775,74802,75240,76357,78159,80567,82002,83824,82248
"Kent","E10000016",92158,91840,90937,89241,87598,87044,87498,89316,92246,95738,98490,101425,98505
"Oxfordshire","E10000025",37544,37508,37303,36630,36348,36408,36698,37645,39101,40453,41195,42255,43071
"Surrey","E10000030",67605,67570,67314,66586,66383,66424,67100,68586,70837,73352,75112,77161,76776
"West Sussex","E10000032",46432,46353,45570,44884,44532,44667,44898,45791,47181,48804,50410,52054,51705
"Bath and North East Somerset","E06000022",9697,9721,9558,9437,9349,9218,9255,9430,9816,10146,10544,10808,10600
"Bristol, City of","E06000023",21591,21707,21673,21460,21223,21371,21627,22337,23339,24284,24825,25476,25555
"Cornwall","E06000052",30700,30590,29766,28972,28363,28096,27962,28518,29455,30299,31192,31881,31375
"Isles of Scilly","E06000053",111,114,108,110,105,107,110,96,98,108,96,110,103
