LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Acc_Total_SUIT19to21,CL_Acc_Total_SUIT19,CL_Acc_Total_SUIT20,CL_Acc_Total_SUIT21,CL_Acc_SUIT19to21,CL_Acc_SUIT19,CL_Acc_SUIT20,CL_Acc_SUIT21,CL_Acc_NotSUIT19to21,CL_Acc_NotSUIT19,CL_Acc_NotSUIT20,CL_Acc_NotSUIT21,CL_Acc_NoSUITInfo19to21,CL_Acc_NoSUITInfo19,CL_Acc_NoSUITInfo20,CL_Acc_NoSUITInfo21,CL_Acc_SUIT19to21_pc,CL_Acc_SUIT19_pc,CL_Acc_SUIT20_pc,CL_Acc_SUIT21_pc,CL_Acc_NotSUIT19to21_pc,CL_Acc_NotSUIT19_pc,CL_Acc_NotSUIT20_pc,CL_Acc_NotSUIT21_pc,CL_Acc_NoSUITInfo19to21_pc,CL_Acc_NoSUITInfo19_pc,CL_Acc_NoSUITInfo20_pc,CL_Acc_NoSUITInfo21_pc,CL_Acc_P19to21,CL_Acc_P19,CL_Acc_P20,CL_Acc_P21,CL_Acc_CH19to21,CL_Acc_CH19,CL_Acc_CH20,CL_Acc_CH21,CL_Acc_SITA19to21,CL_Acc_SITA19,CL_Acc_SITA20,CL_Acc_SITA21,CL_Acc_SL19to21,CL_Acc_SL19,CL_Acc_SL20,CL_Acc_SL21,CL_Acc_GA19to21,CL_Acc_GA19,CL_Acc_GA20,CL_Acc_GA21,CL_Acc_Dep19to21,CL_Acc_Dep19,CL_Acc_Dep20,CL_Acc_Dep21,CL_Acc_OL19to21,CL_Acc_OL19,CL_Acc_OL20,CL_Acc_OL21,CL_Acc_NK19to21,CL_Acc_NK19,CL_Acc_NK20,CL_Acc_NK21,CL_Acc_NFA19to21,CL_Acc_NFA19,CL_Acc_NFA20,CL_Acc_NFA21,CL_Acc_F19to21,CL_Acc_F19,CL_Acc_F20,CL_Acc_F21,CL_Acc_IL19to21,CL_Acc_IL19,CL_Acc_IL20,CL_Acc_IL21,CL_Acc_EA19to21,CL_Acc_EA19,CL_Acc_EA20,CL_Acc_EA21,CL_Acc_BB19to21,CL_Acc_BB19,CL_Acc_BB20,CL_Acc_BB21,CL_Acc_Cust19to21,CL_Acc_Cust19,CL_Acc_Cust20,CL_Acc_Cust21,CL_Acc_FFC19to21,CL_Acc_FFC19,CL_Acc_FFC20,CL_Acc_FFC21,CL_Acc_OTH19to21,CL_Acc_OTH19,CL_Acc_OTH20,CL_Acc_OTH21,CL_Acc_NoInf19to21,CL_Acc_NoInf19,CL_Acc_NoInf20,CL_Acc_NoInf21,CL_Acc_P19to21_pc,CL_Acc_P19_pc,CL_Acc_P20_pc,CL_Acc_P21_pc,CL_Acc_CH19to21_pc,CL_Acc_CH19_pc,CL_Acc_CH20_pc,CL_Acc_CH21_pc,CL_Acc_SITA19to21_pc,CL_Acc_SITA19_pc,CL_Acc_SITA20_pc,CL_Acc_SITA21_pc,CL_Acc_SL19to21_pc,CL_Acc_SL19_pc,CL_Acc_SL20_pc,CL_Acc_SL21_pc,CL_Acc_GA19to21_pc,CL_Acc_GA19_pc,CL_Acc_GA20_pc,CL_Acc_GA21_pc,CL_Acc_Dep19to21_pc,CL_Acc_Dep19_pc,CL_Acc_Dep20_pc,CL_Acc_Dep21_pc,CL_Acc_OL19to21_pc,CL_Acc_OL19_pc,CL_Acc_OL20_pc,CL_Acc_OL21_pc,CL_Acc_NK19to21_pc,CL_Acc_NK19_pc,CL_Acc_NK20_pc,CL_Acc_NK21_pc,CL_Acc_NFA19to21_pc,CL_Acc_NFA19_pc,CL_Acc_NFA20_pc,CL_Acc_NFA21_pc,CL_Acc_F19to21_pc,CL_Acc_F19_pc,CL_Acc_F20_pc,CL_Acc_F21_pc,CL_Acc_IL19to21_pc,CL_Acc_IL19_pc,CL_Acc_IL20_pc,CL_Acc_IL21_pc,CL_Acc_EA19to21_pc,CL_Acc_EA19_pc,CL_Acc_EA20_pc,CL_Acc_EA21_pc,CL_Acc_BB19to21_pc,CL_Acc_BB19_pc,CL_Acc_BB20_pc,CL_Acc_BB21_pc,CL_Acc_Cust19to21_pc,CL_Acc_Cust19_pc,CL_Acc_Cust20_pc,CL_Acc_Cust21_pc,CL_Acc_FFC19to21_pc,CL_Acc_FFC19_pc,CL_Acc_FFC20_pc,CL_Acc_FFC21_pc,CL_Acc_OTH19to21_pc,CL_Acc_OTH19_pc,CL_Acc_OTH20_pc,CL_Acc_OTH21_pc,CL_Acc_NoInf19to21_pc,CL_Acc_NoInf19_pc,CL_Acc_NoInf20_pc,CL_Acc_NoInf21_pc,CL_Stayput_19&20,CL_Stayput_19,CL_Stayput_20,CL_Stayput_FFC_19&20,CL_Stayput_FFC_19,CL_Stayput_FFC_20,CL_Stayput_FFC_19&20_pc,CL_Stayput_FFC_19_pc,CL_Stayput_FFC_20_pc
1,E92000001,NATIONAL,999,ENGLAND,29930,10480,10040,9410,29480,10370,9880,9230,25050,9100,8390,7560,1880,610,620,640,2560,660,860,1030,85,88,85,82,6,6,6,7,9,6,9,11,3420,1290,1150,980,1170,420,390,370,4100,2020,1310,770,1350,660,420,270,50,10,20,30,50,10,20,20,470,140,150,180,340,80,120,130,360,100,130,130,760,340,240,180,10600,2790,3730,4080,140,50,40,50,60,20,20,30,1030,320,350,360,2330,1120,710,500,1140,440,380,320,2560,660,860,1030,11,12,11,10,4,4,4,4,14,19,13,8,4,6,4,3,-,-,-,-,-,-,-,-,2,1,2,2,1,1,1,1,1,1,1,1,3,3,2,2,35,27,37,43,-,-,-,-,-,-,-,-,3,3,4,4,8,11,7,5,4,4,4,3,9,6,9,11,6470,3310,3170,1710,1050,660,26,32,21
2,E12000001,REGION,A,NORTH EAST,1400,470,460,480,1400,470,460,470,1250,430,410,420,70,30,20,20,70,10,30,30,90,91,89,89,5,6,4,4,5,3,7,7,210,70,70,70,50,20,10,20,100,40,40,20,70,30,20,20,c,0,0,c,0,0,0,0,20,10,c,10,c,c,c,c,10,c,c,c,20,c,10,10,620,180,200,240,c,0,0,c,c,c,0,0,40,20,10,10,140,70,40,30,40,10,20,20,70,10,30,30,15,15,16,14,3,4,3,3,7,9,8,4,5,7,5,3,c,0,0,c,0,0,0,0,1,1,c,2,c,c,c,c,1,c,c,c,1,c,1,1,45,38,45,51,c,0,0,c,c,c,0,0,3,4,3,3,10,15,9,7,3,3,3,3,5,3,7,7,300,150,150,90,60,30,29,37,21
15,E12000002,REGION,B,NORTH WEST,3760,1350,1260,1160,3740,1340,1240,1150,3290,1210,1110,980,270,90,90,90,180,40,50,90,88,90,89,85,7,7,7,8,5,3,4,7,680,260,240,180,160,60,60,50,260,140,80,50,170,80,60,40,10,c,c,c,0,0,0,0,90,30,20,40,20,c,10,10,40,10,20,10,60,30,20,10,1400,410,480,510,20,c,c,10,c,c,c,0,150,50,50,50,380,160,130,90,160,70,60,40,180,40,50,90,18,19,19,16,4,4,4,4,7,10,6,4,5,6,4,3,-,c,c,c,0,0,0,0,2,2,2,3,1,c,1,1,1,1,1,1,2,2,1,1,37,31,38,44,-,c,c,1,c,c,c,0,4,4,4,4,10,12,11,7,4,5,4,3,5,3,4,7,810,400,410,280,150,130,34,37,31
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,2390,880,800,720,2370,870,790,710,2070,780,690,600,140,40,50,50,160,60,50,60,87,89,88,85,6,4,6,7,7,6,6,8,280,110,100,70,110,40,30,40,210,110,60,40,100,50,30,20,c,0,c,c,c,0,c,c,30,10,10,10,10,c,10,c,30,c,10,10,40,20,10,10,970,280,350,350,10,c,c,c,c,c,c,c,90,30,30,30,270,130,80,60,70,30,20,20,160,60,50,60,12,12,13,10,5,5,4,5,9,13,7,6,4,6,4,3,c,0,c,c,c,0,c,c,1,1,1,2,1,c,1,c,1,c,2,1,2,2,1,1,41,32,44,48,-,c,c,c,c,c,c,c,4,3,4,4,11,15,11,8,3,4,2,3,7,6,6,8,580,300,290,200,120,80,34,40,28
55,E12000004,REGION,D,EAST MIDLANDS,2160,750,720,690,2140,750,710,680,1790,640,580,570,140,50,50,50,210,70,80,60,84,85,82,84,7,6,6,8,10,9,12,8,240,90,70,70,110,30,40,30,300,150,90,50,110,40,40,40,0,0,0,0,0,0,0,0,20,10,10,10,20,c,10,10,20,10,c,10,30,10,10,c,810,220,260,320,10,c,c,c,10,c,c,c,80,30,30,20,130,70,40,30,70,20,20,30,210,70,80,60,11,12,10,10,5,4,6,5,14,20,13,8,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,1,c,1,2,1,1,c,2,1,2,2,c,37,29,37,46,1,c,c,c,-,c,c,c,4,3,4,3,6,9,5,4,3,3,3,4,9,9,11,8,420,210,210,90,60,30,22,30,14
65,E12000005,REGION,E,WEST MIDLANDS,3270,1140,1090,1050,3240,1120,1080,1040,2760,990,940,830,220,60,70,90,260,80,70,120,85,88,87,80,7,6,6,8,8,7,7,11,400,150,130,120,140,60,50,40,280,140,80,60,140,80,40,20,c,0,c,c,c,0,0,c,40,10,20,20,30,10,10,10,50,10,10,30,110,40,40,30,1290,340,470,480,20,10,c,10,c,c,0,c,130,40,40,50,250,130,70,50,140,50,50,40,260,80,70,120,12,13,12,11,4,5,4,3,8,12,7,6,4,7,4,2,c,0,c,c,c,0,0,c,1,1,1,2,1,1,1,1,1,1,1,2,3,4,4,3,39,30,44,45,1,1,c,1,c,c,0,c,4,4,4,4,7,11,7,5,4,4,5,4,8,7,7,11,660,350,310,190,120,70,29,36,22
80,E12000006,REGION,F,EAST OF ENGLAND,3020,1090,990,940,2960,1080,970,910,2520,950,830,740,210,70,70,70,240,60,70,100,85,88,85,82,7,7,7,7,8,6,8,11,350,140,120,100,120,50,40,30,350,190,120,50,150,80,50,20,c,0,c,c,c,c,0,c,80,20,30,30,50,10,20,20,60,20,20,20,120,80,30,20,1060,290,350,420,20,10,c,c,10,c,c,c,90,30,30,30,180,80,60,40,140,50,50,40,240,60,70,100,12,12,12,10,4,4,4,4,12,17,12,5,5,7,5,2,c,0,c,c,c,c,0,c,3,2,3,3,2,1,2,2,2,2,2,2,4,7,3,2,35,26,36,45,1,1,c,c,-,c,c,c,3,3,3,3,6,7,6,5,5,5,5,4,8,6,7,11,590,300,280,120,80,50,21,25,17
92,E12000007,REGION,G,LONDON,6660,2330,2270,2070,6460,2290,2200,1980,5390,2000,1820,1570,400,130,140,130,670,160,230,280,83,88,83,79,6,5,7,7,10,7,11,14,500,190,160,150,170,60,50,60,1830,890,610,330,180,80,70,40,20,c,10,10,40,c,10,20,50,10,20,20,150,40,50,60,50,10,20,10,110,40,40,30,1890,430,680,780,30,10,10,10,c,0,c,c,300,90,110,110,480,230,140,100,210,80,70,60,670,160,230,280,8,8,7,7,3,3,2,3,27,38,27,16,3,3,3,2,-,c,-,-,1,c,1,1,1,-,1,1,2,2,2,3,1,1,1,1,2,2,2,1,28,19,30,38,-,-,-,-,c,0,c,c,5,4,5,5,7,10,6,5,3,3,3,3,10,7,10,14,1460,740,720,350,220,130,24,30,18
93,E13000001,REGION,H,INNER LONDON,2840,1020,920,900,2760,1000,900,860,2300,880,740,680,210,60,70,80,250,70,80,100,83,88,83,79,8,6,8,9,9,7,9,12,240,90,80,80,60,30,10,30,900,440,290,160,80,40,30,10,10,c,c,10,c,c,0,c,10,c,c,c,60,10,20,30,20,c,10,10,70,30,30,20,590,110,190,290,c,c,c,c,c,0,0,c,160,40,60,60,240,110,70,60,130,40,50,40,250,70,80,100,8,9,8,8,2,2,1,3,32,43,32,18,3,4,3,1,-,c,c,1,c,c,0,c,-,c,c,c,2,1,2,3,1,c,1,1,3,2,3,2,21,11,21,32,c,c,c,c,c,0,0,c,6,4,6,7,8,11,8,6,5,4,5,4,9,6,9,11,620,340,280,170,110,60,28,32,22
108,E13000002,REGION,I,OUTER LONDON,3820,1310,1350,1170,3700,1280,1300,1120,3090,1130,1070,880,190,70,70,60,420,90,150,180,83,88,83,79,5,5,5,5,11,7,12,16,260,110,80,70,110,40,30,40,930,450,320,170,100,40,40,20,10,c,c,c,30,c,10,20,40,10,20,20,90,20,40,30,30,10,10,10,40,20,10,c,1300,320,480,490,20,10,10,c,c,0,c,c,140,50,50,50,240,120,70,40,80,30,20,30,420,90,150,180,7,8,6,6,3,3,3,3,24,34,23,15,3,3,3,2,-,-,-,-,1,-,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1,1,1,-,34,25,36,42,1,1,1,-,-,0,-,-,4,4,4,4,6,9,5,4,2,3,1,2,11,7,11,15,830,390,440,180,110,70,22,29,15
128,E12000008,REGION,J,SOUTH EAST,4750,1620,1670,1460,4690,1600,1650,1440,3790,1350,1330,1120,280,90,100,90,620,160,230,230,81,84,81,78,6,6,6,6,13,10,14,16,490,170,170,150,180,50,70,60,540,260,170,110,260,130,80,50,10,c,c,c,10,c,c,c,100,40,30,30,40,10,10,20,70,20,30,20,200,80,70,50,1610,420,610,580,20,10,10,c,20,10,10,10,120,30,50,40,290,160,80,50,190,70,70,50,620,160,230,230,10,11,10,10,4,3,4,4,11,16,10,7,5,8,4,3,-,c,c,c,-,c,c,c,2,2,2,2,1,1,1,1,1,1,1,1,4,5,4,4,34,26,37,39,-,-,-,c,-,-,-,-,2,2,3,3,6,10,5,4,4,4,4,4,13,10,13,16,1060,550,510,220,140,80,21,26,15
148,E12000009,REGION,K,SOUTH WEST,2510,860,800,860,2500,850,790,860,2190,760,700,730,160,60,50,60,150,30,50,70,88,90,88,85,6,7,6,7,6,4,6,8,270,110,90,70,140,50,40,50,250,100,80,60,170,100,40,30,c,0,c,0,c,c,c,0,40,10,10,20,c,c,c,c,30,10,10,20,80,40,20,20,950,220,320,410,20,10,c,c,20,c,c,10,50,20,10,20,230,100,70,50,120,50,40,30,150,30,50,70,11,13,11,9,5,6,5,5,10,12,10,7,7,11,5,4,c,0,c,0,c,c,c,0,2,1,1,2,c,c,c,c,1,1,1,2,3,5,3,2,38,26,40,48,1,1,c,c,1,c,c,1,2,2,2,2,9,12,9,6,5,6,5,3,6,4,6,8,600,320,280,170,100,70,27,30,24
95,E09000001,LA,201,City of London,15,8,c,c,13,7,c,c,c,c,c,c,0,0,0,0,c,0,0,c,c,c,c,c,c,0,0,0,c,0,0,c,0,0,0,0,0,0,0,0,10,c,c,c,0,0,0,0,0,0,0,0,c,0,0,c,0,0,0,0,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,0,0,0,0,0,0,c,0,0,c,0,0,0,0,0,0,0,0,67,c,c,c,0,0,0,0,0,0,0,0,c,0,0,c,0,0,0,0,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,0,0,0,0,0,0,c,0,0,c,9,c,c,c,c,0,c,c,0
94,E09000007,LA,202,Camden,151,56,50,45,151,56,50,45,132,49,47,36,7,c,c,c,12,c,c,6,87,88,94,80,5,c,c,c,8,c,c,13,12,c,c,c,c,c,0,c,74,34,24,16,11,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,c,c,15,c,8,c,0,0,0,0,0,0,0,0,7,c,c,c,0,0,0,0,14,c,c,6,12,c,c,6,8,c,c,c,c,c,0,c,49,61,48,36,7,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,c,c,10,c,16,c,0,0,0,0,0,0,0,0,5,c,c,c,0,0,0,0,9,c,c,13,8,c,c,13,20,12,8,0,0,0,0,0,0
117,E09000011,LA,203,Greenwich,219,73,86,60,218,73,85,60,183,62,71,50,14,c,c,c,21,6,9,6,84,85,84,83,6,c,c,c,10,8,11,10,28,11,7,10,8,c,c,c,55,21,23,11,8,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,0,c,0,c,0,11,c,c,c,63,12,28,23,0,0,0,0,0,0,0,0,13,c,c,c,10,c,c,c,0,0,0,0,21,6,9,6,13,15,8,17,4,c,c,c,25,29,27,18,4,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,0,c,0,c,0,5,8,c,0,29,16,33,38,0,0,0,0,0,0,0,0,6,c,c,c,5,c,c,c,0,0,0,0,10,8,10,10,64,25,39,10,c,c,16,c,c
96,E09000012,LA,204,Hackney,217,85,69,63,215,84,69,62,173,71,52,50,15,6,c,c,27,7,12,8,80,85,75,81,7,7,c,c,13,8,17,13,22,c,c,10,6,c,c,c,97,42,33,22,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,0,c,c,c,c,0,0,0,0,0,15,c,c,8,c,0,0,c,0,0,0,0,11,c,c,c,14,c,c,c,17,c,10,c,27,7,12,8,10,c,c,16,3,c,c,c,45,49,48,35,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,c,0,c,c,c,c,0,0,0,0,0,7,c,c,13,c,0,0,c,0,0,0,0,5,c,c,c,6,c,c,c,8,c,14,c,12,8,17,13,57,30,27,10,c,c,18,c,c
97,E09000013,LA,205,Hammersmith and Fulham,150,57,51,42,144,57,50,37,131,51,45,35,c,c,c,c,c,c,c,0,91,89,90,95,c,c,c,c,c,c,c,0,20,c,10,c,c,c,0,c,52,23,16,13,c,0,0,c,c,0,0,c,0,0,0,0,c,0,c,0,c,0,c,c,c,c,0,0,c,0,c,0,c,0,0,c,0,0,0,0,0,0,0,0,c,c,c,c,37,13,14,10,15,7,c,c,c,c,c,0,13,c,20,c,c,c,0,c,35,40,31,31,c,0,0,c,c,0,0,c,0,0,0,0,c,0,c,0,c,0,c,c,c,c,0,0,c,0,c,0,c,0,0,c,0,0,0,0,0,0,0,0,c,c,c,c,25,23,27,24,10,12,c,c,c,c,c,0,39,23,16,21,12,9,54,52,56
99,E09000019,LA,206,Islington,306,102,104,100,298,100,102,96,239,82,80,77,27,12,9,6,32,6,13,13,80,82,78,80,9,12,9,6,11,6,13,14,17,c,c,6,c,0,0,c,57,33,18,6,13,c,c,c,c,0,c,c,c,c,0,0,c,0,c,0,c,c,c,c,c,c,c,0,c,0,c,0,119,18,45,56,0,0,0,0,0,0,0,0,21,9,c,c,20,c,c,c,11,c,c,c,32,6,13,13,6,c,c,6,c,0,0,c,19,32,17,6,4,c,c,c,c,0,c,c,c,c,0,0,c,0,c,0,c,c,c,c,c,c,c,0,c,0,c,0,39,18,43,56,0,0,0,0,0,0,0,0,7,9,c,c,7,c,c,c,4,c,c,c,10,6,13,13,78,45,33,17,c,c,22,c,c
100,E09000020,LA,207,Kensington and Chelsea,106,34,33,39,106,34,33,39,87,31,25,31,c,c,c,c,c,c,c,7,82,91,76,79,c,c,c,c,c,c,c,18,c,c,c,c,c,c,c,0,54,25,15,14,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,c,0,0,0,0,0,0,0,0,0,0,0,0,14,c,c,c,0,0,0,0,0,0,0,0,c,c,c,c,6,c,c,c,c,0,c,0,15,c,c,7,c,c,c,c,c,c,c,0,51,74,45,36,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,c,0,0,0,0,0,0,0,0,0,0,0,0,13,c,c,c,0,0,0,0,0,0,0,0,c,c,c,c,6,c,c,c,c,0,c,0,14,c,c,18,14,c,c,c,c,c,c,c,c
101,E09000022,LA,208,Lambeth,277,102,83,92,277,102,83,92,226,92,70,64,25,6,7,12,26,c,c,16,82,90,84,70,9,6,8,13,9,c,c,17,22,6,10,6,c,c,c,0,81,46,25,10,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,c,7,c,c,c,70,12,20,38,0,0,0,0,0,0,0,0,21,c,c,10,24,17,c,c,15,c,7,c,26,c,c,16,8,6,12,7,c,c,c,0,29,45,30,11,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,c,c,3,c,c,c,25,12,24,41,0,0,0,0,0,0,0,0,8,c,c,11,9,17,c,c,5,c,8,c,9,c,c,17,54,32,22,19,c,c,35,c,c
102,E09000023,LA,209,Lewisham,282,99,100,83,275,98,99,78,209,83,76,50,27,8,8,11,39,7,15,17,76,85,77,64,10,8,8,14,14,7,15,22,20,9,c,c,6,c,c,c,66,30,30,6,18,11,c,c,0,0,0,0,c,0,0,c,c,c,c,0,6,c,c,c,c,0,c,c,0,0,0,0,72,16,28,28,c,c,c,c,0,0,0,0,13,c,c,6,20,9,c,c,11,c,c,c,39,7,15,17,7,9,c,c,2,c,c,c,23,30,30,7,6,11,c,c,0,0,0,0,c,0,0,c,c,c,c,0,2,c,c,c,c,0,c,c,0,0,0,0,26,16,28,34,c,c,c,c,0,0,0,0,5,c,c,7,7,9,c,c,4,c,c,c,14,7,15,20,78,44,34,16,9,7,21,20,21
104,E09000028,LA,210,Southwark,280,91,94,95,275,91,90,94,226,81,71,74,22,c,11,8,27,7,8,12,82,89,79,79,8,c,12,c,10,8,9,13,24,8,8,8,c,c,c,c,73,37,27,9,0,0,0,0,c,0,c,c,0,0,0,0,0,0,0,0,c,0,c,0,c,0,c,c,18,c,8,c,72,13,18,41,c,c,0,0,c,0,0,c,18,c,10,c,32,15,9,8,c,0,0,c,27,7,8,12,9,9,9,8,c,c,c,c,26,41,29,9,0,0,0,0,c,0,c,c,0,0,0,0,0,0,0,0,c,0,c,0,c,0,c,c,6,c,9,c,26,14,19,43,c,c,0,0,c,0,0,c,6,c,11,c,11,16,10,8,c,0,0,c,10,8,9,13,83,41,42,23,14,9,28,34,21
105,E09000030,LA,211,Tower Hamlets,214,71,71,72,198,68,65,65,186,67,59,60,12,c,6,c,0,0,0,0,94,99,91,92,6,c,9,c,0,0,0,0,30,12,10,8,15,c,c,c,87,37,29,21,0,0,0,0,c,0,0,c,c,c,0,0,0,0,0,0,14,c,c,6,c,0,c,0,c,0,c,0,32,c,c,14,0,0,0,0,0,0,0,0,11,c,c,c,17,8,c,c,c,c,0,c,0,0,0,0,14,17,14,11,7,c,c,c,41,52,41,29,0,0,0,0,c,0,0,c,c,c,0,0,0,0,0,0,7,c,8,8,c,0,c,0,c,0,c,0,15,c,c,19,0,0,0,0,0,0,0,0,5,c,c,c,8,11,c,c,c,c,0,c,0,0,0,0,45,26,19,12,c,c,27,c,c
106,E09000032,LA,212,Wandsworth,177,76,61,40,177,76,61,40,143,63,48,32,18,c,9,c,16,8,c,c,81,83,79,80,10,c,15,c,9,11,c,c,15,7,c,c,10,c,c,c,41,23,11,7,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,8,6,37,12,17,8,0,0,0,0,0,0,0,0,18,c,9,c,10,c,c,c,c,0,c,c,16,8,c,c,8,9,c,c,6,c,c,c,23,30,18,18,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,13,15,21,16,28,20,0,0,0,0,0,0,0,0,10,c,15,c,6,c,c,c,c,0,c,c,9,11,c,c,21,10,11,6,c,c,29,c,c
