LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CLA_cease2019,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_16over,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_16over_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO_FFC_Rel,CEA_SGO_FFC_Oth,CEA_SGO_Car_Rel,CEA_SGO_Car_Oth,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_PC,CEA_Died_pc,CEA_Taken_pc,CEA_ParPlan_pc,CEA_ParNPlan_pc,CEA_NoPar_pc,CEA_CAO_pc,CEA_SGO_FFC_Rel_pc,CEA_SGO_FFC_Oth_pc,CEA_SGO_Car_Rel_pc,CEA_SGO_Car_Oth_pc,CEA_IndLiv1_pc,CEA_IndLiv2_pc,CEA_Residential_pc,CEA_Custody_pc,CEA_RemEnd_pc,CEA_AgeAssmt_pc,CEA_Abroad_pc,CEA_Other_pc,Ceased_CLA_Rate2015,Ceased_CLA_Rate2016,Ceased_CLA_Rate2017,Ceased_CLA_Rate2018,Ceased_CLA_Rate2019
62,E06000018,LA,892,Nottingham,287,256,216,219,216,114,102,53,47,15,48,24,22,10,12,107,85,7,22,11,10,5,6,50,39,46,c,0,c,13,c,28,c,6,c,c,0,61,c,c,7,9,0,0,28,23,0,c,6,c,13,c,3,c,c,0,28,c,c,3,4,0,0,13,44,39,32,32,31
71,E06000051,LA,893,Shropshire,94,109,117,88,95,60,35,63,37,c,17,18,18,c,c,39,30,c,18,19,19,c,c,41,32,c,0,c,c,36,c,c,0,11,6,0,0,c,0,0,0,0,c,0,28,4,c,c,38,c,c,0,12,6,0,0,c,0,0,0,0,c,0,29,16,18,20,15,16
75,E06000020,LA,894,Telford and Wrekin,127,109,98,118,95,60,35,63,37,8,30,21,10,c,c,26,20,8,32,22,11,c,c,27,21,10,15,c,c,21,c,6,c,13,c,0,0,11,c,c,0,c,0,0,c,26,c,c,22,c,6,c,14,c,0,0,12,c,c,0,c,0,0,c,33,28,25,29,23
20,E06000049,LA,895,Cheshire East,126,138,141,146,147,80,67,54,46,c,41,21,18,c,c,57,52,c,28,14,12,c,c,39,35,7,11,0,0,16,8,12,0,19,c,21,0,17,c,6,c,0,c,c,19,12,0,0,11,5,8,0,13,c,14,0,12,c,4,c,0,c,c,13,17,18,19,19,19
21,E06000050,LA,896,Cheshire West and Chester,147,185,181,199,132,76,56,58,42,9,31,16,25,c,c,51,43,7,23,12,19,c,c,39,33,6,10,0,c,23,c,6,8,19,0,c,0,0,0,c,0,0,0,0,46,12,0,c,17,c,5,6,14,0,c,0,0,0,c,0,0,0,0,35,22,28,27,30,19
152,E06000052,LA,908,Cornwall,254,259,220,230,242,136,106,56,44,30,65,45,33,13,6,69,50,12,27,19,14,5,2,29,21,c,27,0,0,68,10,7,24,25,c,23,0,13,0,c,0,0,0,0,37,12,0,0,28,4,3,10,10,c,10,0,5,0,c,0,0,0,0,15,24,25,21,21,22
22,E10000006,LA,909,Cumbria,216,237,264,224,208,102,106,49,51,14,73,38,34,6,9,49,34,7,35,18,16,3,4,24,16,26,12,c,c,36,7,0,19,26,c,21,0,8,c,9,c,0,0,0,37,18,c,c,17,3,0,9,13,c,10,0,4,c,4,c,0,0,0,18,23,26,28,24,22
155,E10000013,LA,916,Gloucestershire,251,300,288,243,271,139,132,51,49,22,48,51,43,12,7,107,88,8,18,19,16,4,3,39,32,c,24,0,0,62,26,0,13,27,c,c,0,39,6,c,c,0,0,0,56,9,0,0,23,10,0,5,10,c,c,0,14,2,c,c,0,0,0,21,20,24,23,19,21
85,E10000015,LA,919,Hertfordshire,515,514,492,418,375,224,151,60,40,29,83,45,54,16,19,164,129,8,22,12,14,4,5,44,34,31,15,c,0,37,25,21,40,39,c,20,c,55,26,22,c,12,0,0,20,12,c,0,10,7,6,11,10,c,5,c,15,7,6,c,3,0,0,5,20,19,18,16,14
134,E06000046,LA,921,Isle of Wight,79,73,76,82,61,30,31,49,51,c,16,8,9,c,c,26,19,c,26,13,15,c,c,43,31,c,10,0,0,12,c,c,c,c,0,0,0,c,0,c,0,c,0,0,21,18,0,0,20,c,c,c,c,0,0,0,c,0,c,0,c,0,0,34,31,29,30,33,25
60,E10000019,LA,925,Lincolnshire,330,301,279,318,309,181,128,59,41,21,81,49,47,12,12,111,87,7,26,16,15,4,4,36,28,8,32,c,0,45,12,17,21,43,6,14,0,72,12,c,c,c,0,c,16,13,c,0,15,4,6,7,14,2,5,0,23,4,c,c,c,0,c,5,23,21,19,22,21
87,E10000020,LA,926,Norfolk,509,416,414,429,457,235,222,51,49,39,105,75,72,22,15,166,129,9,23,16,16,5,3,36,28,41,22,c,c,57,8,88,11,38,25,10,c,34,10,8,c,0,c,c,94,14,c,c,12,2,19,2,8,5,2,c,7,2,2,c,0,c,c,21,30,25,24,25,27
61,E10000021,LA,928,Northamptonshire,440,504,516,419,433,247,186,57,43,20,107,64,44,10,27,198,161,5,25,15,10,2,6,46,37,20,31,0,c,132,11,0,9,35,6,c,0,114,11,c,c,0,c,c,54,12,0,c,30,3,0,2,8,1,c,0,26,3,c,c,0,c,c,12,27,31,31,25,25
10,E06000057,LA,929,Northumberland,115,185,228,200,165,82,83,50,50,6,64,31,27,c,c,37,27,4,39,19,16,c,c,22,16,29,8,0,0,51,0,0,16,18,c,13,c,11,c,c,c,0,0,0,8,22,0,0,31,0,0,10,11,c,8,c,7,c,c,c,0,0,0,5,19,31,39,34,28
138,E10000025,LA,931,Oxfordshire,249,280,286,298,273,152,121,56,44,25,48,40,39,17,10,121,94,9,18,15,14,6,4,44,34,14,11,c,0,44,c,33,19,26,0,c,0,33,c,c,c,c,9,0,62,9,c,0,16,c,12,7,10,0,c,0,12,c,c,c,c,3,0,23,18,20,20,21,19
160,E10000027,LA,933,Somerset,299,229,261,223,184,101,83,55,45,25,31,15,23,c,c,90,79,14,17,8,13,c,c,49,43,15,8,0,c,47,8,20,c,13,0,c,0,49,10,c,0,0,0,0,c,13,0,c,26,4,11,c,7,0,c,0,27,5,c,0,0,0,0,c,27,21,24,20,17
90,E10000029,LA,935,Suffolk,320,285,295,338,343,172,171,50,50,35,81,39,31,12,10,157,135,10,24,11,9,3,3,46,39,35,20,c,c,42,8,23,9,34,6,c,c,39,c,7,c,0,0,c,100,16,c,c,12,2,7,3,10,2,c,c,11,c,2,c,0,0,c,29,21,19,19,22,22
143,E10000030,LA,936,Surrey,374,405,419,409,394,227,167,58,42,36,65,40,62,14,16,191,161,9,16,10,16,4,4,48,41,14,10,c,c,82,28,0,11,12,c,31,0,66,6,43,c,0,c,0,84,6,c,c,21,7,0,3,3,c,8,0,17,2,11,c,0,c,0,21,15,16,16,16,15
77,E10000031,LA,937,Warwickshire,328,315,321,247,301,177,124,59,41,17,57,37,43,c,c,147,132,6,19,12,14,c,c,49,44,7,27,c,c,62,15,12,10,17,c,0,0,c,c,0,0,c,8,0,136,11,c,c,21,5,4,3,6,c,0,0,c,c,0,0,c,3,0,45,29,28,28,22,26
145,E10000032,LA,938,West Sussex,328,386,357,338,354,209,145,59,41,26,74,45,63,15,15,146,116,7,21,13,18,4,4,41,33,10,32,0,c,109,14,22,c,20,c,14,0,99,c,7,0,0,8,c,7,12,0,c,31,4,6,c,6,c,4,0,28,c,2,0,0,2,c,2,19,23,21,20,20
