LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CLA_cease2019,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_16over,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_16over_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO_FFC_Rel,CEA_SGO_FFC_Oth,CEA_SGO_Car_Rel,CEA_SGO_Car_Oth,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_PC,CEA_Died_pc,CEA_Taken_pc,CEA_ParPlan_pc,CEA_ParNPlan_pc,CEA_NoPar_pc,CEA_CAO_pc,CEA_SGO_FFC_Rel_pc,CEA_SGO_FFC_Oth_pc,CEA_SGO_Car_Rel_pc,CEA_SGO_Car_Oth_pc,CEA_IndLiv1_pc,CEA_IndLiv2_pc,CEA_Residential_pc,CEA_Custody_pc,CEA_RemEnd_pc,CEA_AgeAssmt_pc,CEA_Abroad_pc,CEA_Other_pc,Ceased_CLA_Rate2015,Ceased_CLA_Rate2016,Ceased_CLA_Rate2017,Ceased_CLA_Rate2018,Ceased_CLA_Rate2019
107,E09000033,LA,213,Westminster,96,110,132,141,172,129,43,75,25,11,15,7,19,39,30,120,51,6,9,4,11,23,17,70,30,6,c,0,51,18,10,c,0,0,c,c,0,22,c,c,c,c,c,0,44,4,0,30,10,6,c,0,0,c,c,0,13,c,c,c,c,c,0,26,24,26,30,31,36
109,E09000002,LA,301,Barking and Dagenham,277,253,205,199,197,121,76,61,39,14,38,22,44,8,17,79,54,7,19,11,22,4,9,40,27,c,14,0,c,22,c,46,12,19,6,7,c,36,c,9,7,c,c,0,0,8,0,c,11,c,23,6,10,3,4,c,18,c,5,4,c,c,0,0,47,42,33,32,31
110,E09000003,LA,302,Barnet,183,176,179,190,177,114,63,64,36,15,24,c,24,c,7,110,96,8,14,c,14,c,4,62,54,c,7,0,0,27,12,c,c,0,0,10,0,51,6,12,0,0,0,c,39,7,0,0,15,7,c,c,0,0,6,0,29,3,7,0,0,0,c,22,21,20,20,21,19
111,E09000004,LA,303,Bexley,156,185,147,125,115,77,38,67,33,7,22,13,11,9,0,62,53,6,19,11,10,8,0,54,46,c,c,0,c,15,c,9,7,c,c,8,0,29,0,0,0,c,0,0,26,8,0,c,13,c,8,6,c,c,7,0,25,0,0,0,c,0,0,23,28,33,26,22,20
112,E09000005,LA,304,Brent,268,220,231,176,185,113,72,61,39,8,31,15,30,16,12,101,73,4,17,8,16,9,6,55,39,c,c,0,7,54,c,12,0,11,c,9,0,65,c,c,8,c,c,0,0,3,0,4,29,c,6,0,6,c,5,0,35,c,c,4,c,c,0,0,36,29,30,23,24
113,E09000006,LA,305,Bromley,156,135,176,148,147,91,56,62,38,9,29,19,24,6,8,66,52,6,20,13,16,4,5,45,35,8,10,0,c,34,8,6,c,11,c,8,0,c,c,6,c,c,c,0,38,12,0,c,23,5,4,c,7,c,5,0,c,c,4,c,c,c,0,26,22,19,24,20,20
114,E09000008,LA,306,Croydon,400,421,479,454,473,330,143,70,30,28,49,25,67,57,45,304,202,6,10,5,14,12,10,64,43,14,c,0,67,79,29,c,10,0,c,39,0,102,35,71,9,7,c,0,c,4,0,14,17,6,c,2,0,c,8,0,22,7,15,2,1,c,0,c,43,45,51,48,50
115,E09000009,LA,307,Ealing,218,237,207,189,193,110,83,57,43,12,19,21,37,8,15,104,81,6,10,11,19,4,8,54,42,c,c,0,c,52,13,0,c,c,c,7,0,c,0,c,c,0,0,0,98,3,0,c,27,7,0,c,c,c,4,0,c,0,c,c,0,0,0,51,27,29,25,23,24
116,E09000010,LA,308,Enfield,185,216,222,172,174,108,66,62,38,8,17,15,40,15,8,94,71,5,10,9,23,9,5,54,41,6,c,0,c,41,c,0,c,c,c,10,0,59,c,c,12,0,0,0,14,5,0,c,24,c,0,c,c,c,6,0,34,c,c,7,0,0,0,8,23,26,26,20,21
98,E09000014,LA,309,Haringey,249,218,180,215,224,146,78,65,35,15,36,18,40,29,18,115,68,7,16,8,18,13,8,51,30,7,7,0,20,57,26,c,0,c,7,c,0,0,0,0,c,c,c,c,85,6,0,9,25,12,c,0,c,3,c,0,0,0,0,c,c,c,c,38,42,36,30,35,37
118,E09000015,LA,310,Harrow,122,130,163,159,118,57,61,48,52,c,8,15,17,14,c,73,54,c,7,13,14,12,c,62,46,c,c,0,c,20,16,c,0,7,0,c,0,41,c,c,c,0,c,c,11,5,0,c,17,14,c,0,6,0,c,0,35,c,c,c,0,c,c,9,22,23,28,27,20
119,E09000016,LA,311,Havering,193,164,143,127,131,78,53,60,40,c,19,14,25,c,8,69,53,c,15,11,19,c,6,53,40,6,0,0,c,35,17,0,0,9,0,c,0,52,0,c,c,c,c,0,0,5,0,c,27,13,0,0,7,0,c,0,40,0,c,c,c,c,0,0,36,30,26,22,23
120,E09000017,LA,312,Hillingdon,258,255,269,236,192,123,69,64,36,c,33,c,28,22,17,117,78,c,17,c,15,11,9,61,41,7,c,0,14,39,6,9,c,c,0,11,0,38,31,c,c,0,c,c,18,6,0,7,20,3,5,c,c,0,6,0,20,16,c,c,0,c,c,9,37,36,37,32,26
121,E09000018,LA,313,Hounslow,180,174,181,147,122,76,46,62,38,9,15,c,14,9,c,78,64,7,12,c,11,7,c,64,52,c,c,0,0,25,11,0,c,c,0,c,0,62,0,c,c,0,0,0,c,6,0,0,20,9,0,c,c,0,c,0,51,0,c,c,0,0,0,c,29,28,29,23,19
122,E09000021,LA,314,Kingston upon Thames,58,85,55,61,63,45,18,71,29,c,c,13,13,c,0,31,28,c,c,21,21,c,0,49,44,0,0,0,0,9,c,c,c,10,0,c,0,c,0,c,c,c,0,0,30,0,0,0,14,c,c,c,16,0,c,0,c,0,c,c,c,0,0,48,16,23,14,16,16
123,E09000024,LA,315,Merton,105,117,112,84,70,42,28,60,40,8,10,c,13,c,c,36,32,11,14,c,19,c,c,51,46,c,c,0,0,12,c,c,c,0,0,9,0,18,c,c,0,c,0,0,12,6,0,0,17,c,c,c,0,0,13,0,26,c,c,0,c,0,0,17,23,25,24,18,15
103,E09000025,LA,316,Newham,270,299,276,241,253,143,110,57,43,13,41,23,42,13,23,134,98,5,16,9,17,5,9,53,39,10,c,c,9,60,10,14,c,9,c,10,c,39,c,c,11,c,c,0,66,5,c,4,24,4,6,c,4,c,4,c,15,c,c,4,c,c,0,26,33,36,32,28,29
124,E09000026,LA,317,Redbridge,120,142,175,148,127,67,60,53,47,c,21,13,18,c,16,72,44,c,17,10,14,c,13,57,35,c,c,0,c,25,6,8,c,c,6,0,0,16,6,c,c,c,c,0,36,4,0,c,20,5,6,c,c,5,0,0,13,5,c,c,c,c,0,28,16,19,23,19,17
125,E09000027,LA,318,Richmond upon Thames,57,51,81,65,64,40,24,63,38,c,13,c,10,c,c,34,28,c,20,c,16,c,c,53,44,c,c,0,c,11,6,c,c,c,0,c,0,c,0,c,c,0,0,0,25,6,0,c,17,9,c,c,c,0,c,0,c,0,c,c,0,0,0,39,13,11,18,14,14
126,E09000029,LA,319,Sutton,111,135,127,111,98,58,40,59,41,c,17,15,17,c,c,47,32,c,17,15,17,c,c,48,33,10,0,0,c,20,6,19,c,c,0,c,0,25,c,c,c,0,c,0,0,10,0,c,20,6,19,c,c,0,c,0,26,c,c,c,0,c,0,0,24,29,27,23,20
127,E09000031,LA,320,Waltham Forest,160,184,169,135,155,89,66,57,43,13,12,10,21,7,14,99,78,8,8,6,14,5,9,64,50,c,0,0,c,33,13,c,0,6,c,c,0,0,0,0,7,0,c,0,80,1,0,c,21,8,c,0,4,c,c,0,0,0,0,5,0,c,0,52,25,28,26,20,23
66,E08000025,LA,330,Birmingham,768,888,725,687,660,375,285,57,43,34,122,73,106,35,35,325,255,5,18,11,16,5,5,49,39,16,59,c,c,220,20,9,8,6,c,8,0,62,14,14,26,11,c,c,179,11,c,c,33,3,1,1,1,c,1,0,9,2,2,4,2,c,c,27,27,31,25,24,23
67,E08000026,LA,331,Coventry,359,286,248,227,254,139,115,55,45,14,44,35,39,11,13,122,98,6,17,14,15,4,5,48,39,12,24,0,c,34,10,34,c,20,c,c,0,72,c,8,c,c,c,0,24,14,0,c,13,4,13,c,8,c,c,0,28,c,3,c,c,c,0,9,49,38,32,29,32
68,E08000027,LA,332,Dudley,196,211,212,189,173,99,74,57,43,c,50,29,24,c,c,65,59,c,29,17,14,c,c,38,34,8,28,0,0,19,7,0,c,21,c,c,0,0,c,c,c,c,c,c,71,21,0,0,11,4,0,c,12,c,c,0,0,c,c,c,c,c,c,41,29,31,31,27,25
70,E08000028,LA,333,Sandwell,183,214,183,210,195,118,77,61,39,14,26,38,27,c,c,90,72,7,13,19,14,c,c,46,37,24,c,0,c,c,c,51,6,7,c,0,0,72,0,0,c,0,0,0,12,14,0,c,c,c,26,3,4,c,0,0,37,0,0,c,0,0,0,6,24,27,23,26,24
72,E08000029,LA,334,Solihull,136,129,145,151,120,67,53,56,44,c,16,14,26,c,8,60,44,c,13,12,22,c,7,50,37,0,7,0,0,24,c,6,18,6,c,0,0,44,0,0,c,0,c,c,c,6,0,0,20,c,5,15,5,c,0,0,37,0,0,c,0,c,c,c,30,28,31,32,26
76,E08000030,LA,335,Walsall,220,164,168,221,176,86,90,49,51,11,51,29,26,6,8,59,45,6,29,16,15,3,5,34,26,13,19,0,c,25,11,22,c,19,c,6,0,14,c,c,0,c,0,0,33,18,0,c,14,6,13,c,11,c,3,0,8,c,c,0,c,0,0,19,34,25,25,33,26
78,E08000031,LA,336,Wolverhampton,234,254,186,170,158,90,68,57,43,15,47,26,23,c,c,47,36,9,30,16,15,c,c,30,23,c,41,0,c,44,0,0,0,0,13,7,0,0,0,c,c,0,0,0,42,27,0,c,28,0,0,0,0,8,4,0,0,0,c,c,0,0,0,27,41,44,31,28,26
24,E08000011,LA,340,Knowsley,130,111,110,87,93,50,43,54,46,7,27,13,11,c,c,35,29,8,29,14,12,c,c,38,31,6,c,0,6,26,0,c,c,12,c,6,c,10,13,c,0,0,0,0,6,8,0,6,28,0,c,c,13,c,6,c,11,14,c,0,0,0,0,6,40,34,34,26,28
26,E08000012,LA,341,Liverpool,390,411,340,363,388,236,152,61,39,27,92,56,58,15,18,155,122,7,24,14,15,4,5,40,31,15,16,c,12,84,c,48,13,51,c,7,0,7,24,c,6,c,c,c,87,8,c,3,22,c,12,3,13,c,2,0,2,6,c,2,c,c,c,22,43,45,37,39,41
32,E08000013,LA,342,St. Helens,135,155,120,98,103,65,38,63,37,c,23,13,17,c,c,48,43,c,22,13,17,c,c,47,42,c,9,0,c,11,7,0,7,8,c,0,0,24,c,c,c,0,0,0,22,11,0,c,11,7,0,7,8,c,0,0,23,c,c,c,0,0,0,21,37,43,33,27,28
31,E08000014,LA,343,Sefton,169,133,181,163,132,71,61,54,46,7,29,24,21,c,c,51,44,5,22,18,16,c,c,39,33,16,6,0,6,23,c,0,c,9,c,c,0,c,c,c,c,0,0,0,51,17,0,5,17,c,0,c,7,c,c,0,c,c,c,c,0,0,0,39,32,25,34,30,25
38,E08000015,LA,344,Wirral,208,203,254,212,211,110,101,52,48,10,60,28,35,7,11,78,60,5,28,13,17,3,5,37,28,14,16,0,0,72,c,14,6,21,c,7,c,24,24,c,c,0,0,c,c,14,0,0,34,c,7,3,10,c,3,c,11,11,c,c,0,0,c,c,31,30,38,31,31
18,E08000001,LA,350,Bolton,175,172,186,168,179,85,94,47,53,26,53,27,30,c,c,43,35,15,30,15,17,c,c,24,20,28,8,0,0,33,6,0,c,29,c,8,0,c,c,c,c,0,0,0,54,20,0,0,18,3,0,c,16,c,4,0,c,c,c,c,0,0,0,30,27,26,28,25,26
19,E08000002,LA,351,Bury,147,103,114,147,125,71,54,57,43,11,27,23,17,c,c,47,37,9,22,18,14,c,c,38,30,6,c,0,0,28,7,c,c,9,0,7,0,6,0,c,c,0,c,0,45,9,0,0,22,6,c,c,7,0,6,0,5,0,c,c,0,c,0,36,35,24,27,34,29
27,E08000003,LA,352,Manchester,557,473,533,471,495,286,209,58,42,29,92,75,94,30,26,205,149,6,19,15,19,6,5,41,30,8,48,c,c,81,23,16,17,60,8,24,0,45,19,c,19,12,c,0,108,11,c,c,16,5,3,3,12,2,5,0,9,4,c,4,2,c,0,22,49,40,44,39,41
28,E08000004,LA,353,Oldham,181,170,150,207,239,119,120,50,50,18,72,40,51,c,c,58,46,8,30,17,21,c,c,24,19,30,c,0,c,71,19,6,6,39,0,12,0,c,c,0,c,7,0,0,31,14,0,c,30,8,3,3,16,0,5,0,c,c,0,c,3,0,0,13,31,29,25,35,40
29,E08000005,LA,354,Rochdale,178,198,155,160,134,80,54,60,40,8,39,25,16,c,c,46,38,6,29,19,12,c,c,34,28,12,10,0,c,18,c,0,6,21,c,c,0,6,8,c,c,0,0,0,41,16,0,c,13,c,0,4,16,c,c,0,4,6,c,c,0,0,0,31,35,39,30,31,25
30,E08000006,LA,355,Salford,210,224,236,169,188,101,87,54,46,12,41,36,29,c,c,70,57,6,22,19,15,c,c,37,30,13,c,0,0,80,c,22,c,14,c,c,0,18,16,c,c,c,0,0,c,9,0,0,43,c,12,c,7,c,c,0,10,9,c,c,c,0,0,c,40,42,43,30,33
33,E08000007,LA,356,Stockport,154,148,120,167,161,89,72,55,45,14,42,35,27,6,8,43,29,9,26,22,17,4,5,27,18,6,10,0,0,51,10,9,c,18,0,14,c,19,0,c,c,0,0,0,16,10,0,0,32,6,6,c,11,0,9,c,12,0,c,c,0,0,0,10,25,24,19,27,25
34,E08000008,LA,357,Tameside,152,118,135,147,210,108,102,51,49,11,46,32,38,7,8,83,68,5,22,15,18,3,4,40,32,7,15,c,c,50,14,0,c,19,0,10,0,27,6,c,c,0,0,0,51,10,c,c,24,7,0,c,9,0,5,0,13,3,c,c,0,0,0,24,31,24,27,30,42
