LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,oc2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
20,E06000049,LA,895,Cheshire East,362,259,6,2,22,8,11,6,36,50,339,274,337,94,76,93,43,43,100,274,250,91,113,40,97,45,16,39,14.4
21,E06000050,LA,896,Cheshire West and Chester,383,239,c,c,9,c,c,2,c,c,368,358,362,96,93,95,57,57,100,293,249,85,116,37,96,47,15,39,14.7
152,E06000052,LA,908,Cornwall,313,257,7,3,22,16,6,7,73,27,296,269,307,95,86,98,22,22,100,246,219,89,110,20,89,50,9,41,14.5
22,E10000006,LA,909,Cumbria,516,381,14,4,26,11,15,5,42,58,485,469,478,94,91,93,37,37,100,429,279,65,160,40,79,57,14,28,11.3
155,E10000013,LA,916,Gloucestershire,475,356,9,3,13,c,c,3,c,c,398,412,344,84,87,72,45,45,100,360,298,83,139,37,122,47,12,41,14.8
85,E10000015,LA,919,Hertfordshire,643,535,14,3,26,c,8,4,c,31,587,573,583,91,89,91,25,25,100,508,431,85,164,61,206,38,14,48,16.2
134,E06000046,LA,921,Isle of Wight,179,115,c,c,c,c,c,c,c,c,160,123,126,89,69,70,17,15,88,144,131,91,67,12,52,51,9,40,13.7
60,E10000019,LA,925,Lincolnshire,426,306,6,2,9,c,c,2,c,c,405,411,409,95,96,96,50,49,98,311,310,100,141,35,134,45,11,43,14.6
87,E10000020,LA,926,Norfolk,840,589,24,4,14,c,9,2,c,64,818,754,747,97,90,89,86,85,99,642,542,84,226,77,239,42,14,44,15.2
61,E10000021,LA,928,Northamptonshire,776,502,24,5,0,0,0,0,.,.,628,413,628,81,53,81,115,109,95,564,441,78,262,48,131,59,11,30,12.8
10,E06000057,LA,929,Northumberland,250,171,c,c,14,12,c,6,86,c,241,235,245,96,94,98,38,38,100,186,150,81,62,20,68,41,13,45,15.6
138,E10000025,LA,931,Oxfordshire,493,367,18,5,48,22,17,10,46,35,415,440,484,84,89,98,41,41,100,379,218,58,106,23,89,49,11,41,14.6
