LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_started2019,CLA_taken2019,CLA_taken2019_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc,Started_CLA_Rate2015,Started_CLA_Rate2016,Started_CLA_Rate2017,Started_CLA_Rate2018,Started_CLA_Rate2019
104,E09000028,LA,210,Southwark,228,238,271,229,209,80,38,121,88,58,42,28,28,29,59,65,13,13,14,28,31,94,c,25,23,17,c,0,36,45,c,12,11,8,c,0,17,33,c,0,118,43,c,0,c,0,0,16,c,0,56,21,c,0,c,0,0,37,38,42,36,32
105,E09000030,LA,211,Tower Hamlets,168,231,222,137,208,103,50,131,77,63,37,25,24,33,47,79,12,12,16,23,38,84,7,12,11,23,21,0,50,40,3,6,5,11,10,0,24,66,c,c,87,25,c,0,16,0,0,32,c,c,42,12,c,0,8,0,0,27,36,33,20,29
106,E09000032,LA,212,Wandsworth,154,177,189,193,193,55,28,114,79,59,41,18,22,19,60,74,9,11,10,31,38,97,c,11,15,15,c,c,46,50,c,6,8,8,c,c,24,37,c,0,134,6,7,0,c,0,0,19,c,0,69,3,4,0,c,0,0,26,29,30,31,30
107,E09000033,LA,213,Westminster,97,97,148,161,175,35,20,136,39,78,22,13,c,c,42,106,7,c,c,24,61,29,c,8,c,18,c,c,113,17,c,5,c,10,c,c,65,c,0,0,136,20,c,0,c,0,0,c,0,0,78,11,c,0,c,0,0,24,23,34,36,37
109,E09000002,LA,301,Barking and Dagenham,268,210,195,194,201,82,41,133,68,66,34,33,30,22,55,61,16,15,11,27,30,103,c,c,8,30,11,0,43,51,c,c,4,15,5,0,21,42,0,0,103,40,0,0,16,0,0,21,0,0,51,20,0,0,8,0,0,46,35,32,31,32
110,E09000003,LA,302,Barnet,176,182,205,173,159,59,37,93,66,58,42,27,18,20,41,53,17,11,13,26,33,67,c,c,20,23,c,0,36,42,c,c,13,14,c,0,23,48,0,0,97,c,c,0,c,0,0,30,0,0,61,c,c,0,c,0,0,20,21,23,19,17
111,E09000004,LA,303,Bexley,166,165,122,127,96,32,33,62,34,65,35,7,8,13,21,47,7,8,14,22,49,47,c,c,c,c,c,0,37,49,c,c,c,c,c,0,39,c,0,0,62,20,c,0,c,0,0,c,0,0,65,21,c,0,c,0,0,30,29,22,22,17
112,E09000005,LA,304,Brent,237,228,214,166,164,79,48,101,63,62,38,15,23,22,48,56,9,14,13,29,34,80,c,c,13,14,14,0,34,49,c,c,8,9,9,0,21,27,c,0,79,40,10,0,c,0,0,16,c,0,48,24,6,0,c,0,0,32,30,28,21,21
113,E09000006,LA,305,Bromley,149,151,179,161,182,56,31,112,70,62,38,20,16,30,41,75,11,9,16,23,41,66,c,10,22,25,c,0,51,36,c,5,12,14,c,0,28,32,c,c,119,21,0,0,c,0,0,18,c,c,65,12,0,0,c,0,0,21,21,24,22,24
114,E09000008,LA,306,Croydon,420,414,446,426,513,137,27,334,179,65,35,47,43,49,237,137,9,8,10,46,27,176,7,8,50,65,14,0,193,34,1,2,10,13,3,0,38,92,c,c,358,37,c,0,15,c,0,18,c,c,70,7,c,0,3,c,0,45,44,47,45,54
115,E09000009,LA,307,Ealing,181,244,177,180,209,93,44,115,94,55,45,27,16,36,63,67,13,8,17,30,32,96,c,14,30,c,13,c,43,46,c,7,14,c,6,c,21,32,c,0,101,48,c,0,15,0,0,15,c,0,48,23,c,0,7,0,0,23,30,22,22,26
116,E09000010,LA,308,Enfield,239,220,183,174,217,76,35,141,76,65,35,19,23,27,71,77,9,11,12,33,35,105,c,c,c,24,15,0,57,48,c,c,c,11,7,0,26,32,0,0,121,40,c,0,c,0,0,15,0,0,56,18,c,0,c,0,0,29,26,22,21,26
98,E09000014,LA,309,Haringey,187,169,210,203,220,84,38,130,90,59,41,37,24,26,59,74,17,11,12,27,34,120,c,c,9,17,8,0,55,55,c,c,4,8,4,0,25,54,c,0,125,24,c,0,11,0,0,25,c,0,57,11,c,0,5,0,0,31,28,35,33,36
118,E09000015,LA,310,Harrow,123,140,182,107,124,36,29,62,62,50,50,18,11,13,33,49,15,9,10,27,40,53,c,10,c,15,6,0,34,43,c,8,c,12,5,0,27,24,0,0,85,c,c,0,c,0,0,19,0,0,69,c,c,0,c,0,0,22,24,32,19,21
119,E09000016,LA,311,Havering,222,147,159,129,122,31,25,85,37,70,30,7,7,12,34,62,6,6,10,28,51,35,c,c,8,14,16,0,43,29,c,c,7,11,13,0,35,8,c,0,87,20,c,0,c,0,0,7,c,0,71,16,c,0,c,0,0,42,27,29,23,21
120,E09000017,LA,312,Hillingdon,232,260,228,214,223,34,15,140,83,63,37,19,21,20,77,86,9,9,9,35,39,106,8,6,13,10,7,0,73,48,4,3,6,4,3,0,33,19,c,c,182,10,c,0,c,0,0,9,c,c,82,4,c,0,c,0,0,34,37,32,29,30
121,E09000018,LA,313,Hounslow,154,157,145,140,144,46,32,97,47,67,33,14,16,13,35,66,10,11,9,24,46,90,c,0,c,14,c,0,33,63,c,0,c,10,c,0,23,23,c,c,91,18,c,0,6,0,0,16,c,c,63,13,c,0,4,0,0,25,25,23,22,22
122,E09000021,LA,314,Kingston upon Thames,58,77,61,75,58,20,34,44,14,76,24,c,c,6,21,20,c,c,10,36,34,22,c,c,14,10,c,0,c,38,c,c,24,17,c,0,c,12,0,0,36,c,0,0,c,0,0,21,0,0,62,c,0,0,c,0,0,16,21,16,19,15
123,E09000024,LA,315,Merton,107,122,100,86,72,22,31,54,18,75,25,12,7,0,19,34,17,10,0,26,47,31,c,c,c,9,0,0,25,43,c,c,c,13,0,0,35,12,c,0,48,c,c,0,c,0,0,17,c,0,67,c,c,0,c,0,0,23,26,21,18,15
103,E09000025,LA,316,Newham,289,221,309,241,219,105,48,126,93,58,42,33,32,24,69,61,15,15,11,32,28,106,c,c,8,41,22,0,36,48,c,c,4,19,10,0,16,57,0,0,99,44,c,0,c,0,0,26,0,0,45,20,c,0,c,0,0,35,26,36,28,25
124,E09000026,LA,317,Redbridge,117,138,186,142,137,35,26,84,53,61,39,13,14,14,26,70,9,10,10,19,51,75,c,c,8,c,9,0,35,55,c,c,6,c,7,0,26,28,0,0,90,7,0,0,12,0,0,20,0,0,66,5,0,0,9,0,0,16,18,24,19,18
125,E09000027,LA,318,Richmond upon Thames,66,70,68,61,73,25,34,44,29,60,40,10,c,c,21,31,14,c,c,29,42,27,c,0,14,c,0,0,20,37,c,0,19,c,0,0,27,19,0,0,48,c,c,0,0,0,0,26,0,0,66,c,c,0,0,0,0,15,16,15,14,16
126,E09000029,LA,319,Sutton,139,136,124,96,121,49,40,82,39,68,32,17,11,23,28,42,14,9,19,23,35,36,7,c,25,18,c,0,29,30,6,c,21,15,c,0,24,35,c,0,69,9,c,0,c,0,0,29,c,0,57,7,c,0,c,0,0,31,29,26,20,25
127,E09000031,LA,320,Waltham Forest,165,183,172,147,141,47,33,77,64,55,45,23,17,14,38,49,16,12,10,27,35,55,c,15,18,24,c,c,20,39,c,11,13,17,c,c,14,31,0,0,81,16,0,0,13,0,0,22,0,0,57,11,0,0,9,0,0,26,28,26,22,21
66,E08000025,LA,330,Birmingham,936,708,740,753,664,294,44,384,280,58,42,136,82,107,178,161,20,12,16,27,24,427,c,13,51,55,27,c,84,64,c,2,8,8,4,c,13,145,c,0,317,141,c,0,51,c,0,22,c,0,48,21,c,0,8,c,0,33,25,26,26,23
67,E08000026,LA,331,Coventry,315,268,283,256,297,177,60,167,130,56,44,58,42,63,71,63,20,14,21,24,21,279,c,c,c,c,c,c,c,94,c,c,c,c,c,c,c,116,c,0,108,44,14,0,9,c,0,39,c,0,36,15,5,0,3,c,0,43,36,37,33,38
68,E08000027,LA,332,Dudley,176,190,160,170,169,110,65,89,80,53,47,41,45,29,45,9,24,27,17,27,5,138,0,c,c,7,7,0,10,82,0,c,c,4,4,0,6,98,c,0,56,c,6,0,c,0,c,58,c,0,33,c,4,0,c,0,c,26,28,23,25,24
70,E08000028,LA,333,Sandwell,144,200,252,350,330,216,65,199,131,60,40,76,60,72,81,41,23,18,22,25,12,276,c,0,7,20,c,c,16,84,c,0,2,6,c,c,5,165,13,0,106,35,c,0,c,0,0,50,4,0,32,11,c,0,c,0,0,19,25,32,43,40
72,E08000029,LA,334,Solihull,143,152,166,172,131,54,41,84,47,64,36,19,17,23,51,21,15,13,18,39,16,50,c,11,26,0,c,0,32,38,c,8,20,0,c,0,24,30,0,0,75,c,0,0,c,0,0,23,0,0,57,c,0,0,c,0,0,31,33,36,37,28
76,E08000030,LA,335,Walsall,193,184,183,207,153,80,52,78,75,51,49,34,27,19,55,18,22,18,12,36,12,93,c,c,c,27,8,0,14,61,c,c,c,18,5,0,9,43,c,0,70,25,8,0,c,0,0,28,c,0,46,16,5,0,c,0,0,30,28,28,31,22
78,E08000031,LA,336,Wolverhampton,234,132,166,179,132,66,50,77,55,58,42,37,27,16,38,14,28,20,12,29,11,78,c,6,11,21,c,0,7,59,c,5,8,16,c,0,5,54,0,0,58,11,c,0,c,0,0,41,0,0,44,8,c,0,c,0,0,41,23,28,30,22
24,E08000011,LA,340,Knowsley,172,95,106,85,103,67,65,59,44,57,43,20,31,21,19,12,19,30,20,18,12,65,c,0,11,17,c,0,c,63,c,0,11,17,c,0,c,63,c,0,34,c,0,0,c,0,0,61,c,0,33,c,0,0,c,0,0,53,29,32,26,31
26,E08000012,LA,341,Liverpool,385,457,418,421,525,242,46,329,196,63,37,92,107,85,114,127,18,20,16,22,24,312,c,c,87,32,c,0,80,59,c,c,17,6,c,0,15,210,c,0,271,28,0,0,c,0,0,40,c,0,52,5,0,0,c,0,0,43,50,45,45,55
32,E08000013,LA,342,St. Helens,111,148,133,113,126,67,53,69,57,55,45,17,28,15,49,17,13,22,12,39,13,57,c,c,13,29,c,0,13,45,c,c,10,23,c,0,10,62,0,0,c,c,0,0,0,0,0,49,0,0,c,c,0,0,0,0,0,30,41,37,31,34
31,E08000014,LA,343,Sefton,215,140,165,184,175,104,59,95,80,54,46,42,39,31,48,15,24,22,18,27,9,62,c,c,27,77,c,0,c,35,c,c,15,44,c,0,c,98,c,0,69,c,0,0,c,0,0,56,c,0,39,c,0,0,c,0,0,40,26,31,34,33
38,E08000015,LA,344,Wirral,209,196,348,278,207,123,59,122,85,59,41,46,37,38,63,23,22,18,18,30,11,187,c,c,9,c,0,0,c,90,c,c,4,c,0,0,c,107,c,0,81,10,0,0,c,0,c,52,c,0,39,5,0,0,c,0,c,31,29,51,41,31
18,E08000001,LA,350,Bolton,215,162,200,201,198,110,56,94,104,47,53,72,35,29,44,18,36,18,15,22,9,164,c,0,c,10,c,0,16,83,c,0,c,5,c,0,8,70,c,0,85,34,c,0,c,0,0,35,c,0,43,17,c,0,c,0,0,33,24,30,30,29
19,E08000002,LA,351,Bury,126,110,151,125,123,81,66,62,61,50,50,29,17,27,36,14,24,14,22,29,11,106,0,c,c,c,c,0,c,86,0,c,c,c,c,0,c,69,0,0,39,c,0,0,c,0,0,56,0,0,32,c,0,0,c,0,0,30,26,35,29,29
27,E08000003,LA,352,Manchester,478,412,448,558,518,268,52,304,214,59,41,75,86,105,154,98,14,17,20,30,19,314,40,36,20,c,22,c,67,61,8,7,4,c,4,c,13,207,c,c,215,47,9,c,33,c,0,40,c,c,42,9,2,c,6,c,0,42,35,37,46,42
28,E08000004,LA,353,Oldham,167,191,213,267,198,125,63,98,100,49,51,47,45,31,52,23,24,23,16,26,12,121,c,c,9,58,c,c,c,61,c,c,5,29,c,c,c,92,c,0,72,26,0,0,c,0,0,46,c,0,36,13,0,0,c,0,0,29,33,36,45,33
29,E08000005,LA,354,Rochdale,168,153,129,196,205,123,60,119,86,58,42,41,42,34,49,39,20,20,17,24,19,151,c,c,33,10,c,0,c,74,c,c,16,5,c,0,c,92,c,0,74,27,c,0,c,0,0,45,c,0,36,13,c,0,c,0,0,33,30,25,38,39
30,E08000006,LA,355,Salford,221,187,197,214,193,107,55,110,83,57,43,36,42,33,50,32,19,22,17,26,17,137,c,c,c,33,c,0,15,71,c,c,c,17,c,0,8,49,7,c,80,42,9,0,c,0,0,25,4,c,41,22,5,0,c,0,0,42,35,36,38,34
33,E08000007,LA,356,Stockport,141,145,154,194,158,54,34,88,70,56,44,35,27,37,39,20,22,17,23,25,13,95,c,8,16,23,c,0,8,60,c,5,10,15,c,0,5,39,0,0,102,c,c,0,c,0,0,25,0,0,65,c,c,0,c,0,0,23,23,25,31,25
