LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Mar2019,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_Rate2019,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_2019,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_stp2019,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_OCom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_OthPl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_UASC2019,CLA_UASC2015_pc,CLA_UASC2016_pc,CLA_UASC2017_pc,CLA_UASC2018_pc,CLA_UASC2019_pc,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_OwnP_pc,CLA_OthLA_pc,CLA_OthPP_pc,CLA_Priv_pc,CLA_Vol_pc,CLA_Par_pc,CLA_Nrep_pc,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Custody,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Custody_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
109,E09000002,LA,301,Barking and Dagenham,451,415,408,409,417,58844,60281,61833,62889,63401,77,69,66,65,66,715,657,609,599,607,0,0,0,0,0,234,183,56,44,24,42,65,159,127,6,10,16,38,30,219,52,c,82,32,c,53,12,c,20,8,c,299,6,15,60,25,12,0,0,72,1,4,14,6,3,0,0,63,222,0,23,101,c,c,15,53,0,6,24,c,c,27,33,30,26,45,6,8,7,6,11,252,7,18,119,6,15,0,60,2,4,29,1,4,0,289,83,45,161,256,146,143,0,83,15,30,320,161,159,-97,69,20,11,0,61,35,34,0,20,4,7,50,50,40,10,126,83,66,464,179,154,0,74,57,39,33,0,16,12,257,43,0,c,6,0,31,14,0,c,0,54,103,17,0,c,2,0,12,5,0,c,0,21,40
110,E09000003,LA,302,Barnet,303,315,344,329,312,87821,88754,90342,91502,92701,35,35,38,36,34,481,483,516,512,483,0,0,0,0,0,184,128,59,41,18,28,38,113,115,6,9,12,36,37,130,60,c,52,47,c,42,19,c,17,15,c,204,8,c,0,91,c,0,0,65,3,c,0,29,c,0,0,59,121,0,c,122,0,c,19,39,0,c,39,0,c,17,35,60,67,65,6,11,17,20,21,147,9,c,135,12,c,0,47,3,c,43,4,c,0,192,55,65,119,193,101,91,0,55,18,47,211,119,92,-101,62,18,21,0,62,32,29,0,18,6,15,56,44,37,12,75,50,67,365,111,133,0,60,61,30,36,0,16,17,205,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,100
111,E09000004,LA,303,Bexley,274,259,238,240,227,55565,56028,56540,56600,56853,49,46,42,42,40,422,435,377,363,334,33,14,c,c,0,130,97,57,43,c,c,22,92,94,c,c,10,41,41,127,25,13,49,13,0,56,11,6,22,6,0,147,7,c,42,21,c,0,0,65,3,c,19,9,c,0,0,25,125,0,8,69,0,0,11,55,0,4,30,0,0,15,34,35,26,39,5,13,15,11,17,134,c,0,74,8,c,0,59,c,0,33,4,c,0,154,34,39,115,112,89,65,0,34,26,13,328,115,213,101,68,15,17,0,49,39,29,0,15,11,6,35,65,28,12,66,43,65,300,101,104,0,42,53,34,35,0,14,18,195,92,c,7,7,0,33,c,0,8,c,41,c,47,c,4,4,0,17,c,0,4,c,21,c
112,E09000005,LA,304,Brent,323,335,320,317,299,73979,75033,76391,77563,77893,44,45,42,41,38,578,547,545,484,475,c,c,c,0,0,186,113,62,38,8,24,34,105,128,3,8,11,35,43,65,53,c,98,45,c,22,18,c,33,15,c,193,c,7,0,88,c,c,0,65,c,2,0,29,c,c,0,42,140,0,c,108,0,c,14,47,0,c,36,0,c,47,65,74,56,56,15,19,23,18,19,109,c,c,164,11,7,0,36,c,c,55,4,2,0,185,58,56,117,182,92,93,0,58,25,31,326,117,209,27,62,19,19,0,61,31,31,0,19,8,10,36,64,41,14,75,51,68,397,139,146,0,55,57,35,37,0,14,14,227,134,c,0,8,0,42,11,0,10,0,13,c,59,c,0,4,0,19,5,0,4,0,6,c
113,E09000006,LA,305,Bromley,266,286,289,310,348,71465,72176,73281,74041,75055,37,40,39,42,46,415,415,454,450,488,68,66,62,56,62,206,142,59,41,13,23,56,144,112,4,7,16,41,32,211,42,13,55,27,0,61,12,4,16,8,0,258,c,c,12,60,8,c,0,74,c,c,3,17,2,c,0,54,184,0,c,94,0,c,16,53,0,c,27,0,c,15,20,16,24,50,6,7,6,8,14,166,7,c,138,26,c,0,48,2,c,40,7,c,0,236,57,55,134,214,122,114,c,55,c,45,315,134,181,-33,68,16,16,0,61,35,33,c,16,c,13,43,57,33,9,82,47,57,433,129,145,c,c,82,30,33,c,c,19,387,160,c,c,9,c,37,18,c,22,6,64,65,41,c,c,2,c,10,5,c,6,2,17,17
114,E09000008,LA,306,Croydon,807,806,785,771,819,92384,93166,94445,94775,94702,87,87,83,81,86,1200,1209,1238,1205,1270,c,c,c,0,0,532,287,65,35,29,63,101,303,323,4,8,12,37,39,307,111,143,234,c,c,37,14,17,29,c,c,672,16,c,74,42,c,c,0,82,2,c,9,5,c,c,0,136,248,0,c,402,0,c,17,30,0,c,49,0,c,412,431,389,291,265,51,53,50,38,32,431,c,c,360,20,c,0,53,c,c,44,2,c,0,456,98,265,437,382,280,176,c,c,156,109,1099,437,662,280,56,12,32,0,47,34,21,c,c,19,13,40,60,78,10,129,98,76,1094,390,298,c,c,284,36,27,c,c,26,568,496,0,0,c,0,c,c,0,c,0,54,6,87,0,0,c,0,c,c,0,c,0,10,1
115,E09000009,LA,307,Ealing,356,372,347,341,354,80272,81217,81849,81884,81732,44,46,42,42,43,559,596,546,523,544,10,6,c,c,c,194,160,55,45,12,26,42,152,122,3,7,12,43,34,110,76,55,104,9,0,31,21,16,29,3,0,263,8,c,22,49,6,c,0,74,2,c,6,14,2,c,0,55,165,0,c,112,c,c,16,47,0,c,32,c,c,24,25,43,51,55,7,7,12,15,16,152,c,c,152,42,c,0,43,c,c,43,12,c,0,222,77,55,128,226,95,127,0,77,33,22,283,128,155,-71,63,22,16,0,64,27,36,0,22,9,6,45,55,33,9,107,75,70,416,115,169,0,58,74,28,41,0,14,18,190,47,c,c,0,0,25,16,0,10,c,18,68,25,c,c,0,0,13,8,0,5,c,9,36
116,E09000010,LA,308,Enfield,356,356,324,330,379,82050,83274,83908,84211,84497,43,43,39,39,45,532,568,535,496,545,c,c,0,0,0,235,144,62,38,11,35,67,129,137,3,9,18,34,36,185,48,14,118,c,c,49,13,4,31,c,c,265,7,6,74,20,7,0,0,70,2,2,20,5,2,0,0,59,149,0,c,152,0,c,16,39,0,c,40,0,c,51,68,72,65,71,14,19,22,20,19,170,c,c,184,10,6,0,45,c,c,49,3,2,0,242,61,76,220,159,161,81,c,60,58,c,465,220,245,86,64,16,20,0,42,42,21,c,16,15,c,47,53,50,13,97,63,65,500,209,120,c,85,c,42,24,c,17,c,266,50,c,0,c,0,72,20,0,22,31,17,45,19,c,0,c,0,27,8,0,8,12,6,17
98,E09000014,LA,309,Haringey,453,407,443,432,429,59577,60298,60770,60625,60398,76,67,73,71,71,694,616,612,639,648,15,13,9,7,6,256,173,60,40,24,48,46,189,122,6,11,11,44,28,124,43,7,231,24,0,29,10,2,54,6,0,308,6,19,0,80,16,0,0,72,1,4,0,19,4,0,0,54,238,0,28,102,0,7,13,55,0,7,24,0,2,35,33,42,56,55,8,8,9,13,13,181,c,c,194,19,19,0,42,c,c,45,4,4,0,288,79,62,111,318,84,204,0,79,27,35,231,111,120,-198,67,18,14,0,74,20,48,0,18,6,8,48,52,34,8,158,122,77,477,95,225,0,67,90,20,47,0,14,19,253,32,0,0,c,0,18,c,c,9,0,163,21,13,0,0,c,0,7,c,c,4,0,64,8
118,E09000015,LA,310,Harrow,167,181,206,160,169,56628,57186,57578,57825,58373,29,32,36,28,29,285,306,359,309,281,c,c,0,0,0,98,71,58,42,11,15,15,59,69,7,9,9,35,41,51,26,c,30,38,c,30,15,c,18,22,c,108,c,c,7,46,0,0,0,64,c,c,4,27,0,0,0,21,60,0,c,81,c,0,12,36,0,c,48,c,0,29,32,29,26,38,17,18,14,16,22,75,0,0,77,c,c,0,44,0,0,46,c,c,0,106,25,38,74,95,53,53,0,25,21,17,204,74,130,35,63,15,22,0,56,31,31,0,15,12,10,36,64,18,11,38,21,55,224,60,91,0,28,45,27,41,0,13,20,100,40,c,c,c,c,21,7,c,c,c,c,15,40,c,c,c,c,21,7,c,c,c,c,15
119,E09000016,LA,311,Havering,239,228,247,251,247,53277,54279,55748,56671,57541,45,42,44,44,43,418,385,381,376,370,8,c,0,0,0,150,97,61,39,c,c,32,88,106,c,c,13,36,43,145,26,c,50,c,0,59,11,c,20,c,0,160,11,c,c,63,7,0,0,65,4,c,c,26,3,0,0,25,113,0,c,88,0,c,10,46,0,c,36,0,c,17,18,24,27,41,7,8,10,11,17,93,7,c,125,10,c,0,38,3,c,51,4,c,0,162,32,53,112,135,82,80,0,32,30,23,366,112,254,119,66,13,21,0,55,33,32,0,13,12,9,31,69,18,7,69,49,71,270,96,84,0,23,67,36,31,0,9,25,139,80,c,c,c,0,24,6,c,7,c,12,c,58,c,c,c,0,17,4,c,5,c,9,c
120,E09000017,LA,312,Hillingdon,334,342,308,290,326,69137,70644,71882,72746,73377,48,48,43,40,44,580,591,568,520,513,6,c,7,7,c,206,120,63,37,14,24,36,112,140,4,7,11,34,43,147,29,54,71,25,0,45,9,17,22,8,0,165,8,c,90,52,c,c,c,51,2,c,28,16,c,c,c,29,110,0,c,166,0,c,9,34,0,c,51,0,c,93,111,87,74,93,28,32,28,26,29,138,c,c,166,13,c,c,42,c,c,51,4,c,c,175,54,97,190,136,126,49,0,54,64,33,376,190,186,50,54,17,30,0,42,39,15,0,17,20,10,51,49,36,11,62,38,61,482,186,c,c,81,141,39,c,c,17,29,261,128,c,0,c,0,40,20,0,10,c,29,26,49,c,0,c,0,15,8,0,4,c,11,10
121,E09000018,LA,313,Hounslow,294,280,250,248,278,61400,62349,63272,63928,64898,48,45,40,39,43,467,446,421,384,390,c,c,c,c,c,163,115,59,41,9,21,35,105,108,3,8,13,38,39,126,47,36,43,c,c,45,17,13,15,c,c,173,7,7,c,83,c,c,0,62,3,3,c,30,c,c,0,33,129,0,c,101,0,c,12,46,0,c,36,0,c,38,37,43,37,47,13,13,17,15,17,130,c,c,128,11,c,0,47,c,c,46,4,c,0,171,57,50,121,157,99,72,0,57,22,28,273,121,152,c,62,21,18,0,56,36,26,0,21,8,10,44,56,44,16,68,41,60,366,112,120,0,78,56,31,33,0,21,15,217,133,c,11,c,0,c,24,c,7,8,19,c,61,c,5,c,0,c,11,c,3,4,9,c
122,E09000021,LA,314,Kingston upon Thames,117,111,118,133,129,36733,37534,38173,38609,38977,32,30,31,34,33,173,193,168,193,191,c,c,c,c,c,83,46,64,36,c,c,14,52,52,c,c,11,40,40,69,21,10,16,13,0,53,16,8,12,10,0,88,c,c,0,33,c,0,0,68,c,c,0,26,c,0,0,16,57,0,6,50,0,0,12,44,0,5,39,0,0,19,23,26,28,28,16,21,22,21,22,32,16,0,68,c,c,0,25,12,0,53,c,c,0,73,28,28,38,91,30,43,c,27,c,21,87,38,49,-42,57,22,22,0,71,23,33,c,21,c,16,44,56,12,9,27,21,78,125,28,54,0,16,27,22,43,0,13,22,66,8,c,0,0,0,15,7,0,c,c,10,18,12,c,0,0,0,23,11,0,c,c,15,27
123,E09000024,LA,315,Merton,156,163,153,155,157,45680,46260,46739,47002,47266,34,35,33,33,33,255,273,257,236,225,22,18,16,c,0,95,62,61,39,7,12,15,61,62,4,8,10,39,39,57,28,11,41,20,0,36,18,7,26,13,0,122,c,c,c,19,c,0,0,78,c,c,c,12,c,0,0,12,85,0,c,48,c,c,8,54,0,c,31,c,c,17,22,19,23,32,11,13,12,15,20,70,c,c,76,c,c,0,45,c,c,48,c,c,0,99,26,32,51,106,38,61,c,25,c,20,212,51,161,55,63,17,20,0,68,24,39,c,16,c,13,24,76,12,8,41,29,71,149,29,65,0,21,34,19,44,0,14,23,79,22,0,c,0,0,16,c,0,c,0,13,18,28,0,c,0,0,20,c,0,c,0,16,23
103,E09000025,LA,316,Newham,432,352,397,405,378,82780,83982,85551,85755,86567,52,42,46,47,44,688,642,659,633,622,0,0,0,0,0,208,170,55,45,18,34,40,154,132,5,9,11,41,35,92,70,70,105,41,0,24,19,19,28,11,0,272,c,c,39,49,9,0,0,72,c,c,10,13,2,0,0,65,185,0,c,117,0,c,17,49,0,c,31,0,c,37,45,57,55,37,9,13,14,14,10,153,c,c,202,13,c,0,40,c,c,53,3,c,0,277,62,39,139,239,117,160,0,62,22,17,315,139,176,-63,73,16,10,0,63,31,42,0,16,6,4,44,56,44,12,89,63,71,569,193,233,0,77,66,34,41,0,14,12,341,101,c,c,7,c,39,c,0,16,c,15,152,30,c,c,2,c,11,c,0,5,c,4,45
124,E09000026,LA,317,Redbridge,215,213,227,223,236,74574,75418,76031,75908,76159,29,28,30,29,31,328,350,399,366,358,0,0,c,0,0,144,92,61,39,9,24,32,75,96,4,10,14,32,41,76,63,46,38,13,0,32,27,19,16,6,0,181,0,c,25,16,c,0,0,77,0,c,11,7,c,0,0,45,94,0,c,89,0,c,19,40,0,c,38,0,c,23,24,26,28,51,11,11,11,13,22,79,c,c,138,13,c,0,33,c,c,58,6,c,0,137,47,52,111,125,71,66,c,46,39,c,506,111,395,270,58,20,22,0,53,30,28,c,19,17,c,22,78,18,8,57,37,65,280,89,81,c,c,68,32,29,c,c,24,138,43,c,0,c,0,17,7,0,8,c,26,30,31,c,0,c,0,12,5,0,6,c,19,22
125,E09000027,LA,318,Richmond upon Thames,96,117,107,104,115,43681,44364,44864,45122,45525,22,26,24,23,25,149,165,182,168,173,7,c,c,0,0,70,45,61,39,c,14,c,39,54,c,12,c,34,47,59,18,17,14,7,0,51,16,15,12,6,0,63,c,c,c,43,c,c,0,55,c,c,c,37,c,c,0,c,44,0,c,54,0,0,c,38,0,c,47,0,0,19,28,28,23,31,20,24,26,22,27,35,c,c,57,13,c,0,30,c,c,50,11,c,0,61,22,32,25,90,c,41,c,20,c,29,68,25,43,-47,53,19,28,0,78,c,36,c,17,c,25,37,63,15,13,19,16,84,150,27,67,c,c,41,18,45,c,c,27,74,16,c,0,c,c,12,10,0,8,c,6,15,22,c,0,c,c,16,14,0,11,c,8,20
126,E09000029,LA,319,Sutton,227,232,230,215,237,45314,46142,46848,47469,47941,50,50,49,45,49,333,361,351,325,335,c,c,0,0,0,134,103,57,43,14,13,41,86,83,6,5,17,36,35,147,39,13,26,12,0,62,16,5,11,5,0,163,13,c,37,14,c,0,0,69,5,c,16,6,c,0,0,37,134,0,c,46,0,c,16,57,0,c,19,0,c,12,14,20,17,28,5,6,9,8,12,82,c,c,138,6,c,0,35,c,c,58,3,c,0,135,73,29,66,171,65,70,0,73,c,c,174,66,108,-63,57,31,12,0,72,27,30,0,31,c,c,38,62,31,13,67,41,61,298,71,122,0,63,42,24,41,0,21,14,178,84,0,c,c,c,21,7,c,14,16,27,c,47,0,c,c,c,12,4,c,8,9,15,c
127,E09000031,LA,320,Waltham Forest,275,279,283,296,288,64268,65030,65996,66801,67017,43,43,43,44,43,426,454,448,425,436,47,34,34,28,30,167,121,58,42,17,37,23,108,103,6,13,8,38,36,103,65,38,61,c,c,36,23,13,21,c,c,201,c,9,0,64,8,0,c,70,c,3,0,22,3,0,c,47,117,0,9,108,0,7,16,41,0,3,38,0,2,26,42,54,51,43,9,15,19,17,15,87,0,c,171,14,9,c,30,0,c,59,5,3,c,197,47,44,96,192,81,116,0,47,15,29,352,96,256,64,68,16,15,0,67,28,40,0,16,5,10,27,73,49,17,68,45,66,397,99,182,0,60,56,25,46,0,15,14,244,50,13,c,0,0,31,13,c,27,c,13,86,20,5,c,0,0,13,5,c,11,c,5,35
66,E08000025,LA,330,Birmingham,1986,1810,1837,1922,1946,282191,284011,286450,288082,288388,70,64,64,67,67,2718,2669,2523,2568,2570,c,c,0,0,0,1073,873,55,45,107,267,351,727,494,5,14,18,37,25,981,381,251,264,44,25,50,20,13,14,2,1,1323,76,123,27,331,c,c,39,68,4,6,1,17,c,c,2,229,1170,0,170,353,c,c,12,60,0,9,18,c,c,20,71,119,146,140,1,4,6,8,7,c,c,42,917,799,123,39,c,c,2,47,41,6,2,1562,243,141,1169,777,1059,503,6,237,104,37,1852,1169,683,-94,80,12,7,0,40,54,26,-,12,5,2,63,37,226,12,706,467,66,2872,1723,602,16,329,202,60,21,1,11,7,2177,887,c,c,c,0,62,9,c,11,8,1163,27,41,c,c,c,0,3,-,c,1,-,53,1
67,E08000026,LA,331,Coventry,588,579,620,653,703,73988,75119,76587,77584,78994,79,77,81,84,89,939,849,860,871,946,44,41,34,14,c,399,304,57,43,45,111,127,249,171,6,16,18,35,24,465,120,35,63,c,c,66,17,5,9,c,c,497,22,48,0,124,12,0,0,71,3,7,0,18,2,0,0,139,384,0,c,117,c,c,20,55,0,c,17,c,c,13,17,39,44,37,2,3,6,7,5,323,23,13,283,13,48,0,46,3,2,40,2,7,0,551,115,37,395,308,368,183,c,113,25,c,564,395,169,-139,78,16,5,0,44,52,26,c,16,4,c,70,30,88,13,201,133,66,844,506,187,c,112,c,60,22,c,13,c,540,245,c,c,c,c,47,32,c,22,68,57,61,45,c,c,c,c,9,6,c,4,13,11,11
68,E08000027,LA,332,Dudley,741,726,675,661,659,67864,68018,68161,68811,69265,109,107,99,96,95,926,928,884,844,829,18,17,15,0,c,346,313,53,47,29,112,146,265,107,4,17,22,40,16,511,106,22,12,8,0,78,16,3,2,1,0,536,17,45,c,44,9,0,c,81,3,7,c,7,1,0,c,101,496,0,40,c,0,c,15,75,0,6,c,0,c,c,c,c,c,6,c,c,c,c,1,370,c,c,208,24,45,c,56,c,c,32,4,7,c,559,90,10,367,292,356,203,c,85,6,c,624,367,257,-35,85,14,2,0,44,54,31,c,13,1,c,59,41,54,8,286,205,72,535,291,157,0,76,11,54,29,0,14,2,365,175,c,10,6,c,43,19,c,18,c,50,35,48,c,3,2,c,12,5,c,5,c,14,10
70,E08000028,LA,333,Sandwell,540,532,604,751,890,77705,78722,79948,81080,81920,69,68,76,93,109,709,736,779,951,1075,c,c,0,0,0,495,395,56,44,56,185,215,293,141,6,21,24,33,16,529,183,88,72,c,c,59,21,10,8,c,c,661,24,92,52,c,55,c,0,74,3,10,6,c,6,c,0,214,518,0,c,87,0,c,24,58,0,c,10,0,c,c,12,18,19,24,c,2,3,3,3,c,c,c,365,422,92,0,c,c,c,41,47,10,0,770,89,31,405,485,397,373,c,87,c,25,723,405,318,-167,87,10,3,0,54,45,42,c,10,c,3,56,44,94,11,264,164,62,884,307,424,c,103,c,35,48,c,12,c,551,507,0,0,0,0,0,0,0,0,0,c,c,92,0,0,0,0,0,0,0,0,0,c,c
72,E08000029,LA,334,Solihull,334,361,387,412,424,45469,45640,46072,46714,46946,73,79,84,88,90,464,485,524,553,539,0,0,0,0,0,269,155,63,37,13,59,90,167,95,3,14,21,39,22,280,57,46,9,14,18,66,13,11,2,3,4,336,c,c,0,55,c,0,0,79,c,c,0,13,c,0,0,43,254,0,c,110,0,c,10,60,0,c,26,0,c,45,67,59,57,62,13,19,15,14,15,190,c,c,192,8,28,0,45,c,c,45,2,7,0,318,39,67,146,278,146,172,0,39,0,67,274,146,128,-150,75,9,16,0,66,34,41,0,9,0,16,53,47,43,10,125,93,74,352,119,131,0,27,75,34,37,0,8,21,193,139,0,c,0,0,20,c,0,6,0,18,7,72,0,c,0,0,10,c,0,3,0,9,4
76,E08000030,LA,335,Walsall,605,627,645,635,614,64538,65073,66231,67211,68157,94,96,97,94,90,818,786,805,843,787,20,17,10,c,c,323,291,53,47,21,109,132,257,95,3,18,21,42,15,426,91,42,33,12,10,69,15,7,5,2,2,464,12,67,0,60,11,0,0,76,2,11,0,10,2,0,0,82,447,0,c,53,c,0,13,73,0,c,9,c,0,c,c,8,9,11,c,c,1,1,2,315,c,c,202,c,67,0,51,c,c,33,c,11,0,530,73,11,327,287,325,205,0,73,c,c,658,327,331,44,86,12,2,0,47,53,33,0,12,c,c,50,50,41,7,300,203,68,415,201,142,c,56,c,48,34,c,13,c,261,57,c,c,8,c,23,14,0,10,c,36,101,22,c,c,3,c,9,5,0,4,c,14,39
78,E08000031,LA,336,Wolverhampton,778,654,638,649,625,57749,58317,59285,60091,61244,135,112,108,108,102,1002,904,817,816,780,16,23,0,0,0,348,277,56,44,28,88,116,273,120,4,14,19,44,19,374,86,30,79,29,27,60,14,5,13,5,4,472,27,40,30,43,c,c,c,76,4,6,5,7,c,c,c,56,460,0,68,c,0,c,9,74,0,11,c,0,c,c,c,12,10,11,c,c,2,2,2,338,c,c,198,39,40,c,54,c,c,32,6,6,c,531,80,14,278,347,269,262,c,79,8,c,513,278,235,-112,85,13,2,0,56,43,42,c,13,1,c,54,46,88,14,303,220,73,551,258,190,c,83,c,47,34,c,15,c,415,26,0,0,0,0,0,0,0,0,377,0,12,6,0,0,0,0,0,0,0,0,91,0,3
24,E08000011,LA,340,Knowsley,305,290,290,288,301,32250,32497,32728,32930,33477,95,89,89,87,90,432,397,395,371,390,7,7,c,0,0,162,139,54,46,11,51,66,120,53,4,17,22,40,18,285,9,c,0,c,0,95,3,c,0,c,0,205,c,43,c,42,c,c,0,68,c,14,c,14,c,c,0,61,214,0,c,20,0,c,20,71,0,c,7,0,c,c,c,c,0,c,c,c,c,0,c,163,c,c,81,8,43,0,54,c,c,27,3,14,0,263,c,c,153,148,152,111,0,c,c,c,351,153,198,50,87,c,c,51,49,50,37,0,c,c,c,44,56,41,14,113,75,66,296,161,83,0,45,7,54,28,0,15,2,192,71,c,c,0,0,35,c,0,8,c,24,39,37,c,c,0,0,18,c,0,4,c,13,20
26,E08000012,LA,341,Liverpool,990,1039,1121,1190,1332,90139,91116,92234,93556,94902,110,114,122,127,140,1371,1436,1452,1541,1712,52,46,42,43,0,723,609,54,46,64,241,285,438,304,5,18,21,33,23,998,116,63,91,36,28,75,9,5,7,3,2,854,c,161,146,105,26,c,15,64,c,12,11,8,2,c,1,248,853,0,c,179,0,c,19,64,0,c,13,0,c,10,22,30,45,116,1,2,3,4,9,596,6,9,485,60,161,15,45,-,1,36,5,12,1,1085,130,117,759,573,658,427,c,126,c,20,1018,759,259,-314,81,10,9,0,43,49,32,c,9,c,2,75,25,117,9,468,355,76,1432,691,394,c,176,c,48,28,c,12,c,852,245,0,c,14,9,84,39,c,34,c,134,282,29,0,c,2,1,10,5,c,4,c,16,33
32,E08000013,LA,342,St. Helens,412,410,427,442,466,36416,36266,36367,36644,36785,113,113,117,121,127,542,558,541,538,568,16,c,0,0,0,259,207,56,44,13,72,125,175,81,3,15,27,38,17,447,9,c,c,c,c,96,2,c,c,c,c,335,c,39,23,55,c,0,0,72,c,8,5,12,c,0,0,53,327,0,33,53,0,0,11,70,0,7,11,0,0,c,c,c,c,6,c,c,c,c,1,225,c,0,180,c,39,0,48,c,0,39,c,8,0,424,33,9,247,219,247,177,0,33,0,9,426,247,179,-40,91,7,2,0,47,53,38,0,7,0,2,58,42,35,8,205,148,72,371,210,120,0,32,9,57,32,0,9,2,244,57,0,c,23,0,31,18,0,c,7,50,50,23,0,c,9,0,13,7,0,c,3,20,20
31,E08000014,LA,343,Sefton,451,463,453,480,527,53490,53184,53363,53514,53833,84,87,85,90,98,614,587,619,635,653,0,0,0,0,0,275,252,52,48,31,95,122,198,81,6,18,23,38,15,501,17,c,0,c,0,95,3,c,0,c,0,345,8,94,19,53,c,0,c,65,2,18,4,10,c,0,c,92,367,0,c,47,0,c,17,70,0,c,9,0,c,c,c,c,c,c,c,c,c,c,c,250,c,c,134,38,94,c,47,c,c,25,7,18,c,486,c,c,311,216,311,175,0,c,0,c,584,311,273,57,92,c,c,59,41,59,33,0,c,0,c,53,47,51,10,175,126,72,466,276,144,0,c,c,59,31,0,c,c,284,45,c,0,c,c,37,28,0,25,c,49,89,16,c,0,c,c,13,10,0,9,c,17,31
38,E08000015,LA,344,Wirral,672,667,768,834,831,67630,67554,67710,67706,67576,99,99,113,123,123,872,868,1014,1044,1038,31,c,c,0,0,457,374,55,45,34,142,191,326,138,4,17,23,39,17,781,28,7,7,c,c,94,3,1,1,c,c,579,30,110,12,91,9,0,0,70,4,13,1,11,1,0,0,97,590,0,81,63,0,0,12,71,0,10,8,0,0,0,c,c,11,10,0,c,c,1,1,476,24,6,178,37,110,0,57,3,1,21,4,13,0,730,89,12,625,206,622,108,c,88,c,c,796,625,171,-35,88,11,1,0,25,75,13,c,11,c,c,79,21,107,13,309,191,62,830,643,87,0,88,12,77,10,0,11,1,604,156,c,c,c,0,51,30,0,12,12,113,219,26,c,c,c,0,8,5,0,2,2,19,36
