LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
49,E06000013,LA,813,North Lincolnshire,48,14,357,7.4,30,0,0,.,0,.,0,0
50,E10000023,LA,815,North Yorkshire,81,14,435,5.4,54,c,8,1,8,1,0,0
54,E06000014,LA,816,York,32,12,195,6.1,25,0,c,-,c,c,c,0
86,E06000032,LA,821,Luton,61,11,414,6.8,31,c,0,.,0,.,0,0
81,E06000055,LA,822,Bedford Borough,46,14,294,6.4,36,0,0,.,0,.,0,0
82,E06000056,LA,823,Central Bedfordshire,49,12,364,7.4,27,c,0,.,0,.,0,0
131,E10000002,LA,825,Buckinghamshire,96,14,626,6.5,66,c,31,5,67,2.2,14,0
137,E06000042,LA,826,Milton Keynes,48,9,419,8.7,29,0,20,4,38,1.9,7,0
57,E10000007,LA,830,Derbyshire,36,3,159,4.4,24,c,40,4,98,2.5,13,0
56,E06000015,LA,831,Derby,69,9,591,8.6,51,c,40,5,159,4,25,0
154,E10000009,LA,835,Dorset,79,13,275,3.5,45,0,9,1,10,1.1,c,0
159,E06000029,LA,836,Poole,45,16,274,6.1,28,0,0,.,0,.,0,0
150,E06000028,LA,837,Bournemouth,43,13,306,7.1,34,c,44,13,165,3.8,27,0
4,E06000047,LA,840,Durham,55,5,254,4.6,37,0,c,-,c,c,0,0
3,E06000005,LA,841,Darlington,36,10,199,5.5,22,c,0,.,0,.,0,0
132,E10000011,LA,845,East Sussex,71,9,430,6.1,45,c,18,2,27,1.5,c,0
130,E06000043,LA,846,Brighton and Hove,61,11,283,4.6,40,c,7,1,19,2.7,c,0
133,E10000014,LA,850,Hampshire,241,11,907,3.8,138,c,140,6,487,3.5,70,c
139,E06000044,LA,851,Portsmouth,91,14,458,5,50,c,33,5,66,2,11,0
142,E06000045,LA,852,Southampton,44,6,238,5.4,32,0,8,1,10,1.3,c,0
59,E10000018,LA,855,Leicestershire,63,8,340,5.4,34,0,0,.,0,.,0,0
58,E06000016,LA,856,Leicester,c,-,c,c,c,0,c,c,6,1.2,c,0
64,E06000017,LA,857,Rutland,c,c,6,1.5,c,0,c,c,c,c,c,0
73,E10000028,LA,860,Staffordshire,117,8,578,4.9,65,7,0,.,0,.,0,0
74,E06000021,LA,861,Stoke-on-Trent,86,9,472,5.5,51,c,0,.,0,.,0,0
164,E06000054,LA,865,Wiltshire,54,9,211,3.9,25,c,0,.,0,.,0,0
162,E06000030,LA,866,Swindon,57,12,521,9.1,43,0,c,c,13,2.6,c,0
129,E06000036,LA,867,Bracknell Forest,37,17,172,4.6,23,0,19,9,43,2.3,8,0
146,E06000040,LA,868,Windsor and Maidenhead,25,15,101,4,16,0,c,c,c,c,0,0
144,E06000037,LA,869,West Berkshire,20,9,114,5.7,11,0,0,.,0,.,0,0
140,E06000038,LA,870,Reading,52,14,307,5.9,39,0,18,5,41,2.3,10,0
141,E06000039,LA,871,Slough,41,12,285,7,31,c,18,5,49,2.7,12,c
147,E06000041,LA,872,Wokingham,15,9,42,2.8,10,0,c,c,c,c,0,0
83,E10000003,LA,873,Cambridgeshire,132,13,599,4.5,79,c,0,.,0,.,0,0
88,E06000031,LA,874,Peterborough,61,11,275,4.5,39,c,18,3,25,1.4,6,0
23,E06000006,LA,876,Halton,34,11,349,10.3,26,c,18,6,38,2.1,8,0
36,E06000007,LA,877,Warrington,50,10,481,9.6,27,c,0,.,0,.,0,0
153,E10000008,LA,878,Devon,133,13,784,5.9,95,c,c,-,c,c,0,0
158,E06000026,LA,879,Plymouth,64,11,356,5.6,44,c,34,6,98,2.9,18,0
163,E06000027,LA,880,Torbay,48,10,286,6,29,c,0,.,0,.,0,0
84,E10000012,LA,881,Essex,201,13,1116,5.6,130,6,66,4,187,2.8,38,0
89,E06000033,LA,882,Southend-on-Sea,65,16,348,5.4,41,0,27,7,53,2,8,c
91,E06000034,LA,883,Thurrock,89,18,584,6.6,54,10,12,2,20,1.7,c,0
69,E06000019,LA,884,Herefordshire,35,9,159,4.5,24,0,0,.,0,.,0,0
79,E10000034,LA,885,Worcestershire,108,10,443,4.1,59,0,25,2,36,1.4,6,c
135,E10000016,LA,886,Kent,373,16,2687,7.2,232,9,52,2,77,1.5,11,c
136,E06000035,LA,887,Medway,73,13,464,6.4,52,0,c,c,c,c,c,c
25,E10000017,LA,888,Lancashire,249,9,1499,6,166,0,130,5,386,3,68,c
16,E06000008,LA,889,Blackburn with Darwen,42,8,241,5.7,26,0,0,.,0,.,0,0
17,E06000009,LA,890,Blackpool,89,12,500,5.6,58,c,46,6,200,4.3,25,0
63,E10000024,LA,891,Nottinghamshire,164,14,950,5.8,103,c,c,-,c,c,c,0
62,E06000018,LA,892,Nottingham,85,10,349,4.1,50,c,82,10,472,5.8,51,c
71,E06000051,LA,893,Shropshire,c,-,c,c,0,0,50,10,190,3.8,24,c
75,E06000020,LA,894,Telford and Wrekin,32,7,164,5.1,14,0,14,3,41,2.9,7,0
20,E06000049,LA,895,Cheshire East,83,13,506,6.1,59,c,9,1,9,1,0,0
21,E06000050,LA,896,Cheshire West and Chester,64,11,381,6,37,c,9,1,18,2,c,0
152,E06000052,LA,908,Cornwall,58,8,163,2.8,23,0,0,.,0,.,0,0
22,E10000006,LA,909,Cumbria,85,10,345,4.1,51,0,20,2,69,3.5,9,0
155,E10000013,LA,916,Gloucestershire,129,13,971,7.5,96,c,7,1,13,1.9,c,0
85,E10000015,LA,919,Hertfordshire,216,17,1240,5.7,152,6,23,2,68,3,8,0
134,E06000046,LA,921,Isle of Wight,29,10,184,6.3,20,c,26,9,248,9.5,17,c
60,E10000019,LA,925,Lincolnshire,71,8,292,4.1,48,0,26,3,49,1.9,12,0
87,E10000020,LA,926,Norfolk,148,9,761,5.1,92,c,48,3,103,2.1,20,0
61,E10000021,LA,928,Northamptonshire,150,10,622,4.1,89,c,10,1,11,1.1,c,0
10,E06000057,LA,929,Northumberland,35,7,232,6.6,27,0,0,.,0,.,0,0
138,E10000025,LA,931,Oxfordshire,89,9,532,6,57,c,12,1,14,1.2,c,0
160,E10000027,LA,933,Somerset,69,10,303,4.4,47,0,7,1,11,1.6,c,0
90,E10000029,LA,935,Suffolk,134,11,1058,7.9,91,c,0,.,0,.,0,0
143,E10000030,LA,936,Surrey,214,16,958,4.5,131,8,17,1,21,1.2,c,0
77,E10000031,LA,937,Warwickshire,124,12,782,6.3,87,c,0,.,0,.,0,0
145,E10000032,LA,938,West Sussex,114,11,735,6.4,74,c,0,.,0,.,0,0
