,Year,Variables,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,All usual residents,,Ethnic group: White,Ethnic group: Chinese,Ethnic group: Irish Traveller,Ethnic group: Indian,Ethnic group: Pakistani,Ethnic group: Bangladeshi,Ethnic group: Other Asian,Ethnic group: Black Caribbean,Ethnic group: Black African,Ethnic group: Black other,Ethnic group: Mixed,Ethnic group: Other,Ethnic group: White (%),Ethnic group: Chinese (%),Ethnic group: Irish Traveller (%),Ethnic group: Indian (%),Ethnic group: Pakistani (%),Ethnic group: Bangladeshi (%),Ethnic group: Other Asian (%),Ethnic group: Black Caribbean (%),Ethnic group: Black African (%),Ethnic group: Black other (%),Ethnic group: Mixed (%),Ethnic group: Other (%)
Waringstown 1,"2,583",,"2,561",2,0,1,2,0,5,2,1,0,7,2,99.15,0.08,0.00,0.04,0.08,0.00,0.19,0.08,0.04,0.00,0.27,0.08
Waringstown 2,"1,953",,"1,924",8,0,0,5,0,4,0,0,0,9,3,98.52,0.41,0.00,0.00,0.26,0.00,0.20,0.00,0.00,0.00,0.46,0.15
Washing Bay,"3,106",,"3,090",0,1,0,0,0,4,0,0,0,7,4,99.48,0.00,0.03,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.23,0.13
Water Works 1,"2,314",,"2,227",13,1,31,0,0,6,3,11,1,19,2,96.24,0.56,0.04,1.34,0.00,0.00,0.26,0.13,0.48,0.04,0.82,0.09
Water Works 2,"1,717",,"1,689",0,2,11,0,0,0,0,3,1,10,1,98.37,0.00,0.12,0.64,0.00,0.00,0.00,0.00,0.17,0.06,0.58,0.06
Water Works 3,"1,798",,"1,778",2,0,3,0,0,7,1,4,0,1,2,98.89,0.11,0.00,0.17,0.00,0.00,0.39,0.06,0.22,0.00,0.06,0.11
Waterside,"2,794",,"2,717",12,0,29,0,0,9,0,1,0,14,12,97.24,0.43,0.00,1.04,0.00,0.00,0.32,0.00,0.04,0.00,0.50,0.43
West 1,"1,911",,"1,889",4,1,12,0,0,0,0,1,0,4,0,98.85,0.21,0.05,0.63,0.00,0.00,0.00,0.00,0.05,0.00,0.21,0.00
West 2,"1,351",,"1,348",1,0,0,0,0,0,0,0,0,2,0,99.78,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00
Westland,"2,083",,"2,076",1,1,0,0,0,2,0,1,1,0,1,99.66,0.05,0.05,0.00,0.00,0.00,0.10,0.00,0.05,0.05,0.00,0.05
Whitehead,"2,159",,"2,110",2,0,25,0,0,7,0,2,0,11,2,97.73,0.09,0.00,1.16,0.00,0.00,0.32,0.00,0.09,0.00,0.51,0.09
Whitehill,"2,469",,"2,442",10,0,0,6,0,2,1,0,0,7,1,98.91,0.41,0.00,0.00,0.24,0.00,0.08,0.04,0.00,0.00,0.28,0.04
Whitehouse,"2,071",,"2,028",10,0,16,3,0,1,1,1,0,11,0,97.92,0.48,0.00,0.77,0.14,0.00,0.05,0.05,0.05,0.00,0.53,0.00
Whiterock 1,"1,615",,"1,597",4,0,2,0,0,1,0,1,1,8,1,98.89,0.25,0.00,0.12,0.00,0.00,0.06,0.00,0.06,0.06,0.50,0.06
Whiterock 2,"2,411",,"2,380",2,17,0,0,0,6,0,1,0,4,1,98.71,0.08,0.71,0.00,0.00,0.00,0.25,0.00,0.04,0.00,0.17,0.04
Whiterock 3,"1,668",,"1,651",0,5,0,4,0,1,0,2,2,2,1,98.98,0.00,0.30,0.00,0.24,0.00,0.06,0.00,0.12,0.12,0.12,0.06
Whitespots 1,"1,540",,"1,505",10,3,6,0,1,4,0,0,2,9,0,97.73,0.65,0.19,0.39,0.00,0.06,0.26,0.00,0.00,0.13,0.58,0.00
Whitespots 2,"1,485",,"1,475",1,0,0,0,6,0,0,0,0,1,2,99.33,0.07,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.07,0.13
Windsor 1,"1,662",,"1,563",22,2,5,0,6,18,0,18,2,23,3,94.04,1.32,0.12,0.30,0.00,0.36,1.08,0.00,1.08,0.12,1.38,0.18
Windsor 2,"2,270",,"2,012",49,1,65,12,0,73,1,12,2,21,22,88.63,2.16,0.04,2.86,0.53,0.00,3.22,0.04,0.53,0.09,0.93,0.97
Windsor 3,"2,142",,"1,806",102,2,61,7,19,86,0,11,1,20,27,84.31,4.76,0.09,2.85,0.33,0.89,4.01,0.00,0.51,0.05,0.93,1.26
Windsor 4,"2,067",,"1,863",71,0,24,0,13,55,0,12,0,17,12,90.13,3.43,0.00,1.16,0.00,0.63,2.66,0.00,0.58,0.00,0.82,0.58
Windsor Hill 1,"1,614",,"1,597",3,1,0,1,0,3,0,1,4,4,0,98.95,0.19,0.06,0.00,0.06,0.00,0.19,0.00,0.06,0.25,0.25,0.00
Windsor Hill 2,"1,389",,"1,373",0,1,11,1,0,0,0,0,0,3,0,98.85,0.00,0.07,0.79,0.07,0.00,0.00,0.00,0.00,0.00,0.22,0.00
Woodburn,"2,479",,"2,465",2,1,1,2,0,0,0,1,0,7,0,99.44,0.08,0.04,0.04,0.08,0.00,0.00,0.00,0.04,0.00,0.28,0.00
Woodstock 1,"1,499",,"1,405",12,0,23,0,2,18,0,19,1,17,2,93.73,0.80,0.00,1.53,0.00,0.13,1.20,0.00,1.27,0.07,1.13,0.13
Woodstock 2,"2,061",,"1,936",27,0,30,1,0,2,2,32,6,22,3,93.93,1.31,0.00,1.46,0.05,0.00,0.10,0.10,1.55,0.29,1.07,0.15
Woodstock 3,"1,885",,"1,755",12,0,3,7,10,9,0,58,6,14,11,93.10,0.64,0.00,0.16,0.37,0.53,0.48,0.00,3.08,0.32,0.74,0.58
Woodvale 1,"1,353",,"1,338",4,0,2,0,0,2,0,2,1,4,0,98.89,0.30,0.00,0.15,0.00,0.00,0.15,0.00,0.15,0.07,0.30,0.00
Woodvale 2,"1,399",,"1,390",1,0,0,1,0,1,0,0,1,5,0,99.36,0.07,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.07,0.36,0.00
Woodvale 3,"1,336",,"1,327",4,0,1,1,0,0,0,0,1,2,0,99.33,0.30,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.07,0.15,0.00
Woodville 1,"1,519",,"1,488",2,2,0,1,0,0,0,2,1,7,16,97.96,0.13,0.13,0.00,0.07,0.00,0.00,0.00,0.13,0.07,0.46,1.05
Woodville 2,"2,179",,"2,166",1,0,1,0,0,0,0,0,3,6,2,99.40,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.14,0.28,0.09
Wynchurch,"2,190",,"2,143",11,0,0,0,7,16,0,2,0,10,1,97.85,0.50,0.00,0.00,0.00,0.32,0.73,0.00,0.09,0.00,0.46,0.05
