,Year,Variables,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,All usual residents,,Ethnic group: White,Ethnic group: Chinese,Ethnic group: Irish Traveller,Ethnic group: Indian,Ethnic group: Pakistani,Ethnic group: Bangladeshi,Ethnic group: Other Asian,Ethnic group: Black Caribbean,Ethnic group: Black African,Ethnic group: Black other,Ethnic group: Mixed,Ethnic group: Other,Ethnic group: White (%),Ethnic group: Chinese (%),Ethnic group: Irish Traveller (%),Ethnic group: Indian (%),Ethnic group: Pakistani (%),Ethnic group: Bangladeshi (%),Ethnic group: Other Asian (%),Ethnic group: Black Caribbean (%),Ethnic group: Black African (%),Ethnic group: Black other (%),Ethnic group: Mixed (%),Ethnic group: Other (%)
Springfarm 1,"2,641",,"2,458",14,0,112,0,0,36,3,5,0,13,0,93.07,0.53,0.00,4.24,0.00,0.00,1.36,0.11,0.19,0.00,0.49,0.00
Springfarm 2,"1,545",,"1,463",4,0,44,3,0,8,0,2,0,19,2,94.69,0.26,0.00,2.85,0.19,0.00,0.52,0.00,0.13,0.00,1.23,0.13
Springhill 1,"1,336",,"1,312",0,0,3,1,0,1,1,0,4,14,0,98.20,0.00,0.00,0.22,0.07,0.00,0.07,0.07,0.00,0.30,1.05,0.00
Springhill 2,"1,369",,"1,325",1,1,3,12,0,12,3,0,2,7,3,96.79,0.07,0.07,0.22,0.88,0.00,0.88,0.22,0.00,0.15,0.51,0.22
Springtown 1,"1,745",,"1,735",1,0,1,0,0,0,0,0,1,2,5,99.43,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.29
Springtown 2,"1,386",,"1,371",1,0,1,0,0,0,0,2,0,10,1,98.92,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.14,0.00,0.72,0.07
St Mary's,"2,284",,"2,242",15,0,3,0,0,2,0,3,0,17,2,98.16,0.66,0.00,0.13,0.00,0.00,0.09,0.00,0.13,0.00,0.74,0.09
St Patrick's 1,"2,210",,"2,180",3,3,4,4,0,4,0,1,0,2,9,98.64,0.14,0.14,0.18,0.18,0.00,0.18,0.00,0.05,0.00,0.09,0.41
St Patrick's 2,"1,320",,"1,303",4,0,0,1,0,2,0,3,1,6,0,98.71,0.30,0.00,0.00,0.08,0.00,0.15,0.00,0.23,0.08,0.45,0.00
Steeple,"1,807",,"1,765",8,0,6,1,0,8,2,9,0,7,1,97.68,0.44,0.00,0.33,0.06,0.00,0.44,0.11,0.50,0.00,0.39,0.06
Stewartstown,"2,041",,"2,033",0,2,0,0,0,0,0,2,0,4,0,99.61,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.20,0.00
Stiles,"2,142",,"2,086",6,0,34,1,0,0,0,2,1,12,0,97.39,0.28,0.00,1.59,0.05,0.00,0.00,0.00,0.09,0.05,0.56,0.00
Stormont 1,"1,926",,"1,905",4,0,0,1,0,4,4,1,0,4,3,98.91,0.21,0.00,0.00,0.05,0.00,0.21,0.21,0.05,0.00,0.21,0.16
Stormont 2,"1,524",,"1,507",0,0,3,0,8,0,0,1,1,3,1,98.88,0.00,0.00,0.20,0.00,0.52,0.00,0.00,0.07,0.07,0.20,0.07
Stormont 3,"2,098",,"2,013",53,0,6,0,4,7,0,1,0,8,6,95.95,2.53,0.00,0.29,0.00,0.19,0.33,0.00,0.05,0.00,0.38,0.29
Strand 1 (Coleraine LGD),"1,690",,"1,659",1,1,1,4,0,6,0,2,0,15,1,98.17,0.06,0.06,0.06,0.24,0.00,0.36,0.00,0.12,0.00,0.89,0.06
Strand 1 (Derry LGD),"2,002",,"1,911",15,1,34,4,1,7,4,5,2,9,9,95.45,0.75,0.05,1.70,0.20,0.05,0.35,0.20,0.25,0.10,0.45,0.45
Strand 2 (Coleraine LGD),"1,252",,"1,236",1,0,7,0,0,3,0,0,0,3,2,98.72,0.08,0.00,0.56,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.16
Strand 2 (Derry LGD),"1,831",,"1,729",22,2,35,3,1,3,2,8,2,20,4,94.43,1.20,0.11,1.91,0.16,0.05,0.16,0.11,0.44,0.11,1.09,0.22
Strangford,"2,686",,"2,676",0,0,0,0,0,2,0,0,1,4,3,99.63,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.04,0.15,0.11
Stranmillis 1,"1,826",,"1,742",25,1,15,13,4,7,0,1,0,9,9,95.40,1.37,0.05,0.82,0.71,0.22,0.38,0.00,0.05,0.00,0.49,0.49
Stranmillis 2,"1,784",,"1,620",78,6,5,7,1,32,1,6,2,18,8,90.81,4.37,0.34,0.28,0.39,0.06,1.79,0.06,0.34,0.11,1.01,0.45
Stranmillis 3,"2,261",,"2,169",31,0,20,4,2,3,1,18,0,12,1,95.93,1.37,0.00,0.88,0.18,0.09,0.13,0.04,0.80,0.00,0.53,0.04
Stranmillis 4,"2,268",,"2,117",47,1,39,0,8,15,1,3,0,26,11,93.34,2.07,0.04,1.72,0.00,0.35,0.66,0.04,0.13,0.00,1.15,0.49
Stranocum,"1,728",,"1,725",0,0,0,0,0,0,0,0,0,3,0,99.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00
Strule,"1,496",,"1,473",8,8,0,1,0,5,0,0,0,1,0,98.46,0.53,0.53,0.00,0.07,0.00,0.33,0.00,0.00,0.00,0.07,0.00
Summerfield,"2,711",,"2,684",15,0,2,0,0,6,0,0,0,4,0,99.00,0.55,0.00,0.07,0.00,0.00,0.22,0.00,0.00,0.00,0.15,0.00
Sunnylands,"1,530",,"1,514",0,0,1,0,0,3,0,2,0,10,0,98.95,0.00,0.00,0.07,0.00,0.00,0.20,0.00,0.13,0.00,0.65,0.00
Swatragh 1,"1,699",,"1,697",1,0,0,0,0,0,0,0,0,1,0,99.88,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00
Swatragh 2,"1,592",,"1,586",1,0,1,0,0,1,1,0,0,1,1,99.62,0.06,0.00,0.06,0.00,0.00,0.06,0.06,0.00,0.00,0.06,0.06
Sydenham 1,"1,480",,"1,431",9,0,9,5,2,2,1,6,4,5,6,96.69,0.61,0.00,0.61,0.34,0.14,0.14,0.07,0.41,0.27,0.34,0.41
Sydenham 2,"1,670",,"1,615",15,0,21,4,0,0,2,0,1,12,0,96.71,0.90,0.00,1.26,0.24,0.00,0.00,0.12,0.00,0.06,0.72,0.00
Sydenham 3,"1,724",,"1,672",7,0,6,0,0,24,1,0,2,10,2,96.98,0.41,0.00,0.35,0.00,0.00,1.39,0.06,0.00,0.12,0.58,0.12
Taghnevan,"3,728",,"3,646",5,18,0,0,0,13,0,7,0,29,10,97.80,0.13,0.48,0.00,0.00,0.00,0.35,0.00,0.19,0.00,0.78,0.27
Tandragee,"2,925",,"2,910",9,0,1,0,0,0,0,0,0,4,1,99.49,0.31,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.03
Tavanagh,"2,157",,"2,126",1,0,3,0,0,4,0,15,0,8,0,98.56,0.05,0.00,0.14,0.00,0.00,0.19,0.00,0.70,0.00,0.37,0.00
Templepatrick,"2,439",,"2,390",8,2,15,3,0,9,0,0,0,11,1,97.99,0.33,0.08,0.62,0.12,0.00,0.37,0.00,0.00,0.00,0.45,0.04
Tempo,"2,590",,"2,575",1,7,0,1,0,1,0,0,0,4,1,99.42,0.04,0.27,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.15,0.04
Termon,"2,330",,"2,304",0,14,6,0,0,1,0,0,0,5,0,98.88,0.00,0.60,0.26,0.00,0.00,0.04,0.00,0.00,0.00,0.21,0.00
The Birches 1,"2,027",,"2,009",0,0,0,0,0,0,1,5,2,6,4,99.11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.25,0.10,0.30,0.20
The Birches 2,"1,742",,"1,727",1,0,1,0,0,7,0,4,0,1,1,99.14,0.06,0.00,0.06,0.00,0.00,0.40,0.00,0.23,0.00,0.06,0.06
The Cut,"1,724",,"1,698",8,0,11,0,0,0,0,0,1,6,0,98.49,0.46,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.06,0.35,0.00
The Cuts 1,"2,173",,"2,155",10,0,1,2,0,1,0,0,0,3,1,99.17,0.46,0.00,0.05,0.09,0.00,0.05,0.00,0.00,0.00,0.14,0.05
The Cuts 2,"1,919",,"1,901",0,0,4,3,0,0,0,0,0,2,9,99.06,0.00,0.00,0.21,0.16,0.00,0.00,0.00,0.00,0.00,0.10,0.47
The Diamond,"2,351",,"2,327",2,1,4,1,0,0,0,2,2,8,4,98.98,0.09,0.04,0.17,0.04,0.00,0.00,0.00,0.09,0.09,0.34,0.17
The Highlands,"1,969",,"1,964",0,0,0,0,0,1,0,0,0,1,3,99.75,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.15
The Loop,"2,946",,"2,927",5,0,3,0,0,1,1,1,0,8,0,99.36,0.17,0.00,0.10,0.00,0.00,0.03,0.03,0.03,0.00,0.27,0.00
The Mall,"1,740",,"1,698",18,0,0,0,0,15,0,0,1,7,1,97.59,1.03,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.06,0.40,0.06
The Mount 1,"2,864",,"2,765",25,0,10,0,1,7,0,23,2,26,5,96.54,0.87,0.00,0.35,0.00,0.03,0.24,0.00,0.80,0.07,0.91,0.17
The Mount 2,"2,727",,"2,626",5,4,8,0,1,27,1,21,7,19,8,96.30,0.18,0.15,0.29,0.00,0.04,0.99,0.04,0.77,0.26,0.70,0.29
