,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Stiles,"2,142",,"1,270",236,681,23,18,1,96,59.29,11.02,31.79,1.07,0.84,0.05,4.48
Stormont 1,"1,926",,"1,399",221,716,13,2,0,30,72.64,11.47,37.18,0.67,0.10,0.00,1.56
Stormont 2,"1,524",,"1,099",197,523,11,11,0,21,72.11,12.93,34.32,0.72,0.72,0.00,1.38
Stormont 3,"2,098",,"1,359",299,725,34,19,3,96,64.78,14.25,34.56,1.62,0.91,0.14,4.58
Strand 1 (Coleraine LGD),"1,690",,837,439,632,29,9,4,33,49.53,25.98,37.40,1.72,0.53,0.24,1.95
Strand 1 (Derry LGD),"2,002",,199,"1,242",501,20,15,2,134,9.94,62.04,25.02,1.00,0.75,0.10,6.69
Strand 2 (Coleraine LGD),"1,252",,552,366,437,8,11,0,35,44.09,29.23,34.90,0.64,0.88,0.00,2.80
Strand 2 (Derry LGD),"1,831",,278,"1,060",457,33,22,5,133,15.18,57.89,24.96,1.80,1.20,0.27,7.26
Strangford,"2,686",,670,"1,174","1,007",29,8,3,34,24.94,43.71,37.49,1.08,0.30,0.11,1.27
Stranmillis 1,"1,826",,812,670,579,15,11,4,61,44.47,36.69,31.71,0.82,0.60,0.22,3.34
Stranmillis 2,"1,784",,606,710,566,87,22,4,169,33.97,39.80,31.73,4.88,1.23,0.22,9.47
Stranmillis 3,"2,261",,865,801,844,60,16,7,152,38.26,35.43,37.33,2.65,0.71,0.31,6.72
Stranmillis 4,"2,268",,938,883,728,33,21,0,163,41.36,38.93,32.10,1.46,0.93,0.00,7.19
Stranocum,"1,728",,"1,212",158,545,28,11,2,14,70.14,9.14,31.54,1.62,0.64,0.12,0.81
Strule,"1,496",,383,547,490,8,6,0,146,25.60,36.56,32.75,0.53,0.40,0.00,9.76
Summerfield,"2,711",,"1,084",866,835,17,12,0,189,39.99,31.94,30.80,0.63,0.44,0.00,6.97
Sunnylands,"1,530",,"1,184",62,447,13,12,0,30,77.39,4.05,29.22,0.85,0.78,0.00,1.96
Swatragh 1,"1,699",,237,"1,098",416,8,2,0,24,13.95,64.63,24.48,0.47,0.12,0.00,1.41
Swatragh 2,"1,592",,175,"1,087",402,8,3,3,28,10.99,68.28,25.25,0.50,0.19,0.19,1.76
Sydenham 1,"1,480",,"1,083",100,375,13,10,2,75,73.18,6.76,25.34,0.88,0.68,0.14,5.07
Sydenham 2,"1,670",,"1,178",100,547,20,12,1,95,70.54,5.99,32.75,1.20,0.72,0.06,5.69
Sydenham 3,"1,724",,"1,187",133,499,31,14,6,118,68.85,7.71,28.94,1.80,0.81,0.35,6.84
Taghnevan,"3,728",,449,"2,156","1,081",26,9,1,188,12.04,57.83,29.00,0.70,0.24,0.03,5.04
Tandragee,"2,925",,"2,151",200,823,37,21,1,63,73.54,6.84,28.14,1.26,0.72,0.03,2.15
Tavanagh,"2,157",,"1,532",128,501,28,20,1,203,71.02,5.93,23.23,1.30,0.93,0.05,9.41
Templepatrick,"2,439",,"1,796",195,743,29,16,0,52,73.64,8.00,30.46,1.19,0.66,0.00,2.13
Tempo,"2,590",,"1,186",783,744,14,9,1,24,45.79,30.23,28.73,0.54,0.35,0.04,0.93
