,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Antiville,"1,483",,"1,048",115,449,24,18,0,7,70.67,7.75,30.28,1.62,1.21,0.00,0.47
Ardboe,"2,578",,194,"1,430","1,026",21,5,3,19,7.53,55.47,39.80,0.81,0.19,0.12,0.74
Ardeevin,"3,503",,"2,483",245,"1,030",43,17,2,213,70.88,6.99,29.40,1.23,0.49,0.06,6.08
Ardglass 1,"1,492",,362,625,572,21,11,1,28,24.26,41.89,38.34,1.41,0.74,0.07,1.88
Ardglass 2,"1,686",,436,675,685,15,3,4,10,25.86,40.04,40.63,0.89,0.18,0.24,0.59
Ardoyne 1,"1,745",,195,"1,113",505,5,2,2,10,11.17,63.78,28.94,0.29,0.11,0.11,0.57
Ardoyne 2,"2,018",,334,"1,146",590,10,9,1,19,16.55,56.79,29.24,0.50,0.45,0.05,0.94
Ardoyne 3,"2,224",,329,"1,440",469,12,4,0,28,14.79,64.75,21.09,0.54,0.18,0.00,1.26
Armoy and Moss-Side and Moyarget,"2,045",,"1,269",306,619,24,15,3,10,62.05,14.96,30.27,1.17,0.73,0.15,0.49
Artigarvan,"2,760",,"1,297",806,858,17,11,1,11,46.99,29.20,31.09,0.62,0.40,0.04,0.40
Atlantic,"2,374",,"1,336",384,801,43,19,4,79,56.28,16.18,33.74,1.81,0.80,0.17,3.33
Audley's Acre,"2,211",,557,"1,052",727,14,7,0,17,25.19,47.58,32.88,0.63,0.32,0.00,0.77
Augher,"2,166",,818,807,659,14,7,0,42,37.77,37.26,30.42,0.65,0.32,0.00,1.94
Aughnacloy,"2,651",,"1,352",658,636,21,11,3,194,51.00,24.82,23.99,0.79,0.41,0.11,7.32
Ballee,"1,926",,"1,537",80,452,9,14,2,23,79.80,4.15,23.47,0.47,0.73,0.10,1.19
Ballinamallard,"2,586",,"1,710",365,754,22,7,0,43,66.13,14.11,29.16,0.85,0.27,0.00,1.66
Ballinderry 1,"2,263",,"1,458",343,721,35,7,2,21,64.43,15.16,31.86,1.55,0.31,0.09,0.93
Ballinderry 2,"2,865",,"1,970",347,905,31,27,2,49,68.76,12.11,31.59,1.08,0.94,0.07,1.71
Balloo,"1,734",,"1,114",216,498,16,12,0,65,64.24,12.46,28.72,0.92,0.69,0.00,3.75
Ballybay,"2,436",,"1,822",144,590,30,20,4,176,74.79,5.91,24.22,1.23,0.82,0.16,7.22
Ballybot,"2,192",,284,"1,148",700,30,6,1,149,12.96,52.37,31.93,1.37,0.27,0.05,6.80
Ballycarry,"2,582",,"1,992",115,804,35,27,2,28,77.15,4.45,31.14,1.36,1.05,0.08,1.08
Ballyclare North 1,"1,786",,"1,357",89,625,16,10,2,15,75.98,4.98,34.99,0.90,0.56,0.11,0.84
Ballyclare North 2,"2,065",,"1,611",100,653,15,2,1,19,78.01,4.84,31.62,0.73,0.10,0.05,0.92
Ballyclare South 1,"1,627",,"1,234",60,481,29,5,2,24,75.85,3.69,29.56,1.78,0.31,0.12,1.48
Ballyclare South 2,"2,011",,"1,547",103,685,22,13,0,35,76.93,5.12,34.06,1.09,0.65,0.00,1.74
Ballycolman,"1,827",,183,"1,048",620,15,19,0,7,10.02,57.36,33.94,0.82,1.04,0.00,0.38
Ballycraigy,"1,822",,"1,370",96,468,16,9,1,48,75.19,5.27,25.69,0.88,0.49,0.05,2.63
Ballycrochan 1,"1,730",,"1,390",115,523,25,12,1,17,80.35,6.65,30.23,1.45,0.69,0.06,0.98
Ballycrochan 2,"1,930",,"1,533",116,577,20,14,2,35,79.43,6.01,29.90,1.04,0.73,0.10,1.81
Ballycrochan 3,"1,634",,"1,231",106,520,27,11,0,21,75.34,6.49,31.82,1.65,0.67,0.00,1.29
Ballydown 1,"2,129",,"1,406",298,653,21,16,1,39,66.04,14.00,30.67,0.99,0.75,0.05,1.83
Ballydown 2,"2,667",,"1,562",522,863,31,6,2,81,58.57,19.57,32.36,1.16,0.22,0.07,3.04
Ballyduff 1,"1,611",,"1,230",64,499,9,7,6,27,76.35,3.97,30.97,0.56,0.43,0.37,1.68
Ballyduff 2,"1,255",,919,100,374,4,7,1,30,73.23,7.97,29.80,0.32,0.56,0.08,2.39
Ballygawley,"2,515",,622,"1,152",752,8,5,1,89,24.73,45.81,29.90,0.32,0.20,0.04,3.54
Ballygowan 1,"1,574",,"1,155",152,547,13,6,0,15,73.38,9.66,34.75,0.83,0.38,0.00,0.95
Ballygowan 2,"2,035",,"1,581",105,669,17,18,2,18,77.69,5.16,32.87,0.84,0.88,0.10,0.88
Ballyhackamore 1,"2,003",,"1,233",288,749,17,18,2,100,61.56,14.38,37.39,0.85,0.90,0.10,4.99
Ballyhackamore 2,"1,833",,"1,203",276,608,23,14,5,73,65.63,15.06,33.17,1.25,0.76,0.27,3.98
Ballyhackamore 3,"2,103",,"1,322",265,729,34,14,3,131,62.86,12.60,34.66,1.62,0.67,0.14,6.23
Ballyhanwood 1,"1,550",,"1,191",75,465,9,12,2,36,76.84,4.84,30.00,0.58,0.77,0.13,2.32
Ballyhanwood 2,"1,534",,"1,189",77,490,20,6,0,25,77.51,5.02,31.94,1.30,0.39,0.00,1.63
Ballyhenry 1,"1,517",,931,242,515,6,6,2,39,61.37,15.95,33.95,0.40,0.40,0.13,2.57
Ballyhenry 2,"1,255",,798,156,372,14,0,0,46,63.59,12.43,29.64,1.12,0.00,0.00,3.67
Ballyhoe and Corkey,"1,895",,299,907,797,8,4,0,8,15.78,47.86,42.06,0.42,0.21,0.00,0.42
Ballyholme,"2,652",,"1,800",346,981,68,26,5,15,67.87,13.05,36.99,2.56,0.98,0.19,0.57
Ballykeel,"1,739",,"1,455",37,375,21,11,0,18,83.67,2.13,21.56,1.21,0.63,0.00,1.04
Ballykelly,"1,753",,942,344,539,14,10,1,22,53.74,19.62,30.75,0.80,0.57,0.06,1.25
Ballyloran,"1,096",,794,61,327,12,17,2,11,72.45,5.57,29.84,1.09,1.55,0.18,1.00
Ballylough and Bushmills,"1,781",,"1,338",104,497,21,16,8,13,75.13,5.84,27.91,1.18,0.90,0.45,0.73
Ballyloughan,"2,588",,"1,844",255,700,23,10,0,130,71.25,9.85,27.05,0.89,0.39,0.00,5.02
Ballymacarrett 1,"1,708",,587,779,370,7,7,2,67,34.37,45.61,21.66,0.41,0.41,0.12,3.92
Ballymacarrett 2,"1,564",,385,839,360,11,4,0,19,24.62,53.64,23.02,0.70,0.26,0.00,1.21
Ballymacarrett 3,"1,636",,"1,112",167,365,12,15,0,127,67.97,10.21,22.31,0.73,0.92,0.00,7.76
Ballymacash 1,"2,233",,"1,642",184,661,24,9,3,53,73.53,8.24,29.60,1.07,0.40,0.13,2.37
Ballymacash 2,"2,054",,"1,264",418,660,15,16,1,26,61.54,20.35,32.13,0.73,0.78,0.05,1.27
Ballymacbrennan 1,"1,580",,"1,238",123,471,26,12,5,9,78.35,7.78,29.81,1.65,0.76,0.32,0.57
Ballymacbrennan 2,"1,792",,"1,315",205,528,14,3,0,12,73.38,11.44,29.46,0.78,0.17,0.00,0.67
Ballymaconnell 1,"1,246",,980,81,367,15,4,3,9,78.65,6.50,29.45,1.20,0.32,0.24,0.72
Ballymaconnell 2,"1,475",,"1,093",117,473,10,9,4,23,74.10,7.93,32.07,0.68,0.61,0.27,1.56
Ballymacoss 1,"2,325",,"1,713",175,702,35,12,5,43,73.68,7.53,30.19,1.51,0.52,0.22,1.85
Ballymacoss 2,"1,885",,"1,283",191,571,33,11,7,63,68.06,10.13,30.29,1.75,0.58,0.37,3.34
Ballymacoss 3,"3,362",,"2,253",514,"1,019",41,18,2,94,67.01,15.29,30.31,1.22,0.54,0.06,2.80
Ballymagee 1,"1,748",,"1,374",98,536,19,15,3,11,78.60,5.61,30.66,1.09,0.86,0.17,0.63
Ballymagee 2,"1,934",,"1,497",129,575,21,16,3,16,77.40,6.67,29.73,1.09,0.83,0.16,0.83
Ballymaglave 1,"1,319",,842,181,348,7,11,0,69,63.84,13.72,26.38,0.53,0.83,0.00,5.23
Ballymaglave 2,"1,577",,"1,202",69,461,21,6,2,21,76.22,4.38,29.23,1.33,0.38,0.13,1.33
Ballymaguigan,"2,748",,603,"1,305",972,7,9,0,33,21.94,47.49,35.37,0.25,0.33,0.00,1.20
Ballymartrim,"2,725",,723,"1,323",829,10,1,3,36,26.53,48.55,30.42,0.37,0.04,0.11,1.32
Ballymote,"2,934",,737,"1,219","1,108",28,13,4,57,25.12,41.55,37.76,0.95,0.44,0.14,1.94
Ballynafeigh 1,"1,813",,522,753,537,18,7,1,180,28.79,41.53,29.62,0.99,0.39,0.06,9.93
Ballynafeigh 2,"2,009",,585,738,628,20,16,7,270,29.12,36.73,31.26,1.00,0.80,0.35,13.44
Ballynafeigh 3,"2,106",,783,662,577,33,14,2,302,37.18,31.43,27.40,1.57,0.66,0.09,14.34
Ballynahinch East,"2,497",,"1,315",540,820,19,13,0,91,52.66,21.63,32.84,0.76,0.52,0.00,3.64
Ballynashallog 1,"1,559",,165,"1,099",341,19,4,1,11,10.58,70.49,21.87,1.22,0.26,0.06,0.71
Ballynashallog 2,"1,685",,113,"1,261",386,13,5,2,15,6.71,74.84,22.91,0.77,0.30,0.12,0.89
Ballynure 1,"1,525",,"1,221",76,494,7,6,0,20,80.07,4.98,32.39,0.46,0.39,0.00,1.31
Ballynure 2,"1,622",,"1,314",87,470,10,7,0,10,81.01,5.36,28.98,0.62,0.43,0.00,0.62
Ballyoran,"2,985",,756,"1,229","1,014",21,4,0,183,25.33,41.17,33.97,0.70,0.13,0.00,6.13
Ballyrainey,"2,347",,"1,736",136,725,24,14,3,46,73.97,5.79,30.89,1.02,0.60,0.13,1.96
Ballyrobert 1,"1,809",,"1,468",81,503,10,4,1,9,81.15,4.48,27.81,0.55,0.22,0.06,0.50
Ballyrobert 2,"2,446",,"1,940",89,777,24,9,1,24,79.31,3.64,31.77,0.98,0.37,0.04,0.98
Ballysaggart,"2,730",,415,"1,057",647,23,4,4,778,15.20,38.72,23.70,0.84,0.15,0.15,28.50
Ballysally 1,"1,406",,"1,012",57,457,18,22,5,12,71.98,4.05,32.50,1.28,1.56,0.36,0.85
Ballysally 2,"1,064",,763,61,351,12,6,0,12,71.71,5.73,32.99,1.13,0.56,0.00,1.13
Ballysillan 1,"1,925",,"1,537",119,404,14,12,1,41,79.84,6.18,20.99,0.73,0.62,0.05,2.13
Ballysillan 2,"1,779",,"1,334",128,486,10,3,1,39,74.99,7.20,27.32,0.56,0.17,0.06,2.19
Ballysillan 3,"1,922",,"1,494",127,498,5,9,3,45,77.73,6.61,25.91,0.26,0.47,0.16,2.34
Ballywalter 1,"2,026",,"1,611",58,573,34,12,2,27,79.52,2.86,28.28,1.68,0.59,0.10,1.33
Ballywalter 2,"2,193",,"1,669",147,675,34,14,6,21,76.11,6.70,30.78,1.55,0.64,0.27,0.96
Ballyward,"2,817",,"1,132",869,988,19,11,1,51,40.18,30.85,35.07,0.67,0.39,0.04,1.81
Banagher,"3,508",,"1,064","1,610","1,018",27,10,2,27,30.33,45.90,29.02,0.77,0.29,0.06,0.77
Banbridge West,"3,006",,"1,794",451,"1,005",40,8,3,75,59.68,15.00,33.43,1.33,0.27,0.10,2.50
Bangor Castle,"2,627",,"1,900",194,854,40,19,4,72,72.33,7.38,32.51,1.52,0.72,0.15,2.74
Bannside,"2,629",,"1,495",540,875,18,8,4,18,56.87,20.54,33.28,0.68,0.30,0.15,0.68
Beechill 1,"1,781",,784,579,637,9,8,1,51,44.02,32.51,35.77,0.51,0.45,0.06,2.86
Beechill 2,"1,700",,"1,015",365,524,12,7,3,65,59.71,21.47,30.82,0.71,0.41,0.18,3.82
Beechill 3,"1,480",,"1,029",187,465,16,11,3,29,69.53,12.64,31.42,1.08,0.74,0.20,1.96
Beechmount 1,"1,862",,324,"1,180",370,11,7,1,95,17.40,63.37,19.87,0.59,0.38,0.05,5.10
Beechmount 2,"1,922",,212,"1,284",395,8,4,3,78,11.03,66.81,20.55,0.42,0.21,0.16,4.06
Beechmount 3,"1,701",,159,"1,200",353,5,3,1,33,9.35,70.55,20.75,0.29,0.18,0.06,1.94
Beechwood,"2,151",,121,"1,608",487,7,8,2,7,5.63,74.76,22.64,0.33,0.37,0.09,0.33
Belcoo and Garrison,"2,541",,402,"1,392",768,58,11,1,35,15.82,54.78,30.22,2.28,0.43,0.04,1.38
Bellaghy,"2,685",,473,"1,491",851,17,3,1,21,17.62,55.53,31.69,0.63,0.11,0.04,0.78
Belleek and Boa,"2,540",,646,"1,186",764,54,15,2,26,25.43,46.69,30.08,2.13,0.59,0.08,1.02
Bellevue 1,"1,394",,372,657,426,10,5,0,15,26.69,47.13,30.56,0.72,0.36,0.00,1.08
Bellevue 2,"1,730",,625,585,506,19,14,0,89,36.13,33.82,29.25,1.10,0.81,0.00,5.14
Bellevue 3,"1,786",,730,619,500,18,10,2,91,40.87,34.66,28.00,1.01,0.56,0.11,5.10
Belmont 1,"2,151",,"1,601",187,719,16,14,2,40,74.43,8.69,33.43,0.74,0.65,0.09,1.86
Belmont 2,"1,896",,"1,408",143,604,8,9,2,42,74.26,7.54,31.86,0.42,0.47,0.11,2.22
Belmont 3,"2,118",,"1,538",144,580,26,15,3,85,72.62,6.80,27.38,1.23,0.71,0.14,4.01
Benburb,"2,860",,978,"1,009",862,8,7,0,217,34.20,35.28,30.14,0.28,0.24,0.00,7.59
Benvardin,"2,095",,"1,648",98,568,27,11,0,13,78.66,4.68,27.11,1.29,0.53,0.00,0.62
Beragh,"2,508",,"1,220",698,725,11,9,1,59,48.64,27.83,28.91,0.44,0.36,0.04,2.35
Bessbrook,"2,579",,726,"1,065",846,15,10,3,72,28.15,41.30,32.80,0.58,0.39,0.12,2.79
Binnian,"3,138",,"1,763",795,870,28,13,2,49,56.18,25.33,27.72,0.89,0.41,0.06,1.56
Blackcave,"1,635",,"1,196",156,441,17,23,1,19,73.15,9.54,26.97,1.04,1.41,0.06,1.16
Blackhead,"2,059",,"1,424",141,692,38,23,4,26,69.16,6.85,33.61,1.85,1.12,0.19,1.26
Blackstaff 1,"1,826",,"1,113",182,493,26,16,6,240,60.95,9.97,27.00,1.42,0.88,0.33,13.14
Blackstaff 2,"2,172",,"1,414",220,565,21,11,9,195,65.10,10.13,26.01,0.97,0.51,0.41,8.98
Blaris 1,"1,572",,"1,109",129,415,22,8,0,77,70.55,8.21,26.40,1.40,0.51,0.00,4.90
Blaris 2,"1,803",,"1,318",199,540,14,10,1,34,73.10,11.04,29.95,0.78,0.55,0.06,1.89
Bleary 1,"2,383",,"1,896",138,589,23,9,2,61,79.56,5.79,24.72,0.97,0.38,0.08,2.56
Bleary 2,"1,736",,"1,014",333,530,18,2,1,39,58.41,19.18,30.53,1.04,0.12,0.06,2.25
Bloomfield 1 (Belfast LGD),"1,895",,"1,226",184,498,16,16,3,182,64.70,9.71,26.28,0.84,0.84,0.16,9.60
Bloomfield 1 (North Down LGD),"1,724",,"1,313",98,523,21,11,0,25,76.16,5.68,30.34,1.22,0.64,0.00,1.45
Bloomfield 2 (Belfast LGD),"1,687",,"1,136",194,525,28,7,4,75,67.34,11.50,31.12,1.66,0.41,0.24,4.45
Bloomfield 2 (North Down LGD),"2,054",,"1,540",121,638,48,11,3,25,74.98,5.89,31.06,2.34,0.54,0.15,1.22
Bloomfield 3 (Belfast LGD),"1,871",,"1,143",199,556,18,21,3,199,61.09,10.64,29.72,0.96,1.12,0.16,10.64
Bluefield 1,"1,358",,"1,018",56,443,18,12,2,22,74.96,4.12,32.62,1.33,0.88,0.15,1.62
Bluefield 2,"1,604",,"1,280",50,531,18,7,2,21,79.80,3.12,33.10,1.12,0.44,0.12,1.31
Boho Cleenish and Letterbreen,"3,185",,"1,215","1,170",992,47,16,6,29,38.15,36.73,31.15,1.48,0.50,0.19,0.91
Bonamargy and Rathlin and Glenshesk,"1,872",,418,840,669,37,17,2,36,22.33,44.87,35.74,1.98,0.91,0.11,1.92
Boneybefore,"1,663",,"1,277",140,467,19,12,5,35,76.79,8.42,28.08,1.14,0.72,0.30,2.10
Botanic 1,"1,555",,469,622,525,38,12,2,215,30.16,40.00,33.76,2.44,0.77,0.13,13.83
Botanic 2,"1,958",,496,979,513,25,20,1,143,25.33,50.00,26.20,1.28,1.02,0.05,7.30
Botanic 3,"1,488",,344,763,381,30,6,5,170,23.12,51.28,25.60,2.02,0.40,0.34,11.42
Botanic 4,"1,703",,398,722,475,37,16,6,292,23.37,42.40,27.89,2.17,0.94,0.35,17.15
Botanic 5,"2,241",,499,"1,081",597,27,19,0,205,22.27,48.24,26.64,1.20,0.85,0.00,9.15
Bradshaw's Brae 1,"1,438",,"1,080",83,470,14,3,3,25,75.10,5.77,32.68,0.97,0.21,0.21,1.74
Bradshaw's Brae 2,"1,610",,"1,255",109,528,14,10,1,13,77.95,6.77,32.80,0.87,0.62,0.06,0.81
Brandywell,"2,495",,150,"1,896",483,9,7,1,21,6.01,75.99,19.36,0.36,0.28,0.04,0.84
Broadway 1,"1,420",,"1,029",106,484,25,11,4,21,72.46,7.46,34.08,1.76,0.77,0.28,1.48
Broadway 2,"1,425",,"1,018",173,489,21,16,1,25,71.44,12.14,34.32,1.47,1.12,0.07,1.75
Brookeborough,"2,367",,"1,202",659,645,33,8,1,26,50.78,27.84,27.25,1.39,0.34,0.04,1.10
Broughshane 1,"1,596",,"1,266",76,475,14,5,1,26,79.32,4.76,29.76,0.88,0.31,0.06,1.63
Broughshane 2,"1,767",,"1,438",61,459,19,8,0,20,81.38,3.45,25.98,1.08,0.45,0.00,1.13
Brownstown 1,"1,654",,"1,212",126,382,12,11,5,116,73.28,7.62,23.10,0.73,0.67,0.30,7.01
Brownstown 2,"1,718",,"1,251",98,413,12,6,0,132,72.82,5.70,24.04,0.70,0.35,0.00,7.68
Bryansburn 1,"1,323",,758,317,486,19,5,2,17,57.29,23.96,36.73,1.44,0.38,0.15,1.28
Bryansburn 2,"1,267",,888,187,371,11,17,0,31,70.09,14.76,29.28,0.87,1.34,0.00,2.45
Burleigh Hill 1,"1,709",,"1,384",83,510,19,8,3,26,80.98,4.86,29.84,1.11,0.47,0.18,1.52
Burleigh Hill 2,"1,358",,"1,144",43,386,8,14,2,5,84.24,3.17,28.42,0.59,1.03,0.15,0.37
Burnthill 1,"1,219",,846,149,372,6,3,1,38,69.40,12.22,30.52,0.49,0.25,0.08,3.12
Burnthill 2,"1,340",,982,105,423,22,3,3,18,73.28,7.84,31.57,1.64,0.22,0.22,1.34
Burren and Kilbroney 1,"1,964",,227,"1,196",598,10,3,1,49,11.56,60.90,30.45,0.51,0.15,0.05,2.49
Burren and Kilbroney 2,"2,542",,224,"1,602",706,30,11,3,87,8.81,63.02,27.77,1.18,0.43,0.12,3.42
Cairnshill 1,"1,739",,793,565,615,6,7,0,69,45.60,32.49,35.37,0.35,0.40,0.00,3.97
Cairnshill 2,"1,784",,894,418,633,7,3,2,41,50.11,23.43,35.48,0.39,0.17,0.11,2.30
Caledon,"2,510",,"1,042",881,663,12,4,0,74,41.51,35.10,26.41,0.48,0.16,0.00,2.95
Callan Bridge,"2,817",,318,"1,529",667,19,12,0,383,11.29,54.28,23.68,0.67,0.43,0.00,13.60
Camlough,"3,482",,203,"2,465",844,33,2,1,64,5.83,70.79,24.24,0.95,0.06,0.03,1.84
Camowen,"2,283",,888,738,716,20,9,3,97,38.90,32.33,31.36,0.88,0.39,0.13,4.25
Carn Hill 1,"1,376",,117,926,364,10,4,0,5,8.50,67.30,26.45,0.73,0.29,0.00,0.36
Carn Hill 2,"1,227",,87,824,340,3,3,1,12,7.09,67.16,27.71,0.24,0.24,0.08,0.98
Carnany,"1,999",,"1,518",132,505,26,15,3,62,75.94,6.60,25.26,1.30,0.75,0.15,3.10
Carncastle,"2,875",,"2,031",342,916,34,27,2,21,70.64,11.90,31.86,1.18,0.94,0.07,0.73
Carnlough,"2,041",,722,681,759,20,9,5,16,35.37,33.37,37.19,0.98,0.44,0.24,0.78
Carnmoney 1,"1,276",,977,60,379,8,7,2,22,76.57,4.70,29.70,0.63,0.55,0.16,1.72
Carnmoney 2,"1,258",,915,136,405,11,1,0,9,72.73,10.81,32.19,0.87,0.08,0.00,0.72
Carnmoon and Dunseverick,"1,806",,"1,313",130,534,22,4,2,24,72.70,7.20,29.57,1.22,0.22,0.11,1.33
Carrigatuke,"2,440",,626,"1,251",649,2,6,1,40,25.66,51.27,26.60,0.08,0.25,0.04,1.64
Carrowdore 1,"1,490",,"1,095",93,515,21,6,1,9,73.49,6.24,34.56,1.41,0.40,0.07,0.60
Carrowdore 2,"1,911",,"1,504",89,597,30,9,2,12,78.70,4.66,31.24,1.57,0.47,0.10,0.63
Carrowreagh 1,"2,352",,"1,873",93,755,14,8,3,42,79.63,3.95,32.10,0.60,0.34,0.13,1.79
Carrowreagh 2,"1,965",,"1,599",56,606,22,14,3,22,81.37,2.85,30.84,1.12,0.71,0.15,1.12
Carryduff East 1,"1,634",,687,612,536,11,9,1,23,42.04,37.45,32.80,0.67,0.55,0.06,1.41
Carryduff East 2,"1,912",,"1,116",372,575,14,14,1,71,58.37,19.46,30.07,0.73,0.73,0.05,3.71
Carryduff West 1,"1,519",,790,397,523,18,4,2,26,52.01,26.14,34.43,1.18,0.26,0.13,1.71
Carryduff West 2,"1,879",,896,524,631,11,10,0,61,47.68,27.89,33.58,0.59,0.53,0.00,3.25
Castle Demesne,"2,126",,"1,088",263,534,17,11,1,411,51.18,12.37,25.12,0.80,0.52,0.05,19.33
Castlecaulfield,"2,713",,993,"1,045",740,25,6,3,72,36.60,38.52,27.28,0.92,0.22,0.11,2.65
Castlecoole 1,"1,992",,696,567,658,37,10,3,172,34.94,28.46,33.03,1.86,0.50,0.15,8.63
Castlecoole 2,"1,884",,844,574,484,24,6,1,150,44.80,30.47,25.69,1.27,0.32,0.05,7.96
Castledawson 1,"1,586",,803,375,469,10,4,0,37,50.63,23.64,29.57,0.63,0.25,0.00,2.33
Castledawson 2,"1,743",,652,624,568,8,6,0,41,37.41,35.80,32.59,0.46,0.34,0.00,2.35
Castlederg,"2,109",,700,742,666,22,20,3,90,33.19,35.18,31.58,1.04,0.95,0.14,4.27
Castlerock 1,"1,546",,"1,126",111,445,23,18,2,19,72.83,7.18,28.78,1.49,1.16,0.13,1.23
Castlerock 2,"1,565",,"1,156",151,413,16,14,0,22,73.87,9.65,26.39,1.02,0.89,0.00,1.41
Castleview 1,"1,333",,854,188,373,17,11,1,78,64.07,14.10,27.98,1.28,0.83,0.08,5.85
Castleview 2,"1,752",,599,805,447,16,8,3,19,34.19,45.95,25.51,0.91,0.46,0.17,1.08
Castleview 3,"1,637",,"1,025",307,425,8,7,2,47,62.61,18.75,25.96,0.49,0.43,0.12,2.87
Castlewellan 1,"1,095",,162,579,340,11,6,0,35,14.79,52.88,31.05,1.00,0.55,0.00,3.20
Castlewellan 2,"2,447",,549,"1,292",704,18,10,1,74,22.44,52.80,28.77,0.74,0.41,0.04,3.02
Cathedral 1,"1,687",,402,769,571,19,3,1,29,23.83,45.58,33.85,1.13,0.18,0.06,1.72
Cathedral 2,"1,571",,404,619,582,7,4,1,35,25.72,39.40,37.05,0.45,0.25,0.06,2.23
Cavehill 1,"1,617",,727,582,518,6,3,1,15,44.96,35.99,32.03,0.37,0.19,0.06,0.93
Cavehill 2,"1,597",,400,895,450,10,2,0,16,25.05,56.04,28.18,0.63,0.13,0.00,1.00
Cavehill 3,"1,606",,862,498,433,10,4,0,37,53.67,31.01,26.96,0.62,0.25,0.00,2.30
Caw,"2,601",,"1,798",408,623,37,19,3,40,69.13,15.69,23.95,1.42,0.73,0.12,1.54
Central (Ards LGD),"2,870",,"2,091",141,924,27,12,1,82,72.86,4.91,32.20,0.94,0.42,0.03,2.86
Central (Coleraine LGD),"1,835",,"1,145",174,542,18,5,3,172,62.40,9.48,29.54,0.98,0.27,0.16,9.37
Central (Larne LGD),"1,817",,"1,239",158,583,22,13,3,37,68.19,8.70,32.09,1.21,0.72,0.17,2.04
Charlemont,"2,774",,878,"1,162",744,20,3,2,120,31.65,41.89,26.82,0.72,0.11,0.07,4.33
Cherryvalley 1,"1,959",,"1,307",282,682,16,13,2,29,66.72,14.40,34.81,0.82,0.66,0.10,1.48
Cherryvalley 2,"2,052",,"1,423",289,677,28,11,1,83,69.35,14.08,32.99,1.36,0.54,0.05,4.04
Cherryvalley 3,"1,909",,"1,394",154,557,18,12,0,78,73.02,8.07,29.18,0.94,0.63,0.00,4.09
Chichester Park 1,"1,996",,448,987,551,23,5,4,107,22.44,49.45,27.61,1.15,0.25,0.20,5.36
Chichester Park 2,"1,970",,394,"1,090",558,15,11,1,62,20.00,55.33,28.32,0.76,0.56,0.05,3.15
Chichester Park 3,"1,486",,552,651,379,9,8,0,71,37.15,43.81,25.50,0.61,0.54,0.00,4.78
Church,"2,131",,"1,505",78,509,19,26,2,245,70.62,3.66,23.89,0.89,1.22,0.09,11.50
Churchill 1,"1,369",,971,109,466,13,10,0,20,70.93,7.96,34.04,0.95,0.73,0.00,1.46
Churchill 2,"1,448",,"1,043",118,501,18,12,3,25,72.03,8.15,34.60,1.24,0.83,0.21,1.73
Churchland,"2,472",,"1,501",300,744,25,19,1,180,60.72,12.14,30.10,1.01,0.77,0.04,7.28
Clady,"3,013",,"1,957",508,859,30,7,2,31,64.95,16.86,28.51,1.00,0.23,0.07,1.03
Clanabogan,"3,177",,"1,028","1,237","1,069",12,4,4,63,32.36,38.94,33.65,0.38,0.13,0.13,1.98
Clandeboye 1,"1,777",,"1,295",117,608,25,20,2,34,72.88,6.58,34.21,1.41,1.13,0.11,1.91
Clandeboye 2,"1,862",,"1,389",97,553,24,25,2,55,74.60,5.21,29.70,1.29,1.34,0.11,2.95
Clandeboye 3,"1,255",,960,36,425,16,6,1,10,76.49,2.87,33.86,1.27,0.48,0.08,0.80
Clare,"2,670",,"1,700",431,684,13,14,1,24,63.67,16.14,25.62,0.49,0.52,0.04,0.90
Claudy 1,"1,588",,444,723,482,16,12,2,10,27.96,45.53,30.35,1.01,0.76,0.13,0.63
Claudy 2,"1,974",,575,877,625,13,4,0,3,29.13,44.43,31.66,0.66,0.20,0.00,0.15
Cliftonville 1,"2,031",,320,"1,296",452,22,5,0,49,15.76,63.81,22.26,1.08,0.25,0.00,2.41
Cliftonville 2,"1,595",,389,810,491,3,3,1,23,24.39,50.78,30.78,0.19,0.19,0.06,1.44
Cliftonville 3,"1,704",,855,477,447,9,5,3,48,50.18,27.99,26.23,0.53,0.29,0.18,2.82
Clipperstown,"2,171",,"1,728",66,612,15,11,3,54,79.59,3.04,28.19,0.69,0.51,0.14,2.49
Clogh Mills,"1,993",,"1,127",392,651,9,2,1,19,56.55,19.67,32.66,0.45,0.10,0.05,0.95
Clogher,"2,252",,753,921,640,10,9,0,79,33.44,40.90,28.42,0.44,0.40,0.00,3.51
Clonallan 1,"2,052",,303,"1,088",637,16,8,1,120,14.77,53.02,31.04,0.78,0.39,0.05,5.85
Clonallan 2,"2,341",,327,"1,395",642,31,11,5,89,13.97,59.59,27.42,1.32,0.47,0.21,3.80
Clonard 1,"2,553",,358,"1,723",520,12,5,0,37,14.02,67.49,20.37,0.47,0.20,0.00,1.45
Clonard 2,"2,422",,286,"1,557",535,11,4,0,147,11.81,64.29,22.09,0.45,0.17,0.00,6.07
Clondermot 1,"1,291",,250,759,307,8,3,2,10,19.36,58.79,23.78,0.62,0.23,0.15,0.77
