,Year,Variables,,,,,,,,
,2011,,,,,,,,,
SOA,All usual residents,,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
Shantallow West 2,"1,458",,"1,400",47,4,7,96.02,3.22,0.27,0.48
Shantallow West 3,"1,559",,"1,489",53,3,14,95.51,3.40,0.19,0.90
Shantallow West 4,"2,057",,"1,961",54,25,17,95.33,2.63,1.22,0.83
Shilvodan,"2,349",,872,"1,373",13,91,37.12,58.45,0.55,3.87
Shimna,"2,687",,"1,912",650,14,111,71.16,24.19,0.52,4.13
Silver Bridge 1,"1,845",,"1,735",61,9,40,94.04,3.31,0.49,2.17
Silver Bridge 2,"1,925",,"1,828",70,5,22,94.96,3.64,0.26,1.14
Silverstream,"3,155",,501,"2,201",53,400,15.88,69.76,1.68,12.68
Sion Mills,"2,190",,"1,331",836,2,21,60.78,38.17,0.09,0.96
Sixmilecross,"2,374",,"1,840",511,2,21,77.51,21.52,0.08,0.88
Slemish,"2,509",,306,"2,052",15,136,12.20,81.79,0.60,5.42
Slievekirk,"2,533",,529,"1,925",12,67,20.88,76.00,0.47,2.65
South 1,"1,876",,"1,736",120,4,16,92.54,6.40,0.21,0.85
South 2,"1,356",,"1,274",74,3,5,93.95,5.46,0.22,0.37
Spelga,"3,583",,"3,046",496,9,32,85.01,13.84,0.25,0.89
Springfarm 1,"2,641",,"1,091","1,226",62,262,41.31,46.42,2.35,9.92
Springfarm 2,"1,545",,665,652,44,184,43.04,42.20,2.85,11.91
Springhill 1,"1,336",,147,"1,073",12,104,11.00,80.31,0.90,7.78
Springhill 2,"1,369",,203,"1,013",27,126,14.83,74.00,1.97,9.20
Springtown 1,"1,745",,"1,691",37,2,15,96.91,2.12,0.11,0.86
Springtown 2,"1,386",,"1,343",25,5,13,96.90,1.80,0.36,0.94
St Mary's,"2,284",,"2,085",136,10,53,91.29,5.95,0.44,2.32
St Patrick's 1,"2,210",,"1,937",198,12,63,87.65,8.96,0.54,2.85
St Patrick's 2,"1,320",,"1,210",84,3,23,91.67,6.36,0.23,1.74
Steeple,"1,807",,344,"1,276",14,173,19.04,70.61,0.77,9.57
Stewartstown,"2,041",,931,"1,089",2,19,45.61,53.36,0.10,0.93
Stiles,"2,142",,813,"1,067",27,235,37.96,49.81,1.26,10.97
Stormont 1,"1,926",,157,"1,600",16,153,8.15,83.07,0.83,7.94
Stormont 2,"1,524",,194,"1,172",23,135,12.73,76.90,1.51,8.86
Stormont 3,"2,098",,367,"1,424",32,275,17.49,67.87,1.53,13.11
Strand 1 (Coleraine LGD),"1,690",,621,965,23,81,36.75,57.10,1.36,4.79
Strand 1 (Derry LGD),"2,002",,"1,713",173,61,55,85.56,8.64,3.05,2.75
Strand 2 (Coleraine LGD),"1,252",,563,623,14,52,44.97,49.76,1.12,4.15
Strand 2 (Derry LGD),"1,831",,"1,426",261,42,102,77.88,14.25,2.29,5.57
Strangford,"2,686",,"2,198",374,17,97,81.83,13.92,0.63,3.61
Stranmillis 1,"1,826",,919,708,46,153,50.33,38.77,2.52,8.38
Stranmillis 2,"1,784",,855,628,79,222,47.93,35.20,4.43,12.44
Stranmillis 3,"2,261",,990,957,42,272,43.79,42.33,1.86,12.03
Stranmillis 4,"2,268",,"1,086",854,81,247,47.88,37.65,3.57,10.89
Stranocum,"1,728",,362,"1,257",12,97,20.95,72.74,0.69,5.61
Strule,"1,496",,"1,099",351,5,41,73.46,23.46,0.33,2.74
Summerfield,"2,711",,"1,802",769,9,131,66.47,28.37,0.33,4.83
Sunnylands,"1,530",,147,"1,215",11,157,9.61,79.41,0.72,10.26
Swatragh 1,"1,699",,"1,462",224,5,8,86.05,13.18,0.29,0.47
Swatragh 2,"1,592",,"1,427",154,4,7,89.64,9.67,0.25,0.44
Sydenham 1,"1,480",,139,"1,117",35,189,9.39,75.47,2.36,12.77
Sydenham 2,"1,670",,141,"1,300",27,202,8.44,77.84,1.62,12.10
Sydenham 3,"1,724",,203,"1,287",26,208,11.77,74.65,1.51,12.06
Taghnevan,"3,728",,"3,382",221,20,105,90.72,5.93,0.54,2.82
Tandragee,"2,925",,380,"2,368",11,166,12.99,80.96,0.38,5.68
Tavanagh,"2,157",,302,"1,684",11,160,14.00,78.07,0.51,7.42
Templepatrick,"2,439",,341,"1,891",37,170,13.98,77.53,1.52,6.97
Tempo,"2,590",,"1,280","1,259",14,37,49.42,48.61,0.54,1.43
Termon,"2,330",,"2,229",88,3,10,95.67,3.78,0.13,0.43
The Birches 1,"2,027",,585,"1,348",9,85,28.86,66.50,0.44,4.19
The Birches 2,"1,742",,702,986,3,51,40.30,56.60,0.17,2.93
The Cut,"1,724",,616,986,16,106,35.73,57.19,0.93,6.15
The Cuts 1,"2,173",,401,"1,613",15,144,18.45,74.23,0.69,6.63
The Cuts 2,"1,919",,483,"1,353",18,65,25.17,70.51,0.94,3.39
The Diamond,"2,351",,"1,908",364,15,64,81.16,15.48,0.64,2.72
The Highlands,"1,969",,967,965,8,29,49.11,49.01,0.41,1.47
The Loop,"2,946",,"1,962",928,9,47,66.60,31.50,0.31,1.60
The Mall,"1,740",,398,"1,231",16,95,22.87,70.75,0.92,5.46
The Mount 1,"2,864",,441,"1,968",39,416,15.40,68.72,1.36,14.53
The Mount 2,"2,727",,461,"1,852",32,382,16.91,67.91,1.17,14.01
The Vow,"2,126",,605,"1,422",12,87,28.46,66.89,0.56,4.09
Tobermore,"2,641",,970,"1,603",22,46,36.73,60.70,0.83,1.74
Tollymore 1,"1,566",,"1,349",184,6,27,86.14,11.75,0.38,1.72
Tollymore 2,"1,821",,"1,410",337,5,69,77.43,18.51,0.27,3.79
Tonagh,"2,594",,"1,048","1,318",17,211,40.40,50.81,0.66,8.13
Toome,"2,687",,"2,410",231,6,40,89.69,8.60,0.22,1.49
Town Parks,"1,593",,514,967,9,103,32.27,60.70,0.56,6.47
Town Parks East 1,"1,520",,753,678,17,72,49.54,44.61,1.12,4.74
Town Parks East 2,"1,398",,828,499,12,59,59.23,35.69,0.86,4.22
Town Parks West,"2,211",,"1,207",889,27,88,54.59,40.21,1.22,3.98
Trillick,"2,440",,"1,643",762,17,18,67.34,31.23,0.70,0.74
Tullagh,"2,216",,"1,624",481,8,103,73.29,21.71,0.36,4.65
Tullycarnet,"2,419",,87,"2,075",9,248,3.60,85.78,0.37,10.25
Tullyhappy,"3,366",,"2,008","1,308",10,40,59.66,38.86,0.30,1.19
Twinbrook 1,"1,261",,"1,098",127,0,36,87.07,10.07,0.00,2.85
Twinbrook 2,"1,386",,"1,278",80,3,25,92.21,5.77,0.22,1.80
University,"2,873",,696,"1,901",48,228,24.23,66.17,1.67,7.94
Upper Braniel,"2,248",,143,"1,884",6,215,6.36,83.81,0.27,9.56
Upper Glenshane,"2,458",,"2,117",332,3,6,86.13,13.51,0.12,0.24
Upper Malone 1,"1,670",,756,762,65,87,45.27,45.63,3.89,5.21
Upper Malone 2,"1,554",,157,"1,249",13,135,10.10,80.37,0.84,8.69
Upper Malone 3,"1,617",,509,896,44,168,31.48,55.41,2.72,10.39
Upper Springfield 1,"1,712",,"1,610",83,1,18,94.04,4.85,0.06,1.05
Upper Springfield 2,"1,874",,"1,734",95,10,35,92.53,5.07,0.53,1.87
Upper Springfield 3,"1,664",,"1,565",63,6,30,94.05,3.79,0.36,1.80
Upperlands,"2,498",,814,"1,596",9,79,32.59,63.89,0.36,3.16
Valley,"2,691",,"1,897",757,1,36,70.49,28.13,0.04,1.34
Valley 1,"1,568",,949,526,8,85,60.52,33.55,0.51,5.42
Valley 2,"1,926",,820,937,14,155,42.58,48.65,0.73,8.05
Victoria (Carrickfergus LGD),"2,630",,262,"2,091",35,242,9.96,79.51,1.33,9.20
Victoria (Derry LGD),"3,410",,"2,502",781,36,91,73.37,22.90,1.06,2.67
Victoria Bridge,"2,288",,"1,188","1,065",10,25,51.92,46.55,0.44,1.09
Wallace Park 1,"1,095",,222,727,4,142,20.27,66.39,0.37,12.97
Wallace Park 2,"2,283",,469,"1,560",31,223,20.54,68.33,1.36,9.77
Waringstown 1,"2,583",,254,"2,136",30,163,9.83,82.69,1.16,6.31
Waringstown 2,"1,953",,143,"1,687",26,97,7.32,86.38,1.33,4.97
Washing Bay,"3,106",,"2,958",132,2,14,95.24,4.25,0.06,0.45
Water Works 1,"2,314",,"2,003",187,28,96,86.56,8.08,1.21,4.15
Water Works 2,"1,717",,"1,565",96,9,47,91.15,5.59,0.52,2.74
Water Works 3,"1,798",,"1,540",130,15,113,85.65,7.23,0.83,6.28
Waterside,"2,794",,689,"1,866",55,184,24.66,66.79,1.97,6.59
West 1,"1,911",,"1,691",176,8,36,88.49,9.21,0.42,1.88
West 2,"1,351",,"1,258",80,5,8,93.12,5.92,0.37,0.59
Westland,"2,083",,"1,966",71,13,33,94.38,3.41,0.62,1.58
Whitehead,"2,159",,415,"1,462",35,247,19.22,67.72,1.62,11.44
Whitehill,"2,469",,293,"1,755",27,394,11.87,71.08,1.09,15.96
Whitehouse,"2,071",,114,"1,742",26,189,5.50,84.11,1.26,9.13
Whiterock 1,"1,615",,"1,480",88,10,37,91.64,5.45,0.62,2.29
Whiterock 2,"2,411",,"2,276",87,3,45,94.40,3.61,0.12,1.87
Whiterock 3,"1,668",,"1,546",95,4,23,92.69,5.70,0.24,1.38
Whitespots 1,"1,540",,204,"1,181",13,142,13.25,76.69,0.84,9.22
Whitespots 2,"1,485",,128,"1,220",28,109,8.62,82.15,1.89,7.34
Windsor 1,"1,662",,867,604,47,144,52.17,36.34,2.83,8.66
Windsor 2,"2,270",,"1,003",840,143,284,44.19,37.00,6.30,12.51
Windsor 3,"2,142",,716,985,190,251,33.43,45.99,8.87,11.72
Windsor 4,"2,067",,803,887,92,285,38.85,42.91,4.45,13.79
Windsor Hill 1,"1,614",,"1,392",179,10,33,86.25,11.09,0.62,2.04
Windsor Hill 2,"1,389",,826,458,35,70,59.47,32.97,2.52,5.04
Woodburn,"2,479",,150,"2,118",16,195,6.05,85.44,0.65,7.87
Woodstock 1,"1,499",,291,960,38,210,19.41,64.04,2.54,14.01
Woodstock 2,"2,061",,379,"1,326",59,297,18.39,64.34,2.86,14.41
Woodstock 3,"1,885",,385,"1,161",56,283,20.42,61.59,2.97,15.01
Woodvale 1,"1,353",,116,"1,118",13,106,8.57,82.63,0.96,7.83
Woodvale 2,"1,399",,72,"1,245",8,74,5.15,88.99,0.57,5.29
Woodvale 3,"1,336",,58,"1,192",3,83,4.34,89.22,0.22,6.21
Woodville 1,"1,519",,"1,340",124,16,39,88.22,8.16,1.05,2.57
Woodville 2,"2,179",,"2,072",76,11,20,95.09,3.49,0.50,0.92
Wynchurch,"2,190",,990,970,31,199,45.21,44.29,1.42,9.09
