,Year,Variables,,,,,,,,
,2011,,,,,,,,,
SOA,All usual residents,,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
Orangefield 2,"1,926",,185,"1,530",25,186,9.61,79.44,1.30,9.66
Orangefield 3,"1,899",,168,"1,518",25,188,8.85,79.94,1.32,9.90
Owenkillew,"2,350",,"2,132",195,2,21,90.72,8.30,0.09,0.89
Park,"2,139",,744,"1,216",29,150,34.78,56.85,1.36,7.01
Parkgate,"2,775",,197,"2,395",23,160,7.10,86.31,0.83,5.77
Parklake,"3,983",,"2,156","1,579",30,218,54.13,39.64,0.75,5.47
Pennyburn 1,"1,239",,"1,167",53,9,10,94.19,4.28,0.73,0.81
Pennyburn 2,"1,253",,"1,173",49,3,28,93.62,3.91,0.24,2.23
Plumbridge,"2,223",,"1,554",650,4,15,69.91,29.24,0.18,0.67
Poleglass 1,"1,986",,"1,855",99,1,31,93.40,4.98,0.05,1.56
Poleglass 2,"1,795",,"1,700",71,1,23,94.71,3.96,0.06,1.28
Pomeroy,"2,309",,"1,858",421,2,28,80.47,18.23,0.09,1.21
Portaferry 1,"1,889",,"1,424",385,2,78,75.38,20.38,0.11,4.13
Portaferry 2,"1,524",,"1,277",185,7,55,83.79,12.14,0.46,3.61
Portavogie 1,"2,387",,90,"2,091",28,178,3.77,87.60,1.17,7.46
Portavogie 2,"2,332",,498,"1,588",16,230,21.36,68.10,0.69,9.86
Portglenone 1,"1,555",,551,969,9,26,35.43,62.32,0.58,1.67
Portglenone 2,"1,581",,551,988,5,37,34.85,62.49,0.32,2.34
Portora,"3,117",,"1,796","1,139",39,143,57.62,36.54,1.25,4.59
Portstewart,"1,799",,582,"1,046",24,147,32.35,58.14,1.33,8.17
Poyntz Pass,"2,720",,950,"1,669",7,94,34.93,61.36,0.26,3.46
Princetown,"2,846",,516,"2,022",40,268,18.13,71.05,1.41,9.42
Quilly,"2,432",,351,"1,947",22,112,14.43,80.06,0.90,4.61
Quoile 1,"1,179",,805,318,6,50,68.28,26.97,0.51,4.24
Quoile 2,"1,523",,"1,187",259,11,66,77.94,17.01,0.72,4.33
Randalstown 1,"1,745",,"1,201",456,7,81,68.83,26.13,0.40,4.64
Randalstown 2,"1,562",,"1,081",412,3,66,69.21,26.38,0.19,4.23
Rathbrady,"1,452",,546,875,3,28,37.60,60.26,0.21,1.93
Rathfriland,"2,740",,"1,056","1,557",19,108,38.54,56.82,0.69,3.94
Rathgael,"2,215",,280,"1,672",23,240,12.64,75.49,1.04,10.84
Ravenhill 1,"2,082",,"1,070",769,27,216,51.39,36.94,1.30,10.37
Ravenhill 2,"1,826",,506,"1,054",46,220,27.71,57.72,2.52,12.05
Ravenhill 3,"2,133",,819,"1,010",48,256,38.40,47.35,2.25,12.00
Rich Hill 1,"1,308",,70,"1,187",5,46,5.35,90.75,0.38,3.52
Rich Hill 2,"1,702",,132,"1,462",14,94,7.76,85.90,0.82,5.52
Ringsend,"2,455",,"1,222","1,134",14,85,49.78,46.19,0.57,3.46
Roeside,"1,429",,558,822,7,42,39.05,57.52,0.49,2.94
Rosemount,"2,521",,"2,202",206,35,78,87.35,8.17,1.39,3.09
Rosetta 1,"3,099",,"1,732",982,82,303,55.89,31.69,2.65,9.78
Rosetta 2,"1,880",,"1,044",647,38,151,55.53,34.41,2.02,8.03
Rosetta 3,"1,585",,"1,097",379,14,95,69.21,23.91,0.88,5.99
Rosslea,"2,167",,"1,805",332,4,26,83.29,15.32,0.18,1.20
Rossorry,"2,444",,"1,375",930,21,118,56.26,38.05,0.86,4.83
Rostrevor,"2,893",,"2,507",275,19,92,86.66,9.51,0.66,3.18
Rostulla 1,"2,250",,776,"1,169",63,242,34.49,51.96,2.80,10.76
Rostulla 2,"2,644",,815,"1,394",121,314,30.82,52.72,4.58,11.88
Route,"1,529",,349,"1,088",15,77,22.83,71.16,0.98,5.04
Royal Portrush,"2,032",,565,"1,283",13,171,27.81,63.14,0.64,8.42
Saintfield 1,"1,695",,519,"1,042",12,122,30.62,61.47,0.71,7.20
Saintfield 2,"1,686",,371,"1,172",6,137,22.00,69.51,0.36,8.13
Sandholes,"1,817",,315,"1,435",17,50,17.34,78.98,0.94,2.75
Scrabo 1,"1,557",,87,"1,253",7,210,5.59,80.48,0.45,13.49
Scrabo 2,"1,483",,80,"1,196",7,200,5.39,80.65,0.47,13.49
Seacon,"2,684",,394,"2,100",25,165,14.68,78.24,0.93,6.15
Seaforde,"3,001",,"1,673","1,175",23,130,55.75,39.15,0.77,4.33
Seapatrick,"2,374",,544,"1,705",11,114,22.91,71.82,0.46,4.80
Seaview 1,"1,532",,"1,269",207,3,53,82.83,13.51,0.20,3.46
Seaview 2,"1,535",,"1,340",144,5,46,87.30,9.38,0.33,3.00
Seymour Hill,"2,502",,289,"1,951",52,210,11.55,77.98,2.08,8.39
Shaftesbury 1,"2,409",,"1,366",560,310,173,56.70,23.25,12.87,7.18
Shaftesbury 2,"2,711",,891,"1,349",78,393,32.87,49.76,2.88,14.50
Shaftesbury 3,"2,094",,290,"1,505",97,202,13.85,71.87,4.63,9.65
Shankill 1,"1,697",,120,"1,458",12,107,7.07,85.92,0.71,6.31
Shankill 2,"2,119",,180,"1,767",14,158,8.49,83.39,0.66,7.46
Shantallow East,"2,503",,"2,448",38,4,13,97.80,1.52,0.16,0.52
Shantallow West 1,"1,289",,"1,239",44,1,5,96.12,3.41,0.08,0.39
