time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Child Protection Plans,199,58.9,199,58.9,237,70.1,237,70.1,408,120.7,405,119.8,171,50.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Child Protection Plans,1248,49.7,1247,49.7,1775,70.7,1767,70.4,2613,104.1,2569,102.3,838,33.4
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Child Protection Plans,673,70.1,673,70.1,682,71,681,70.9,1226,127.6,1204,125.3,544,56.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Child Protection Plans,849,69.1,849,69.1,913,74.3,906,73.7,1644,133.8,1622,132,731,59.5
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Child Protection Plans,432,72.5,431,72.3,495,83.1,493,82.7,881,147.8,878,147.3,386,64.8
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Child Protection Plans,335,62.9,335,62.9,393,73.7,393,73.7,716,134.3,711,133.4,323,60.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Child Protection Plans,543,94.5,543,94.5,484,84.2,483,84.1,1032,179.6,1020,177.5,548,95.4
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Child Protection Plans,310,57.3,310,57.3,312,57.7,312,57.7,570,105.4,566,104.7,258,47.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Child Protection Plans,281,76.2,281,76.2,299,81.1,299,81.1,504,136.7,500,135.6,205,55.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Child Protection Plans,299,47.1,298,46.9,338,53.2,338,53.2,546,86,538,84.7,208,32.7
