time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Source of referral,3345,298,604,50,597,51,463,879,156,162,20,65
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Source of referral,2627,232,540,28,376,63,421,563,143,211,50,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Source of referral,2828,179,454,8,395,37,357,960,111,183,51,93
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Source of referral,1667,128,247,69,246,c,285,443,53,119,42,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Source of referral,5549,650,797,88,917,265,767,1289,270,112,193,201
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Source of referral,3997,344,853,0,636,50,555,1087,133,225,114,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Source of referral,2739,288,505,83,394,23,304,710,138,171,123,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Source of referral,9934,568,1867,123,1534,52,964,3825,418,414,169,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Source of referral,3088,250,538,55,365,31,326,1246,119,76,82,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Source of referral,4193,385,747,28,493,51,481,1355,249,161,85,158
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Source of referral,3300,436,0,684,390,17,689,665,103,212,104,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Source of referral,4375,445,523,244,520,47,580,1406,205,277,105,23
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Source of referral,4400,699,87,530,463,30,577,996,777,137,95,9
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Source of referral,10916,981,2536,c,1236,130,1190,3543,431,564,243,c
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Source of referral,3867,438,567,98,391,37,588,1026,239,194,253,36
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Source of referral,1417,143,100,138,152,c,257,407,84,98,c,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Source of referral,3827,282,686,28,607,57,686,1108,161,91,92,29
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Source of referral,3766,305,537,42,472,c,999,1073,175,70,59,c
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Source of referral,7080,562,926,82,1237,149,880,2034,303,574,333,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Source of referral,7511,812,1058,13,984,47,1264,2603,308,152,270,0
