time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,characteristic,Number,Percent
2018,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2740,5
2018,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5330,10
2018,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2990,6
2018,Reporting year,National,E92000001,England,Foster placements,Total,52340,100
2018,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2720,41
2018,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,1110,17
2018,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,290,4
2018,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,610,9
2018,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1980,30
2018,Reporting year,National,E92000001,England,Living independently,Total,6710,100
2018,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,660,67
2018,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,140,14
2018,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,20,2
2018,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,120,12
2018,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,40,4
2018,Reporting year,National,E92000001,England,Other,Total,980,100
2018,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,940,24
2018,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,850,22
2018,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,380,10
2018,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1200,31
2018,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,470,12
2018,Reporting year,National,E92000001,England,Placed for adoption,Total,3830,100
2018,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,4750,80
2018,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,680,11
2018,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,90,1
2018,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,380,6
2018,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,50,1
2018,Reporting year,National,E92000001,England,Placed with parents,Total,5940,100
2018,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1030,26
2018,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,1000,26
2018,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,70,2
2018,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1720,44
2018,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,70,2
2018,Reporting year,National,E92000001,England,Residential placements,Total,3880,100
2018,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,20,17
2018,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,10,15
2018,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,7
2018,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,49
2018,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,10,12
2018,Reporting year,National,E92000001,England,Residential schools,Total,90,100
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4000,33
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2320,19
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,470,4
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3670,31
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,1490,12
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,11950,100
2019,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,29290,56
2019,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,12030,23
2019,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2740,5
2019,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5650,11
2019,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,3000,6
2019,Reporting year,National,E92000001,England,Foster placements,Total,52710,100
2019,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2520,36
2019,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,1120,16
2019,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,280,4
2019,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,650,9
2019,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,2340,34
2019,Reporting year,National,E92000001,England,Living independently,Total,6910,100
2019,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,970,68
2019,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,190,13
2019,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,60,4
2019,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,180,13
2019,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,40,3
2019,Reporting year,National,E92000001,England,Other,Total,1440,100
2019,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,880,24
