time_period,time_identifier,geographic_level,country_code,country_name,placement_duration,placement_group,number,percentage
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Residential schools,10,17
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,"Secure units, children’s homes and semi-independent living accommodation",950,7
2021,Reporting year,National,E92000001,England,8. From 5 years and over,All placements,2080,3
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Foster placements,1910,4
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements,0,0
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements in the community,0,0
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other residential settings,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Placed for adoption,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Placed with parents or other person with parental responsibility,40,1
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Residential schools,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,"Secure units, children’s homes and semi-independent living accommodation",120,1
2021,Reporting year,National,E92000001,England,All placements,All placements,79090,100
2021,Reporting year,National,E92000001,England,All placements,Foster placements,44840,57
2021,Reporting year,National,E92000001,England,All placements,Other placements,2050,3
2021,Reporting year,National,E92000001,England,All placements,Other placements in the community,4640,6
2021,Reporting year,National,E92000001,England,All placements,Other residential settings,3540,4
2021,Reporting year,National,E92000001,England,All placements,Placed for adoption,3030,4
2021,Reporting year,National,E92000001,England,All placements,Placed with parents or other person with parental responsibility,6500,8
2021,Reporting year,National,E92000001,England,All placements,Residential schools,70,~
2021,Reporting year,National,E92000001,England,All placements,"Secure units, children’s homes and semi-independent living accommodation",14430,18
2021,Reporting year,National,E92000001,England,Average duration (days),All placements,343,z
2021,Reporting year,National,E92000001,England,Average duration (days),Foster placements,426,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other placements,89,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other placements in the community,193,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,101,z
2021,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,285,z
2021,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other person with parental responsibility,287,z
2021,Reporting year,National,E92000001,England,Average duration (days),Residential schools,559,z
2021,Reporting year,National,E92000001,England,Average duration (days),"Secure units, children’s homes and semi-independent living accommodation",262,z
2021,Reporting year,National,E92000001,England,Median duration (days),All placements,173,z
2021,Reporting year,National,E92000001,England,Median duration (days),Foster placements,209,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other placements,31,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other placements in the community,140,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other residential settings,53,z
2021,Reporting year,National,E92000001,England,Median duration (days),Placed for adoption,253,z
2021,Reporting year,National,E92000001,England,Median duration (days),Placed with parents or other person with parental responsibility,156,z
2021,Reporting year,National,E92000001,England,Median duration (days),Residential schools,259,z
2021,Reporting year,National,E92000001,England,Median duration (days),"Secure units, children’s homes and semi-independent living accommodation",147,z
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,All placements,9260,10
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Foster placements,6230,10
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements,440,23
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements in the community,360,6
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other residential settings,890,22
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed for adoption,30,1
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed with parents or other person with parental responsibility,330,5
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Residential schools,10,12
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,"Secure units, children’s homes and semi-independent living accommodation",980,7
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,All placements,9850,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Foster placements,5690,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements,440,23
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements in the community,730,12
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other residential settings,780,20
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed for adoption,30,1
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed with parents or other person with parental responsibility,680,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Residential schools,c,c
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,"Secure units, children’s homes and semi-independent living accommodation",1490,10
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,All placements,13920,14
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Foster placements,6740,11
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements,420,22
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements in the community,1330,22
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other residential settings,960,24
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed for adoption,200,5
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed with parents or other person with parental responsibility,1330,19
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Residential schools,10,16
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,"Secure units, children’s homes and semi-independent living accommodation",2930,20
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,All placements,15390,16
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Foster placements,7930,13
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements,340,18
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements in the community,1330,22
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other residential settings,750,19
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed for adoption,1050,29
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed with parents or other person with parental responsibility,1300,19
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Residential schools,10,12
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,"Secure units, children’s homes and semi-independent living accommodation",2690,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,All placements,19070,20
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Foster placements,11030,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements,210,11
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements in the community,1510,25
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other residential settings,390,10
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed for adoption,1860,51
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed with parents or other person with parental responsibility,1240,18
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Residential schools,20,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,"Secure units, children’s homes and semi-independent living accommodation",2820,19
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,All placements,17680,18
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Foster placements,12500,21
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements,70,4
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements in the community,840,14
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other residential settings,150,4
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed for adoption,430,12
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed with parents or other person with parental responsibility,1250,18
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Residential schools,20,17
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,"Secure units, children’s homes and semi-independent living accommodation",2420,17
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,All placements,9040,9
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Foster placements,7110,12
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements,10,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements in the community,10,~
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other residential settings,60,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed for adoption,50,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed with parents or other person with parental responsibility,700,10
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Residential schools,10,14
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,"Secure units, children’s homes and semi-independent living accommodation",1090,7
2020,Reporting year,National,E92000001,England,8. From 5 years and over,All placements,2280,2
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Foster placements,2100,4
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements in the community,0,0
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other residential settings,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Placed for adoption,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Placed with parents or other person with parental responsibility,60,1
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Residential schools,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,"Secure units, children’s homes and semi-independent living accommodation",110,1
2020,Reporting year,National,E92000001,England,All placements,All placements,96480,100
2020,Reporting year,National,E92000001,England,All placements,Foster placements,59330,61
2020,Reporting year,National,E92000001,England,All placements,Other placements,1920,2
2020,Reporting year,National,E92000001,England,All placements,Other placements in the community,6110,6
2020,Reporting year,National,E92000001,England,All placements,Other residential settings,3980,4
2020,Reporting year,National,E92000001,England,All placements,Placed for adoption,3650,4
2020,Reporting year,National,E92000001,England,All placements,Placed with parents or other person with parental responsibility,6880,7
2020,Reporting year,National,E92000001,England,All placements,Residential schools,90,~
2020,Reporting year,National,E92000001,England,All placements,"Secure units, children’s homes and semi-independent living accommodation",14510,15
2020,Reporting year,National,E92000001,England,Average duration (days),All placements,345,z
2020,Reporting year,National,E92000001,England,Average duration (days),Foster placements,415,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other placements,92,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other placements in the community,179,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,103,z
2020,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,245,z
2020,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other person with parental responsibility,307,z
2020,Reporting year,National,E92000001,England,Average duration (days),Residential schools,449,z
2020,Reporting year,National,E92000001,England,Average duration (days),"Secure units, children’s homes and semi-independent living accommodation",270,z
2020,Reporting year,National,E92000001,England,Median duration (days),All placements,182,z
2020,Reporting year,National,E92000001,England,Median duration (days),Foster placements,224,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other placements,38,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other placements in the community,130,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other residential settings,49,z
2020,Reporting year,National,E92000001,England,Median duration (days),Placed for adoption,214,z
2020,Reporting year,National,E92000001,England,Median duration (days),Placed with parents or other person with parental responsibility,168,z
2020,Reporting year,National,E92000001,England,Median duration (days),Residential schools,234,z
2020,Reporting year,National,E92000001,England,Median duration (days),"Secure units, children’s homes and semi-independent living accommodation",149,z
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,All placements,9180,10
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Foster placements,6350,11
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements,310,23
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements in the community,540,8
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Other residential settings,890,22
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed for adoption,30,1
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed with parents or other person with parental responsibility,290,5
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,Residential schools,c,c
2019,Reporting year,National,E92000001,England,1. 1 to 7 days,"Secure units, children’s homes and semi-independent living accommodation",770,6
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,All placements,10180,11
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Foster placements,5930,10
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements,360,26
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements in the community,980,14
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other residential settings,800,20
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed for adoption,20,1
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed with parents or other person with parental responsibility,700,11
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Residential schools,c,c
2019,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,"Secure units, children’s homes and semi-independent living accommodation",1400,11
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,All placements,13530,14
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Foster placements,6930,11
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements,290,22
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements in the community,1500,22
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other residential settings,1020,25
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed for adoption,160,4
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed with parents or other person with parental responsibility,1190,19
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Residential schools,10,13
2019,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,"Secure units, children’s homes and semi-independent living accommodation",2430,19
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,All placements,15230,16
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Foster placements,8360,14
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements,210,16
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements in the community,1450,21
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other residential settings,710,18
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed for adoption,1000,27
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed with parents or other person with parental responsibility,1190,19
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Residential schools,10,12
2019,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,"Secure units, children’s homes and semi-independent living accommodation",2300,18
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,All placements,19200,20
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Foster placements,11650,19
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements,130,9
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements in the community,1560,23
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other residential settings,380,9
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed for adoption,1980,53
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed with parents or other person with parental responsibility,1090,17
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Residential schools,20,22
2019,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,"Secure units, children’s homes and semi-independent living accommodation",2400,19
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,All placements,14930,16
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Foster placements,10400,17
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements,60,4
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements in the community,780,11
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other residential settings,160,4
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed for adoption,500,13
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed with parents or other person with parental responsibility,1040,16
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Residential schools,20,19
2019,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,"Secure units, children’s homes and semi-independent living accommodation",1980,16
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,All placements,10720,11
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Foster placements,8520,14
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements,c,c
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements in the community,10,~
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other residential settings,70,2
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed for adoption,60,2
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed with parents or other person with parental responsibility,790,12
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Residential schools,20,24
2019,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,"Secure units, children’s homes and semi-independent living accommodation",1230,10
2019,Reporting year,National,E92000001,England,8. From 5 years and over,All placements,2450,3
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Foster placements,2260,4
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements,0,0
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements in the community,0,0
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Other residential settings,c,c
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Placed for adoption,c,c
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Placed with parents or other person with parental responsibility,70,1
2019,Reporting year,National,E92000001,England,8. From 5 years and over,Residential schools,c,c
2019,Reporting year,National,E92000001,England,8. From 5 years and over,"Secure units, children’s homes and semi-independent living accommodation",110,1
2019,Reporting year,National,E92000001,England,All placements,All placements,95410,100
2019,Reporting year,National,E92000001,England,All placements,Foster placements,60400,63
2019,Reporting year,National,E92000001,England,All placements,Other placements,1360,1
2019,Reporting year,National,E92000001,England,All placements,Other placements in the community,6820,7
2019,Reporting year,National,E92000001,England,All placements,Other residential settings,4030,4
2019,Reporting year,National,E92000001,England,All placements,Placed for adoption,3750,4
2019,Reporting year,National,E92000001,England,All placements,Placed with parents or other person with parental responsibility,6360,7
2019,Reporting year,National,E92000001,England,All placements,Residential schools,100,~
2019,Reporting year,National,E92000001,England,All placements,"Secure units, children’s homes and semi-independent living accommodation",12610,13
2019,Reporting year,National,E92000001,England,Average duration (days),All placements,358,z
2019,Reporting year,National,E92000001,England,Average duration (days),Foster placements,425,z
2019,Reporting year,National,E92000001,England,Average duration (days),Other placements,84,z
2019,Reporting year,National,E92000001,England,Average duration (days),Other placements in the community,162,z
2019,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,105,z
2019,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,255,z
2019,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other person with parental responsibility,330,z
2019,Reporting year,National,E92000001,England,Average duration (days),Residential schools,494,z
2019,Reporting year,National,E92000001,England,Average duration (days),"Secure units, children’s homes and semi-independent living accommodation",292,z
2019,Reporting year,National,E92000001,England,Median duration (days),All placements,180,z
2019,Reporting year,National,E92000001,England,Median duration (days),Foster placements,215,z
2019,Reporting year,National,E92000001,England,Median duration (days),Other placements,31,z
2019,Reporting year,National,E92000001,England,Median duration (days),Other placements in the community,112,z
2019,Reporting year,National,E92000001,England,Median duration (days),Other residential settings,48,z
2019,Reporting year,National,E92000001,England,Median duration (days),Placed for adoption,220,z
2019,Reporting year,National,E92000001,England,Median duration (days),Placed with parents or other person with parental responsibility,166,z
2019,Reporting year,National,E92000001,England,Median duration (days),Residential schools,332,z
2019,Reporting year,National,E92000001,England,Median duration (days),"Secure units, children’s homes and semi-independent living accommodation",156,z
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,All placements,9670,10
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Foster placements,6780,11
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements,230,26
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements in the community,520,8
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Other residential settings,830,22
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed for adoption,40,1
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed with parents or other person with parental responsibility,330,6
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,Residential schools,10,6
2018,Reporting year,National,E92000001,England,1. 1 to 7 days,"Secure units, children’s homes and semi-independent living accommodation",950,8
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,All placements,9890,11
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Foster placements,6020,10
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements,250,28
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements in the community,960,14
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other residential settings,750,19
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed for adoption,30,1
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed with parents or other person with parental responsibility,590,10
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Residential schools,10,6
2018,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,"Secure units, children’s homes and semi-independent living accommodation",1290,11
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,All placements,13430,14
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Foster placements,7000,12
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements,180,20
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements in the community,1520,22
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other residential settings,1050,27
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed for adoption,180,4
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed with parents or other person with parental responsibility,1120,19
2018,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Residential schools,10,7
