LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2014,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_taken2018,CLA_taken2018_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc
109,E09000002,LA,301,Barking and Dagenham,310,268,210,195,194,104,54,106,88,55,45,31,33,35,51,44,16,17,18,26,23,139,x,x,22,x,17,0,10,72,x,x,11,x,9,0,5,65,x,x,67,36,x,0,x,0,0,34,x,x,35,19,x,0,x,0,0
110,E09000003,LA,302,Barnet,171,176,182,206,173,49,28,112,61,65,35,32,9,15,57,60,18,5,9,33,35,76,x,x,19,24,7,x,39,44,x,x,11,14,4,x,23,30,x,0,115,14,x,0,x,0,0,17,x,0,66,8,x,0,x,0,0
111,E09000004,LA,303,Bexley,171,166,165,122,127,65,51,67,60,53,47,22,19,17,29,40,17,15,13,23,31,79,0,x,9,13,x,0,17,62,0,x,7,10,x,0,13,39,0,x,58,x,x,0,x,0,0,31,0,x,46,x,x,0,x,0,0
112,E09000005,LA,304,Brent,237,237,228,214,166,72,43,94,72,57,43,19,18,12,59,58,11,11,7,36,35,73,x,x,11,23,24,0,22,44,x,x,7,14,14,0,13,21,x,x,75,46,x,0,18,0,0,13,x,x,45,28,x,0,11,0,0
113,E09000006,LA,305,Bromley,172,149,151,179,161,71,44,95,66,59,41,21,15,34,51,40,13,9,21,32,25,92,x,x,9,24,7,0,22,57,x,x,6,15,4,0,14,45,9,x,81,10,x,0,7,0,x,28,6,x,50,6,x,0,4,0,x
114,E09000008,LA,306,Croydon,404,420,414,446,426,135,32,269,157,63,37,51,43,50,177,105,12,10,12,42,25,204,7,8,26,30,11,0,140,48,2,2,6,7,3,0,33,74,x,0,265,49,x,0,25,x,0,17,x,0,62,12,x,0,6,x,0
115,E09000009,LA,307,Ealing,243,181,244,177,180,89,49,88,92,49,51,23,19,23,55,60,13,11,13,31,33,67,x,17,25,19,x,x,38,37,x,9,14,11,x,x,21,33,x,x,87,51,x,0,x,0,0,18,x,x,48,28,x,0,x,0,0
116,E09000010,LA,308,Enfield,176,239,220,183,174,83,48,102,72,59,41,27,16,30,56,45,16,9,17,32,26,93,x,x,13,13,13,0,31,53,x,x,7,7,7,0,18,34,6,0,73,43,0,0,18,0,0,20,3,0,42,25,0,0,10,0,0
98,E09000014,LA,309,Haringey,230,187,169,210,199,87,44,125,74,63,37,31,32,20,60,56,16,16,10,30,28,105,x,16,11,20,10,x,31,53,x,8,6,10,5,x,16,38,0,0,96,44,x,0,x,0,0,19,0,0,48,22,x,0,x,0,0
118,E09000015,LA,310,Harrow,135,123,140,182,108,39,36,62,46,57,43,13,12,18,31,34,12,11,17,29,31,50,x,x,6,12,12,x,19,46,x,x,6,11,11,x,18,6,x,0,64,29,0,x,x,0,0,6,x,0,59,27,0,x,x,0,0
119,E09000016,LA,311,Havering,146,222,147,159,128,57,45,86,42,67,33,17,17,19,36,39,13,13,15,28,30,70,x,x,x,14,13,0,25,55,x,x,x,11,10,0,20,18,x,x,69,31,x,0,0,0,0,14,x,x,54,24,x,0,0,0,0
120,E09000017,LA,312,Hillingdon,201,232,260,227,214,53,25,137,77,64,36,19,25,21,60,89,9,12,10,28,42,133,0,x,11,13,7,x,42,62,0,x,5,6,3,x,20,21,0,0,159,28,x,0,x,0,0,10,0,0,74,13,x,0,x,0,0
121,E09000018,LA,313,Hounslow,160,154,157,145,140,58,41,71,69,51,49,17,18,21,42,42,12,13,15,30,30,102,x,0,x,9,x,0,20,73,x,0,x,6,x,0,14,23,x,x,74,32,x,0,x,0,0,16,x,x,53,23,x,0,x,0,0
122,E09000021,LA,314,Kingston upon Thames,53,58,77,60,68,26,38,43,25,63,37,x,15,x,21,15,x,22,x,31,22,38,0,x,10,x,x,0,14,56,0,x,15,x,x,0,21,14,0,0,41,x,x,0,x,0,0,21,0,0,60,x,x,0,x,0,0
123,E09000024,LA,315,Merton,115,107,122,100,86,26,30,45,41,52,48,9,10,13,28,26,10,12,15,33,30,33,x,x,x,19,0,0,19,38,x,x,x,22,0,0,22,9,x,x,56,7,6,0,x,0,x,10,x,x,65,8,7,0,x,0,x
103,E09000025,LA,316,Newham,267,289,219,309,242,107,44,120,122,50,50,28,23,24,87,80,12,10,10,36,33,98,x,x,25,43,16,0,47,40,x,x,10,18,7,0,19,28,x,0,125,73,x,0,10,0,0,12,x,0,52,30,x,0,4,0,0
124,E09000026,LA,317,Redbridge,145,117,137,186,142,55,39,76,66,54,46,22,19,13,41,47,15,13,9,29,33,93,x,6,x,8,6,0,21,65,x,4,x,6,4,0,15,29,0,0,79,22,x,0,x,0,0,20,0,0,56,15,x,0,x,0,0
125,E09000027,LA,318,Richmond upon Thames,47,66,70,68,60,15,25,35,25,58,42,10,7,7,18,18,17,12,12,30,30,35,x,x,x,x,x,0,8,58,x,x,x,x,x,0,13,11,0,0,42,x,x,0,x,0,0,18,0,0,70,x,x,0,x,0,0
126,E09000029,LA,319,Sutton,96,139,136,124,96,39,41,52,44,54,46,13,15,20,23,25,14,16,21,24,26,40,x,x,18,15,x,0,17,42,x,x,19,16,x,0,18,25,x,0,56,x,6,0,x,0,0,26,x,0,58,x,6,0,x,0,0
127,E09000031,LA,320,Waltham Forest,162,165,183,172,144,60,42,82,62,57,43,21,11,19,47,46,15,8,13,33,32,67,x,x,19,15,6,0,29,47,x,x,13,10,4,0,20,x,x,0,80,38,0,0,x,0,0,x,x,0,56,26,0,0,x,0,0
66,E08000025,LA,330,Birmingham,657,936,710,740,750,389,52,442,308,59,41,138,127,106,207,172,18,17,14,28,23,514,x,11,69,53,19,x,74,69,x,1,9,7,3,x,10,208,x,0,315,153,26,0,42,x,0,28,x,0,42,20,3,0,6,x,0
67,E08000026,LA,331,Coventry,336,315,268,283,255,140,55,146,109,57,43,56,35,51,75,38,22,14,20,29,15,226,0,x,x,11,x,x,x,89,0,x,x,4,x,x,x,82,9,x,103,46,x,0,7,x,0,32,4,x,40,18,x,0,3,x,0
68,E08000027,LA,332,Dudley,181,176,190,160,169,109,64,93,76,55,45,49,37,31,39,13,29,22,18,23,8,130,x,7,x,14,x,0,7,77,x,4,x,8,x,0,4,89,0,0,57,x,0,0,x,0,0,53,0,0,34,x,0,0,x,0,0
70,E08000028,LA,333,Sandwell,218,144,200,252,338,205,61,185,153,55,45,65,57,88,80,48,19,17,26,24,14,252,x,x,20,34,x,0,26,75,x,x,6,10,x,0,8,179,x,0,126,19,x,0,7,0,0,53,x,0,37,6,x,0,2,0,0
72,E08000029,LA,334,Solihull,125,143,152,166,172,57,33,103,69,60,40,26,30,40,52,24,15,17,23,30,14,48,x,28,51,x,12,x,25,28,x,16,30,x,7,x,15,37,x,0,113,x,x,0,x,0,0,22,x,0,66,x,x,0,x,0,0
76,E08000030,LA,335,Walsall,227,193,184,183,204,121,59,100,104,49,51,53,35,35,54,27,26,17,17,26,13,108,x,x,9,48,17,0,11,53,x,x,4,24,8,0,5,86,x,0,79,x,0,0,x,0,0,42,x,0,39,x,0,0,x,0,0
78,E08000031,LA,336,Wolverhampton,333,234,132,166,179,86,48,91,88,51,49,48,39,31,43,18,27,22,17,24,10,112,x,x,16,33,10,0,x,63,x,x,9,18,6,0,x,69,0,0,74,x,x,0,19,0,0,39,0,0,41,x,x,0,11,0,0
