LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Act_EET19to21,CL_Act_EET19,CL_Act_EET20,CL_Act_EET21,CL_Act_HE19to21,CL_Act_HE19,CL_Act_HE20,CL_Act_HE21,CL_Act_OE19to21,CL_Act_OE19,CL_Act_OE20,CL_Act_OE21,CL_Act_TE19to21,CL_Act_TE19,CL_Act_TE20,CL_Act_TE21,CL_Act_NEET19to21,CL_Act_NEET19,CL_Act_NEET20,CL_Act_NEET21,CL_Act_NEET_ill19to21,CL_Act_NEET_ill19,CL_Act_NEET_ill20,CL_Act_NEET_ill21,CL_Act_NEET_oth19to21,CL_Act_NEET_oth19,CL_Act_NEET_oth20,CL_Act_NEET_oth21,CL_Act_NEET_preg19to21,CL_Act_NEET_preg19,CL_Act_NEET_preg20,CL_Act_NEET_preg21,CL_Act_NoInf19to21,CL_Act_NoInf19,CL_Act_NoInf20,CL_Act_NoInf21,CL_Act_EET19to21_pc,CL_Act_EET19_pc,CL_Act_EET20_pc,CL_Act_EET21_pc,CL_Act_HE19to21_pc,CL_Act_HE19_pc,CL_Act_HE20_pc,CL_Act_HE21_pc,CL_Act_OE19to21_pc,CL_Act_OE19_pc,CL_Act_OE20_pc,CL_Act_OE21_pc,CL_Act_TE19to21_pc,CL_Act_TE19_pc,CL_Act_TE20_pc,CL_Act_TE21_pc,CL_Act_NEET19to21_pc,CL_Act_NEET19_pc,CL_Act_NEET20_pc,CL_Act_NEET21_pc,CL_Act_NEET_ill19to21_pc,CL_Act_NEET_ill19_pc,CL_Act_NEET_ill20_pc,CL_Act_NEET_ill21_pc,CL_Act_NEET_oth19to21_pc,CL_Act_NEET_oth19_pc,CL_Act_NEET_oth20_pc,CL_Act_NEET_oth21_pc,CL_Act_NEET_preg19to21_pc,CL_Act_NEET_preg19_pc,CL_Act_NEET_preg20_pc,CL_Act_NEET_preg21_pc,CL_Act_NoInf19to21_pc,CL_Act_NoInf19_pc,CL_Act_NoInf20_pc,CL_Act_NoInf21_pc,CL_InTouch_IT19to21,CL_InTouch_IT19,CL_InTouch_IT20,CL_InTouch_IT21,CL_InTouch_Refu19to21,CL_InTouch_Refu19,CL_InTouch_Refu20,CL_InTouch_Refu21,CL_InTouch_NoServ19to21,CL_InTouch_NoServ19,CL_InTouch_NoServ20,CL_InTouch_NoServ21,CL_InTouch_Not19to21,CL_InTouch_Not19,CL_InTouch_Not20,CL_InTouch_Not21,CL_InTouch_IT19to21_pc,CL_InTouch_IT19_pc,CL_InTouch_IT20_pc,CL_InTouch_IT21_pc,CL_InTouch_Refu19to21_pc,CL_InTouch_Refu19_pc,CL_InTouch_Refu20_pc,CL_InTouch_Refu21_pc,CL_InTouch_NoServ19to21_pc,CL_InTouch_NoServ19_pc,CL_InTouch_NoServ20_pc,CL_InTouch_NoServ21_pc,CL_InTouch_Not19to21_pc,CL_InTouch_Not19_pc,CL_InTouch_Not20_pc,CL_InTouch_Not21_pc
102,E09000023,LA,209,Lewisham,263,100,83,80,113,51,30,32,27,12,x,7,35,25,x,x,51,14,18,19,95,34,37,24,9,x,x,x,72,27,25,x,14,x,x,x,55,15,16,24,43,51,36,40,10,12,x,9,13,25,x,x,19,14,22,24,36,34,45,30,3,x,x,x,27,27,30,x,5,x,x,x,21,15,19,30,200,84,62,54,x,0,x,x,48,x,14,x,x,x,x,x,76,84,75,68,x,0,x,x,18,x,17,x,x,x,x,x
104,E09000028,LA,210,Southwark,286,94,95,97,162,56,54,52,24,x,x,13,57,27,16,14,81,x,32,25,97,31,34,32,x,x,x,x,82,x,27,26,x,x,x,x,27,7,7,13,57,60,57,54,8,x,x,13,20,29,17,14,28,x,34,26,34,33,36,33,x,x,x,x,29,x,28,27,x,x,x,x,9,7,7,13,258,87,87,84,x,0,x,x,x,0,x,x,22,7,x,x,90,93,92,87,x,0,x,x,x,0,x,x,8,7,x,x
105,E09000030,LA,211,Tower Hamlets,219,71,72,76,130,46,43,41,20,x,8,x,49,17,19,x,61,22,16,23,73,19,x,29,8,x,x,x,55,x,18,23,10,x,x,x,16,6,x,x,59,65,60,54,9,x,11,x,22,24,26,x,28,31,22,30,33,27,x,38,4,x,x,x,25,x,25,30,5,x,x,x,7,8,x,x,172,63,62,47,0,0,0,0,0,0,0,0,47,8,10,29,79,89,86,62,0,0,0,0,0,0,0,0,21,11,14,38
106,E09000032,LA,212,Wandsworth,149,58,46,45,77,38,x,21,7,x,x,x,39,25,6,x,31,x,10,12,62,x,26,17,11,x,x,x,45,15,19,11,6,x,x,x,10,x,x,x,52,66,x,47,5,x,x,x,26,43,13,x,21,x,22,27,42,x,57,38,7,x,x,x,30,26,41,24,4,x,x,x,7,x,x,x,137,x,x,37,x,0,x,x,x,0,0,x,x,x,x,x,92,x,x,82,x,0,x,x,x,0,0,x,x,x,x,x
107,E09000033,LA,213,Westminster,123,42,45,36,67,26,25,16,32,16,x,7,11,x,x,x,24,x,12,x,36,10,13,13,x,x,0,x,27,x,x,x,x,x,x,x,20,6,7,7,54,62,56,44,26,38,x,19,9,x,x,x,20,x,27,x,29,24,29,36,x,x,0,x,22,x,x,x,x,x,x,x,16,14,16,19,103,36,38,29,0,0,0,0,0,0,0,0,20,6,7,7,84,86,84,81,0,0,0,0,0,0,0,0,16,14,16,19
109,E09000002,LA,301,Barking and Dagenham,175,74,48,53,93,48,22,23,11,x,x,x,64,37,13,14,18,x,x,x,46,17,10,19,0,0,0,0,x,17,x,x,x,0,x,x,36,9,16,11,53,65,46,43,6,x,x,x,37,50,27,26,10,x,x,x,26,23,21,36,0,0,0,0,x,23,x,x,x,0,x,x,21,12,33,21,139,65,32,42,0,0,0,0,0,0,0,0,36,9,16,11,79,88,67,79,0,0,0,0,0,0,0,0,21,12,33,21
110,E09000003,LA,302,Barnet,185,62,58,65,82,26,26,30,18,x,x,7,36,12,13,11,28,x,7,12,76,30,26,20,7,x,x,x,60,23,x,x,9,x,x,x,27,6,6,15,44,42,45,46,10,x,x,11,19,19,22,17,15,x,12,18,41,48,45,31,4,x,x,x,32,37,x,x,5,x,x,x,15,10,10,23,158,56,52,50,8,x,x,x,11,x,x,8,8,x,x,x,85,90,90,77,4,x,x,x,6,x,x,12,4,x,x,x
111,E09000004,LA,303,Bexley,132,57,36,39,77,37,19,21,7,x,x,x,40,22,11,x,30,x,x,12,x,x,17,18,x,0,x,x,37,16,11,10,11,x,x,x,x,x,0,0,58,65,53,54,5,x,x,x,30,39,31,x,23,x,x,31,x,x,47,46,5,0,x,x,28,28,31,26,8,x,x,x,x,x,0,0,114,x,x,31,x,x,0,0,x,x,0,x,x,x,x,x,86,x,x,79,x,x,0,0,x,x,0,x,x,x,x,x
112,E09000005,LA,304,Brent,223,82,71,70,111,41,39,31,31,8,9,14,48,22,17,9,32,11,13,8,69,29,19,21,6,x,x,x,52,21,x,14,11,x,0,x,43,12,13,18,50,50,55,44,14,10,13,20,22,27,24,13,14,13,18,11,31,35,27,30,3,x,x,x,23,26,x,20,5,x,0,x,19,15,18,26,178,70,58,50,13,x,x,x,6,x,x,x,26,x,6,11,80,85,82,71,6,x,x,x,3,x,x,x,12,x,8,16
113,E09000006,LA,305,Bromley,153,58,42,53,70,28,16,26,11,x,x,x,33,22,x,x,26,x,x,15,54,22,14,18,x,0,x,x,42,x,x,11,x,x,x,x,29,8,12,9,46,48,38,49,7,x,x,x,22,38,x,x,17,x,x,28,35,38,33,34,x,0,x,x,27,x,x,21,x,x,x,x,19,14,29,17,124,50,30,44,x,x,x,0,x,x,x,x,x,x,x,x,81,86,71,83,x,x,x,0,x,x,x,x,x,x,x,x
114,E09000008,LA,306,Croydon,673,250,227,196,335,128,119,88,45,6,20,19,185,82,66,37,105,40,33,32,208,69,77,62,19,x,6,6,175,61,64,50,14,x,7,x,130,53,31,46,50,51,52,45,7,2,9,10,27,33,29,19,16,16,15,16,31,28,34,32,3,x,3,3,26,24,28,26,2,x,3,x,19,21,14,23,527,192,193,142,12,x,x,x,8,x,x,x,126,52,28,46,78,77,85,72,2,x,x,x,1,x,x,x,19,21,12,23
115,E09000009,LA,307,Ealing,201,79,56,66,123,55,31,37,19,x,8,x,52,26,13,13,52,x,10,18,56,17,18,21,12,x,x,6,29,10,11,8,15,x,x,7,22,7,7,8,61,70,55,56,9,x,14,x,26,33,23,20,26,x,18,27,28,22,32,32,6,x,x,9,14,13,20,12,7,x,x,11,11,9,13,12,179,72,49,58,10,x,x,x,x,x,x,x,x,x,x,x,89,91,88,88,5,x,x,x,x,x,x,x,x,x,x,x
116,E09000010,LA,308,Enfield,222,86,85,51,106,42,40,24,14,x,x,7,48,25,17,6,44,x,17,11,90,33,36,21,23,x,12,x,56,24,18,14,11,x,x,x,26,11,9,6,48,49,47,47,6,x,x,14,22,29,20,12,20,x,20,22,41,38,42,41,10,x,14,x,25,28,21,27,5,x,x,x,12,13,11,12,188,73,71,44,x,x,x,0,x,x,x,x,26,x,x,x,85,85,84,86,x,x,x,0,x,x,x,x,12,x,x,x
98,E09000014,LA,309,Haringey,243,69,86,88,128,38,47,43,29,7,12,10,48,20,19,9,51,11,16,24,97,x,33,35,10,x,0,x,73,20,27,26,14,x,6,x,18,x,x,10,53,55,55,49,12,10,14,11,20,29,22,10,21,16,19,27,40,x,38,40,4,x,0,x,30,29,31,30,6,x,7,x,7,x,x,11,201,59,73,69,16,6,x,7,10,x,x,6,16,x,7,6,83,86,85,78,7,9,x,8,4,x,x,7,7,x,8,7
118,E09000015,LA,310,Harrow,118,43,38,37,74,27,22,25,8,x,x,x,40,19,14,x,26,x,x,13,28,x,9,6,x,x,0,x,22,11,x,x,x,x,x,0,16,x,7,x,63,63,58,68,7,x,x,x,34,44,37,x,22,x,x,35,24,x,24,16,x,x,0,x,19,26,x,x,x,x,x,0,14,x,18,x,102,x,31,31,x,x,0,x,x,0,0,x,x,x,7,x,86,x,82,84,x,x,0,x,x,0,0,x,x,x,18,x
119,E09000016,LA,311,Havering,125,38,48,39,63,26,21,x,x,x,x,0,43,20,x,7,x,x,x,9,50,x,21,18,10,x,x,x,24,8,10,x,16,x,x,8,12,x,6,x,50,68,44,x,x,x,x,0,34,53,x,18,x,x,x,23,40,x,44,46,8,x,x,x,19,21,21,x,13,x,x,21,10,x,13,x,111,x,41,33,x,0,x,x,x,0,x,x,8,x,x,x,89,x,85,85,x,0,x,x,x,0,x,x,6,x,x,x
120,E09000017,LA,312,Hillingdon,303,100,87,116,168,61,49,58,20,x,x,13,103,48,31,24,45,x,x,21,97,28,26,43,10,x,0,x,75,x,x,31,12,x,x,x,38,11,12,15,55,61,56,50,7,x,x,11,34,48,36,21,15,x,x,18,32,28,30,37,3,x,0,x,25,x,x,27,4,x,x,x,13,11,14,13,254,85,72,97,x,x,x,0,x,x,x,0,42,x,x,19,84,85,83,84,x,x,x,0,x,x,x,0,14,x,x,16
121,E09000018,LA,313,Hounslow,215,77,73,65,101,42,34,25,15,x,7,x,41,26,7,8,45,x,20,11,86,x,x,22,9,x,x,x,70,24,28,x,7,x,x,x,28,x,x,18,47,55,47,38,7,x,10,x,19,34,10,12,21,x,27,17,40,x,x,34,4,x,x,x,33,31,38,x,3,x,x,x,13,x,x,28,169,66,60,43,6,x,x,x,28,x,x,x,12,x,6,x,79,86,82,66,3,x,x,x,13,x,x,x,6,x,8,x
122,E09000021,LA,314,Kingston upon Thames,76,21,26,29,39,12,13,14,x,x,x,0,28,x,x,x,x,x,x,x,17,x,x,7,x,x,x,x,9,x,x,x,x,x,0,x,20,x,x,8,51,57,50,48,x,x,x,0,37,x,x,x,x,x,x,x,22,x,x,24,x,x,x,x,12,x,x,x,x,x,0,x,26,x,x,28,56,x,19,21,7,x,x,x,7,x,x,x,6,0,x,x,74,x,73,72,9,x,x,x,9,x,x,x,8,0,x,x
