LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_EET17&18,CL_Act_EET17,CL_Act_EET18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET17&18,CL_Act_NEET17,CL_Act_NEET18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Act_EET17&18_pc,CL_Act_EET17_pc,CL_Act_EET18_pc,CL_Act_HE17&18_pc,CL_Act_HE17_pc,CL_Act_HE18_pc,CL_Act_OE17&18_pc,CL_Act_OE17_pc,CL_Act_OE18_pc,CL_Act_TE17&18_pc,CL_Act_TE17_pc,CL_Act_TE18_pc,CL_Act_NEET17&18_pc,CL_Act_NEET17_pc,CL_Act_NEET18_pc,CL_Act_NEET_ill17&18_pc,CL_Act_NEET_ill17_pc,CL_Act_NEET_ill18_pc,CL_Act_NEET_oth17&18_pc,CL_Act_NEET_oth17_pc,CL_Act_NEET_oth18_pc,CL_Act_NEET_preg17&18_pc,CL_Act_NEET_preg17_pc,CL_Act_NEET_preg18_pc,CL_Act_NoInf17&18_pc,CL_Act_NoInf17_pc,CL_Act_NoInf18_pc,CL_Acc_Total_SUIT17&18,CL_Acc_Total_SUIT17,CL_Acc_Total_SUIT18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_SUIT17&18_pc,CL_Acc_SUIT17_pc,CL_Acc_SUIT18_pc,CL_Acc_NotSUIT17&18_pc,CL_Acc_NotSUIT17_pc,CL_Acc_NotSUIT18_pc,CL_Acc_NoSUITInfo17&18_pc,CL_Acc_NoSUITInfo17_pc,CL_Acc_NoSUITInfo18_pc,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_Acc_P17&18_pc,CL_Acc_P17_pc,CL_Acc_P18_pc,CL_Acc_CH17&18_pc,CL_Acc_CH17_pc,CL_Acc_CH18_pc,CL_Acc_SITA17&18_pc,CL_Acc_SITA17_pc,CL_Acc_SITA18_pc,CL_Acc_SL17&18_pc,CL_Acc_SL17_pc,CL_Acc_SL18_pc,CL_Acc_GA17&18_pc,CL_Acc_GA17_pc,CL_Acc_GA18_pc,CL_Acc_Dep17&18_pc,CL_Acc_Dep17_pc,CL_Acc_Dep18_pc,CL_Acc_OL17&18_pc,CL_Acc_OL17_pc,CL_Acc_OL18_pc,CL_Acc_NK17&18_pc,CL_Acc_NK17_pc,CL_Acc_NK18_pc,CL_Acc_NFA17&18_pc,CL_Acc_NFA17_pc,CL_Acc_NFA18_pc,CL_Acc_F17&18_pc,CL_Acc_F17_pc,CL_Acc_F18_pc,CL_Acc_IL17&18_pc,CL_Acc_IL17_pc,CL_Acc_IL18_pc,CL_Acc_EA17&18_pc,CL_Acc_EA17_pc,CL_Acc_EA18_pc,CL_Acc_BB17&18_pc,CL_Acc_BB17_pc,CL_Acc_BB18_pc,CL_Acc_Cust17&18_pc,CL_Acc_Cust17_pc,CL_Acc_Cust18_pc,CL_Acc_FFC17&18_pc,CL_Acc_FFC17_pc,CL_Acc_FFC18_pc,CL_Acc_OTH17&18_pc,CL_Acc_OTH17_pc,CL_Acc_OTH18_pc,CL_Acc_NoInf17&18_pc,CL_Acc_NoInf17_pc,CL_Acc_NoInf18_pc,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_InTouch_IT17&18_pc,CL_InTouch_IT17_pc,CL_InTouch_IT18_pc,CL_InTouch_Refu17&18_pc,CL_InTouch_Refu17_pc,CL_InTouch_Refu18_pc,CL_InTouch_NoServ17&18_pc,CL_InTouch_NoServ17_pc,CL_InTouch_NoServ18_pc,CL_InTouch_Not17&18_pc,CL_InTouch_Not17_pc,CL_InTouch_Not18_pc,CL_Stayput_18,CL_Stayput_FFC_18,CL_Stayput_FFC_18_pc
111,E09000004,LA,303,Bexley,60,x,x,47,x,46,x,0,x,38,0,38,x,x,x,13,0,13,x,0,x,x,0,x,0,0,0,0,0,0,78,x,78,x,0,x,63,0,64,x,x,x,22,0,22,x,0,x,x,0,x,0,0,0,0,0,0,60,x,x,x,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,0,0,0,31,0,31,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,15,0,15,0,0,0,0,0,0,x,x,x,0,0,0,52,0,53,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,25,0,25,0,0,0,0,0,0,60,x,x,0,0,0,0,0,0,0,0,0,100,x,x,0,0,0,0,0,0,0,0,0,14,12,86
112,E09000005,LA,304,Brent,83,x,x,53,x,52,x,0,x,39,x,x,x,0,11,24,x,23,x,0,x,x,x,x,0,0,0,x,x,x,64,x,67,x,0,x,47,x,x,x,0,14,29,x,29,x,0,x,x,x,x,0,0,0,x,x,x,83,x,x,74,x,x,x,0,x,x,x,x,89,x,x,x,0,x,x,x,x,x,x,x,x,0,x,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,15,0,15,0,0,0,6,x,x,x,x,x,x,0,x,59,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,18,0,19,0,0,0,7,x,x,77,x,75,0,0,0,0,0,0,6,x,x,93,x,96,0,0,0,0,0,0,7,x,x,19,14,74
113,E09000006,LA,305,Bromley,60,x,x,39,x,36,0,0,0,33,x,x,6,0,6,x,0,19,x,0,x,15,0,x,x,0,x,x,x,x,65,x,64,0,0,0,55,x,x,10,0,11,x,0,34,x,0,x,25,0,x,x,0,x,x,x,x,60,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,0,x,22,0,22,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,x,0,10,0,10,x,0,x,x,x,x,x,x,x,x,0,x,37,0,39,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,x,0,17,0,18,x,0,x,x,x,x,x,x,55,0,0,0,x,x,0,x,0,x,x,x,98,0,0,0,x,x,0,x,0,x,17,10,59
114,E09000008,LA,306,Croydon,243,15,228,120,x,118,x,0,x,98,x,x,x,0,17,49,x,46,x,0,x,x,x,x,x,0,x,74,x,64,49,x,52,x,0,x,40,x,x,x,0,7,20,x,20,x,0,x,x,x,x,x,0,x,30,x,28,241,15,226,162,x,x,7,0,7,72,x,x,67,x,x,3,0,3,30,x,x,x,0,x,x,x,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,126,x,x,0,0,0,x,0,x,x,0,x,17,0,17,x,x,x,72,x,62,x,0,x,x,x,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,52,x,x,0,0,0,x,0,x,x,0,x,7,0,7,x,x,x,30,x,27,169,x,164,x,0,x,x,0,x,x,x,x,70,x,72,x,0,x,x,0,x,x,x,x,112,15,13
115,E09000009,LA,307,Ealing,91,x,x,59,0,59,x,0,x,52,0,52,x,0,x,x,0,27,x,0,x,21,0,21,x,0,x,x,x,x,65,0,66,x,0,x,57,0,58,x,0,x,x,0,30,x,0,x,23,0,23,x,0,x,x,x,x,91,x,x,82,0,82,x,0,x,x,x,x,90,0,91,x,0,x,x,x,x,10,0,10,x,0,x,45,0,45,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,17,0,17,x,0,x,x,x,x,11,0,11,x,0,x,49,0,50,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,19,0,19,x,0,x,x,x,x,x,0,86,0,0,0,x,x,x,x,0,x,x,0,96,0,0,0,x,x,x,x,0,x,21,16,76
116,E09000010,LA,308,Enfield,65,x,x,37,x,36,x,0,x,29,x,x,x,0,6,19,x,18,x,0,x,x,x,x,x,0,x,9,x,8,57,x,58,x,0,x,45,x,x,x,0,10,29,x,29,x,0,x,x,x,x,x,0,x,14,x,13,64,x,x,53,x,x,x,0,x,x,x,x,83,x,x,x,0,x,x,x,x,x,x,x,x,0,x,29,0,29,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,14,0,14,x,0,x,9,x,8,x,x,x,x,0,x,45,0,47,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,22,0,23,x,0,x,14,x,13,56,x,54,x,0,x,0,0,0,x,x,7,86,x,87,x,0,x,0,0,0,x,x,11,26,14,54
98,E09000014,LA,309,Haringey,93,x,x,61,x,57,10,0,10,43,x,x,x,0,x,32,0,32,x,0,x,x,0,x,x,0,x,0,0,0,66,x,64,11,0,11,46,x,x,x,0,x,34,0,36,x,0,x,x,0,x,x,0,x,0,0,0,93,x,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x,x,0,0,0,17,x,x,x,0,x,47,0,47,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,15,0,15,0,0,0,0,0,0,18,x,x,x,0,x,51,0,53,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,16,0,17,0,0,0,0,0,0,85,x,81,0,0,0,0,0,0,8,0,x,91,x,91,0,0,0,0,0,0,9,0,x,25,14,56
118,E09000015,LA,310,Harrow,46,x,x,34,x,31,x,0,x,28,x,x,x,x,x,x,x,9,x,0,x,8,x,x,x,0,x,x,x,x,74,x,76,x,0,x,61,x,x,x,x,x,x,x,22,x,0,x,17,x,x,x,0,x,x,x,x,46,x,x,x,x,x,0,0,0,x,x,x,x,x,x,0,0,0,x,x,x,x,x,x,x,0,x,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,x,x,x,x,x,x,x,x,x,x,0,x,59,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,x,x,x,x,x,x,x,x,40,x,x,0,x,0,x,0,0,0,x,x,98,x,x,0,x,0,x,0,0,0,9,x,33
119,E09000016,LA,311,Havering,41,0,41,28,0,28,x,0,x,17,0,17,x,0,x,x,0,x,x,0,x,6,0,6,x,0,x,x,0,x,68,0,68,x,0,x,41,0,41,x,0,x,x,0,x,x,0,x,15,0,15,x,0,x,x,0,x,41,0,41,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,24,0,24,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,x,0,x,59,0,59,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,6,x,50
120,E09000017,LA,312,Hillingdon,94,x,x,59,x,58,x,0,x,49,x,x,x,0,x,25,x,23,x,0,x,x,x,x,x,0,x,10,0,10,63,x,64,x,0,x,52,x,x,x,0,x,27,x,25,x,0,x,x,x,x,x,0,x,11,0,11,93,x,x,78,x,x,6,0,6,9,0,9,84,x,x,6,0,7,10,0,10,10,x,x,0,0,0,13,x,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,43,0,43,0,0,0,0,0,0,x,0,x,6,0,6,x,0,x,9,0,9,11,x,x,0,0,0,14,x,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,46,0,47,0,0,0,0,0,0,x,0,x,6,0,7,x,0,x,10,0,10,82,x,79,x,0,x,x,0,x,6,0,6,87,x,87,x,0,x,x,0,x,6,0,7,16,6,38
121,E09000018,LA,313,Hounslow,69,x,x,51,0,51,x,0,x,38,0,38,x,0,x,x,0,14,x,0,x,10,0,x,x,0,x,x,x,x,74,0,75,x,0,x,55,0,56,x,0,x,x,0,21,x,0,x,14,0,x,x,0,x,x,x,x,69,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,x,x,x,6,0,6,x,0,x,38,0,38,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,9,0,9,x,0,x,x,x,x,9,0,9,x,0,x,55,0,56,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,13,0,13,x,0,x,x,x,x,63,0,63,x,x,0,x,0,x,x,0,x,91,0,93,x,x,0,x,0,x,x,0,x,13,9,69
122,E09000021,LA,314,Kingston upon Thames,25,x,x,18,0,18,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,x,x,x,72,0,75,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,x,x,x,25,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,x,0,x,x,0,x,11,0,11,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,x,x,x,0,x,x,0,x,44,0,46,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,x,x,x,0,23,0,0,0,0,0,0,x,x,x,x,0,96,0,0,0,0,0,0,x,x,x,10,x,50
123,E09000024,LA,315,Merton,49,x,x,29,0,29,x,0,x,20,0,20,x,0,x,x,0,15,0,0,0,12,0,x,x,0,x,x,x,x,59,0,63,x,0,x,41,0,43,x,0,x,x,0,33,0,0,0,24,0,x,x,0,x,x,x,x,49,x,x,43,0,x,x,0,x,x,x,x,88,0,x,x,0,x,x,x,x,x,0,x,x,0,x,21,0,21,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,13,0,13,x,0,x,x,x,x,x,0,x,x,0,x,43,0,46,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,27,0,28,x,0,x,x,x,x,x,0,44,x,x,0,x,x,x,x,x,x,x,0,96,x,x,0,x,x,x,x,x,x,19,13,68
103,E09000025,LA,316,Newham,102,x,x,60,0,60,x,0,x,44,0,44,9,0,9,23,0,23,x,0,x,x,0,x,x,0,x,19,x,14,59,0,62,x,0,x,43,0,45,9,0,9,23,0,24,x,0,x,x,0,x,x,0,x,19,x,14,101,x,x,78,0,78,x,0,x,x,x,x,77,0,81,x,0,x,x,x,x,x,0,x,0,0,0,58,0,58,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,12,0,12,x,0,x,19,x,14,x,0,x,0,0,0,57,0,60,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,12,0,12,x,0,x,19,x,14,83,0,83,x,x,x,0,0,0,x,x,13,81,0,86,x,x,x,0,0,0,x,x,13,29,11,38
124,E09000026,LA,317,Redbridge,54,x,x,39,x,38,0,0,0,32,x,x,x,0,x,x,x,11,0,0,0,12,x,x,0,0,0,x,0,x,72,x,73,0,0,0,59,x,x,x,0,x,x,x,21,0,0,0,22,x,x,0,0,0,x,0,x,54,x,x,x,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,6,x,x,x,x,x,23,0,23,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,15,0,15,x,0,x,x,0,x,11,x,x,x,x,x,43,0,44,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,28,0,29,x,0,x,x,0,x,x,x,49,x,0,x,x,0,x,0,0,0,x,x,94,x,0,x,x,0,x,0,0,0,26,14,54
125,E09000027,LA,318,Richmond upon Thames,29,0,29,23,0,23,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,79,0,79,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,29,0,29,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,x,0,x,0,0,0,7,x,57
126,E09000029,LA,319,Sutton,54,7,47,35,x,31,x,0,x,26,x,x,x,x,x,x,x,x,x,0,x,14,x,x,0,0,0,x,x,x,65,x,66,x,0,x,48,x,x,x,x,x,x,x,x,x,0,x,26,x,x,0,0,0,x,x,x,53,7,46,x,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,x,x,x,28,x,x,8,0,8,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,x,0,x,x,x,x,x,x,52,x,x,15,0,17,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,x,0,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,6,0,-
127,E09000031,LA,320,Waltham Forest,54,x,x,38,0,38,x,0,x,23,0,23,x,0,x,x,0,12,0,0,0,11,0,x,x,0,x,x,x,x,70,0,72,x,0,x,43,0,43,x,0,x,x,0,23,0,0,0,20,0,x,x,0,x,x,x,x,54,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,8,0,8,0,0,0,x,x,x,x,0,x,x,0,x,63,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,15,0,15,0,0,0,x,x,x,x,0,49,x,x,x,x,0,x,0,0,0,x,0,92,x,x,x,x,0,x,0,0,0,12,8,67
66,E08000025,LA,330,Birmingham,262,6,256,209,x,204,13,x,x,151,x,x,45,x,x,46,x,45,x,x,x,32,0,32,x,0,x,x,0,x,80,x,80,5,x,x,58,x,x,17,x,x,18,x,18,x,x,x,12,0,13,x,0,x,x,0,x,262,6,256,236,x,x,19,x,x,7,0,7,90,x,x,7,x,x,3,0,3,33,x,x,22,0,22,62,0,62,16,0,16,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,41,0,41,0,0,0,x,0,x,16,x,x,52,0,52,x,x,x,7,0,7,13,x,x,8,0,9,24,0,24,6,0,6,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,x,0,x,6,x,x,20,0,20,x,x,x,3,0,3,255,6,249,x,0,x,x,0,x,x,0,x,97,100,97,x,0,x,x,0,x,x,0,x,73,51,70
67,E08000026,LA,331,Coventry,94,x,x,x,x,44,x,0,x,29,x,x,12,0,12,46,x,44,x,x,x,36,0,36,x,0,x,x,0,x,x,x,48,x,0,x,31,x,x,13,0,13,49,x,48,x,x,x,38,0,40,x,0,x,x,0,x,93,x,x,85,x,x,x,x,x,x,0,x,91,x,x,x,x,x,x,0,x,11,x,x,x,0,x,47,x,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,17,0,17,0,0,0,x,0,x,12,x,x,x,0,x,50,x,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,18,0,19,0,0,0,x,0,x,x,x,88,0,0,0,0,0,0,x,0,x,x,x,97,0,0,0,0,0,0,x,0,x,26,17,65
68,E08000027,LA,332,Dudley,80,x,x,55,x,54,0,0,0,44,x,x,x,0,x,x,x,21,x,0,x,21,x,x,0,0,0,x,x,x,69,x,70,0,0,0,55,x,x,x,0,x,x,x,27,x,0,x,26,x,x,0,0,0,x,x,x,79,x,x,73,x,x,x,0,x,x,x,x,92,x,x,x,0,x,x,x,x,16,x,x,x,0,x,7,0,7,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,8,0,8,15,x,x,0,0,0,0,0,0,x,0,x,16,0,16,7,0,7,x,x,x,20,x,x,x,0,x,9,0,9,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,10,0,10,19,x,x,0,0,0,0,0,0,x,0,x,20,0,21,9,0,9,x,x,x,x,x,75,x,0,x,0,0,0,x,x,x,x,x,97,x,0,x,0,0,0,x,x,x,34,16,47
70,E08000028,LA,333,Sandwell,64,x,x,40,0,40,x,0,x,28,0,28,x,0,x,x,x,17,x,0,x,16,x,x,x,x,x,x,x,x,63,0,68,x,0,x,44,0,47,x,0,x,x,x,29,x,0,x,25,x,x,x,x,x,x,x,x,64,x,x,54,x,x,x,x,x,x,x,x,84,x,x,x,x,x,x,x,x,13,x,x,x,0,x,16,0,16,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,8,0,8,6,0,6,x,x,x,20,x,x,x,0,x,25,0,27,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,13,0,14,9,0,10,x,x,x,58,x,56,0,0,0,0,0,0,6,x,x,91,x,95,0,0,0,0,0,0,9,x,x,19,8,42
72,E08000029,LA,334,Solihull,54,6,48,33,x,29,0,0,0,x,x,x,x,0,x,x,x,x,x,0,x,13,x,x,x,0,x,x,x,x,61,x,60,0,0,0,x,x,x,x,0,x,x,x,x,x,0,x,24,x,x,x,0,x,x,x,x,54,6,48,48,x,x,x,x,x,x,x,x,89,x,x,x,x,x,x,x,x,9,x,x,x,0,x,20,0,20,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,0,0,0,0,0,0,x,x,x,6,0,6,x,x,x,x,x,x,17,x,x,x,0,x,37,0,42,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,0,0,0,0,0,0,x,x,x,11,0,13,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,8,6,75
76,E08000030,LA,335,Walsall,60,x,x,38,x,36,0,0,0,20,x,x,18,x,x,x,0,19,0,0,0,16,0,x,x,0,x,x,x,0,63,x,65,0,0,0,33,x,x,30,x,x,x,0,35,0,0,0,27,0,x,x,0,x,x,x,0,60,x,x,53,x,x,x,0,x,x,x,0,88,x,x,x,0,x,x,x,0,x,0,x,6,0,6,8,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,8,0,8,0,0,0,0,0,0,x,0,x,16,0,16,x,0,x,x,x,0,x,0,x,10,0,11,13,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,13,0,15,0,0,0,0,0,0,x,0,x,27,0,29,x,0,x,x,x,0,x,x,53,0,0,0,0,0,0,x,x,x,x,x,96,0,0,0,0,0,0,x,x,x,22,16,73
78,E08000031,LA,336,Wolverhampton,60,x,x,44,x,43,x,0,x,30,x,x,x,0,12,16,x,15,x,0,x,x,x,x,x,0,x,0,0,0,73,x,74,x,0,x,50,x,x,x,0,21,27,x,26,x,0,x,x,x,x,x,0,x,0,0,0,52,x,x,x,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,8,0,8,x,0,x,0,0,0,13,0,13,0,0,0,0,0,0,x,0,x,12,0,12,6,x,x,0,0,0,x,x,x,0,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,0,0,13,0,14,x,0,x,0,0,0,22,0,22,0,0,0,0,0,0,x,0,x,20,0,21,10,x,x,0,0,0,60,x,x,0,0,0,0,0,0,0,0,0,100,x,x,0,0,0,0,0,0,0,0,0,23,11,48
