LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2014,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_2014,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_stp2014,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_Ocom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_Oth_Pl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2014,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
102,E09000023,LA,209,Lewisham,503,486,460,456,482,65600,66657,67332,67963,68272,77,73,68,67,71,729,752,710,678,691,44,45,41,39,29,257,225,53,47,22,45,66,193,156,5,9,14,40,32,147,113,22,184,x,x,30,23,5,38,x,x,370,x,x,x,84,16,x,0,77,x,x,x,17,3,x,0,55,264,0,17,140,0,6,11,55,0,4,29,0,1,12,15,28,29,35,185,x,7,244,42,x,0,350,97,35,182,300,156,194,x,x,x,x,459,182,277,-23,73,20,7,38,62,32,40,x,x,x,x,40,60,47,10,139,107,77,510,162,202,x,94,x,32,40,x,18,x,261,65,x,0,x,0,56,22,12,x,19,75,25,x,0,x,0,21,8,5,x,7,29
104,E09000028,LA,210,Southwark,549,500,477,497,491,61185,61765,62902,63810,64386,90,81,76,78,76,811,774,735,740,718,0,x,0,0,0,302,189,62,38,20,24,75,210,162,4,5,15,43,33,145,79,23,214,30,0,30,16,5,44,6,0,381,7,x,57,35,x,x,0,78,1,x,12,7,x,x,0,41,299,0,x,126,0,x,8,61,0,x,26,0,x,23,30,30,39,56,212,x,x,239,27,x,0,311,119,61,116,375,109,202,0,119,7,54,187,113,74,-304,63,24,12,24,76,22,41,0,24,1,11,60,40,55,11,180,107,59,559,103,267,0,110,79,18,48,0,20,14,316,64,x,x,x,0,76,16,15,34,6,98,20,x,x,x,0,24,5,5,11,2,31
105,E09000030,LA,211,Tower Hamlets,323,274,304,333,286,60599,62881,64797,66573,68403,53,44,47,50,42,505,485,502,524,466,x,0,0,0,0,152,134,53,47,16,23,38,109,100,6,8,13,38,35,72,73,80,45,x,x,25,26,28,16,x,x,189,17,11,37,23,x,x,0,66,6,4,13,8,x,x,0,49,133,0,x,70,0,x,17,47,0,x,24,0,x,14,13,16,21,24,137,x,x,114,16,11,0,212,50,24,49,237,47,165,0,50,x,22,84,49,35,-202,74,17,8,17,83,16,58,0,17,x,8,58,42,43,15,61,41,67,384,91,213,0,57,23,24,55,0,15,6,240,111,0,x,0,x,15,6,8,x,8,85,46,0,x,0,x,6,3,3,x,3,35
106,E09000032,LA,212,Wandsworth,205,223,248,289,307,58430,59935,61036,62069,63019,35,37,41,47,49,339,348,389,431,478,35,33,41,36,34,169,138,55,45,13,36,61,98,99,4,12,20,32,32,82,77,20,115,x,x,27,25,7,37,x,x,195,x,x,51,38,11,0,0,64,x,x,17,12,4,0,0,48,142,0,x,95,x,0,16,46,0,x,31,x,0,12,15,19,24,25,121,x,0,171,9,x,0,233,49,25,95,212,x,141,x,x,x,x,158,95,63,-149,76,16,8,31,69,x,46,x,x,x,x,60,40,32,10,57,36,63,392,133,187,x,46,x,34,48,x,12,x,189,x,x,0,0,0,x,7,x,0,x,172,x,x,0,0,0,x,4,x,0,x,91
107,E09000033,LA,213,Westminster,176,179,168,182,204,39139,40633,42610,44087,45165,45,44,39,41,45,278,272,273,316,341,6,x,x,x,x,137,67,67,33,11,9,19,74,91,5,4,9,36,45,39,36,x,79,34,x,19,18,x,39,17,x,135,x,x,32,19,6,x,0,66,x,x,16,9,3,x,0,18,80,0,8,91,0,7,9,39,0,4,45,0,3,12,27,35,47,69,87,x,x,92,14,x,0,93,34,77,38,166,31,62,0,34,7,70,56,38,18,-148,46,17,38,19,81,15,30,0,17,3,34,68,32,18,9,52,40,77,274,31,61,0,16,166,11,22,0,6,61,125,x,0,0,0,0,10,x,x,x,12,93,x,0,0,0,0,8,x,x,x,10,74
109,E09000002,LA,301,Barking and Dagenham,455,451,415,408,408,57353,58844,60281,61833,62889,79,77,69,66,65,714,715,657,609,599,0,0,0,0,0,218,190,53,47,22,44,76,157,109,5,11,19,38,27,231,47,34,72,x,x,57,12,8,18,x,x,306,10,21,32,26,13,0,0,75,2,5,8,6,3,0,0,81,223,0,26,70,0,8,20,55,0,6,17,0,2,23,27,33,30,26,231,x,9,136,7,21,0,298,84,26,155,253,141,157,0,84,14,12,305,155,150,-103,73,21,6,38,62,35,38,0,21,3,3,51,49,44,11,141,85,60,462,186,166,0,84,26,40,36,0,18,6,257,99,x,0,x,0,36,11,15,0,18,72,39,x,0,x,0,14,4,6,0,7,28
110,E09000003,LA,302,Barnet,310,303,314,344,335,86382,87821,88754,90342,91502,36,35,35,38,37,475,481,483,516,512,0,0,0,0,0,208,127,62,38,23,23,29,125,135,7,7,9,37,40,129,64,31,59,52,0,39,19,9,18,16,0,206,x,x,0,115,7,0,0,61,x,x,0,34,2,0,0,51,138,0,x,135,0,x,15,41,0,x,40,0,x,x,17,35,60,66,151,x,0,165,10,x,0,205,62,68,123,212,109,96,0,62,14,54,214,123,91,-121,61,19,20,37,63,33,29,0,19,4,16,57,43,37,11,73,51,70,393,122,143,0,55,73,31,36,0,14,19,216,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,100
111,E09000004,LA,303,Bexley,260,274,259,238,240,54939,55565,56028,56540,56600,47,49,46,42,42,426,422,435,377,363,38,33,14,x,x,141,99,59,41,11,22,31,90,86,5,9,13,38,36,139,26,11,50,14,0,58,11,5,21,6,0,176,x,x,30,22,0,x,0,73,x,x,13,9,0,x,0,42,127,0,6,65,0,0,18,53,0,3,27,0,0,10,15,34,35,26,151,x,0,74,7,x,0,175,39,26,117,123,105,70,0,39,12,14,308,117,191,68,73,16,11,49,51,44,29,0,16,5,6,38,62,25,10,73,56,77,279,115,93,0,36,35,41,33,0,13,13,153,62,x,x,x,0,33,x,13,x,24,x,41,x,x,x,0,22,x,8,x,16,x
112,E09000005,LA,304,Brent,348,323,335,320,318,72561,73979,75033,76391,77563,48,44,45,42,41,577,578,547,545,484,x,x,x,x,0,199,119,63,37,16,25,31,119,127,5,8,10,37,40,77,60,59,97,x,x,24,19,19,31,x,x,210,x,8,0,81,9,x,0,66,x,3,0,25,3,x,0,46,148,0,8,108,x,x,14,47,0,3,34,x,x,32,47,65,74,56,128,x,8,155,14,8,0,204,58,56,135,183,105,99,0,58,30,26,339,135,204,21,64,18,18,42,58,33,31,0,18,9,8,40,60,44,14,81,51,63,403,145,146,0,63,49,36,36,0,16,12,227,121,0,0,x,0,34,20,x,0,10,35,53,0,0,x,0,15,9,x,0,4,15
113,E09000006,LA,305,Bromley,273,266,286,289,310,70453,71465,72176,73281,74041,39,37,40,39,42,452,415,415,454,450,73,68,66,61,54,183,127,59,41,15,27,54,133,81,5,9,17,43,26,192,49,10,51,8,0,62,16,3,16,3,0,224,13,x,9,50,x,0,0,72,4,x,3,16,x,0,0,48,166,0,x,71,0,x,15,54,0,x,23,0,x,11,15,20,16,24,159,8,x,108,22,9,0,206,66,38,129,181,119,87,0,66,10,28,312,129,183,x,66,21,12,42,58,38,28,0,21,3,9,41,59,35,11,76,51,67,415,135,132,0,98,50,33,32,0,24,12,386,178,x,0,13,0,43,x,27,x,31,81,46,x,0,3,0,11,x,7,x,8,21
114,E09000008,LA,306,Croydon,785,807,806,785,783,91671,92384,93166,94445,94775,86,87,87,83,83,1132,1200,1209,1238,1205,x,x,x,x,0,528,255,67,33,39,61,80,265,338,5,8,10,34,43,311,94,143,203,26,6,40,12,18,26,3,1,654,x,x,63,34,19,0,0,84,x,x,8,4,2,0,0,120,205,0,21,425,0,12,15,26,0,3,54,0,2,366,412,431,389,295,386,x,x,364,22,x,0,412,76,295,412,371,247,165,0,76,165,130,1022,412,610,239,53,10,38,53,47,32,21,0,10,21,17,40,60,67,9,129,96,74,868,295,213,0,106,254,34,25,0,12,29,458,345,x,x,x,0,22,x,7,x,72,x,75,x,x,x,0,5,x,2,x,16,x
115,E09000009,LA,307,Ealing,383,356,372,347,343,79474,80272,81217,81849,81884,48,44,46,42,42,637,559,596,546,523,9,10,6,x,x,192,151,56,44,12,23,36,152,120,3,7,10,44,35,95,65,70,101,x,x,28,19,20,29,x,x,239,x,12,18,68,x,0,0,70,x,3,5,20,x,0,0,43,180,0,x,107,0,x,13,52,0,x,31,0,x,20,24,25,43,51,131,x,x,139,56,12,0,225,67,51,138,205,100,125,0,67,38,13,311,138,173,-32,66,20,15,40,60,29,36,0,20,11,4,44,56,39,11,121,81,67,413,131,172,0,50,60,32,42,0,12,15,195,51,0,x,x,0,23,17,19,x,x,72,26,0,x,x,0,12,9,10,x,x,37
116,E09000010,LA,308,Enfield,299,356,356,324,333,80956,82050,83274,83908,84211,37,43,43,39,40,466,532,568,535,496,x,x,x,0,0,200,133,60,40,16,22,59,119,117,5,7,18,36,35,182,40,x,90,15,x,55,12,x,27,5,x,251,9,x,43,17,6,x,0,75,3,x,13,5,2,x,0,39,153,0,21,113,0,7,12,46,0,6,34,0,2,33,51,68,72,65,156,x,x,153,14,x,0,219,48,66,193,140,138,81,x,x,x,x,418,193,225,85,66,14,20,58,42,41,24,x,x,x,x,46,54,41,12,86,59,69,397,173,123,x,53,x,44,31,x,13,x,214,52,x,x,9,x,34,12,24,18,22,37,24,x,x,4,x,16,6,11,8,10,17
98,E09000014,LA,309,Haringey,511,453,407,444,429,58806,59577,60298,60770,60625,87,76,67,73,71,763,694,616,612,636,12,15,13,9,7,271,158,63,37,20,47,54,189,119,5,11,13,44,28,133,41,x,207,32,x,31,10,x,48,7,x,309,9,33,0,63,15,0,0,72,2,8,0,15,3,0,0,52,227,0,39,103,0,8,12,53,0,9,24,0,2,36,35,33,42,55,166,x,x,205,19,33,0,294,74,61,107,322,91,203,x,x,x,x,223,107,116,-206,69,17,14,25,75,21,47,x,x,x,x,48,52,37,9,160,121,76,441,94,238,0,63,46,21,54,0,14,10,238,26,0,0,x,0,21,x,10,0,147,23,11,0,0,x,0,9,x,4,0,62,10
118,E09000015,LA,310,Harrow,166,167,181,205,159,55757,56628,57186,57578,57825,30,29,32,36,27,301,285,306,359,309,x,x,x,0,0,91,68,57,43,6,6,21,55,71,4,4,13,35,45,58,x,23,35,22,x,36,x,14,22,14,x,93,x,x,0,55,x,x,0,58,x,x,0,35,x,x,0,14,68,0,x,70,0,x,9,43,0,x,44,0,x,23,29,32,28,24,68,x,x,72,13,x,0,110,24,25,68,91,56,54,x,x,x,x,189,68,121,30,69,15,16,43,57,35,34,x,x,x,x,36,64,21,13,31,25,81,218,91,80,x,27,x,42,37,x,12,x,129,54,x,x,x,0,30,x,6,x,x,24,42,x,x,x,0,23,x,5,x,x,19
119,E09000016,LA,311,Havering,206,239,228,247,250,52136,53277,54279,55748,56671,40,45,42,44,44,327,418,385,381,375,10,8,x,x,x,140,110,56,44,8,25,41,87,89,3,10,16,35,36,165,17,14,48,6,0,66,7,6,19,2,0,187,6,x,0,49,x,0,0,75,2,x,0,20,x,0,0,36,117,0,22,75,0,0,14,47,0,9,30,0,0,x,17,18,24,27,113,x,x,115,14,x,0,179,38,33,118,132,98,81,0,38,20,13,324,118,206,74,72,15,13,47,53,39,32,0,15,8,5,36,64,26,10,70,43,61,335,145,110,0,46,34,43,33,0,14,10,205,140,0,x,x,0,26,7,7,x,6,10,68,0,x,x,0,13,3,3,x,3,5
120,E09000017,LA,312,Hillingdon,354,334,342,307,290,67529,69137,70644,71882,72746,52,48,48,43,40,555,580,591,567,519,7,6,x,7,7,185,105,64,36,9,32,29,103,117,3,11,10,36,40,115,25,69,56,25,0,40,9,24,19,9,0,166,x,x,66,46,x,x,x,57,x,x,23,16,x,x,x,20,113,0,x,140,0,x,7,39,0,x,48,0,x,90,93,109,84,70,103,6,x,164,13,x,x,162,51,77,164,126,109,53,0,51,55,22,320,164,156,30,56,18,27,57,43,38,18,0,18,19,8,51,49,43,15,68,29,43,428,173,88,0,56,111,40,21,0,13,26,212,81,x,x,0,0,41,16,x,x,21,41,38,x,x,0,0,19,8,x,x,10,19
121,E09000018,LA,313,Hounslow,317,294,280,250,248,60336,61400,62349,63272,63928,53,48,45,40,39,459,467,446,421,384,x,x,x,x,x,138,110,56,44,13,22,20,104,89,5,9,8,42,36,122,40,43,29,14,0,49,16,17,12,6,0,164,8,x,x,51,14,x,0,66,3,x,x,21,6,x,0,39,114,0,x,81,0,x,16,46,0,x,33,0,x,29,38,37,43,37,124,x,x,104,14,x,0,160,49,39,111,137,95,65,0,49,16,23,281,111,170,33,65,20,16,45,55,38,26,0,20,6,9,40,60,25,10,67,45,67,328,124,107,0,50,47,38,33,0,15,14,186,127,0,x,x,0,8,11,14,x,14,x,68,0,x,x,0,4,6,8,x,8,x
122,E09000021,LA,314,Kingston upon Thames,116,117,111,117,127,35670,36733,37534,38173,38609,33,32,30,31,33,182,173,193,167,185,x,x,x,x,x,80,47,63,37,x,x,20,47,52,x,x,16,37,41,66,19,15,19,8,0,52,15,12,15,6,0,94,0,x,0,x,x,0,0,74,0,x,0,x,x,0,0,x,56,0,x,53,0,0,x,44,0,x,42,0,0,17,19,23,26,28,40,9,x,65,11,x,0,68,31,28,36,91,31,37,0,31,x,23,78,36,42,-49,54,24,22,28,72,24,29,0,24,x,18,46,54,14,11,29,21,72,133,37,45,x,x,29,28,34,x,x,22,66,8,x,x,x,x,15,6,6,x,8,11,12,x,x,x,x,23,9,9,x,12,17
123,E09000024,LA,315,Merton,151,156,163,152,154,45015,45680,46260,46739,47002,34,34,35,33,33,251,255,273,257,235,x,22,18,16,x,82,72,53,47,6,17,18,60,53,4,11,12,39,34,70,22,10,33,19,0,45,14,6,21,12,0,120,0,x,0,x,0,0,0,78,0,x,0,x,0,0,0,23,75,0,x,49,0,x,15,49,0,x,32,0,x,15,17,23,20,24,73,x,0,66,10,x,0,101,29,24,54,100,42,59,x,x,x,x,197,54,143,43,66,19,16,35,65,27,38,x,x,x,x,27,73,18,12,36,25,69,200,53,97,0,27,23,27,49,0,14,12,110,39,0,0,x,0,15,x,x,x,13,28,35,0,0,x,0,14,x,x,x,12,25
103,E09000025,LA,316,Newham,406,432,350,395,403,81518,82780,83982,85551,85755,50,52,42,46,47,664,688,640,657,631,0,0,0,0,0,220,183,55,45,16,32,43,160,152,4,8,11,40,38,112,46,89,114,x,x,28,11,22,28,x,x,280,x,x,49,48,12,x,0,69,x,x,12,12,3,x,0,52,183,0,x,148,0,x,13,45,0,x,37,0,x,24,37,45,57,54,171,x,9,206,12,x,0,275,72,56,139,264,114,161,0,72,25,31,330,139,191,-73,68,18,14,34,66,28,40,0,18,6,8,42,58,65,16,84,44,52,549,172,222,0,73,82,31,40,0,13,15,297,x,x,0,x,0,20,8,6,0,x,251,x,x,0,x,0,7,3,2,0,x,85
124,E09000026,LA,317,Redbridge,216,215,213,227,223,73292,74574,75418,76031,75908,29,29,28,30,29,351,328,349,399,366,x,0,0,x,0,124,99,56,44,12,22,35,79,75,5,10,16,35,34,69,60,52,30,x,x,31,27,23,13,x,x,169,0,x,17,19,x,x,0,76,0,x,8,9,x,x,0,x,97,0,x,81,0,x,x,43,0,x,36,0,x,18,23,24,24,18,79,x,x,131,6,x,0,152,51,20,94,129,83,69,0,51,11,9,449,94,355,226,68,23,9,42,58,37,31,0,23,5,4,21,79,24,11,52,33,63,283,102,100,0,52,29,36,35,0,18,10,137,19,x,x,x,x,29,8,9,x,13,46,14,x,x,x,x,21,6,7,x,9,34
125,E09000027,LA,318,Richmond upon Thames,84,96,117,107,105,42839,43681,44364,44864,45122,20,22,26,24,23,131,149,165,182,167,13,7,x,x,0,65,40,62,38,6,10,7,40,42,6,10,7,38,40,53,22,15,x,x,0,50,21,14,x,x,0,72,x,0,0,x,x,x,0,69,x,0,0,x,x,x,0,x,43,0,x,42,0,0,x,41,0,x,40,0,0,x,19,28,28,22,43,12,0,37,13,0,0,60,20,25,26,79,x,38,x,x,x,x,50,26,24,-55,57,19,24,25,75,x,36,x,x,x,x,52,48,7,7,19,13,68,118,22,57,0,16,23,19,48,0,14,19,54,15,0,x,x,0,8,x,6,x,x,15,28,0,x,x,0,15,x,11,x,x,28
126,E09000029,LA,319,Sutton,197,227,232,230,215,44700,45314,46142,46848,47469,44,50,50,49,45,266,333,361,351,325,x,x,x,0,0,110,105,51,49,10,12,41,81,71,5,6,19,38,33,140,39,9,20,x,x,65,18,4,9,x,x,154,x,x,32,19,x,0,0,72,x,x,15,9,x,0,0,32,119,0,16,48,0,0,15,55,0,7,22,0,0,8,12,14,20,17,73,0,0,135,x,x,0,125,73,17,62,153,61,64,0,73,x,16,170,62,108,-45,58,34,8,29,71,28,30,0,34,x,7,36,64,23,11,66,37,56,255,51,114,0,70,20,20,45,0,27,8,181,102,0,0,x,0,30,14,13,x,13,x,56,0,0,x,0,17,8,7,x,7,x
127,E09000031,LA,320,Waltham Forest,265,275,279,283,294,63785,64268,65030,65996,66801,42,43,43,43,44,435,426,454,448,422,39,47,34,34,28,175,119,60,40,17,23,25,112,117,6,8,9,38,40,103,64,35,69,x,x,35,22,12,23,x,x,192,x,11,0,74,11,x,x,65,x,4,0,25,4,x,x,43,121,0,x,122,x,x,15,41,0,x,41,x,x,21,26,42,54,48,76,x,x,189,14,11,x,201,46,47,104,190,81,120,0,46,23,24,352,104,248,58,68,16,16,35,65,28,41,0,16,8,8,30,70,58,20,72,41,57,390,115,169,0,61,45,29,43,0,16,12,249,81,x,x,x,0,68,17,16,12,6,41,33,x,x,x,0,27,7,6,5,2,16
66,E08000025,LA,330,Birmingham,1804,1986,1812,1838,1922,279992,282191,284011,286450,288082,64,70,64,64,67,2535,2718,2671,2525,2566,7,x,x,0,0,1053,869,55,45,111,251,350,740,470,6,13,18,39,24,952,344,250,240,79,57,50,18,13,12,4,3,1328,62,130,40,293,x,x,46,69,3,7,2,15,x,x,2,265,1135,0,162,337,x,x,14,59,0,8,18,x,x,14,20,73,120,145,769,16,26,835,100,130,46,1550,225,147,1213,709,1096,454,x,x,x,x,1862,1213,649,-60,81,12,8,63,37,57,24,x,x,x,x,65,35,221,11,716,482,67,2127,1291,420,7,249,160,61,20,-,12,8,1338,751,6,9,x,x,106,23,20,11,382,22,56,-,1,x,x,8,2,1,1,29,2
67,E08000026,LA,331,Coventry,629,588,579,620,652,73083,73988,75119,76587,77584,86,79,77,81,84,949,939,849,860,870,54,44,41,34,14,365,287,56,44,36,93,110,251,162,6,14,17,38,25,459,87,31,55,x,x,70,13,5,8,x,x,480,26,22,0,116,8,0,0,74,4,3,0,18,1,0,0,109,335,0,x,136,0,x,17,51,0,x,21,0,x,9,13,17,39,44,278,10,6,323,13,22,0,498,110,44,345,307,315,183,0,110,30,14,487,345,142,-165,76,17,7,53,47,48,28,0,17,5,2,71,29,81,12,205,148,72,697,370,160,x,115,x,53,23,x,16,x,433,233,10,x,20,0,80,28,21,x,30,x,54,2,x,5,0,18,6,5,x,7,x
68,E08000027,LA,332,Dudley,755,741,726,675,660,67626,67864,68018,68161,68811,112,109,107,99,96,905,926,928,884,843,19,18,17,15,0,355,305,54,46,39,96,161,255,109,6,15,24,39,17,524,102,17,11,x,x,79,15,3,2,x,x,522,16,61,18,33,10,0,0,79,2,9,3,5,2,0,0,84,491,0,55,x,0,x,13,74,0,8,x,0,x,x,x,x,x,x,359,11,x,209,19,61,0,572,83,x,359,301,351,221,x,x,x,x,597,359,238,-63,87,13,x,54,46,53,33,x,x,x,x,60,40,52,8,298,186,62,496,284,142,0,63,7,57,29,0,13,1,322,154,x,x,x,0,49,14,13,x,44,34,48,x,x,x,0,15,4,4,x,14,11
70,E08000028,LA,333,Sandwell,571,540,532,604,749,76887,77705,78722,79948,81080,74,69,68,76,92,815,709,736,779,939,x,x,x,0,0,416,333,56,44,51,124,187,252,135,7,17,25,34,18,458,144,71,53,17,6,61,19,9,7,2,1,555,17,58,51,20,48,0,0,74,2,8,7,3,6,0,0,200,398,0,x,99,0,x,27,53,0,x,13,0,x,7,x,12,15,8,337,x,x,307,41,58,0,649,90,10,335,414,325,324,x,x,x,x,622,335,287,-127,87,12,1,45,55,43,43,x,x,x,x,54,46,73,10,212,130,61,769,280,354,7,111,17,36,46,1,14,2,424,389,0,0,0,x,0,x,0,0,x,0,92,0,0,0,x,0,x,0,0,x,0
72,E08000029,LA,334,Solihull,327,334,361,387,413,45317,45469,45640,46072,46714,72,73,79,84,88,445,464,485,524,553,x,0,0,0,0,253,160,61,39,20,51,96,146,100,5,12,23,35,24,275,50,48,13,8,19,67,12,12,3,2,5,323,x,32,x,52,x,0,0,78,x,8,x,13,x,0,0,58,200,0,x,133,x,0,14,48,0,x,32,x,0,31,45,67,59,57,198,x,0,169,11,32,0,313,38,62,146,267,145,168,0,38,x,61,286,146,140,-127,76,9,15,35,65,35,41,0,9,x,15,51,49,33,8,108,81,75,439,128,199,0,32,80,29,45,0,7,18,239,121,x,x,x,0,36,x,9,12,34,19,51,x,x,x,0,15,x,4,5,14,8
76,E08000030,LA,335,Walsall,628,605,627,645,636,63852,64538,65073,66231,67211,98,94,96,97,95,797,818,786,805,841,20,20,17,10,x,332,304,52,48,42,111,144,247,92,7,17,23,39,14,461,91,37,32,8,7,72,14,6,5,1,1,493,16,58,x,53,x,0,x,78,3,9,x,8,x,0,x,96,453,0,45,x,0,x,15,71,0,7,x,0,x,x,x,x,8,9,357,x,x,191,22,58,x,539,88,9,349,287,348,191,0,88,x,8,659,349,310,23,85,14,1,55,45,55,30,0,14,x,1,53,47,35,6,295,206,70,454,237,137,0,68,12,52,30,0,15,3,250,62,0,12,14,0,27,20,x,x,48,55,25,0,5,6,0,11,8,x,x,19,22
78,E08000031,LA,336,Wolverhampton,772,778,654,638,648,56927,57749,58317,59285,60091,136,135,112,108,108,987,1002,904,817,816,24,16,23,0,0,359,289,55,45,42,87,143,285,91,6,13,22,44,14,394,94,33,80,27,20,61,15,5,12,4,3,512,25,47,11,40,6,x,x,79,4,7,2,6,1,x,x,82,470,0,56,x,0,x,13,73,0,9,x,0,x,x,x,x,12,10,321,x,x,224,49,47,x,562,75,11,284,364,277,285,x,x,x,x,503,284,219,-145,87,12,2,44,56,43,44,x,x,x,x,56,44,104,16,331,231,70,615,270,215,0,97,33,44,35,0,16,5,432,406,0,0,0,0,x,0,0,15,0,x,94,0,0,0,0,x,0,0,3,0,x
24,E08000011,LA,340,Knowsley,260,305,290,290,288,32385,32250,32497,32728,32930,80,95,89,89,87,343,432,397,395,371,43,7,7,x,0,151,137,52,48,11,51,64,117,45,4,18,22,41,16,280,x,x,0,0,0,97,x,x,0,0,0,201,x,38,9,27,7,x,0,70,x,13,3,9,2,x,0,61,198,0,9,20,0,0,21,69,0,3,7,0,0,0,x,x,x,0,148,7,x,83,11,38,0,253,34,x,137,151,137,116,0,34,0,x,318,137,181,30,88,12,x,48,52,48,40,0,12,0,x,43,57,29,10,123,84,68,281,159,89,0,33,0,57,32,0,12,0,197,70,x,0,x,x,28,11,9,x,32,40,36,x,0,x,x,14,6,5,x,16,20
26,E08000012,LA,341,Liverpool,992,990,1038,1121,1191,89644,90139,91116,92234,93556,111,110,114,122,127,1329,1372,1438,1453,1541,50,52,46,42,43,628,563,53,47,65,204,270,436,216,5,17,23,37,18,921,103,35,81,23,28,77,9,3,7,2,2,842,13,139,81,98,18,0,0,71,1,12,7,8,2,0,0,190,800,0,x,158,0,x,16,67,0,x,13,0,x,11,10,21,30,49,568,x,8,402,70,139,0,1037,104,50,666,525,626,411,x,x,x,x,919,666,253,-272,87,9,4,56,44,53,35,x,x,x,x,72,28,117,10,422,307,73,1122,599,321,x,114,85,53,29,x,10,8,703,189,x,11,22,x,120,41,31,x,85,197,27,x,2,3,x,17,6,4,x,12,28
32,E08000013,LA,342,St. Helens,432,412,410,427,442,36274,36416,36266,36367,36644,119,113,113,117,121,580,542,558,541,538,30,16,x,0,0,254,188,57,43,12,72,125,159,74,3,16,28,36,17,425,11,x,x,x,x,96,2,x,x,x,x,313,x,45,23,48,x,0,0,71,x,10,5,11,x,0,0,51,322,0,x,36,0,x,12,73,0,x,8,0,x,x,x,x,x,x,209,8,x,160,19,45,0,400,37,x,228,214,228,172,0,37,0,x,403,228,175,-39,90,8,x,52,48,52,39,0,8,0,x,57,43,37,8,183,134,73,359,191,135,0,x,x,53,38,0,x,x,245,59,x,x,0,0,23,9,8,x,44,96,24,x,x,0,0,9,4,3,x,18,39
