LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Acc_Total_SUIT19to21,CL_Acc_Total_SUIT19,CL_Acc_Total_SUIT20,CL_Acc_Total_SUIT21,CL_Acc_SUIT19to21,CL_Acc_SUIT19,CL_Acc_SUIT20,CL_Acc_SUIT21,CL_Acc_NotSUIT19to21,CL_Acc_NotSUIT19,CL_Acc_NotSUIT20,CL_Acc_NotSUIT21,CL_Acc_NoSUITInfo19to21,CL_Acc_NoSUITInfo19,CL_Acc_NoSUITInfo20,CL_Acc_NoSUITInfo21,CL_Acc_SUIT19to21_pc,CL_Acc_SUIT19_pc,CL_Acc_SUIT20_pc,CL_Acc_SUIT21_pc,CL_Acc_NotSUIT19to21_pc,CL_Acc_NotSUIT19_pc,CL_Acc_NotSUIT20_pc,CL_Acc_NotSUIT21_pc,CL_Acc_NoSUITInfo19to21_pc,CL_Acc_NoSUITInfo19_pc,CL_Acc_NoSUITInfo20_pc,CL_Acc_NoSUITInfo21_pc,CL_Acc_P19to21,CL_Acc_P19,CL_Acc_P20,CL_Acc_P21,CL_Acc_CH19to21,CL_Acc_CH19,CL_Acc_CH20,CL_Acc_CH21,CL_Acc_SITA19to21,CL_Acc_SITA19,CL_Acc_SITA20,CL_Acc_SITA21,CL_Acc_SL19to21,CL_Acc_SL19,CL_Acc_SL20,CL_Acc_SL21,CL_Acc_GA19to21,CL_Acc_GA19,CL_Acc_GA20,CL_Acc_GA21,CL_Acc_Dep19to21,CL_Acc_Dep19,CL_Acc_Dep20,CL_Acc_Dep21,CL_Acc_OL19to21,CL_Acc_OL19,CL_Acc_OL20,CL_Acc_OL21,CL_Acc_NK19to21,CL_Acc_NK19,CL_Acc_NK20,CL_Acc_NK21,CL_Acc_NFA19to21,CL_Acc_NFA19,CL_Acc_NFA20,CL_Acc_NFA21,CL_Acc_F19to21,CL_Acc_F19,CL_Acc_F20,CL_Acc_F21,CL_Acc_IL19to21,CL_Acc_IL19,CL_Acc_IL20,CL_Acc_IL21,CL_Acc_EA19to21,CL_Acc_EA19,CL_Acc_EA20,CL_Acc_EA21,CL_Acc_BB19to21,CL_Acc_BB19,CL_Acc_BB20,CL_Acc_BB21,CL_Acc_Cust19to21,CL_Acc_Cust19,CL_Acc_Cust20,CL_Acc_Cust21,CL_Acc_FFC19to21,CL_Acc_FFC19,CL_Acc_FFC20,CL_Acc_FFC21,CL_Acc_OTH19to21,CL_Acc_OTH19,CL_Acc_OTH20,CL_Acc_OTH21,CL_Acc_NoInf19to21,CL_Acc_NoInf19,CL_Acc_NoInf20,CL_Acc_NoInf21,CL_Acc_P19to21_pc,CL_Acc_P19_pc,CL_Acc_P20_pc,CL_Acc_P21_pc,CL_Acc_CH19to21_pc,CL_Acc_CH19_pc,CL_Acc_CH20_pc,CL_Acc_CH21_pc,CL_Acc_SITA19to21_pc,CL_Acc_SITA19_pc,CL_Acc_SITA20_pc,CL_Acc_SITA21_pc,CL_Acc_SL19to21_pc,CL_Acc_SL19_pc,CL_Acc_SL20_pc,CL_Acc_SL21_pc,CL_Acc_GA19to21_pc,CL_Acc_GA19_pc,CL_Acc_GA20_pc,CL_Acc_GA21_pc,CL_Acc_Dep19to21_pc,CL_Acc_Dep19_pc,CL_Acc_Dep20_pc,CL_Acc_Dep21_pc,CL_Acc_OL19to21_pc,CL_Acc_OL19_pc,CL_Acc_OL20_pc,CL_Acc_OL21_pc,CL_Acc_NK19to21_pc,CL_Acc_NK19_pc,CL_Acc_NK20_pc,CL_Acc_NK21_pc,CL_Acc_NFA19to21_pc,CL_Acc_NFA19_pc,CL_Acc_NFA20_pc,CL_Acc_NFA21_pc,CL_Acc_F19to21_pc,CL_Acc_F19_pc,CL_Acc_F20_pc,CL_Acc_F21_pc,CL_Acc_IL19to21_pc,CL_Acc_IL19_pc,CL_Acc_IL20_pc,CL_Acc_IL21_pc,CL_Acc_EA19to21_pc,CL_Acc_EA19_pc,CL_Acc_EA20_pc,CL_Acc_EA21_pc,CL_Acc_BB19to21_pc,CL_Acc_BB19_pc,CL_Acc_BB20_pc,CL_Acc_BB21_pc,CL_Acc_Cust19to21_pc,CL_Acc_Cust19_pc,CL_Acc_Cust20_pc,CL_Acc_Cust21_pc,CL_Acc_FFC19to21_pc,CL_Acc_FFC19_pc,CL_Acc_FFC20_pc,CL_Acc_FFC21_pc,CL_Acc_OTH19to21_pc,CL_Acc_OTH19_pc,CL_Acc_OTH20_pc,CL_Acc_OTH21_pc,CL_Acc_NoInf19to21_pc,CL_Acc_NoInf19_pc,CL_Acc_NoInf20_pc,CL_Acc_NoInf21_pc,CL_Stayput_19&20,CL_Stayput_19,CL_Stayput_20,CL_Stayput_FFC_19&20,CL_Stayput_FFC_19,CL_Stayput_FFC_20,CL_Stayput_FFC_19&20_pc,CL_Stayput_FFC_19_pc,CL_Stayput_FFC_20_pc
102,E09000023,LA,209,Lewisham,263,100,83,80,255,100,77,78,181,76,53,52,21,10,9,x,53,14,15,x,71,76,69,67,8,10,12,x,21,14,19,x,17,8,7,x,x,x,x,0,51,31,12,8,18,12,x,x,x,0,x,0,x,0,x,0,0,0,0,0,6,0,x,x,x,x,x,x,x,x,0,x,71,14,23,34,x,0,x,0,x,x,0,x,9,x,x,x,16,8,6,x,6,x,x,x,53,14,15,24,6,8,8,x,x,x,x,0,19,31,14,10,7,12,x,x,x,0,x,0,x,0,x,0,0,0,0,0,2,0,x,x,x,x,x,x,x,x,0,x,27,14,28,43,x,0,x,0,x,x,0,x,3,x,x,x,6,8,7,x,2,x,x,x,20,14,18,30,65,34,31,14,8,6,22,24,19
104,E09000028,LA,210,Southwark,286,94,95,97,279,93,91,95,232,78,76,78,25,9,9,7,22,6,6,10,83,84,84,82,9,10,10,7,8,6,7,11,29,6,11,12,7,x,0,x,65,34,16,15,0,0,0,0,x,x,x,x,x,0,0,x,0,0,0,0,x,0,x,0,x,0,0,x,17,6,7,x,83,15,31,37,x,x,0,0,x,x,0,0,21,7,9,x,28,12,10,6,x,x,x,0,22,6,x,10,10,6,12,12,2,x,0,x,23,36,17,15,0,0,0,0,x,x,x,x,x,0,0,x,0,0,0,0,x,0,x,0,x,0,0,x,6,6,7,x,29,16,33,38,x,x,0,0,x,x,0,0,7,7,9,x,10,13,11,6,x,x,x,0,8,6,x,10,77,42,35,20,10,10,26,24,29
105,E09000030,LA,211,Tower Hamlets,219,71,72,76,198,65,65,68,181,56,x,x,17,9,x,x,0,0,0,0,91,86,x,x,9,14,x,x,0,0,0,0,32,12,12,8,20,x,10,x,71,28,20,23,x,0,0,x,x,0,x,x,x,0,0,x,0,0,0,0,16,6,6,x,0,0,0,0,0,0,0,0,36,x,11,22,0,0,0,0,0,0,0,0,17,9,x,x,15,7,6,x,6,x,x,x,0,0,0,0,15,17,17,11,9,x,14,x,32,39,28,30,x,0,0,x,x,0,x,x,x,0,0,x,0,0,0,0,7,8,8,x,0,0,0,0,0,0,0,0,16,x,15,29,0,0,0,0,0,0,0,0,8,13,x,x,7,10,8,x,3,x,x,x,0,0,0,0,39,19,20,13,7,6,33,37,30
106,E09000032,LA,212,Wandsworth,149,58,46,45,149,58,46,45,126,51,39,36,12,x,x,x,11,x,x,x,85,88,85,80,8,x,x,x,7,x,x,x,x,x,x,x,11,6,x,x,31,20,7,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,7,6,40,x,14,21,0,0,0,0,0,0,0,0,12,6,x,x,12,8,x,0,x,0,0,x,11,x,x,8,x,x,x,x,7,10,x,x,21,34,15,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,13,27,x,30,47,0,0,0,0,0,0,0,0,8,10,x,x,8,14,x,0,x,0,0,x,7,x,x,18,22,11,11,11,x,x,50,x,x
107,E09000033,LA,213,Westminster,123,42,45,36,122,41,45,36,90,30,34,26,12,x,x,x,20,x,x,x,74,73,76,72,10,x,x,x,16,x,x,x,11,x,x,x,0,0,0,0,40,14,15,11,6,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,x,x,0,x,0,17,x,9,7,0,0,0,0,0,0,0,0,6,x,x,x,14,7,x,x,x,x,x,x,20,6,7,7,9,x,x,x,0,0,0,0,33,33,33,31,5,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,x,x,0,x,0,14,x,20,19,0,0,0,0,0,0,0,0,5,x,x,x,11,17,x,x,x,x,x,x,16,14,16,19,25,11,14,10,x,x,40,x,x
109,E09000002,LA,301,Barking and Dagenham,175,74,48,53,175,74,48,53,133,63,31,39,6,x,x,x,36,x,x,x,76,85,65,74,3,x,x,x,21,x,x,x,29,15,6,8,0,0,0,0,70,37,14,19,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,x,x,9,0,0,0,0,0,0,0,0,x,x,x,x,14,x,6,x,0,0,0,0,36,9,16,11,17,20,13,15,0,0,0,0,40,50,29,36,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,x,x,17,0,0,0,0,0,0,0,0,x,x,x,x,8,x,13,x,0,0,0,0,21,12,33,21,42,29,13,11,x,x,26,x,x
110,E09000003,LA,302,Barnet,185,62,58,65,185,62,58,65,150,52,51,47,8,x,x,x,27,x,x,x,81,84,88,72,4,x,x,x,15,x,x,x,12,x,x,7,x,0,x,x,11,x,x,x,7,0,x,x,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,x,0,x,x,x,x,0,0,73,25,31,17,24,11,7,6,0,0,0,0,6,x,0,x,12,x,x,x,x,x,0,x,27,6,6,15,6,x,x,11,x,0,x,x,6,x,x,x,4,0,x,x,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,x,0,x,x,x,x,0,0,39,40,53,26,13,18,12,9,0,0,0,0,3,x,0,x,6,x,x,x,x,x,0,x,15,10,10,23,31,16,15,9,x,x,29,x,x
111,E09000004,LA,303,Bexley,132,57,36,39,117,54,29,34,x,x,29,x,x,x,0,x,x,x,0,0,x,x,100,x,x,x,0,x,x,x,0,0,11,x,x,x,8,x,x,x,17,10,6,x,x,x,x,x,x,0,x,0,8,x,x,x,x,x,0,0,6,x,x,x,0,0,0,0,0,0,0,0,59,20,17,22,0,0,0,0,0,0,0,0,x,x,0,x,9,8,0,x,x,x,0,0,x,x,0,0,8,x,x,x,6,x,x,x,13,18,17,x,x,x,x,x,x,0,x,0,6,x,x,x,x,x,0,0,5,x,x,x,0,0,0,0,0,0,0,0,45,35,47,56,0,0,0,0,0,0,0,0,x,x,0,x,7,14,0,x,x,x,0,0,x,x,0,0,30,18,12,7,7,0,23,39,0
112,E09000005,LA,304,Brent,223,82,71,70,221,82,70,69,167,65,55,47,13,x,x,x,41,x,x,x,76,79,79,68,6,x,x,x,19,x,x,x,15,x,x,8,x,x,x,x,38,26,11,x,0,0,0,0,0,0,0,0,x,0,x,x,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,0,96,27,36,33,x,x,0,0,x,0,x,0,10,x,x,x,11,7,x,x,0,0,0,0,41,12,12,17,7,x,x,11,x,x,x,x,17,32,15,x,0,0,0,0,0,0,0,0,x,0,x,x,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,0,43,33,51,47,x,x,0,0,x,0,x,0,4,x,x,x,5,9,x,x,0,0,0,0,18,15,17,24,42,18,24,8,x,x,19,x,x
113,E09000006,LA,305,Bromley,153,58,42,53,153,58,42,53,114,47,27,40,10,x,x,x,29,x,x,x,75,81,64,75,7,x,x,x,19,x,x,x,6,x,x,x,x,x,x,x,22,12,6,x,22,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,41,11,8,22,0,0,0,0,0,0,0,0,10,x,x,x,15,9,x,x,0,0,0,0,29,8,12,9,4,x,x,x,x,x,x,x,14,21,14,x,14,17,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,27,19,19,42,0,0,0,0,0,0,0,0,7,x,x,x,10,16,x,x,0,0,0,0,19,14,29,17,24,13,11,8,x,x,33,x,x
114,E09000008,LA,306,Croydon,673,250,227,196,620,230,207,183,466,177,162,127,45,11,20,14,109,42,25,42,75,77,78,69,7,5,10,8,18,18,12,23,30,14,10,6,8,x,x,x,14,x,x,x,13,6,x,x,6,x,x,x,15,7,x,x,9,x,x,x,32,12,13,7,8,x,x,x,x,x,x,x,371,134,138,99,x,0,0,x,x,x,x,0,27,x,13,9,15,9,x,x,8,x,x,x,109,42,25,42,4,6,4,3,1,x,x,x,2,x,x,x,2,2,x,x,1,x,x,x,2,3,x,x,1,x,x,x,5,5,6,4,1,x,x,x,x,x,x,x,55,54,61,51,x,0,0,x,x,x,x,0,4,x,6,5,2,4,x,x,1,x,x,x,16,17,11,21,237,126,111,13,x,x,5,x,x
115,E09000009,LA,307,Ealing,201,79,56,66,195,78,52,65,160,63,45,52,17,9,x,6,18,6,x,7,82,81,87,80,9,12,x,9,9,8,x,11,32,14,6,12,9,x,x,x,43,22,12,9,x,x,0,0,0,0,0,0,x,0,x,x,x,0,x,0,x,x,x,0,0,0,0,0,0,0,0,0,47,10,12,25,x,x,0,x,x,x,0,x,10,x,x,x,14,8,x,x,8,x,x,x,18,6,x,7,16,18,11,18,4,x,x,x,21,28,21,14,x,x,0,0,0,0,0,0,x,0,x,x,x,0,x,0,x,x,x,0,0,0,0,0,0,0,0,0,23,13,21,38,x,x,0,x,x,x,0,x,5,x,x,x,7,10,x,x,4,x,x,x,9,8,x,11,37,19,18,10,x,x,27,x,x
116,E09000010,LA,308,Enfield,222,86,85,51,219,84,84,51,177,66,69,42,16,7,6,x,26,11,9,x,81,79,82,82,7,8,7,x,12,13,11,x,13,x,8,x,9,x,x,x,57,28,21,8,16,x,6,x,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,0,x,x,0,x,0,0,0,0,60,15,24,21,x,0,0,x,0,0,0,0,15,7,6,x,15,7,x,x,x,x,x,0,26,11,9,6,6,x,9,x,4,x,x,x,26,33,25,16,7,x,7,x,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,0,x,x,0,x,0,0,0,0,27,17,28,41,x,0,0,x,0,0,0,0,7,8,7,x,7,8,x,x,x,x,x,0,12,13,11,12,48,25,23,12,x,x,25,x,x
98,E09000014,LA,309,Haringey,243,69,86,88,234,67,84,83,195,60,71,64,25,x,x,11,14,x,x,8,83,90,85,77,11,x,x,13,6,x,x,10,17,6,x,6,x,x,x,x,54,28,18,8,12,x,x,x,x,x,0,0,0,0,0,0,x,0,0,x,8,x,x,x,6,x,x,x,x,0,0,x,76,11,32,33,0,0,0,0,0,0,0,0,19,x,7,10,14,7,x,x,13,x,6,x,14,x,x,8,7,9,x,7,x,x,x,x,22,41,21,9,5,x,x,x,x,x,0,0,0,0,0,0,x,0,0,x,3,x,x,x,2,x,x,x,x,0,0,x,31,16,37,38,0,0,0,0,0,0,0,0,8,x,8,11,6,10,x,x,5,x,7,x,6,x,x,9,34,10,24,10,x,x,29,x,x
118,E09000015,LA,310,Harrow,118,43,38,37,115,43,36,36,100,x,x,x,x,x,0,0,x,x,x,x,87,x,x,x,x,x,0,0,x,x,x,x,8,x,x,x,x,x,x,x,52,26,17,9,x,x,x,x,0,0,0,0,x,0,x,x,x,0,0,x,0,0,0,0,0,0,0,0,x,x,0,0,23,x,6,13,0,0,0,0,0,0,0,0,x,x,0,0,6,x,x,x,x,x,0,0,12,x,x,x,7,x,x,x,x,x,x,x,44,60,45,24,x,x,x,x,0,0,0,0,x,0,x,x,x,0,0,x,0,0,0,0,0,0,0,0,x,x,0,0,19,x,16,35,0,0,0,0,0,0,0,0,x,x,0,0,5,x,x,x,x,x,0,0,10,x,x,x,15,6,9,x,x,x,x,x,x
119,E09000016,LA,311,Havering,125,38,48,39,124,38,47,39,108,x,41,31,x,x,x,x,x,x,x,x,87,x,87,79,x,x,x,x,x,x,x,x,x,x,x,0,12,6,x,x,30,15,12,x,7,x,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,0,x,x,x,0,0,36,x,14,19,0,0,0,0,0,0,0,0,x,x,x,x,11,x,6,x,x,0,x,x,11,x,x,x,x,x,x,0,10,16,x,x,24,39,25,x,6,x,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,0,x,x,x,0,0,29,x,29,49,0,0,0,0,0,0,0,0,x,x,x,x,9,x,13,x,x,0,x,x,9,x,x,x,20,9,11,9,x,x,45,x,x
120,E09000017,LA,312,Hillingdon,303,100,87,116,290,98,82,110,240,85,70,85,19,x,x,11,31,x,x,14,83,87,85,77,7,x,x,10,11,x,x,13,26,13,7,6,x,0,x,0,24,9,8,7,13,x,x,x,x,0,0,x,x,0,x,x,8,0,x,6,10,x,x,x,6,x,x,x,x,0,x,x,145,50,39,56,x,x,0,0,0,0,0,0,13,x,x,8,12,6,x,x,x,x,x,x,31,9,8,14,9,13,8,5,x,0,x,0,8,9,9,6,4,x,x,x,x,0,0,x,x,0,x,x,3,0,x,5,3,x,x,x,2,x,x,x,x,0,x,x,48,50,45,48,x,x,0,0,0,0,0,0,4,x,x,7,4,6,x,x,x,x,x,x,10,9,9,12,45,26,19,7,x,x,16,x,x
121,E09000018,LA,313,Hounslow,215,77,73,65,202,69,68,65,159,59,58,42,15,x,x,x,28,x,x,x,79,86,85,65,7,x,x,x,14,x,x,x,18,x,11,6,x,x,0,0,78,45,22,11,6,x,x,x,x,x,0,0,0,0,0,0,12,x,x,8,12,7,x,0,x,x,x,0,0,0,0,0,31,x,14,16,0,0,0,0,x,x,x,x,7,x,x,x,6,x,x,0,6,x,x,x,28,x,x,18,8,x,15,9,x,x,0,0,36,58,30,17,3,x,x,x,x,x,0,0,0,0,0,0,6,x,x,12,6,9,x,0,x,x,x,0,0,0,0,0,14,x,19,25,0,0,0,0,x,x,x,x,3,x,x,x,3,x,x,0,3,x,x,x,13,x,x,28,39,18,21,6,x,x,15,x,x
122,E09000021,LA,314,Kingston upon Thames,76,21,26,29,75,21,25,29,53,x,17,20,x,0,x,x,x,x,x,x,71,x,68,69,x,0,x,x,x,x,x,x,8,x,0,x,x,0,x,x,24,6,9,9,10,6,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,x,20,x,7,8,11,x,0,x,x,0,x,x,32,29,35,31,13,29,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,x,26,x,27,28,10,x,x,x,0,x,x,0,x
123,E09000024,LA,315,Merton,128,39,44,45,119,37,42,40,101,x,x,29,8,x,x,x,10,x,x,x,85,x,x,73,7,x,x,x,8,x,x,x,8,x,x,x,6,x,x,x,49,20,18,11,x,x,0,0,x,0,x,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,0,x,0,0,0,0,32,7,13,12,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,0,x,x,0,x,10,x,x,7,6,x,x,x,5,x,x,x,38,51,41,24,x,x,0,0,x,0,x,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,0,x,0,0,0,0,25,18,30,27,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,0,x,x,0,x,8,x,x,16,23,11,12,x,0,x,x,0,x
103,E09000025,LA,316,Newham,274,93,100,81,274,93,100,81,215,72,77,66,14,x,x,x,45,x,x,x,78,77,77,81,5,x,x,x,16,x,x,x,14,6,x,6,0,0,0,0,119,45,53,21,x,x,x,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,x,0,x,0,x,0,x,x,39,x,x,32,0,0,0,0,0,0,0,0,11,x,x,x,28,14,11,x,8,x,x,x,45,17,18,10,5,6,x,7,0,0,0,0,43,48,53,26,x,x,x,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,x,0,x,0,x,0,x,x,14,x,x,40,0,0,0,0,0,0,0,0,4,x,x,x,10,15,11,x,3,x,x,x,16,18,18,12,84,36,48,25,14,11,30,39,23
124,E09000026,LA,317,Redbridge,139,57,45,37,139,57,45,37,105,51,30,24,13,x,6,x,21,x,9,x,76,89,67,65,9,x,13,x,15,x,20,x,x,x,x,0,10,x,x,x,67,29,21,17,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,6,x,x,x,0,0,0,0,x,0,0,x,13,x,6,x,13,9,x,x,x,x,0,0,21,x,9,8,x,x,x,0,7,x,x,x,48,51,47,46,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,x,0,0,0,0,x,0,0,x,9,x,13,x,9,16,x,x,x,x,0,0,15,x,20,22,44,28,16,11,x,x,25,x,x
125,E09000027,LA,318,Richmond upon Thames,78,38,21,19,76,37,21,18,70,x,x,x,x,x,x,x,x,x,x,0,92,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,6,x,x,x,32,21,9,x,x,x,0,x,x,0,0,x,x,x,0,0,x,0,0,x,0,0,0,0,x,0,x,0,0,0,0,0,16,x,x,x,0,0,0,0,0,0,0,0,x,0,0,x,7,x,0,x,x,x,x,0,x,x,x,0,x,x,x,x,8,x,x,x,41,55,43,x,x,x,0,x,x,0,0,x,x,x,0,0,x,0,0,x,0,0,0,0,x,0,x,0,0,0,0,0,21,x,x,x,0,0,0,0,0,0,0,0,x,0,0,x,9,x,0,x,x,x,x,0,x,x,x,0,13,x,x,x,x,0,x,x,0
126,E09000029,LA,319,Sutton,119,51,45,23,116,50,43,23,97,42,x,17,x,x,x,x,x,x,x,x,84,84,x,74,x,x,x,x,x,x,x,x,7,x,x,x,x,0,x,0,45,26,17,x,6,x,x,x,0,0,0,0,0,0,0,0,7,x,x,x,x,x,x,0,x,0,x,0,x,x,x,0,23,x,9,10,0,0,0,0,x,0,x,0,x,x,0,0,x,x,x,x,x,0,x,x,14,6,x,x,6,x,x,x,x,0,x,0,38,51,38,x,5,x,x,x,0,0,0,0,0,0,0,0,6,x,x,x,x,x,x,0,x,0,x,0,x,x,x,0,19,x,20,43,0,0,0,0,x,0,x,0,x,x,0,0,x,x,x,x,x,0,x,x,12,12,x,x,20,x,x,x,x,x,x,x,x
127,E09000031,LA,320,Waltham Forest,170,61,59,50,158,58,56,44,133,x,47,31,x,0,x,x,x,x,x,x,84,x,84,70,x,0,x,x,x,x,x,x,6,0,x,x,6,x,x,x,40,23,15,x,0,0,0,0,0,0,0,0,x,x,0,x,0,0,0,0,10,x,x,x,0,0,0,0,x,x,x,x,52,17,17,18,0,0,0,0,0,0,0,0,x,0,x,x,23,12,6,x,x,x,x,0,22,x,8,11,4,0,x,x,4,x,x,x,24,38,25,x,0,0,0,0,0,0,0,0,x,x,0,x,0,0,0,0,6,x,x,x,0,0,0,0,x,x,x,x,31,28,29,36,0,0,0,0,0,0,0,0,x,0,x,x,14,20,10,x,x,x,x,0,13,x,14,22,50,27,23,18,12,6,36,44,26
66,E08000025,LA,330,Birmingham,679,228,244,207,676,226,243,207,564,193,202,169,38,10,20,8,74,23,21,30,83,85,83,82,6,4,8,4,11,10,9,14,93,30,42,21,51,15,19,17,69,31,20,18,x,x,0,0,0,0,0,0,0,0,0,0,x,x,0,x,x,x,x,0,x,x,0,0,6,x,x,x,265,80,95,90,x,0,0,x,x,x,x,0,35,9,18,8,55,26,19,10,18,x,x,x,74,23,21,30,14,13,17,10,8,7,8,8,10,14,8,9,x,x,0,0,0,0,0,0,0,0,0,0,x,x,0,x,x,x,x,0,x,x,0,0,1,x,x,x,39,35,39,43,x,0,0,x,x,x,x,0,5,4,7,4,8,11,8,5,3,x,x,x,11,10,9,14,128,49,79,43,26,17,34,53,22
67,E08000026,LA,331,Coventry,224,75,71,78,220,73,71,76,188,x,58,62,14,x,6,x,18,x,7,x,85,x,82,82,6,x,8,x,8,x,10,x,23,9,7,7,11,x,x,x,33,15,9,9,x,0,0,x,0,0,0,0,0,0,0,0,x,0,x,0,x,x,0,x,x,0,x,x,x,0,x,0,93,31,26,36,x,0,0,x,0,0,0,0,10,x,x,x,25,9,10,6,0,0,0,0,18,x,7,9,10,12,10,9,5,x,x,x,15,20,13,12,x,0,0,x,0,0,0,0,0,0,0,0,x,0,x,0,x,x,0,x,x,0,x,x,x,0,x,0,42,41,37,46,x,0,0,x,0,0,0,0,4,x,x,x,11,12,14,8,0,0,0,0,8,x,10,12,46,21,25,19,9,10,41,43,40
68,E08000027,LA,332,Dudley,187,62,73,52,186,61,73,52,170,x,65,x,6,x,x,0,10,x,x,x,91,x,89,x,3,x,x,0,5,x,x,x,32,7,16,9,6,x,x,x,x,x,x,0,6,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,x,x,0,x,78,21,32,25,0,0,0,0,0,0,0,0,6,x,x,0,24,11,6,7,18,8,6,x,10,x,x,x,17,11,22,17,3,x,x,x,x,x,x,0,3,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,x,x,0,x,42,34,44,48,0,0,0,0,0,0,0,0,3,x,x,0,13,18,8,13,10,13,8,x,5,x,x,x,50,26,24,17,11,6,34,42,25
70,E08000028,LA,333,Sandwell,171,58,54,59,169,57,54,58,134,49,46,39,12,x,x,7,23,x,x,12,79,86,85,67,7,x,x,12,14,x,x,21,33,13,8,12,10,x,x,x,31,14,10,7,10,6,x,x,0,0,0,0,0,0,0,0,x,x,x,x,x,x,0,x,x,0,x,0,6,x,x,x,34,x,16,13,x,0,x,0,0,0,0,0,8,x,0,6,x,0,x,x,x,x,x,0,23,6,x,12,19,22,15,20,6,x,x,x,18,24,19,12,6,10,x,x,0,0,0,0,0,0,0,0,x,x,x,x,x,x,0,x,x,0,x,0,4,x,x,x,20,x,30,22,x,0,x,0,0,0,0,0,5,x,0,10,x,0,x,x,x,x,x,0,13,10,x,20,38,21,17,x,0,x,x,0,x
72,E08000029,LA,334,Solihull,146,50,47,49,146,50,47,49,125,42,39,x,x,x,x,x,x,x,x,x,86,84,83,x,x,x,x,x,x,x,x,x,20,8,x,7,x,x,0,x,19,8,8,x,10,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,x,0,0,x,45,10,14,21,x,x,0,0,0,0,0,0,x,x,x,0,17,10,x,x,10,0,x,x,16,6,7,x,14,16,x,14,x,x,0,x,13,16,17,x,7,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,x,0,0,x,31,20,30,43,x,x,0,0,0,0,0,0,x,x,x,0,12,20,x,x,7,0,x,x,11,12,15,x,30,14,16,13,x,x,43,x,x
