LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2014,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_pc
126,E09000029,LA,319,Sutton,75,111,135,127,111,59,52,53,47,9,27,21,x,x,17,28,8,24,19,x,x,15,25,x,x,0,x,22,x,x,x,8,15,35,x,x,x,x,0,x,x,10
127,E09000031,LA,320,Waltham Forest,180,160,184,169,134,82,52,61,39,7,15,12,25,12,8,55,5,11,9,19,9,6,41,x,x,0,x,34,13,x,0,6,x,0,0,0,x,0,0,0,63,7
66,E08000025,LA,330,Birmingham,759,768,888,726,685,416,269,61,39,30,133,82,123,38,39,240,4,19,12,18,6,6,35,24,70,0,x,237,15,x,18,6,x,76,9,22,28,x,x,x,162,14
67,E08000026,LA,331,Coventry,331,359,286,248,227,120,107,53,47,13,48,30,44,x,x,80,6,21,13,19,x,x,35,x,x,0,0,35,10,23,12,25,0,71,x,x,x,x,6,x,0,13
68,E08000027,LA,332,Dudley,156,196,211,212,189,100,89,53,47,x,45,25,30,10,x,72,x,24,13,16,5,x,38,9,17,0,x,18,10,17,x,28,0,x,0,x,0,x,0,0,76,14
70,E08000028,LA,333,Sandwell,252,183,214,183,200,114,86,57,43,12,51,26,28,13,13,57,6,26,13,14,7,7,29,31,8,x,8,10,x,50,0,7,x,59,x,0,8,0,0,0,11,20
72,E08000029,LA,334,Solihull,125,136,129,145,150,98,52,65,35,8,27,27,27,11,12,38,5,18,18,18,7,8,25,x,x,0,x,54,6,0,11,x,0,38,0,x,x,0,6,0,6,13
76,E08000030,LA,335,Walsall,176,220,164,168,217,114,103,53,47,x,69,33,34,13,x,52,x,32,15,16,6,x,24,18,28,0,7,19,13,25,7,21,7,21,7,x,x,0,0,6,32,21
78,E08000031,LA,336,Wolverhampton,223,234,254,186,170,109,61,64,36,7,49,26,17,7,13,51,4,29,15,10,4,8,30,10,30,0,0,56,0,0,0,x,0,x,x,8,7,0,x,0,48,24
24,E08000011,LA,340,Knowsley,88,130,111,110,87,53,34,61,39,x,30,12,14,x,x,19,x,34,14,16,x,x,22,x,x,0,0,18,0,0,x,12,x,x,x,x,0,0,0,0,31,16
26,E08000012,LA,341,Liverpool,346,390,412,340,363,197,166,54,46,24,72,52,74,17,20,104,7,20,14,20,5,6,29,30,10,0,x,32,x,61,19,22,36,13,20,7,x,x,x,0,99,11
32,E08000013,LA,342,St. Helens,148,135,155,120,98,58,40,59,41,x,19,11,12,6,x,40,x,19,11,12,6,x,41,x,x,0,0,11,10,0,x,x,0,27,x,x,x,0,0,0,14,19
31,E08000014,LA,343,Sefton,183,169,133,181,163,92,71,56,44,8,31,22,36,10,6,50,5,19,13,22,6,4,31,x,x,0,0,30,0,0,x,11,8,10,x,6,0,0,0,0,76,8
38,E08000015,LA,344,Wirral,204,208,203,254,211,107,104,51,49,19,44,45,29,x,x,64,9,21,21,14,x,x,30,9,13,0,x,75,0,16,11,17,18,25,10,x,0,0,0,0,8,10
18,E08000001,LA,350,Bolton,168,175,172,186,168,92,76,55,45,13,52,20,29,6,11,37,8,31,12,17,4,7,22,18,18,0,x,20,x,0,8,20,8,10,x,x,x,0,0,0,56,21
19,E08000002,LA,351,Bury,127,147,103,114,147,83,64,56,44,6,38,25,29,x,x,39,4,26,17,20,x,x,27,x,x,0,0,36,7,6,18,14,x,19,x,x,x,0,0,0,29,8
27,E08000003,LA,352,Manchester,553,557,473,533,471,258,213,55,45,34,78,80,81,27,30,141,7,17,17,17,6,6,30,x,x,0,6,123,29,15,14,30,20,42,x,x,9,7,0,x,116,10
28,E08000004,LA,353,Oldham,149,181,170,150,204,102,102,50,50,21,52,51,31,10,11,28,10,25,25,15,5,5,14,x,x,0,0,74,19,0,x,16,9,8,7,0,x,0,0,0,30,16
29,E08000005,LA,354,Rochdale,161,178,198,155,159,92,67,58,42,14,44,27,18,8,15,33,9,28,17,11,5,9,21,18,15,x,x,15,x,0,x,12,12,13,x,x,x,0,7,0,50,21
30,E08000006,LA,355,Salford,210,210,224,236,169,95,74,56,44,6,41,24,32,11,9,46,4,24,14,19,7,5,27,9,7,0,x,74,x,16,x,18,0,18,14,x,x,x,0,0,x,9
33,E08000007,LA,356,Stockport,119,154,148,120,167,84,83,50,50,11,40,20,41,6,6,43,7,24,12,25,4,4,26,x,x,0,0,53,11,6,x,7,13,21,x,x,x,x,0,x,32,6
34,E08000008,LA,357,Tameside,128,152,118,135,147,74,73,50,50,9,31,20,20,x,x,55,6,21,14,14,x,x,37,x,x,0,0,32,x,0,x,10,9,19,x,x,x,0,0,0,43,12
35,E08000009,LA,358,Trafford,114,97,104,86,131,75,56,57,43,x,28,19,33,7,x,34,x,21,15,25,5,x,26,x,x,0,x,31,8,10,x,21,6,17,x,x,x,x,x,0,18,7
37,E08000010,LA,359,Wigan,160,143,180,175,149,72,77,48,52,14,44,29,30,x,x,25,9,30,19,20,x,x,17,13,20,0,x,22,x,0,9,17,8,6,7,x,x,0,0,0,34,22
40,E08000016,LA,370,Barnsley,93,119,134,116,110,59,51,54,46,x,33,23,17,x,x,21,x,30,21,15,x,x,19,x,x,0,0,12,x,7,17,8,x,x,6,x,x,x,x,0,11,32
43,E08000017,LA,371,Doncaster,232,183,182,195,195,106,89,54,46,14,54,30,31,x,x,52,7,28,15,16,x,x,27,19,12,0,0,31,10,0,x,11,19,8,0,x,x,0,0,0,73,16
51,E08000018,LA,372,Rotherham,130,160,189,207,189,92,97,49,51,20,62,31,27,x,x,43,11,33,16,14,x,x,23,16,10,0,x,17,x,36,11,8,8,9,0,x,x,x,x,x,59,14
52,E08000019,LA,373,Sheffield,264,275,269,261,257,131,126,51,49,29,63,29,29,10,10,87,11,25,11,11,4,4,34,28,11,x,0,58,6,42,36,7,9,43,x,x,x,x,0,x,x,15
41,E08000032,LA,380,Bradford,326,301,345,282,298,171,127,57,43,24,58,44,53,12,16,91,8,19,15,18,4,5,31,17,12,x,x,87,6,9,x,19,x,7,0,x,11,0,x,0,113,10
42,E08000033,LA,381,Calderdale,87,96,108,100,96,49,47,51,49,x,27,14,18,x,x,25,x,28,15,19,x,x,26,x,x,0,0,11,x,15,0,12,6,16,x,x,x,0,x,0,17,10
46,E08000034,LA,382,Kirklees,269,237,231,278,253,127,126,50,50,31,62,38,41,8,11,62,12,25,15,16,3,4,25,11,22,0,x,71,x,x,14,16,32,56,6,x,x,x,0,x,6,13
47,E08000035,LA,383,Leeds,438,491,395,412,405,241,164,60,40,29,99,53,61,12,14,137,7,24,13,15,3,3,34,51,20,x,0,78,7,6,x,37,10,x,x,x,11,x,x,x,168,18
53,E08000036,LA,384,Wakefield,170,205,186,139,180,111,69,62,38,14,50,21,23,10,10,52,8,28,12,13,6,6,29,16,16,x,x,39,x,0,x,22,6,18,12,0,x,0,7,0,29,18
5,E08000037,LA,390,Gateshead,208,220,210,161,170,87,83,51,49,17,45,32,23,x,x,41,10,26,19,14,x,x,24,17,8,x,0,54,6,0,23,12,x,40,0,x,0,0,0,0,x,15
8,E08000021,LA,391,Newcastle upon Tyne,220,256,248,262,265,147,118,55,45,19,67,50,64,16,42,7,7,25,19,24,6,16,3,42,0,x,x,96,x,13,x,46,8,8,0,x,7,x,0,x,31,16
9,E08000022,LA,392,North Tyneside,126,148,176,147,161,85,76,53,47,19,50,27,28,x,x,29,12,31,17,17,x,x,18,x,x,0,x,53,10,x,20,10,8,21,x,x,0,0,x,0,9,12
12,E08000023,LA,393,South Tyneside,148,144,130,127,89,38,51,43,57,8,32,15,x,x,x,21,9,36,17,x,x,x,24,10,7,0,0,16,x,x,14,x,8,14,8,x,0,0,0,0,x,19
14,E08000024,LA,394,Sunderland,216,227,270,344,322,175,147,54,46,36,110,58,54,x,x,45,11,34,18,17,x,x,14,x,x,x,x,74,7,40,42,49,9,35,8,x,0,x,0,0,0,15
149,E06000022,LA,800,Bath and North East Somerset,71,70,49,69,61,33,28,54,46,x,9,x,x,6,10,23,x,15,x,x,10,16,38,x,x,x,0,x,x,11,x,x,x,20,x,x,x,0,x,0,x,15
151,E06000023,LA,801,"Bristol, City of",325,309,380,314,278,135,143,49,51,22,42,25,45,14,13,117,8,15,9,16,5,5,42,11,6,0,x,49,20,35,6,8,14,28,x,x,x,0,x,0,89,6
157,E06000024,LA,802,North Somerset,128,109,123,110,91,44,47,48,52,8,14,12,18,x,x,30,9,15,13,20,x,x,33,x,x,x,0,22,6,0,x,6,x,14,x,0,x,0,0,0,22,14
161,E06000025,LA,803,South Gloucestershire,85,80,101,80,81,39,42,48,52,9,10,x,18,7,x,29,11,12,x,22,9,x,36,x,0,0,0,23,7,x,x,7,x,24,x,0,0,0,0,0,6,x
6,E06000001,LA,805,Hartlepool,87,87,66,88,79,44,35,56,44,6,16,14,12,x,x,24,8,20,18,15,x,x,30,x,x,0,x,8,x,13,10,7,x,17,0,0,x,0,x,0,7,9
7,E06000002,LA,806,Middlesbrough,206,169,166,194,163,94,69,58,42,11,44,34,28,x,x,38,7,27,21,17,x,x,23,x,x,0,0,33,0,x,34,6,x,x,0,x,x,x,0,0,57,13
11,E06000003,LA,807,Redcar and Cleveland,75,74,84,91,75,41,34,55,45,12,24,12,x,0,x,16,16,32,16,x,0,x,21,x,x,0,0,16,x,x,14,x,x,x,x,0,x,0,0,0,18,13
13,E06000004,LA,808,Stockton-on-Tees,174,146,139,127,130,70,60,54,46,11,39,20,14,x,x,36,8,30,15,11,x,x,28,8,7,0,0,31,14,x,10,17,x,7,0,x,x,0,0,0,29,12
45,E06000010,LA,810,"Kingston Upon Hull, City of",216,219,268,274,227,111,116,49,51,11,59,42,42,10,7,56,5,26,19,19,4,3,25,x,x,x,x,71,11,43,9,25,x,10,x,x,x,x,x,x,x,14
44,E06000011,LA,811,East Riding of Yorkshire,159,145,110,99,92,46,46,50,50,x,19,9,17,x,x,35,x,21,10,18,x,x,38,x,x,0,0,23,x,0,6,x,x,29,0,x,x,0,0,0,10,13
48,E06000012,LA,812,North East Lincolnshire,107,162,178,154,104,57,47,55,45,8,25,19,21,x,x,21,8,24,18,20,x,x,20,x,x,x,0,13,8,x,24,x,x,6,x,x,x,x,x,0,11,18
49,E06000013,LA,813,North Lincolnshire,82,63,70,83,95,48,47,51,49,6,31,11,16,7,6,18,6,33,12,17,7,6,19,x,x,0,x,30,x,x,7,10,0,19,x,0,x,0,0,0,0,20
50,E10000023,LA,815,North Yorkshire,170,180,200,165,184,99,85,54,46,17,47,18,29,9,12,52,9,26,10,16,5,7,28,20,13,0,x,42,14,17,7,14,7,30,x,6,x,x,x,x,x,18
54,E06000014,LA,816,York,81,92,79,69,71,41,30,58,42,9,11,11,x,x,7,24,13,15,15,x,x,10,34,x,x,0,0,7,6,x,x,7,x,9,x,x,x,x,0,0,11,14
86,E06000032,LA,821,Luton,166,193,174,197,191,114,77,60,40,9,27,25,37,13,10,70,5,14,13,19,7,5,37,6,6,0,0,46,0,0,x,17,10,0,0,x,7,0,x,0,90,6
81,E06000055,LA,822,Bedford,78,138,123,127,131,78,53,60,40,x,35,16,12,x,12,42,x,27,12,9,x,9,32,6,19,0,6,30,x,x,x,6,6,x,0,x,x,0,x,x,39,19
82,E06000056,LA,823,Central Bedfordshire,101,120,97,111,123,71,52,58,42,8,30,16,10,x,x,49,7,24,13,8,x,x,40,x,x,0,x,26,15,0,x,6,x,20,7,x,x,0,0,0,16,10
131,E10000002,LA,825,Buckinghamshire,132,162,227,215,181,91,90,50,50,13,57,30,23,x,x,47,7,31,17,13,x,x,26,9,15,0,x,21,x,36,x,6,25,21,x,x,0,x,0,0,35,13
137,E06000042,LA,826,Milton Keynes,155,137,186,152,144,89,55,62,38,14,30,17,17,6,14,46,10,21,12,12,4,10,32,9,0,0,0,22,9,x,x,22,14,10,0,x,x,0,x,0,47,6
57,E10000007,LA,830,Derbyshire,298,282,301,258,256,146,110,57,43,28,70,24,26,12,17,79,11,27,9,10,5,7,31,x,x,x,x,52,8,21,19,9,x,23,11,x,x,0,x,0,53,18
56,E06000015,LA,831,Derby,185,174,176,208,225,116,109,52,48,21,61,28,40,10,12,53,9,27,12,18,4,5,24,16,8,0,x,64,26,x,39,x,x,37,x,9,x,0,0,x,8,11
154,E10000009,LA,835,Dorset,172,172,197,218,202,84,118,42,58,16,40,39,28,x,x,68,8,20,19,14,x,x,34,20,9,0,x,30,13,6,x,19,23,23,x,x,0,0,x,0,44,14
159,E06000029,LA,836,Poole,81,69,83,81,82,56,26,68,32,x,20,10,11,x,9,22,x,24,12,13,x,11,27,x,x,0,10,8,x,x,x,x,x,9,0,x,x,0,x,0,14,27
150,E06000028,LA,837,Bournemouth,127,169,122,110,89,55,34,62,38,x,21,16,10,x,x,30,x,24,18,11,x,x,34,9,7,0,0,14,x,x,0,x,9,x,0,0,0,x,15,0,15,18
4,E06000047,LA,840,Durham,288,261,252,312,375,204,171,54,46,38,117,79,74,20,6,41,10,31,21,20,5,2,11,27,26,x,x,123,47,31,26,32,22,28,x,x,x,0,x,0,0,14
3,E06000005,LA,841,Darlington,105,89,86,100,82,43,39,52,48,9,21,20,12,x,x,13,11,26,24,15,x,x,16,x,x,x,0,16,x,11,x,x,8,7,0,x,x,0,0,0,6,20
132,E10000011,LA,845,East Sussex,216,189,192,185,161,86,75,53,47,19,36,24,20,x,x,56,12,22,15,12,x,x,35,17,15,0,x,23,x,8,x,18,x,22,11,x,x,0,0,0,25,20
130,E06000043,LA,846,Brighton and Hove,180,192,245,179,176,89,87,51,49,8,37,26,29,x,x,68,5,21,15,16,x,x,39,21,11,0,0,31,x,x,7,16,9,13,x,x,x,0,6,x,53,18
133,E10000014,LA,850,Hampshire,428,546,545,532,485,289,196,60,40,20,117,54,75,31,42,146,4,24,11,15,6,9,30,6,49,x,7,135,33,42,20,44,12,87,27,8,x,x,x,x,x,11
139,E06000044,LA,851,Portsmouth,148,164,126,123,187,125,62,67,33,13,39,17,31,18,19,50,7,21,9,17,10,10,27,x,x,0,19,19,12,x,8,0,22,6,x,14,x,x,8,x,34,16
142,E06000045,LA,852,Southampton,184,192,205,221,197,115,82,58,42,12,53,53,29,11,6,33,6,27,27,15,6,3,17,10,44,0,0,27,x,0,13,25,14,x,0,0,x,x,0,0,50,27
59,E10000018,LA,855,Leicestershire,240,248,254,216,179,112,67,63,37,15,39,17,22,14,15,57,8,22,9,12,8,8,32,13,13,0,x,33,8,11,x,13,6,41,8,x,x,0,x,0,20,15
58,E06000016,LA,856,Leicester,204,209,193,230,218,111,107,51,49,19,38,33,38,x,x,71,9,17,15,17,x,x,33,x,x,0,0,45,0,0,x,10,10,43,9,6,x,0,0,0,69,10
64,E06000017,LA,857,Rutland,17,15,17,20,18,12,6,67,33,0,x,x,7,x,0,0,0,x,x,39,x,0,0,x,0,0,0,0,0,x,x,x,x,0,0,0,0,0,0,0,6,x
73,E10000028,LA,860,Staffordshire,367,367,332,334,329,184,145,56,44,18,75,38,47,10,11,130,5,23,12,14,3,3,40,35,21,0,x,56,20,9,13,32,8,74,8,8,x,x,x,x,33,17
74,E06000021,LA,861,Stoke-on-Trent,173,216,231,222,134,69,65,51,49,x,50,18,13,x,14,27,x,37,13,10,x,10,20,27,12,0,x,25,7,x,10,9,0,6,x,0,0,0,0,0,31,29
164,E06000054,LA,865,Wiltshire,221,189,161,147,154,82,72,53,47,21,38,20,15,x,x,54,14,25,13,10,x,x,35,15,7,0,x,27,7,9,0,12,7,x,x,x,0,0,0,0,60,14
162,E06000030,LA,866,Swindon,134,135,139,150,155,90,65,58,42,12,42,22,29,6,7,37,8,27,14,19,4,5,24,9,7,0,0,24,25,x,8,12,16,x,0,11,x,0,0,0,35,10
