LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,OC2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
56,E06000015,LA,831,Derby,314,207,15,7,9,x,0,3,x,0,295,275,291,94,88,93,32,28,88,247,231,94,92,35,104,40,15,45,15.9
154,E10000009,LA,835,Dorset,319,219,11,5,x,x,x,x,x,x,262,271,286,82,85,90,33,32,97,246,195,79,49,25,121,25,13,62,18.8
159,E06000029,LA,836,Poole,139,112,6,5,0,0,0,0,.,.,126,134,137,91,96,99,6,x,x,112,86,77,40,20,26,47,23,30,13.6
150,E06000028,LA,837,Bournemouth,175,134,7,5,59,27,32,34,46,54,157,167,175,90,95,100,17,17,100,133,113,85,54,10,49,48,9,43,14.5
4,E06000047,LA,840,Durham,553,350,16,5,8,x,x,1,x,x,549,527,505,99,95,91,81,66,81,425,282,66,104,73,105,37,26,37,15.4
3,E06000005,LA,841,Darlington,160,94,x,x,x,x,0,x,x,0,142,141,141,89,88,88,20,6,30,120,90,75,36,16,38,40,18,42,14.9
132,E10000011,LA,845,East Sussex,433,309,7,2,20,12,8,5,60,40,392,399,365,91,92,84,42,42,100,322,271,84,129,33,109,48,12,40,14.5
130,E06000043,LA,846,Brighton and Hove,303,232,10,4,24,13,11,8,54,46,262,259,283,86,85,93,26,26,100,218,165,76,72,22,71,44,13,43,15.4
133,E10000014,LA,850,Hampshire,1115,757,32,4,0,0,0,0,.,.,715,793,739,64,71,66,121,112,93,872,454,52,233,63,158,51,14,35,13.9
139,E06000044,LA,851,Portsmouth,247,192,24,13,16,x,14,6,x,88,231,215,227,94,87,92,18,18,100,195,168,86,78,22,68,46,13,40,14.7
142,E06000045,LA,852,Southampton,397,248,6,2,9,x,x,2,x,x,278,259,291,70,65,73,41,39,95,319,151,47,78,17,56,52,11,37,13.5
59,E10000018,LA,855,Leicestershire,378,250,7,3,13,11,x,3,85,x,356,320,301,94,85,80,53,45,85,277,209,75,97,27,85,46,13,41,15
58,E06000016,LA,856,Leicester,488,299,20,7,18,16,x,4,89,x,459,446,445,94,91,91,81,74,91,352,213,61,110,21,82,52,10,38,14.1
64,E06000017,LA,857,Rutland,23,14,0,0,0,0,0,0,.,.,18,19,21,78,83,91,x,x,x,18,13,72,x,x,x,x,x,x,14.1
73,E10000028,LA,860,Staffordshire,735,543,16,3,21,x,16,3,x,76,649,583,636,88,79,87,53,46,87,583,437,75,204,60,173,47,14,40,14.3
74,E06000021,LA,861,Stoke-on-Trent,555,297,x,x,10,0,0,2,0,0,87,456,486,16,82,88,108,90,83,401,368,92,187,47,134,51,13,36,13.9
164,E06000054,LA,865,Wiltshire,334,262,8,3,18,13,x,5,72,x,306,296,268,92,89,80,22,20,91,263,190,72,76,33,81,40,17,43,15.7
162,E06000030,LA,866,Swindon,227,142,10,7,x,x,x,x,x,x,206,175,193,91,77,85,36,0,0,165,149,90,73,10,66,49,7,44,15
129,E06000036,LA,867,Bracknell Forest,86,66,6,9,12,x,11,14,x,92,69,83,79,80,97,92,9,x,x,63,58,92,22,8,28,38,14,48,15.6
146,E06000040,LA,868,Windsor and Maidenhead,75,56,x,x,6,x,x,8,x,x,65,68,72,87,91,96,8,x,x,52,38,73,20,11,7,53,29,18,11.8
144,E06000037,LA,869,West Berkshire,105,79,x,x,8,x,0,8,x,0,100,94,99,95,90,94,7,x,x,85,77,91,25,10,42,32,13,55,16.3
140,E06000038,LA,870,Reading,193,124,9,7,0,0,0,0,.,.,166,175,188,86,91,97,27,27,100,141,122,87,52,17,53,43,14,43,15.3
141,E06000039,LA,871,Slough,123,94,0,0,8,x,x,7,x,x,48,99,106,39,80,86,13,13,100,85,55,65,27,7,21,49,13,38,13.8
147,E06000041,LA,872,Wokingham,49,47,0,0,x,x,0,x,x,0,47,49,48,96,100,98,x,x,x,35,32,91,15,x,x,47,x,x,14.9
83,E10000003,LA,873,Cambridgeshire,454,328,13,4,142,0,0,31,0,0,341,167,229,75,37,50,41,10,24,352,248,70,114,29,105,46,12,42,14.9
88,E06000031,LA,874,Peterborough,249,198,x,x,x,0,0,x,0,0,228,239,235,92,96,94,7,x,x,191,115,60,59,19,37,51,17,32,14.1
23,E06000006,LA,876,Halton,199,111,9,8,11,11,0,6,100,0,185,190,190,93,95,95,28,28,100,151,133,88,72,18,43,54,14,32,13.3
36,E06000007,LA,877,Warrington,287,189,x,x,6,0,x,2,0,x,273,257,281,95,90,98,34,34,100,227,227,100,138,22,67,61,10,30,12.4
153,E10000008,LA,878,Devon,467,372,22,6,59,28,27,13,47,46,400,400,429,86,86,92,13,13,100,378,309,82,106,40,163,34,13,53,16.9
158,E06000026,LA,879,Plymouth,254,177,0,0,0,0,0,0,.,.,222,175,176,87,69,69,24,x,x,195,161,83,63,13,85,39,8,53,16.7
163,E06000027,LA,880,Torbay,219,163,x,x,0,0,0,0,.,.,167,182,193,76,83,88,14,14,100,178,123,69,55,16,52,45,13,42,14.7
84,E10000012,LA,881,Essex,728,581,16,3,8,x,x,1,x,x,565,618,626,78,85,86,43,28,65,569,403,71,186,41,176,46,10,44,14.5
89,E06000033,LA,882,Southend-on-Sea,193,140,9,6,15,6,8,8,40,53,131,143,163,68,74,84,11,7,64,157,73,46,40,10,23,55,14,32,13.3
91,E06000034,LA,883,Thurrock,217,174,x,x,0,0,0,0,.,.,142,94,195,65,43,90,14,6,43,160,160,100,74,29,57,46,18,36,13.9
69,E06000019,LA,884,Herefordshire,225,138,0,0,x,0,x,x,0,x,218,175,223,97,78,99,23,18,78,185,134,72,66,19,49,49,14,37,15
79,E10000034,LA,885,Worcestershire,567,384,19,5,22,6,12,4,27,55,392,239,377,69,42,66,75,64,85,432,119,28,60,10,49,50,8,41,14.5
135,E10000016,LA,886,Kent,1231,1016,30,3,23,x,17,2,x,74,925,1112,1157,75,90,94,50,50,100,934,595,64,283,74,238,48,12,40,14.6
136,E06000035,LA,887,Medway,281,200,x,x,13,10,x,5,77,x,247,272,259,88,97,92,23,19,83,232,220,95,87,26,107,40,12,49,16.4
25,E10000017,LA,888,Lancashire,1380,859,35,4,0,0,0,0,.,.,1243,1114,1081,90,81,78,196,x,x,1034,595,58,306,67,222,51,11,37,13.8
16,E06000008,LA,889,Blackburn with Darwen,267,162,x,x,x,0,0,x,0,0,216,159,201,81,60,75,41,35,85,204,105,51,42,15,48,40,14,46,15.4
17,E06000009,LA,890,Blackpool,393,251,22,9,28,19,8,7,68,29,360,343,343,92,87,87,46,43,93,306,242,79,122,29,91,50,12,38,14.4
63,E10000024,LA,891,Nottinghamshire,557,434,0,0,27,16,7,5,59,26,551,457,523,99,82,94,33,33,100,443,350,79,139,40,171,40,11,49,15.9
62,E06000018,LA,892,Nottingham,459,327,18,6,32,8,12,7,25,38,447,426,407,97,93,89,52,52,100,347,281,81,131,30,120,47,11,43,15.3
71,E06000051,LA,893,Shropshire,224,164,0,0,0,0,0,0,.,.,199,132,155,89,59,69,15,0,0,187,165,88,89,27,49,54,16,30,13.2
75,E06000020,LA,894,Telford and Wrekin,287,173,x,x,x,x,x,x,x,x,281,276,169,98,96,59,55,26,47,212,109,51,48,16,45,44,15,41,14.4
20,E06000049,LA,895,Cheshire East,332,245,8,3,17,x,12,5,x,71,317,283,291,95,85,88,31,31,100,266,251,94,119,35,97,47,14,39,14.1
21,E06000050,LA,896,Cheshire West and Chester,352,237,x,x,x,0,0,x,0,0,342,304,326,97,86,93,48,45,94,266,224,84,110,34,80,49,15,36,14.5
152,E06000052,LA,908,Cornwall,293,260,8,3,21,7,14,7,33,67,287,240,283,98,82,97,7,x,x,238,182,76,99,18,65,54,10,36,13.4
22,E10000006,LA,909,Cumbria,464,323,10,3,12,x,7,3,x,58,445,409,403,96,88,87,44,27,61,388,304,78,153,44,107,50,14,35,14
155,E10000013,LA,916,Gloucestershire,447,327,13,4,22,x,x,5,x,x,370,388,344,83,87,77,39,39,100,349,296,85,141,28,127,48,9,43,15
85,E10000015,LA,919,Hertfordshire,625,500,16,3,19,x,x,3,x,x,559,551,558,89,88,89,27,27,100,502,302,60,65,59,178,22,20,59,19.5
134,E06000046,LA,921,Isle of Wight,170,107,6,6,0,0,0,0,.,.,138,116,119,81,68,70,20,15,75,130,98,75,47,13,38,48,13,39,14.4
60,E10000019,LA,925,Lincolnshire,464,328,x,x,12,10,x,3,83,x,441,452,446,95,97,96,54,53,98,338,330,98,149,33,148,45,10,45,15
87,E10000020,LA,926,Norfolk,805,579,26,4,34,17,16,4,50,47,775,605,593,96,75,74,56,53,95,644,541,84,240,74,227,44,14,42,14.8
