LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
1,E92000001,NATIONAL,999,ENGLAND,11530,11,70250,6.1,7460,340,3880,4,15700,4,2060,70
2,E12000001,REGION,A,NORTH EAST,610,9,4060,6.6,400,10,190,3,790,4.1,100,x
15,E12000002,REGION,B,NORTH WEST,2010,11,12990,6.5,1360,30,610,3,2230,3.6,320,x
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,1190,11,9100,7.6,820,30,380,4,1360,3.6,200,20
55,E12000004,REGION,D,EAST MIDLANDS,550,7,2730,5,340,10,250,3,1180,4.8,140,x
65,E12000005,REGION,E,WEST MIDLANDS,1150,9,6140,5.4,690,50,230,2,490,2.1,90,10
80,E12000006,REGION,F,EAST OF ENGLAND,1190,13,7570,6.3,800,40,210,2,800,3.9,100,x
92,E12000007,REGION,G,LONDON,2090,14,13170,6.3,1410,100,1360,9,6750,5,840,20
93,E12000007,REGION,H,INNER LONDON,870,13,5640,6.5,570,40,590,9,3160,5.4,370,10
108,E12000007,REGION,I,OUTER LONDON,1210,14,7540,6.2,830,60,780,9,3600,4.6,470,10
128,E12000008,REGION,J,SOUTH EAST,1730,12,8890,5.1,1020,60,510,4,1780,3.5,220,10
148,E12000009,REGION,K,SOUTH WEST,1010,12,5590,5.5,620,20,140,2,310,2.2,60,x
95,E09000001,LA,201,City of London,x,12,x,1.3,x,0,0,0,0,0,0,0
94,E09000007,LA,202,Camden,44,15,216,4.9,26,x,42,14,354,8.4,32,0
117,E09000011,LA,203,Greenwich,87,12,669,7.7,60,8,94,13,740,7.9,68,x
96,E09000012,LA,204,Hackney,70,12,459,6.6,49,x,39,7,71,1.8,16,0
97,E09000013,LA,205,Hammersmith and Fulham,24,7,96,4,14,0,10,3,21,2.1,x,0
99,E09000019,LA,206,Islington,85,16,473,5.6,51,x,39,8,65,1.7,14,x
100,E09000020,LA,207,Kensington and Chelsea,21,13,106,5,10,0,12,8,73,6.1,9,x
101,E09000022,LA,208,Lambeth,101,17,899,8.9,78,x,105,17,807,7.7,77,0
102,E09000023,LA,209,Lewisham,62,9,188,3,35,x,56,8,287,5.1,37,0
104,E09000028,LA,210,Southwark,94,13,401,4.3,56,x,119,17,739,6.2,85,x
105,E09000030,LA,211,Tower Hamlets,69,15,835,12.1,58,7,58,12,265,4.6,41,x
106,E09000032,LA,212,Wandsworth,95,20,734,7.7,71,8,6,1,27,4.5,x,0
107,E09000033,LA,213,Westminster,35,10,183,5.2,21,x,6,2,6,1,0,0
109,E09000002,LA,301,Barking and Dagenham,55,9,149,2.7,28,0,81,14,251,3.1,47,6
110,E09000003,LA,302,Barnet,88,17,579,6.6,62,x,46,9,260,5.7,31,x
111,E09000004,LA,303,Bexley,61,17,311,5.1,42,x,44,12,146,3.3,24,0
112,E09000005,LA,304,Brent,71,15,447,6.3,52,x,67,14,326,4.9,42,x
113,E09000006,LA,305,Bromley,65,14,464,7.1,41,0,33,7,71,2.2,16,0
114,E09000008,LA,306,Croydon,238,20,1674,7,173,15,70,6,261,3.7,44,x
115,E09000009,LA,307,Ealing,65,12,349,5.4,43,x,22,4,51,2.3,8,0
116,E09000010,LA,308,Enfield,34,7,137,4,22,0,21,4,38,1.8,9,0
98,E09000014,LA,309,Haringey,104,16,882,8.5,75,x,47,7,324,6.9,34,0
118,E09000015,LA,310,Harrow,35,11,152,4.3,27,0,34,11,143,4.2,26,0
119,E09000016,LA,311,Havering,50,13,173,3.5,33,7,70,19,464,6.6,44,0
120,E09000017,LA,312,Hillingdon,78,15,346,4.4,49,x,60,12,274,4.6,34,0
121,E09000018,LA,313,Hounslow,28,7,152,5.4,19,x,28,7,138,4.9,18,0
122,E09000021,LA,314,Kingston upon Thames,38,21,215,5.7,27,x,0,0,0,0,0,0
123,E09000024,LA,315,Merton,23,10,166,7.2,16,0,14,6,31,2.2,6,0
103,E09000025,LA,316,Newham,65,10,159,2.4,29,x,48,8,118,2.5,22,x
124,E09000026,LA,317,Redbridge,46,13,401,8.7,30,0,12,3,40,3.3,x,0
125,E09000027,LA,318,Richmond upon Thames,26,16,372,14.3,21,x,0,0,0,0,0,0
126,E09000029,LA,319,Sutton,29,9,78,2.7,16,x,56,17,278,5,35,x
127,E09000031,LA,320,Waltham Forest,97,23,703,7.2,72,9,24,6,83,3.5,12,0
66,E08000025,LA,330,Birmingham,203,8,1010,5,129,14,60,2,170,2.8,30,x
67,E08000026,LA,331,Coventry,132,15,929,7,80,x,53,6,92,1.7,18,x
68,E08000027,LA,332,Dudley,72,9,365,5.1,48,x,11,1,15,1.4,x,0
70,E08000028,LA,333,Sandwell,64,7,464,7.3,46,x,0,0,0,0,0,0
72,E08000029,LA,334,Solihull,41,7,167,4.1,23,x,15,3,33,2.2,7,x
76,E08000030,LA,335,Walsall,74,9,444,6,44,x,42,5,113,2.7,19,0
78,E08000031,LA,336,Wolverhampton,45,6,198,4.4,29,0,8,1,17,2.1,x,0
24,E08000011,LA,340,Knowsley,51,14,325,6.4,36,x,17,5,83,4.9,8,0
26,E08000012,LA,341,Liverpool,160,10,937,5.9,101,x,90,6,344,3.8,52,x
32,E08000013,LA,342,St. Helens,79,15,517,6.5,54,x,77,14,513,6.7,56,0
31,E08000014,LA,343,Sefton,79,12,471,6,47,0,35,6,106,3,14,0
38,E08000015,LA,344,Wirral,111,11,713,6.4,78,x,74,7,223,3,41,0
18,E08000001,LA,350,Bolton,67,9,523,7.8,43,0,7,1,9,1.3,x,0
19,E08000002,LA,351,Bury,72,15,395,5.5,44,0,40,8,199,5,26,0
27,E08000003,LA,352,Manchester,166,10,850,5.1,108,0,11,1,17,1.5,x,0
28,E08000004,LA,353,Oldham,87,12,835,9.6,65,0,19,3,109,5.7,12,0
29,E08000005,LA,354,Rochdale,64,10,482,7.5,37,x,0,0,0,0,0,0
30,E08000006,LA,355,Salford,67,9,465,6.9,45,x,0,0,0,0,0,0
33,E08000007,LA,356,Stockport,73,14,514,7,48,0,7,1,7,1,0,x
34,E08000008,LA,357,Tameside,128,17,1172,9.2,97,x,34,4,100,2.9,16,0
35,E08000009,LA,358,Trafford,67,13,525,7.8,49,x,6,1,27,4.5,x,0
37,E08000010,LA,359,Wigan,59,9,423,7.2,43,x,36,6,121,3.4,21,x
40,E08000016,LA,370,Barnsley,42,10,244,5.8,34,x,32,8,95,3,22,0
43,E08000017,LA,371,Doncaster,100,13,816,8.2,75,x,x,-,x,1,0,0
51,E08000018,LA,372,Rotherham,105,13,932,8.9,81,x,x,-,x,1,0,0
52,E08000019,LA,373,Sheffield,140,16,1494,10.7,103,6,56,6,270,4.8,34,12
41,E08000032,LA,380,Bradford,147,12,1235,8.4,109,x,84,7,443,5.3,50,0
42,E08000033,LA,381,Calderdale,25,6,94,3.8,17,0,12,3,51,4.3,6,0
46,E08000034,LA,382,Kirklees,91,10,862,9.5,60,x,57,6,197,3.5,37,x
47,E08000035,LA,383,Leeds,166,10,866,5.2,100,0,72,4,156,2.2,24,0
53,E08000036,LA,384,Wakefield,54,7,332,6.1,41,x,x,-,x,1,0,0
5,E08000037,LA,390,Gateshead,48,9,322,6.7,34,x,44,8,165,3.8,22,0
8,E08000021,LA,391,Newcastle upon Tyne,104,13,756,7.3,70,0,0,0,0,0,0,0
9,E08000022,LA,392,North Tyneside,59,14,431,7.3,37,x,31,7,92,3,14,0
12,E08000023,LA,393,South Tyneside,35,9,176,5,19,0,26,6,131,5,16,0
14,E08000024,LA,394,Sunderland,60,7,310,5.2,40,x,37,4,301,8.1,26,0
149,E06000022,LA,800,Bath and North East Somerset,30,13,71,2.4,16,0,24,10,41,1.7,11,x
151,E06000023,LA,801,"Bristol, City of",115,13,576,5,73,0,31,3,61,2,17,0
157,E06000024,LA,802,North Somerset,40,12,219,5.5,28,x,x,1,12,4,x,0
161,E06000025,LA,803,South Gloucestershire,32,12,127,4,20,0,0,0,0,0,0,0
