time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Section 47s and Initial Child Protection Conferences,1492,161.5,1346,145.7,711,77,704,76.2,35,597,50,29,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Section 47s and Initial Child Protection Conferences,793,274.9,630,218.4,198,68.6,198,68.6,21,113,34,30,13,14,18
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Section 47s and Initial Child Protection Conferences,689,200.1,566,164.4,279,81,276,80.1,15,241,16,7,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Section 47s and Initial Child Protection Conferences,2238,88.5,1981,78.3,740,29.3,723,28.6,149,407,88,96,11,13,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Section 47s and Initial Child Protection Conferences,1704,176.1,1554,160.6,747,77.2,735,76,53,470,92,132,13,14,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Section 47s and Initial Child Protection Conferences,3297,266.2,2734,220.7,692,55.9,690,55.7,140,456,41,55,11,13,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Section 47s and Initial Child Protection Conferences,1429,240.4,1198,201.5,556,93.5,548,92.2,36,467,18,35,12,13,14
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Section 47s and Initial Child Protection Conferences,1331,247.2,1162,215.8,521,96.8,515,95.6,19,414,47,41,13,15,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Section 47s and Initial Child Protection Conferences,1173,200.7,990,169.4,365,62.5,363,62.1,71,247,31,16,11,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Section 47s and Initial Child Protection Conferences,1315,243.1,1087,200.9,431,79.7,421,77.8,21,250,25,135,14,15,25
