time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CINPlan_start,CINPlan_start_rate,CINPlan_child_start,CINPlan_child_start_rate,CINPlan_end,CINPlan_end_rate,CINPlan_child_end,CINPlan_child_end_rate,CINPlan_anypoint,CINPlan_anypoint_rate,CINPlan_child_anypoint,CINPlan_child_anypoint_rate,CINPlan_At31,CINPlan_At31_rate
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,CIN Plans,473,137.4,457,132.7,568,164.9,553,160.6,850,246.8,811,235.5,282,81.9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,CIN Plans,1707,67.5,1660,65.6,1687,66.7,1653,65.3,3125,123.5,3012,119.1,1438,56.8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,CIN Plans,1565,161.8,1535,158.7,1565,161.8,1513,156.4,2356,243.5,2254,233,776,80.2
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,CIN Plans,3805,307.2,3622,292.4,3908,315.5,3721,300.4,5242,423.2,4862,392.5,1334,107.7
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,CIN Plans,1974,332,1974,332,2008,337.8,2008,337.8,2595,436.5,2595,436.5,587,98.7
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,CIN Plans,2934,544.9,2709,503.1,3174,589.5,2945,546.9,4076,757,3665,680.6,902,167.5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,CIN Plans,1461,250,1423,243.5,833,142.5,823,140.8,1593,272.6,1551,265.4,760,130
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,CIN Plans,1341,247.9,1311,242.3,1222,225.9,1203,222.4,2107,389.5,2009,371.4,885,163.6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,CIN Plans,729,197.6,707,191.6,729,197.6,721,195.4,1170,317.1,1119,303.3,441,119.5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,CIN Plans,1537,240.5,1460,228.5,1612,252.3,1530,239.4,2411,377.3,2219,347.2,799,125
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,CIN Plans,1596,313.2,1504,295.2,1461,286.7,1394,273.6,2087,409.6,1933,379.3,626,122.9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,CIN Plans,949,167.6,915,161.6,937,165.5,917,161.9,1440,254.3,1379,243.5,503,88.8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,CIN Plans,1110,251.3,1052,238.1,1232,278.9,1156,261.7,1651,373.7,1535,347.5,419,94.8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,CIN Plans,1811,261,1719,247.8,1769,255,1695,244.3,2618,377.3,2443,352.1,849,122.4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,CIN Plans,1138,168.8,1103,163.6,1093,162.1,1074,159.3,1691,250.8,1633,242.2,598,88.7
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,CIN Plans,1024,198.4,1005,194.7,1082,209.6,1062,205.7,1617,313.2,1562,302.6,535,103.6
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,CIN Plans,2935,205.8,2857,200.3,3111,218.1,3054,214.1,4464,313,4312,302.3,1353,94.9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,CIN Plans,275,59.8,271,59,356,77.5,342,74.4,462,100.5,447,97.3,106,23.1
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,CIN Plans,1175,174.4,1162,172.5,512,76,509,75.6,1177,174.7,1164,172.8,665,98.7
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,CIN Plans,2085,329,1598,252.1,1753,276.6,1352,213.3,2278,359.4,1675,264.3,525,82.8
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",CIN Plans,1806,313.6,1773,307.9,1782,309.5,1728,300.1,2777,482.2,2644,459.1,995,172.8
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,CIN Plans,1797,179.7,1712,171.2,1874,187.4,1786,178.6,2516,251.5,2359,235.9,642,64.2
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,CIN Plans,1967,115.3,1939,113.7,2060,120.8,2024,118.7,2953,173.1,2880,168.8,893,52.4
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,CIN Plans,898,260.6,871,252.8,1280,371.4,1232,357.5,1457,422.8,1382,401,177,51.4
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,CIN Plans,461,129.2,459,128.7,470,131.7,467,130.9,836,234.3,819,229.6,366,102.6
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,CIN Plans,2229,189.4,2101,178.6,2126,180.7,2021,171.8,3399,288.9,3179,270.2,1273,108.2
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,CIN Plans,1161,202.1,1133,197.2,1223,212.9,1178,205,1752,304.9,1670,290.7,529,92.1
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,CIN Plans,3840,324.3,3558,300.5,3741,316,3449,291.3,5255,443.8,4730,399.5,1514,127.9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,CIN Plans,2108,281.1,2043,272.5,1617,215.6,1586,211.5,2281,304.2,2207,294.3,664,88.5
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,CIN Plans,602,164.5,556,151.9,548,149.7,538,147,920,251.4,861,235.2,372,101.6
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,CIN Plans,2020,338.4,1930,323.3,2102,352.1,2050,343.4,2905,486.7,2764,463.1,803,134.5
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,CIN Plans,3608,233.1,3441,222.3,3677,237.6,3559,230,5386,348,5051,326.4,1709,110.4
