time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Assessments_completed,Assessments_completed_rate,Same_day,1-10_days,11-20_days,21-30_days,31-40_days,41-45_days,46-50_days,51-60_days,61+_days,25th_Percentile_days,Median_days,75th_Percentile_days
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Duration of assessment,4735,879.4,49,475,481,510,1903,864,189,139,125,25,35,42
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Duration of assessment,4024,688.5,25,400,660,593,810,1116,209,107,104,19,34,44
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Duration of assessment,3142,580.8,34,288,555,516,685,596,174,139,155,19,34,43
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Duration of assessment,3419,926.7,48,380,862,753,518,381,131,129,217,17,26,41
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Duration of assessment,3600,563.4,42,291,341,325,518,1237,359,228,259,28,43,45
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Duration of assessment,3208,629.6,19,246,569,559,737,393,240,239,206,20,33,44
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Duration of assessment,2517,444.5,36,482,1051,501,215,83,36,40,73,12,17,26
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Duration of assessment,1857,420.4,0,80,277,287,563,492,82,20,56,25,36,43
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Duration of assessment,6842,986.1,59,846,1445,1450,989,888,276,341,548,15,28,43
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Duration of assessment,3972,589,52,415,687,813,825,337,278,255,310,18,31,43
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Duration of assessment,2927,567,c,215,813,327,471,1096,c,0,0,18,34,43
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Duration of assessment,9117,639.3,14,781,1570,1384,1225,1480,854,766,1043,20,37,47
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Duration of assessment,3740,813.9,75,727,1025,574,745,514,29,31,20,12,21,36
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Duration of assessment,7447,1105.5,654,1350,1293,1258,1433,708,215,242,294,9,24,38
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Duration of assessment,2001,315.7,c,c,125,150,492,565,332,129,136,35,42,46
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Duration of assessment,4957,860.8,8,475,550,614,638,795,388,495,994,24,42,55
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Duration of assessment,3992,399.1,99,993,632,496,663,465,229,172,243,10,26,42
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Duration of assessment,9019,528.7,161,1207,1303,1360,1416,1963,295,424,890,18,34,44
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Duration of assessment,4194,1217.1,27,469,717,807,1398,205,181,182,208,18,31,37
