time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_phase,revenue_state,number_schools,PercSchools,total_revenue_balance,average_revenue_balance,B01,B02,B06,total_income,perc_BalanceofIncome,NumOverThresh,PercOverThresh,ValueOverThresh,AveValueOverThresh
201920,Financial year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,Total,13,100.0,3.240816,0.249294,3240816.398438,0.000000,0.000000,32.735678,9.9000,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,Deficit,1,7.1,-0.012399,-0.012399,0.000000,-12398.610352,0.000000,1.089093,-1.1384,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,Surplus,13,92.9,2.102330,0.161718,2097202.550781,0.000000,5127.500000,16.849023,12.4775,9,64.3,0.9435,104831
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,Total,14,100.0,2.089931,0.149281,2097202.550781,-12398.610352,5127.500000,17.938117,11.6508,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Pupil referral unit,Deficit,1,100.0,-0.082828,-0.082828,0.000000,-82827.937500,0.000000,1.665055,-4.9745,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Pupil referral unit,Total,1,100.0,-0.082828,-0.082828,0.000000,-82827.937500,0.000000,1.665055,-4.9745,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,Deficit,1,50.0,-0.039754,-0.039754,0.000000,-39753.660156,0.000000,6.294704,-0.6315,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,Surplus,1,50.0,0.421180,0.421180,421179.625000,0.000000,0.000000,3.160189,13.3277,1,50.0,0.2632,263170
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,Total,2,100.0,0.381426,0.190713,421179.625000,-39753.660156,0.000000,9.454893,4.0342,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Special,Surplus,1,100.0,0.538976,0.538976,538975.875000,0.000000,0.000000,3.541226,15.2200,1,100.0,0.2557,255678
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Special,Total,1,100.0,0.538976,0.538976,538975.875000,0.000000,0.000000,3.541226,15.2200,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,Deficit,3,16.7,-0.134980,-0.044993,0.000000,-134980.208008,0.000000,9.048852,-1.4917,:,:,:,:
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,Surplus,15,83.3,3.062486,0.204166,3057358.050781,0.000000,5127.500000,23.550438,13.0039,11,61.1,1.4623,132938
201920,Financial year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,Total,18,100.0,2.927505,0.162639,3057358.050781,-134980.208008,5127.500000,32.599290,8.9803,:,:,:,:
