time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,school_expenditure,OtherEdComm,cyps_spend,NetExpend,NetExpendpPupil,GrossExpend,GrossExpendpPupil
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,Yearly totals,Yearly totals,109.238,11.4418,37.6148,99.31128,4636.76,103.54385,4830.42
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,25.1499,5.4567,27.2794,8.82428,4902.38,9.60544,5336.35
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,25.1338,5.00759,25.5328,9.30628,4738.43,10.12588,5155.75
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,23.9147,4.92436,23.4436,9.36161,4838.04,10.15659,5248.88
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,23.7842,4.50784,23.4229,11.70728,4892.83,12.67402,5317.39
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,26.5912,4.22448,20.8806,15.76554,5087.45,16.85359,5471.08
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Yearly totals,Yearly totals,26.019,4.31575,19.3987,15.17108,4884.44,16.09760,5182.74
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,301.329,38.3817,104.169,298.17996,6100.63,314.96044,6445.80
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,300.852,34.878,94.0199,289.70542,5788.06,309.39643,6181.76
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,299.562,35.9685,88.4206,294.69954,5710.49,315.24559,6109.25
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,290.56,32.8923,82.7103,295.81517,5608.09,315.48543,5986.69
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,282.304,36.8175,83.0591,294.63743,5534.58,313.35734,5886.92
