Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"Cambridgeshire",4179,,4260,,4105,,4247,,4272,,4288,,4045,,
"Essex",11125,,11207,,10265,,10288,,10652,,10873,,10775,,
"Hertfordshire",7613,,7395,,6982,,6945,,7126,,7048,,7214,,
"Norfolk",7813,,7834,,7326,,7538,,7873,,7894,,7247,,
"Suffolk",6118,,6065,,5712,,6204,,6323,,6310,,5815,,
"Camden",1787,,1751,,1721,,1943,,2054,,2175,,1982,,
"City of London",15,,22,,17,,16,,18,,15,,14,,
"Hackney",3179,,3163,,3016,,3424,,3590,,3934,,3668,,
"Hammersmith and Fulham",1158,,1067,,966,,1199,,1297,,1337,,1197,,
"Haringey",2726,,2659,,2567,,2949,,2978,,3011,,2626,,
"Islington",1640,,1658,,1564,,1929,,2085,,2122,,1939,,
"Kensington and Chelsea",614,,615,,590,,688,,647,,625,,560,,
"Lambeth",2942,,2836,,2623,,3151,,3020,,3165,,2907,,
"Lewisham",3341,,3188,,2935,,3494,,3610,,3623,,3246,,
"Newham",6044,,5858,,5841,,6192,,6344,,6570,,6066,,
"Southwark",3376,,3344,,3135,,3384,,3324,,3482,,3221,,
"Tower Hamlets",4471,,4469,,4277,,5131,,5520,,5674,,5214,,
"Wandsworth",1628,,1664,,1610,,1841,,1902,,2115,,2049,,
"Westminster",1127,,1141,,1094,,1184,,1210,,1248,,1259,,
"Barking and Dagenham",3985,,4121,,4207,,4622,,4635,,4943,,4696,,
"Barnet",2953,,2913,,3033,,3284,,3115,,3329,,3230,,
"Bexley",2154,,2101,,2053,,2220,,2280,,2388,,2284,,
"Brent",3515,,3550,,3412,,3565,,3835,,4005,,4032,,
"Bromley",2213,,2075,,2029,,2156,,2173,,2197,,2226,,
"Croydon",3917,,3872,,3757,,4074,,4211,,4452,,4056,,
"Ealing",3558,,3556,,3586,,3823,,3890,,3995,,3863,,
"Enfield",3959,,4030,,3770,,3953,,3987,,3976,,3540,,
"Greenwich",3611,,3416,,3321,,3842,,3772,,4046,,3749,,
"Harrow",1915,,1952,,1931,,2196,,2406,,2720,,2849,,
"Havering",2163,,2045,,2102,,2320,,2373,,2668,,2697,,
"Hillingdon",2741,,2757,,2728,,3174,,3178,,3384,,3433,,
"Hounslow",2760,,2758,,2802,,3043,,3274,,3460,,3346,,
"Kingston upon Thames",929,,884,,832,,964,,934,,996,,932,,
"Merton",2021,,1931,,1849,,2000,,1895,,1989,,1905,,
"Redbridge",3747,,3694,,3655,,3845,,3910,,4151,,3974,,
"Richmond upon Thames",724,,686,,685,,764,,690,,795,,802,,
"Sutton",1520,,1535,,1349,,1447,,1485,,1622,,1573,,
"Waltham Forest",3961,,3904,,3766,,4217,,4211,,4381,,4115,,
"Bracknell Forest",656,,656,,737,,738,,737,,708,,820,,
"Brighton and Hove",1839,,1890,,1993,,2088,,2048,,1879,,1960,,
"Buckinghamshire",3608,,3720,,3989,,4234,,4296,,4252,,4733,,
"Isle of Wight",1116,,1133,,1265,,1412,,1400,,1259,,1371,,
"Medway",2763,,2732,,3027,,3321,,3413,,3260,,3502,,
