Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","0-4"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"County Durham",6291,,5738,,5722,,5294,,5806,,6919,,7450,,
"Darlington",1300,,1170,,1183,,1147,,1202,,1457,,1576,,
"Hartlepool",1294,,1166,,1186,,1170,,1278,,1459,,1453,,
"Middlesbrough",2739,,2644,,2714,,2717,,3108,,3344,,3489,,
"Northumberland",2979,,2684,,2745,,2568,,2810,,3415,,3671,,
"Redcar and Cleveland",1724,,1570,,1620,,1466,,1530,,1902,,2097,,
"Stockton-on-Tees",2450,,2213,,2243,,2013,,2179,,2557,,2783,,
"Gateshead",2284,,1996,,2060,,1880,,2118,,2539,,2796,,
"Newcastle upon Tyne",3883,,3688,,3883,,3713,,3886,,4398,,4417,,
"North Tyneside",1877,,1714,,1805,,1726,,1859,,2234,,2403,,
"South Tyneside",1896,,1727,,1775,,1757,,1926,,2263,,2398,,
"Sunderland",3605,,3097,,3073,,2979,,3355,,3960,,4261,,
"Blackburn with Darwen",3336,,3255,,3217,,3119,,3273,,3116,,2557,,
"Blackpool",1956,,1848,,1900,,1902,,2075,,2012,,1641,,
"Cheshire East",2350,,2246,,2192,,2213,,2239,,2317,,1963,,
"Cheshire West and Chester",2451,,2192,,2210,,2296,,2362,,2518,,2088,,
"Halton",1451,,1340,,1322,,1376,,1486,,1452,,1151,,
"Warrington",1718,,1667,,1588,,1760,,1609,,1612,,1287,,
"Cumbria",4147,,3771,,3842,,3840,,3872,,3844,,3073,,
"Bolton",4923,,4791,,5014,,5247,,5514,,5344,,4607,,
"Bury",2527,,2382,,2266,,2293,,2341,,2242,,1878,,
