Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000032",15493,,17216,,17600,,19274,,19268,,19906,,18636,,19071,,
"E06000031",11924,,13296,,13486,,15466,,15677,,15793,,13875,,14627,,
"E06000033",5897,,6487,,6633,,7122,,6975,,6887,,6222,,6187,,
"E06000034",6831,,7352,,7387,,8186,,8009,,8156,,7535,,7533,,
"E10000003",15135,,16457,,16605,,18353,,18143,,18488,,16371,,16677,,
"E10000012",40726,,43782,,43537,,47196,,46910,,47803,,44338,,44305,,
"E10000015",27128,,28670,,29017,,31305,,31331,,31659,,29833,,29719,,
"E10000020",28619,,31174,,31652,,34313,,34341,,35199,,30310,,31581,,
"E10000029",22055,,24285,,24504,,27536,,27255,,27658,,24349,,25436,,
"E09000007",6517,,6847,,7249,,8833,,9235,,9582,,8578,,8241,,
"E09000001",76,,70,,69,,80,,93,,85,,83,,282,,
"E09000012",11831,,12305,,12792,,15529,,16393,,17801,,15617,,14860,,
"E09000013",4370,,4508,,4415,,5312,,5732,,5957,,5366,,4804,,
"E09000014",10619,,10838,,11097,,13131,,13651,,13849,,11915,,11341,,
"E09000019",6402,,6693,,6835,,8543,,8927,,9167,,8239,,7640,,
"E09000020",2364,,2426,,2383,,2941,,2891,,2899,,2645,,2602,,
"E09000022",10485,,10681,,11291,,13709,,13578,,14339,,12739,,11417,,
"E09000023",11239,,11581,,11846,,13995,,14888,,15422,,13687,,12345,,
"E09000025",21466,,21779,,22942,,25429,,26564,,27767,,25052,,23112,,
"E09000028",11830,,12183,,12196,,13613,,14118,,14789,,12920,,12045,,
"E09000030",17320,,17914,,18721,,22046,,23223,,24464,,22038,,19956,,
"E09000032",6188,,6494,,6658,,7991,,8736,,9549,,8919,,8211,,
"E09000033",4389,,4659,,4781,,5735,,5834,,5874,,5341,,4962,,
"E09000002",13252,,14279,,15349,,17807,,18521,,20051,,18228,,16753,,
"E09000003",10687,,10906,,11364,,13226,,13301,,14127,,13193,,11997,,
"E09000004",7540,,7518,,7732,,8976,,9428,,10104,,9198,,8308,,
"E09000005",12173,,12940,,13272,,15266,,16220,,17428,,16509,,15094,,
"E09000006",7891,,7591,,7728,,9185,,9389,,9841,,9130,,7919,,
"E09000008",13925,,14295,,14893,,16507,,17615,,18449,,16526,,15576,,
"E09000009",12503,,12725,,13502,,15258,,16283,,17142,,15908,,14423,,
"E09000010",13908,,14424,,14668,,16658,,17015,,17716,,15305,,14369,,
"E09000011",11954,,12129,,12953,,15213,,15876,,16824,,15380,,13859,,
"E09000015",7141,,7563,,7767,,9234,,10173,,11172,,11161,,9816,,
"E09000016",7761,,7799,,8368,,9595,,10126,,11063,,10432,,9283,,
"E09000017",9758,,9836,,10452,,12472,,13582,,14584,,13905,,12654,,
"E09000018",9635,,9964,,11000,,12343,,13189,,14236,,13384,,12048,,
"E09000021",3224,,3321,,3385,,4046,,4203,,4360,,4020,,3659,,
"E09000024",6854,,6876,,6938,,8099,,8254,,8682,,7887,,7117,,
"E09000026",13351,,13727,,13922,,15819,,16551,,17675,,15788,,14483,,
"E09000027",2671,,2597,,2670,,3142,,3108,,3383,,3207,,2725,,
"E09000029",5260,,5367,,5376,,5860,,6341,,6909,,6484,,5852,,
"E09000031",14013,,14377,,14841,,17113,,17641,,18311,,16633,,14635,,
"E06000036",2211,,2329,,2721,,2732,,2775,,2926,,3332,,3433,,
"E06000043",6308,,6713,,7598,,7783,,7863,,7700,,8125,,7909,,
"E06000060",12671,,13570,,15346,,15864,,16185,,16625,,18301,,18458,,
"E06000046",4459,,4550,,5443,,5778,,5702,,5593,,5979,,6415,,
"E06000035",9725,,10264,,11774,,12457,,12911,,12882,,13979,,13851,,
"E06000042",10191,,10403,,12175,,13250,,13819,,13870,,14367,,14705,,
"E06000044",7517,,7876,,9355,,9563,,10034,,10212,,10271,,10811,,
"E06000038",4340,,4864,,5818,,6076,,6245,,5976,,6431,,6903,,
"E06000039",6963,,7364,,8564,,8913,,9387,,9736,,10781,,11400,,
"E06000045",8735,,9022,,10671,,11556,,12225,,12214,,12635,,13430,,
"E06000037",2756,,2821,,3408,,3472,,3451,,3770,,3884,,4145,,
"E06000040",2681,,2741,,3167,,3262,,3114,,3213,,3601,,3434,,
"E06000041",2351,,2550,,2754,,2874,,3128,,3100,,3529,,3575,,
"E10000011",15800,,16500,,18616,,19330,,19513,,19317,,20310,,20908,,
"E10000014",28534,,30023,,33593,,34341,,34606,,36446,,39230,,41815,,
"E10000016",46904,,48383,,56445,,58988,,61009,,61933,,64047,,64572,,
"E10000025",13344,,14064,,16177,,16432,,16905,,17000,,18117,,19625,,
"E10000030",19946,,20512,,22937,,23249,,23878,,24231,,26992,,27217,,
"E10000032",19618,,20550,,23312,,23885,,24739,,25770,,28251,,29602,,
"E06000022",4107,,4000,,3589,,3427,,3500,,3638,,3692,,4332,,
"E06000058",10634,,10601,,9692,,9784,,10015,,10460,,10878,,12296,,
"E06000023",18194,,18321,,16317,,17426,,18210,,19186,,18637,,21944,,
