Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","11-15"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"Knowsley",1556,,1362,,1479,,1653,,1680,,1547,,1392,,
"Liverpool",4489,,4315,,4466,,5142,,5585,,5309,,4960,,
"Sefton",1978,,1983,,1882,,2094,,2092,,1919,,1857,,
"St. Helens",1415,,1295,,1338,,1462,,1577,,1453,,1327,,
"Wirral",2287,,2168,,2252,,2497,,2655,,2416,,2233,,
"East Riding of Yorkshire",2264,,2140,,1969,,2050,,2322,,2445,,2610,,
"Kingston upon Hull, City of",3372,,3272,,3274,,3394,,3765,,4033,,4312,,
"North East Lincolnshire",1711,,1590,,1633,,1613,,1799,,1974,,2096,,
"North Lincolnshire",1557,,1542,,1533,,1526,,1764,,1869,,1959,,
"York",1065,,996,,858,,919,,1004,,1053,,1152,,
"North Yorkshire",3651,,3464,,3341,,3371,,3498,,3764,,3920,,
"Barnsley",2215,,2062,,2042,,2096,,2327,,2548,,2730,,
"Doncaster",3462,,3355,,3257,,3359,,3712,,3916,,4231,,
"Rotherham",2963,,2801,,2853,,2883,,3196,,3487,,3689,,
"Sheffield",5916,,5895,,5691,,6009,,6671,,7022,,7790,,
"Bradford",12129,,11865,,11933,,12416,,13609,,14405,,14854,,
"Calderdale",2401,,2213,,2217,,2387,,2561,,2781,,2784,,
"Kirklees",6015,,5763,,5798,,6005,,6728,,7015,,7448,,
"Leeds",7289,,7245,,7441,,7847,,8645,,9225,,10006,,
"Wakefield",2896,,2774,,2766,,2876,,3286,,3401,,3641,,
"Derby",3315,,3497,,3537,,3423,,3182,,3371,,3160,,
"Leicester",6177,,7239,,7422,,6975,,6464,,6982,,6048,,
"North Northamptonshire",2557,,2767,,2806,,2607,,2379,,2665,,2391,,
"Nottingham",3889,,4329,,4435,,4376,,3913,,4165,,3785,,
"Rutland",144,,199,,187,,159,,138,,155,,151,,
"West Northamptonshire",2901,,3094,,3163,,3048,,2691,,3006,,3092,,
"Derbyshire",5475,,5645,,5740,,5340,,4715,,5174,,4520,,
"Leicestershire",4104,,4353,,4385,,4264,,3865,,4124,,3841,,
"Lincolnshire",5633,,5842,,5937,,5669,,5138,,5502,,4895,,
"Nottinghamshire",5687,,6150,,6160,,5751,,5178,,5664,,5217,,
"Herefordshire, County of",1294,,1325,,1253,,1344,,1298,,1349,,1412,,
"Shropshire",2054,,2106,,2023,,2071,,1988,,2274,,2353,,
"Stoke-on-Trent",3245,,3444,,3471,,3724,,3800,,4425,,4480,,
"Telford and Wrekin",1372,,1447,,1448,,1557,,1558,,1939,,1937,,
"Staffordshire",5527,,5635,,5426,,5654,,5724,,6641,,6847,,
"Warwickshire",3145,,3368,,3185,,3188,,3200,,3677,,3636,,
"Birmingham",21558,,22968,,22697,,24300,,24844,,27125,,27225,,
"Coventry",3418,,3827,,3629,,3966,,3865,,4430,,4563,,
"Dudley",3245,,3431,,3336,,3513,,3492,,3978,,4117,,
"Sandwell",4854,,5406,,5453,,5727,,5907,,6720,,6825,,
"Solihull",1296,,1283,,1253,,1319,,1257,,1409,,1482,,
"Walsall",3976,,4104,,4144,,4261,,4394,,4978,,4955,,
"Wolverhampton",3206,,3352,,3288,,3596,,3731,,4326,,4249,,
"Worcestershire",3677,,3881,,3747,,3855,,3739,,4413,,4509,,
"Bedford",1581,,1570,,1440,,1509,,1573,,1507,,1540,,
"Central Bedfordshire",1645,,1535,,1353,,1404,,1455,,1534,,1664,,
"Luton",4004,,4276,,4117,,4286,,4575,,4450,,4398,,
"Peterborough",2672,,2819,,2633,,2909,,3156,,3239,,2961,,
"Southend-on-Sea",1371,,1427,,1337,,1369,,1406,,1422,,1323,,
"Thurrock",1658,,1631,,1545,,1646,,1639,,1607,,1665,,
"Cambridgeshire",3666,,3603,,3321,,3499,,3696,,3640,,3594,,
"Essex",10498,,10145,,9153,,9384,,9596,,9632,,9727,,
"Hertfordshire",6900,,6718,,6275,,6261,,6644,,6571,,6556,,
"Norfolk",6945,,6731,,6361,,6532,,6744,,6748,,6437,,
"Suffolk",5442,,5376,,5078,,5380,,5556,,5454,,5091,,
"Camden",1670,,1730,,1699,,2019,,2153,,2211,,2054,,
"City of London",17,,11,,13,,17,,18,,20,,24,,
"Hackney",2999,,3028,,2818,,3448,,3601,,3902,,3694,,
"Hammersmith and Fulham",1115,,1098,,1054,,1142,,1284,,1357,,1286,,
"Haringey",2648,,2585,,2493,,2900,,2990,,3078,,2776,,
"Islington",1560,,1515,,1451,,1694,,1813,,1833,,1843,,
"Kensington and Chelsea",617,,592,,561,,636,,626,,666,,650,,
"Lambeth",2480,,2396,,2531,,2963,,2961,,3153,,3094,,
"Lewisham",2560,,2551,,2572,,2986,,3186,,3423,,3237,,
"Newham",5414,,5311,,5324,,5705,,5947,,6181,,6108,,
"Southwark",2759,,2773,,2609,,2983,,3108,,3286,,3025,,
"Tower Hamlets",4598,,4644,,4572,,5281,,5498,,5714,,5300,,
"Wandsworth",1507,,1494,,1403,,1653,,1772,,2034,,2043,,
"Westminster",1136,,1166,,1127,,1337,,1301,,1307,,1224,,
"Barking and Dagenham",3045,,3211,,3294,,3763,,3882,,4344,,4198,,
"Barnet",2615,,2553,,2495,,2859,,2846,,3156,,3153,,
"Bexley",1923,,1816,,1761,,1937,,2009,,2214,,2167,,
"Brent",2999,,3078,,2966,,3384,,3474,,3743,,3892,,
"Bromley",1962,,1806,,1723,,2074,,2095,,2259,,2197,,
"Croydon",3328,,3156,,3228,,3522,,3726,,3900,,3755,,
"Ealing",3091,,2992,,3171,,3391,,3648,,3855,,3974,,
"Enfield",3343,,3388,,3359,,3716,,3656,,3907,,3596,,
"Greenwich",2680,,2646,,2711,,3219,,3298,,3623,,3570,,
"Harrow",1718,,1811,,1709,,1905,,2061,,2271,,2496,,
"Havering",1914,,1842,,1782,,2025,,2151,,2319,,2352,,
"Hillingdon",2321,,2193,,2205,,2607,,2900,,3161,,3299,,
"Hounslow",2216,,2236,,2343,,2605,,2904,,3149,,3238,,
"Kingston upon Thames",798,,818,,784,,903,,968,,1022,,974,,
"Merton",1576,,1643,,1535,,1814,,1916,,2044,,1910,,
"Redbridge",3586,,3474,,3249,,3509,,3650,,3862,,3651,,
"Richmond upon Thames",718,,620,,609,,708,,717,,774,,800,,
"Sutton",1270,,1256,,1258,,1293,,1382,,1513,,1485,,
"Waltham Forest",3509,,3430,,3304,,3843,,4027,,4212,,3999,,
"Bracknell Forest",567,,564,,579,,629,,670,,664,,729,,
"Brighton and Hove",1614,,1590,,1783,,1836,,1847,,1760,,1985,,
"Buckinghamshire",3382,,3500,,3716,,3903,,3977,,3868,,4409,,
"Isle of Wight",1088,,1085,,1185,,1268,,1295,,1185,,1296,,
"Medway",2314,,2392,,2495,,2707,,2800,,2665,,3001,,
"Milton Keynes",2461,,2465,,2794,,3021,,3214,,3110,,3269,,
"Portsmouth",1761,,1755,,1947,,2060,,2177,,2116,,2218,,
"Reading",1062,,1127,,1270,,1311,,1344,,1283,,1467,,
"Slough",1728,,1802,,1937,,2130,,2301,,2293,,2582,,
"Southampton",1837,,1889,,2127,,2334,,2500,,2614,,2726,,
"West Berkshire",708,,675,,731,,773,,814,,827,,904,,
"Windsor and Maidenhead",727,,734,,784,,831,,750,,694,,862,,
"Wokingham",605,,619,,621,,716,,784,,699,,836,,
"East Sussex",3936,,3913,,4103,,4341,,4367,,4086,,4466,,
"Hampshire",7214,,7411,,7445,,7808,,7981,,7731,,8753,,
"Kent",11344,,11341,,12304,,13081,,13172,,13020,,14219,,
"Oxfordshire",3295,,3279,,3596,,3823,,4050,,3798,,4074,,
"Surrey",5158,,5191,,5280,,5616,,5633,,5544,,6462,,
"West Sussex",5043,,5057,,5251,,5573,,5767,,5709,,6525,,
"Bath and North East Somerset",992,,961,,788,,761,,768,,783,,811,,
"Bournemouth, Christchurch and Poole",2519,,2365,,2035,,1998,,2033,,2290,,2324,,
"Bristol, City of",3967,,3917,,3319,,3334,,3636,,3901,,3825,,
"Cornwall",5327,,4984,,4347,,4315,,4462,,4786,,4606,,
"Dorset",2529,,2315,,1968,,1994,,2088,,2136,,2149,,
"Isles of Scilly",17,,12,,12,,13,,10,,8,,8,,
"North Somerset",1404,,1365,,1095,,1099,,1104,,1162,,1179,,
"Plymouth",2345,,2195,,1821,,1781,,1954,,2077,,1952,,
"South Gloucestershire",1707,,1508,,1300,,1263,,1338,,1461,,1446,,
"Swindon",1780,,1671,,1375,,1484,,1496,,1590,,1582,,
"Torbay",1248,,1181,,992,,947,,1021,,1087,,998,,
"Wiltshire",2998,,2742,,2277,,2302,,2286,,2397,,2333,,
"Devon",6291,,5899,,5066,,4949,,5150,,5363,,5270,,
"Gloucestershire",4558,,4325,,3663,,3741,,3780,,3937,,3925,,
"Somerset",4426,,4148,,3663,,3577,,3613,,3735,,3636,,
"Isle of Anglesey / Ynys Môn",665,,633,,558,,564,,545,,559,,823,,
"Gwynedd / Gwynedd",1159,,1098,,1029,,1051,,963,,1003,,1376,,
"Conwy / Conwy",1052,,932,,841,,910,,821,,845,,1199,,
"Denbighshire / Sir Ddinbych",870,,728,,726,,735,,689,,733,,1084,,
"Flintshire / Sir y Fflint",1260,,1210,,1069,,1029,,984,,1034,,1359,,
"Wrexham / Wrecsam",1165,,1044,,955,,982,,965,,1261,,1407,,
"Powys / Powys",1306,,1251,,1167,,1157,,1067,,1022,,1377,,
"Ceredigion / Ceredigion",630,,651,,583,,625,,572,,558,,726,,
"Pembrokeshire / Sir Benfro",1318,,1223,,1145,,1255,,1165,,1163,,1490,,
"Carmarthenshire / Sir Gaerfyrddin",1905,,1809,,1629,,1618,,1625,,1674,,2131,,
"Swansea / Abertawe",2088,,1982,,1867,,1781,,1774,,1728,,2273,,
"Neath Port Talbot / Castell-nedd Port Talbot",1309,,1186,,1026,,1031,,1057,,1054,,1424,,
"Bridgend / Pen-y-bont ar Ogwr",1207,,1102,,947,,1048,,1001,,1032,,1392,,
"Vale of Glamorgan / Bro Morgannwg",990,,885,,758,,776,,814,,780,,1041,,
"Cardiff / Caerdydd",3613,,3260,,3177,,3282,,3185,,3178,,4301,,
"Rhondda Cynon Taf / Rhondda Cynon Taf",2549,,2311,,2140,,2224,,2015,,2043,,2876,,
"Merthyr Tydfil / Merthyr Tudful",760,,633,,540,,536,,489,,486,,698,,
"Caerphilly / Caerffili",1999,,1787,,1545,,1605,,1477,,1476,,1942,,
"Blaenau Gwent / Blaenau Gwent",881,,756,,651,,611,,624,,549,,771,,
"Torfaen / Tor-faen",921,,803,,680,,735,,687,,683,,925,,
"Monmouthshire / Sir Fynwy",613,,585,,532,,524,,482,,490,,659,,
"Newport / Casnewydd",1953,,1692,,1554,,1610,,1553,,1543,,2054,,
"Aberdeen City",817,,815,,979,,1119,,1173,,1229,,1120,,
"Aberdeenshire",1130,,1150,,1242,,1371,,1277,,1384,,1291,,
"Angus",774,,723,,769,,844,,845,,859,,743,,
"Argyll and Bute",511,,502,,494,,605,,551,,581,,505,,
"City of Edinburgh",2189,,2070,,2061,,2444,,2303,,2561,,2360,,
"Clackmannanshire",434,,408,,371,,426,,404,,480,,390,,
"Dumfries and Galloway",1149,,1122,,1109,,1287,,1270,,1455,,1163,,
"Dundee City",1084,,992,,1048,,1180,,1212,,1299,,1031,,
"East Ayrshire",1074,,1012,,1013,,1141,,1124,,1168,,987,,
"East Dunbartonshire",541,,493,,531,,548,,511,,560,,449,,
"East Lothian",730,,677,,667,,714,,733,,799,,675,,
"East Renfrewshire",543,,543,,511,,590,,580,,641,,556,,
"Falkirk",1179,,1136,,1085,,1238,,1272,,1387,,1161,,
"Fife",2863,,2849,,2790,,3233,,3169,,3401,,2774,,
"Glasgow City",6007,,5699,,5668,,6910,,6929,,7499,,6376,,
"Highland",1649,,1522,,1608,,1628,,1589,,1738,,1562,,
"Inverclyde",530,,498,,483,,560,,583,,619,,418,,
"Midlothian",606,,553,,526,,627,,656,,682,,580,,
"Moray",576,,567,,624,,649,,613,,682,,669,,
"Na h-Eileanan Siar",153,,155,,140,,169,,154,,149,,131,,
"North Ayrshire",1287,,1226,,1231,,1396,,1339,,1420,,1211,,
"North Lanarkshire",3254,,3069,,2904,,3270,,3221,,3561,,2995,,
"Orkney Islands",127,,130,,136,,146,,170,,178,,148,,
"Perth and Kinross",855,,829,,810,,1022,,951,,1018,,846,,
"Renfrewshire",1060,,1002,,982,,1257,,1292,,1373,,1122,,
"Scottish Borders",775,,723,,756,,848,,810,,876,,736,,
"Shetland Islands",62,,78,,91,,106,,118,,106,,178,,
"South Ayrshire",821,,761,,757,,816,,846,,917,,717,,
"South Lanarkshire",2390,,2214,,2177,,2481,,2401,,2564,,2105,,
"Stirling",592,,538,,519,,582,,561,,618,,515,,
"West Dunbartonshire",689,,648,,633,,797,,783,,866,,719,,
"West Lothian",1327,,1331,,1301,,1411,,1479,,1594,,1379,,
"Antrim and Newtownabbey",1341,,1256,,1125,,1046,,1206,,1192,,1220,,
"Ards and North Down",1438,,1327,,1234,,1168,,1182,,1169,,1241,,
"Armagh City, Banbridge and Craigavon",2533,,2384,,2228,,2038,,2228,,2313,,2530,,
"Belfast",4093,,3915,,3474,,3148,,3604,,3377,,3196,,
"Causeway Coast and Glens",2065,,1809,,1587,,1420,,1543,,1570,,1582,,
"Derry City and Strabane",2720,,2493,,2232,,1988,,2108,,1919,,1763,,
"Fermanagh and Omagh",1693,,1545,,1380,,1266,,1305,,1394,,1516,,
"Lisburn and Castlereagh",1058,,977,,899,,800,,904,,1009,,1027,,
"Mid and East Antrim",1402,,1352,,1238,,1169,,1282,,1247,,1266,,
"Mid Ulster",2039,,1904,,1664,,1541,,1751,,1791,,1908,,
"Newry, Mourne and Down",2676,,2449,,2196,,2125,,2304,,2392,,2547,,
"Unknown",..,,..,,..,,..,,..,,..,,..,,
"Total",567808,,559389,,552922,,583945,,601404,,629826,,642092,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Absolute low-income is defined as a family whose equivalised income is below 60 per cent of the 2010/11 median income adjusted for inflation. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
