Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","11-15"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"County Durham",4671,,4267,,4502,,4446,,4734,,5945,,7623,,
"Darlington",1056,,919,,1029,,1032,,1071,,1382,,1702,,
"Hartlepool",1009,,920,,1030,,1020,,1097,,1389,,1651,,
"Middlesbrough",1979,,1902,,2176,,2201,,2481,,3013,,3734,,
"Northumberland",2557,,2280,,2390,,2334,,2537,,3158,,3995,,
"Redcar and Cleveland",1254,,1124,,1255,,1203,,1326,,1738,,2240,,
"Stockton-on-Tees",1822,,1665,,1817,,1862,,1957,,2525,,3207,,
"Gateshead",1609,,1447,,1607,,1602,,1778,,2284,,3016,,
"Newcastle upon Tyne",3048,,2908,,3197,,3224,,3623,,4420,,5432,,
"North Tyneside",1637,,1446,,1607,,1631,,1760,,2275,,2865,,
"South Tyneside",1534,,1434,,1582,,1572,,1721,,2094,,2509,,
"Sunderland",2822,,2520,,2698,,2655,,2919,,3612,,4561,,
"Blackburn with Darwen",3192,,3256,,3460,,3688,,3893,,3589,,3424,,
"Blackpool",1410,,1382,,1452,,1597,,1714,,1610,,1485,,
"Cheshire East",2044,,1947,,1999,,2212,,2254,,2225,,2135,,
"Cheshire West and Chester",1988,,1910,,1915,,2110,,2181,,2152,,2114,,
"Halton",1105,,1027,,1092,,1135,,1107,,1185,,1000,,
"Warrington",1321,,1257,,1315,,1447,,1471,,1466,,1345,,
"Cumbria",3297,,3168,,3330,,3582,,3695,,3313,,3268,,
"Bolton",4349,,4372,,4768,,5359,,5576,,5443,,5268,,
"Bury",2045,,2037,,2135,,2346,,2442,,2275,,2283,,
"Manchester",8122,,7990,,8612,,9825,,10613,,10145,,9915,,
"Oldham",4575,,4812,,5172,,5669,,5751,,5511,,5472,,
"Rochdale",3448,,3311,,3390,,3736,,3974,,3859,,3743,,
"Salford",2535,,2399,,2606,,2778,,3000,,2798,,2613,,
"Stockport",2036,,1920,,1960,,2175,,2250,,2158,,2155,,
"Tameside",2337,,2217,,2357,,2643,,2707,,2680,,2548,,
"Trafford",1708,,1708,,1684,,1822,,1877,,1767,,1770,,
"Wigan",2624,,2533,,2599,,2820,,2960,,2807,,2692,,
"Lancashire",11244,,10884,,11667,,12815,,13308,,12747,,12087,,
