Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","16"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E09000012",701,,717,,777,,951,,1034,,1055,,1030,,936,,
"E09000013",272,,281,,277,,354,,382,,366,,371,,342,,
"E09000014",617,,669,,648,,792,,900,,887,,764,,807,,
"E09000019",416,,399,,409,,503,,519,,555,,461,,468,,
"E09000020",170,,164,,153,,214,,196,,215,,196,,170,,
"E09000022",621,,625,,678,,832,,869,,917,,833,,823,,
"E09000023",572,,642,,639,,736,,875,,897,,822,,809,,
"E09000025",1275,,1265,,1279,,1493,,1584,,1630,,1545,,1568,,
"E09000028",648,,672,,714,,757,,829,,912,,798,,816,,
"E09000030",1142,,1047,,1164,,1444,,1473,,1577,,1417,,1303,,
"E09000032",353,,407,,372,,488,,493,,566,,523,,518,,
"E09000033",286,,301,,318,,409,,410,,399,,330,,362,,
"E09000002",681,,681,,748,,891,,937,,1065,,1055,,948,,
"E09000003",614,,638,,634,,717,,774,,788,,792,,772,,
"E09000004",441,,479,,455,,520,,562,,597,,531,,499,,
"E09000005",696,,726,,742,,856,,973,,1006,,996,,967,,
"E09000006",488,,464,,448,,556,,587,,607,,591,,527,,
"E09000008",743,,835,,777,,915,,1004,,1068,,983,,980,,
"E09000009",665,,723,,751,,895,,967,,1060,,1018,,963,,
"E09000010",773,,746,,773,,946,,1020,,1043,,970,,982,,
"E09000011",610,,605,,710,,716,,880,,901,,854,,863,,
"E09000015",420,,423,,406,,497,,555,,647,,622,,611,,
"E09000016",448,,450,,476,,510,,599,,593,,620,,563,,
"E09000017",581,,545,,562,,672,,734,,831,,818,,820,,
"E09000018",540,,567,,557,,701,,756,,757,,834,,777,,
"E09000021",199,,211,,203,,255,,241,,256,,267,,248,,
"E09000024",367,,356,,372,,454,,478,,554,,537,,460,,
"E09000026",783,,820,,832,,979,,988,,1087,,1020,,893,,
"E09000027",181,,180,,140,,180,,197,,200,,213,,183,,
"E09000029",265,,322,,279,,316,,361,,386,,428,,348,,
"E09000031",809,,847,,877,,957,,990,,1087,,1008,,961,,
"E06000036",138,,134,,150,,150,,142,,187,,214,,205,,
"E06000043",333,,412,,438,,441,,466,,455,,510,,514,,
"E06000060",793,,815,,919,,919,,911,,988,,1161,,1099,,
"E06000046",307,,273,,343,,291,,329,,302,,357,,429,,
"E06000035",560,,533,,624,,650,,650,,672,,764,,785,,
"E06000042",560,,546,,671,,701,,774,,813,,855,,911,,
"E06000044",407,,425,,485,,484,,537,,496,,556,,603,,
"E06000038",254,,274,,312,,322,,329,,339,,385,,429,,
"E06000039",372,,384,,461,,466,,519,,559,,634,,760,,
"E06000045",446,,440,,545,,579,,524,,607,,667,,747,,
"E06000037",177,,185,,196,,186,,214,,186,,230,,241,,
"E06000040",174,,170,,201,,225,,201,,193,,209,,248,,
"E06000041",155,,156,,161,,167,,173,,206,,236,,213,,
"E10000011",1013,,959,,1067,,1048,,1093,,1127,,1227,,1276,,
"E10000014",1828,,1812,,2009,,2059,,1867,,2101,,2303,,2599,,
"E10000016",2792,,2721,,3109,,3261,,3257,,3286,,3522,,3793,,
"E10000025",770,,784,,868,,927,,946,,983,,1070,,1258,,
"E10000030",1225,,1208,,1397,,1330,,1427,,1442,,1655,,1750,,
"E10000032",1273,,1287,,1369,,1370,,1439,,1458,,1706,,1815,,
"E06000022",279,,240,,238,,203,,209,,203,,228,,241,,
"E06000058",656,,600,,583,,557,,573,,585,,649,,734,,
"E06000023",966,,952,,805,,899,,983,,995,,1012,,1231,,
"E06000052",1343,,1319,,1158,,1191,,1257,,1228,,1274,,1560,,
"E06000059",648,,616,,544,,605,,607,,551,,601,,729,,
"E06000053",..,,5,,..,,5,,7,,..,,5,,..,,
"E06000024",361,,303,,317,,301,,288,,344,,334,,386,,
"E06000026",576,,539,,494,,494,,505,,560,,552,,672,,
"E06000025",420,,388,,329,,353,,370,,381,,405,,466,,
"E06000030",407,,429,,356,,402,,384,,395,,400,,546,,
"E06000027",318,,294,,269,,254,,263,,312,,300,,346,,
"E06000054",771,,703,,660,,593,,597,,664,,682,,803,,
"E10000008",1549,,1572,,1353,,1375,,1352,,1471,,1451,,1833,,
"E10000013",1161,,1103,,995,,982,,1053,,1079,,1036,,1274,,
"E10000027",1193,,1119,,934,,892,,951,,1051,,980,,1275,,
"W06000001",177,,155,,163,,163,,149,,169,,215,,216,,
"W06000002",257,,274,,296,,317,,251,,301,,384,,367,,
"W06000003",277,,274,,254,,242,,227,,262,,358,,313,,
"W06000004",222,,208,,188,,210,,218,,204,,295,,287,,
"W06000005",320,,290,,295,,283,,270,,323,,440,,337,,
"W06000006",293,,275,,260,,289,,238,,351,,426,,399,,
"W06000023",322,,294,,302,,311,,279,,333,,408,,382,,
"W06000008",159,,178,,181,,146,,166,,191,,230,,194,,
"W06000009",335,,310,,304,,328,,351,,343,,453,,380,,
"W06000010",434,,427,,453,,459,,441,,474,,639,,555,,
"W06000011",513,,522,,509,,502,,460,,537,,713,,633,,
"W06000012",338,,312,,309,,284,,283,,335,,459,,400,,
"W06000013",328,,255,,276,,304,,282,,331,,432,,375,,
"W06000014",258,,245,,233,,225,,216,,258,,352,,307,,
"W06000015",853,,820,,783,,886,,868,,917,,1250,,1043,,
"W06000016",685,,624,,550,,589,,622,,666,,920,,751,,
"W06000024",160,,169,,151,,151,,154,,148,,218,,192,,
"W06000018",492,,439,,449,,429,,428,,501,,626,,527,,
"W06000019",226,,229,,180,,174,,154,,176,,247,,207,,
"W06000020",239,,211,,180,,193,,184,,229,,306,,282,,
"W06000021",144,,134,,148,,150,,137,,168,,209,,176,,
"W06000022",462,,413,,438,,419,,417,,472,,608,,537,,
"S12000033",189,,212,,253,,296,,317,,271,,260,,368,,
"S12000034",297,,307,,313,,328,,342,,358,,304,,425,,
"S12000041",210,,186,,222,,240,,200,,220,,191,,268,,
"S12000035",144,,135,,122,,178,,141,,166,,134,,164,,
"S12000036",524,,524,,600,,677,,637,,684,,566,,815,,
"S12000005",103,,96,,132,,110,,113,,124,,103,,132,,
"S12000006",295,,293,,315,,321,,325,,343,,297,,427,,
"S12000042",295,,261,,295,,331,,327,,341,,302,,380,,
"S12000008",268,,272,,300,,287,,318,,319,,266,,340,,
"S12000045",117,,139,,136,,169,,149,,157,,122,,169,,
"S12000010",184,,172,,204,,188,,164,,216,,152,,222,,
"S12000011",125,,149,,156,,162,,149,,149,,153,,175,,
