Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","0-4"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000047",5885,,6140,,6907,,6911,,7182,,7980,,8034,,6948,,
"E06000005",1196,,1248,,1396,,1502,,1474,,1657,,1720,,1536,,
"E06000001",1225,,1258,,1439,,1547,,1551,,1698,,1620,,1387,,
"E06000002",2570,,2812,,3203,,3548,,3713,,3856,,3827,,3243,,
"E06000057",2794,,2865,,3279,,3317,,3400,,3906,,3929,,3320,,
"E06000003",1581,,1664,,1928,,1936,,1933,,2208,,2322,,2031,,
"E06000004",2274,,2336,,2646,,2631,,2646,,2957,,3072,,2592,,
"E08000037",2128,,2114,,2464,,2511,,2570,,2926,,3039,,2540,,
"E08000021",3628,,3899,,4548,,4685,,4640,,4945,,4744,,4144,,
"E08000022",1733,,1814,,2127,,2221,,2269,,2591,,2634,,2196,,
"E08000023",1749,,1845,,2130,,2286,,2345,,2611,,2583,,2222,,
"E08000024",3348,,3328,,3665,,3907,,4013,,4567,,4635,,3987,,
"E06000008",3335,,3541,,3672,,3727,,3749,,3710,,3119,,3332,,
"E06000009",1959,,1995,,2169,,2208,,2389,,2406,,2175,,2229,,
"E06000049",2359,,2438,,2496,,2591,,2625,,2830,,2547,,2705,,
"E06000050",2465,,2364,,2506,,2691,,2712,,3056,,2646,,2819,,
"E06000006",1446,,1474,,1592,,1675,,1719,,1753,,1488,,1727,,
"E06000007",1729,,1801,,1844,,2037,,1853,,1920,,1634,,1770,,
"E10000006",4139,,4105,,4449,,4606,,4571,,4680,,3952,,4058,,
"E08000001",4948,,5189,,5678,,6058,,6192,,6340,,5661,,5911,,
"E08000002",2544,,2583,,2596,,2661,,2679,,2620,,2366,,2442,,
"E08000003",10284,,10624,,11710,,12025,,11999,,11731,,10383,,10685,,
"E08000004",4867,,5337,,5947,,6255,,6195,,6292,,5530,,5775,,
"E08000005",3865,,3967,,4296,,4482,,4571,,4608,,4178,,4444,,
"E08000006",3705,,3782,,4323,,4516,,4588,,4533,,3950,,4287,,
"E08000007",2365,,2323,,2602,,2631,,2665,,2656,,2458,,2436,,
"E08000008",3059,,2945,,3372,,3538,,3737,,3862,,3308,,3468,,
"E08000009",1725,,1681,,1788,,1855,,1799,,1715,,1550,,1541,,
"E08000010",3686,,3719,,3871,,3974,,4192,,4363,,3810,,4028,,
"E10000017",13420,,13514,,14985,,15219,,15413,,15767,,14059,,14518,,
"E08000011",1909,,1911,,2333,,2426,,2544,,2603,,2363,,2494,,
"E08000012",6146,,6485,,7200,,7829,,7989,,8219,,7182,,7597,,
"E08000014",2402,,2437,,2599,,2709,,2780,,2787,,2466,,2603,,
"E08000013",1906,,2010,,2178,,2236,,2346,,2355,,2030,,2200,,
