Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","0-4"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"E08000015",3012,,2980,,3143,,3271,,3459,,3555,,3033,,3421,,
"E06000011",2433,,2479,,2422,,2600,,2595,,3086,,2771,,2305,,
"E06000010",5051,,5410,,5340,,5459,,5676,,6194,,5743,,4851,,
"E06000012",2300,,2361,,2499,,2648,,2658,,2907,,2598,,2218,,
"E06000013",1897,,1996,,2014,,2062,,2111,,2447,,2284,,1942,,
"E06000014",1266,,1264,,1258,,1199,,1221,,1367,,1252,,1027,,
"E10000023",3669,,3760,,3819,,3819,,3958,,4484,,4219,,3514,,
"E08000016",3127,,3249,,3433,,3487,,3583,,4005,,3806,,3149,,
"E08000017",4528,,4638,,4540,,4615,,4855,,5328,,5058,,4387,,
"E08000018",3368,,3630,,3652,,3714,,3670,,4263,,3970,,3406,,
"E08000019",7143,,7595,,7654,,7922,,8275,,8931,,8460,,6975,,
"E08000032",12133,,12245,,12182,,12578,,13445,,14500,,13346,,11688,,
"E08000033",2626,,2579,,2752,,2715,,2839,,3158,,2953,,2513,,
"E08000034",6121,,6213,,6336,,6594,,7032,,7509,,7061,,6024,,
"E08000035",8914,,9639,,10339,,11024,,11571,,12494,,11653,,9755,,
"E08000036",3887,,3967,,4143,,4281,,4521,,5076,,4873,,3936,,
"E06000015",3903,,4591,,4698,,4383,,3935,,4156,,3525,,4655,,
"E06000016",6886,,8052,,8518,,7791,,6854,,7233,,5938,,8106,,
"E06000061",3395,,4070,,4237,,3827,,3308,,4014,,3272,,4407,,
"E06000018",5356,,6445,,6927,,6646,,5558,,6043,,4968,,6638,,
"E06000017",168,,197,,189,,176,,154,,200,,174,,209,,
"E06000062",3486,,4048,,4209,,3963,,3467,,3774,,3415,,4408,,
"E10000007",6436,,7424,,7505,,6984,,6099,,6879,,5887,,8578,,
"E10000018",4484,,5038,,5187,,4918,,4326,,5113,,4374,,6097,,
"E10000019",7336,,8613,,8656,,8164,,7206,,7903,,6638,,9249,,
"E10000024",7624,,8812,,8938,,8445,,7220,,8044,,6880,,9657,,
"E06000019",1476,,1502,,1506,,1507,,1487,,1780,,1644,,1592,,
"E06000051",2156,,2333,,2404,,2344,,2353,,2804,,2756,,2708,,
"E06000021",4896,,5315,,5426,,5444,,5247,,5959,,5277,,5502,,
"E06000020",1956,,2148,,2148,,2276,,2314,,2848,,2488,,2721,,
"E10000028",6813,,7446,,7468,,7421,,7485,,8847,,8307,,8624,,
"E10000031",3918,,4289,,4050,,4173,,4099,,4730,,4305,,4433,,
"E08000025",22085,,24415,,25248,,25678,,26072,,27849,,24912,,24825,,
"E08000026",4373,,5049,,4942,,5028,,4953,,5489,,4828,,4930,,
"E08000027",3887,,4322,,4495,,4637,,4623,,5201,,4695,,4766,,
"E08000028",6146,,6999,,7069,,7248,,7382,,8153,,7040,,7322,,
"E08000029",1541,,1727,,1659,,1640,,1740,,1984,,1778,,1813,,
"E08000030",4852,,5272,,5439,,5685,,5950,,6621,,5935,,6191,,
"E08000031",4518,,4870,,5020,,5145,,5239,,5787,,5103,,5402,,
"E10000034",4830,,5135,,5030,,5116,,4946,,5873,,5350,,5482,,
"E06000055",1795,,1835,,1762,,1936,,1891,,1931,,1578,,1566,,
"E06000056",1836,,1944,,1840,,1795,,1792,,2065,,1968,,1842,,
"E06000032",3892,,4299,,4275,,4428,,4320,,4428,,3975,,3919,,
"E06000031",3618,,3991,,3981,,4233,,4192,,4172,,3466,,3368,,
"E06000033",1685,,1773,,1755,,1824,,1748,,1706,,1611,,1514,,
"E06000034",1955,,2065,,2038,,2132,,2081,,2192,,1964,,1884,,
"E10000003",4365,,4584,,4518,,4742,,4652,,4784,,4157,,3880,,
"E10000012",10642,,11344,,11078,,11801,,11840,,12557,,11265,,10589,,
"E10000015",7122,,7255,,7318,,7535,,7503,,7903,,7288,,6651,,
"E10000020",7838,,8586,,8608,,8920,,8873,,9242,,7655,,7507,,
"E10000029",5941,,6469,,6370,,7063,,6848,,7214,,6134,,6058,,
"E09000007",1564,,1642,,1621,,1860,,1879,,1975,,1704,,1597,,
"E09000001",20,,20,,20,,24,,23,,13,,11,,59,,
"E09000012",3025,,3056,,3221,,3613,,3661,,4138,,3371,,3039,,
"E09000013",1089,,1127,,989,,1219,,1240,,1231,,1087,,867,,
"E09000014",2850,,2855,,2919,,3236,,3152,,3101,,2571,,2212,,
"E09000019",1708,,1795,,1766,,2070,,2152,,2155,,1951,,1638,,
"E09000020",570,,553,,481,,570,,533,,528,,479,,479,,
"E09000022",2846,,2839,,2841,,3224,,3048,,3122,,2658,,2086,,
"E09000023",3134,,3255,,3149,,3486,,3463,,3616,,3059,,2492,,
"E09000025",5543,,5647,,5798,,6079,,6032,,6281,,5255,,4569,,
"E09000028",3260,,3295,,3153,,3269,,3332,,3374,,2804,,2334,,
"E09000030",4087,,4116,,4178,,4585,,4845,,5072,,4352,,3817,,
"E09000032",1727,,1757,,1782,,1949,,2122,,2250,,2019,,1658,,
"E09000033",1023,,1065,,1015,,1229,,1215,,1208,,1085,,920,,
"E09000002",3800,,4086,,4200,,4767,,4677,,4813,,4154,,3542,,
"E09000003",2864,,2904,,2958,,3354,,3209,,3319,,2894,,2367,,
"E09000004",1924,,1899,,1887,,2105,,2202,,2431,,2141,,1791,,
"E09000005",3311,,3521,,3515,,3987,,3967,,4131,,3880,,3173,,
"E09000006",1966,,1840,,1831,,2104,,2164,,2193,,1949,,1515,,
"E09000008",3911,,4097,,4049,,4223,,4252,,4454,,3861,,3394,,
"E09000009",3285,,3327,,3317,,3595,,3673,,3768,,3224,,2648,,
"E09000010",3769,,3878,,3877,,4228,,4104,,4115,,3248,,2850,,
"E09000011",3465,,3497,,3697,,4129,,4105,,4216,,3720,,2993,,
"E09000015",1993,,2113,,2160,,2596,,2661,,2823,,2785,,2227,,
"E09000016",2045,,2080,,2266,,2538,,2579,,2887,,2528,,2078,,
"E09000017",2704,,2759,,2737,,3173,,3318,,3530,,3148,,2578,,
"E09000018",2694,,2763,,2911,,3052,,3033,,3240,,2917,,2443,,
"E09000021",802,,818,,828,,991,,1004,,993,,869,,752,,
"E09000024",1939,,1900,,1780,,1915,,1929,,2003,,1683,,1425,,
"E09000026",3245,,3422,,3407,,3718,,3844,,4016,,3452,,2893,,
"E09000027",604,,635,,641,,714,,649,,728,,645,,521,,
"E09000029",1368,,1398,,1399,,1453,,1483,,1690,,1554,,1283,,
"E09000031",3769,,3752,,3854,,4180,,4180,,4186,,3614,,2850,,
"E06000036",562,,601,,679,,649,,647,,702,,811,,710,,
"E06000043",1599,,1700,,1785,,1766,,1869,,1777,,1695,,1470,,
"E06000060",3224,,3378,,3790,,3758,,3827,,3797,,3876,,3597,,
"E06000046",1131,,1175,,1401,,1482,,1463,,1421,,1438,,1357,,
"E06000035",2825,,2927,,3354,,3442,,3626,,3567,,3612,,3202,,
"E06000042",2881,,2801,,3099,,3316,,3376,,3290,,3116,,2804,,
"E06000044",2258,,2360,,2688,,2590,,2768,,2701,,2471,,2316,,
"E06000038",1260,,1398,,1622,,1632,,1646,,1473,,1413,,1395,,
"E06000039",1900,,1962,,2162,,2171,,2199,,2262,,2310,,2146,,
"E06000045",2862,,2809,,3050,,3284,,3518,,3297,,3173,,3048,,
"E06000037",756,,740,,878,,885,,903,,966,,926,,903,,
"E06000040",659,,611,,715,,692,,710,,753,,763,,660,,
"E06000041",570,,656,,654,,667,,759,,710,,750,,661,,
"E10000011",4238,,4227,,4706,,4837,,4872,,4769,,4545,,4323,,
"E10000014",7461,,7748,,8507,,8431,,8618,,9226,,9198,,8929,,
"E10000016",13169,,13411,,15162,,15680,,16595,,16570,,15733,,14233,,
"E10000025",3737,,3794,,4103,,3994,,4187,,4254,,4174,,4054,,
"E10000030",5047,,5238,,5759,,5562,,5951,,5849,,5993,,5403,,
"E10000032",4993,,5111,,5710,,5697,,6069,,6379,,6369,,6144,,
"E06000022",1064,,1023,,906,,807,,836,,935,,863,,943,,
"E06000058",2962,,2977,,2647,,2516,,2648,,2730,,2585,,2705,,
"E06000023",5620,,5535,,4865,,4935,,4984,,5165,,4656,,4863,,
"E06000052",5725,,5577,,4998,,4834,,5045,,5585,,4855,,5402,,
"E06000059",2421,,2472,,2103,,2053,,2114,,2318,,2004,,2443,,
"E06000053",8,,15,,15,,6,,8,,9,,5,,11,,
"E06000024",1490,,1469,,1345,,1343,,1309,,1427,,1295,,1471,,
"E06000026",3371,,3216,,2705,,2682,,2790,,3002,,2543,,2935,,
"E06000025",1821,,1779,,1578,,1523,,1572,,1824,,1687,,1842,,
"E06000030",2359,,2311,,1957,,2055,,1996,,2154,,1971,,2196,,
"E06000027",1463,,1519,,1292,,1306,,1307,,1438,,1242,,1395,,
"E06000054",3598,,3222,,2774,,2768,,2853,,3242,,2926,,3419,,
"E10000008",6266,,6179,,5378,,5397,,5487,,6352,,5461,,6126,,
"E10000013",5114,,5130,,4516,,4362,,4610,,5077,,4460,,5206,,
"E10000027",4901,,4986,,4222,,4286,,4282,,4662,,4165,,4928,,
"W06000001",840,,859,,763,,700,,740,,821,,985,,786,,
"W06000002",1295,,1287,,1212,,1181,,1191,,1368,,1591,,1234,,
"W06000003",1146,,1079,,1035,,975,,1011,,1214,,1455,,1075,,
"W06000004",1047,,1056,,983,,943,,1028,,1197,,1454,,1136,,
"W06000005",1428,,1351,,1262,,1332,,1257,,1484,,1772,,1454,,
"W06000006",1699,,1563,,1436,,1521,,1583,,1869,,1988,,1498,,
"W06000023",1218,,1169,,1121,,1115,,1115,,1204,,1448,,1230,,
"W06000008",686,,696,,665,,664,,655,,682,,790,,651,,
"W06000009",1477,,1459,,1356,,1329,,1374,,1529,,1767,,1347,,
"W06000010",2093,,2009,,1887,,1872,,1963,,2261,,2638,,1992,,
"W06000011",2571,,2437,,2317,,2324,,2428,,2587,,2827,,2255,,
"W06000012",1635,,1531,,1433,,1430,,1471,,1806,,1995,,1499,,
"W06000013",1608,,1505,,1322,,1320,,1494,,1637,,1901,,1400,,
"W06000014",1173,,1064,,1036,,1007,,1022,,1237,,1400,,1074,,
"W06000015",4172,,4034,,3699,,3844,,3834,,4226,,4642,,3577,,
"W06000016",3424,,3263,,2948,,2916,,3130,,3766,,4157,,2948,,
"W06000024",975,,995,,846,,839,,898,,1017,,1139,,878,,
"W06000018",2371,,2279,,2063,,2105,,2165,,2649,,2843,,2172,,
"W06000019",1229,,1155,,1013,,1001,,994,,1248,,1304,,1040,,
"W06000020",1224,,1174,,1104,,1095,,1110,,1303,,1501,,1182,,
"W06000021",668,,614,,568,,528,,551,,599,,700,,559,,
"W06000022",2202,,2125,,2133,,2168,,2191,,2500,,2846,,2229,,
"S12000033",1358,,1564,,1768,,1931,,1999,,1945,,1636,,1838,,
"S12000034",1233,,1392,,1566,,1567,,1511,,1641,,1362,,1613,,
"S12000041",923,,920,,1036,,1098,,1127,,1215,,984,,1171,,
"S12000035",588,,585,,638,,674,,643,,695,,489,,603,,
"S12000036",2831,,2830,,3161,,3297,,3081,,3222,,2768,,3195,,
"S12000005",580,,605,,667,,692,,658,,680,,523,,643,,
"S12000006",1331,,1321,,1408,,1490,,1455,,1599,,1241,,1498,,
"S12000042",1474,,1507,,1720,,1786,,1772,,1774,,1402,,1693,,
"S12000008",1411,,1484,,1582,,1610,,1658,,1731,,1422,,1679,,
"S12000045",468,,523,,536,,541,,497,,565,,450,,530,,
"S12000010",825,,885,,883,,910,,842,,969,,741,,942,,
"S12000011",435,,459,,473,,479,,498,,542,,450,,493,,
"S12000014",1540,,1447,,1610,,1666,,1755,,1797,,1493,,1801,,
"S12000047",3857,,3824,,4018,,4294,,4301,,4592,,3603,,4439,,
"S12000049",7299,,7619,,8268,,9218,,9460,,9713,,7731,,9055,,
"S12000017",1884,,2009,,2017,,1989,,1974,,2159,,1780,,2084,,
"S12000018",639,,705,,709,,667,,696,,705,,549,,785,,
"S12000019",752,,723,,855,,863,,848,,909,,783,,975,,
"S12000020",776,,790,,877,,816,,826,,916,,799,,945,,
"S12000013",144,,187,,177,,165,,153,,201,,160,,183,,
"S12000021",1536,,1445,,1571,,1709,,1722,,1824,,1469,,1868,,
"S12000050",3966,,3983,,4249,,4397,,4419,,4744,,3880,,4522,,
"S12000023",133,,117,,151,,147,,145,,124,,104,,129,,
"S12000048",1038,,1105,,1153,,1171,,1199,,1340,,1060,,1274,,
"S12000038",1276,,1306,,1445,,1551,,1656,,1820,,1433,,1736,,
"S12000026",870,,919,,1000,,1036,,1042,,1112,,795,,996,,
"S12000027",126,,121,,132,,152,,128,,134,,127,,130,,
"S12000028",986,,946,,1091,,1129,,1173,,1161,,857,,1034,,
"S12000029",2692,,2698,,2967,,3099,,3065,,3245,,2689,,3306,,
"S12000030",647,,609,,690,,710,,682,,785,,622,,704,,
"S12000039",949,,969,,1066,,1216,,1201,,1265,,1003,,1186,,
"S12000040",1704,,1664,,1849,,1939,,2050,,2168,,1762,,2012,,
"N09000001",1702,,1729,,1716,,1554,,1645,,1698,,1763,,1430,,
"N09000011",1797,,1834,,1762,,1497,,1617,,1647,,1579,,1256,,
"N09000002",3175,,3234,,3162,,2886,,2999,,3230,,3294,,2615,,
"N09000003",6338,,6785,,6579,,5863,,6047,,5577,,5442,,4634,,
"N09000004",2338,,2295,,2373,,2038,,1910,,1989,,2007,,1574,,
"N09000005",3058,,3227,,3221,,2877,,2706,,2538,,2482,,1945,,
"N09000006",1496,,1543,,1524,,1395,,1429,,1585,,1582,,1291,,
"N09000007",1439,,1391,,1321,,1179,,1285,,1373,,1380,,1115,,
"N09000008",1686,,1764,,1682,,1549,,1618,,1706,,1739,,1343,,
"N09000009",2111,,2125,,1992,,1739,,1816,,1993,,2149,,1796,,
"N09000010",2938,,2964,,2922,,2731,,2752,,2894,,2971,,2423,,
"ZZXXXXXXX",..,,..,,..,,..,,..,,..,,..,,..,,
"Total",660833,,688453,,707141,,724162,,728722,,776558,,708096,,691439,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Relative low-income is defined as a family whose equivalised income is below 60 per cent of contemporary median income. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
