Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","11-15"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000047",4386,,4612,,5339,,5648,,5719,,7057,,8299,,7185,,
"E06000005",988,,1001,,1216,,1332,,1306,,1654,,1858,,1609,,
"E06000001",936,,1007,,1222,,1360,,1361,,1650,,1801,,1637,,
"E06000002",1815,,2042,,2571,,2762,,2862,,3471,,4045,,3664,,
"E06000057",2388,,2460,,2845,,2981,,3072,,3738,,4375,,3639,,
"E06000003",1167,,1229,,1498,,1572,,1653,,2068,,2481,,2097,,
"E06000004",1703,,1773,,2158,,2379,,2369,,2957,,3485,,3085,,
"E08000037",1482,,1571,,1916,,2101,,2191,,2733,,3278,,2766,,
"E08000021",2829,,3086,,3747,,4038,,4289,,5038,,5843,,5122,,
"E08000022",1519,,1549,,1872,,2057,,2154,,2700,,3120,,2590,,
"E08000023",1404,,1536,,1864,,1993,,2072,,2459,,2785,,2433,,
"E08000024",2612,,2712,,3190,,3428,,3515,,4242,,5021,,4313,,
"E06000008",3236,,3537,,3932,,4205,,4406,,4290,,4194,,4694,,
"E06000009",1416,,1532,,1745,,1936,,2022,,2034,,1990,,2233,,
"E06000049",2093,,2135,,2323,,2672,,2684,,2754,,2685,,3065,,
"E06000050",2009,,2102,,2260,,2524,,2565,,2723,,2692,,3098,,
"E06000006",1115,,1143,,1283,,1365,,1361,,1446,,1336,,1651,,
"E06000007",1361,,1376,,1585,,1710,,1721,,1829,,1741,,1925,,
"E10000006",3391,,3503,,3867,,4244,,4407,,4269,,4190,,4654,,
"E08000001",4410,,4721,,5362,,6046,,6299,,6630,,6447,,7339,,
