Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"Barnsley",13438,13670,13890,14055,14381,14509,14621,14664,14595,14373,14227,14142,13926,
"Doncaster",18021,18548,18838,19241,19283,19172,18969,18813,18667,18459,18267,18067,17957,
"Rotherham",15246,15537,15740,15805,16034,16014,16101,15990,16017,15972,15832,15562,15195,
"Sheffield",31701,32543,33249,33917,34311,34264,33923,33513,33436,32865,32700,32212,31777,
"Bradford",39829,40714,41393,41078,41346,41144,40989,40741,40903,40308,39705,38992,37964,
"Calderdale",12701,12866,12960,12886,13117,13165,13150,13129,13065,12803,12448,12190,11655,
"Kirklees",27288,27787,28010,28398,28725,28609,28615,28552,28143,27944,27446,26742,26020,
"Leeds",44054,45694,47285,48131,49559,50366,50940,51282,51612,51068,50495,49914,48733,
"Wakefield",18892,19098,19551,19666,20056,20448,20621,20728,20875,20985,21149,21094,21103,
"Derby",16186,16747,17341,17808,18060,18025,17898,17711,17494,17080,16674,16321,15795,
"Leicester",23087,23693,24005,24360,24979,25184,25423,25914,26078,25574,25049,24447,23697,
"North Northamptonshire",19831,20153,20758,21193,21589,21646,21720,21652,21877,21811,21644,21320,20894,
"Nottingham",18293,19040,19721,20082,20377,20650,20932,21113,21328,21108,20755,20335,19700,
"Rutland",1834,1806,1840,1834,1743,1776,1784,1769,1830,1858,1855,1861,1776,
"West Northamptonshire",23492,24222,24682,25044,25498,25423,25411,25522,25630,25757,25693,25435,25080,
"Amber Valley",6320,6343,6418,6474,6442,6505,6534,6400,6382,6410,6277,6324,6259,
"Bolsover",4215,4304,4323,4282,4342,4407,4412,4523,4396,4373,4272,4325,4295,
"Chesterfield",5435,5605,5704,5795,5872,5795,5824,5773,5627,5448,5360,5265,5194,
"Derbyshire Dales",3230,3182,3191,3052,3092,2971,2937,2923,2886,2873,2788,2766,2666,
"Erewash",6155,6237,6366,6542,6725,6679,6704,6723,6586,6400,6278,5943,5768,
"High Peak",5046,5079,5032,5010,4963,4891,4813,4685,4634,4504,4541,4596,4464,
"North East Derbyshire",4777,4807,4812,4828,4961,4878,4801,4805,4824,4808,4846,4787,4719,
"South Derbyshire",5678,5745,5899,5722,5764,5824,5798,5804,5849,5877,5846,5922,5955,
"Blaby",5365,5355,5402,5460,5473,5449,5479,5518,5546,5671,5655,5699,5642,
"Charnwood",8573,8681,8928,9154,9316,9420,9439,9538,9491,9439,9501,9609,9554,
"Harborough",4690,4598,4694,4644,4642,4533,4554,4600,4650,4611,4625,4641,4619,
"Hinckley and Bosworth",5585,5604,5648,5742,5878,5947,6035,6052,6063,6013,5972,5893,5815,
"Melton",2636,2630,2771,2764,2873,2869,2809,2762,2698,2553,2562,2515,2438,
"North West Leicestershire",5437,5378,5448,5472,5427,5381,5334,5329,5339,5367,5552,5658,5565,
"Oadby and Wigston",2689,2767,2821,2860,2926,3025,2960,2950,3027,3033,3049,3010,2880,
"Boston",3525,3716,3812,3892,4060,4252,4270,4363,4381,4389,4341,4250,4089,
"East Lindsey",5972,6049,6350,6245,6459,6477,6548,6447,6393,6311,6258,6188,6010,
"Lincoln",5103,5305,5499,5585,5753,5909,5837,5920,5946,5834,5698,5511,5310,
"North Kesteven",5170,5349,5437,5549,5774,5894,5843,5941,5966,6012,5974,5875,5718,
"South Holland",4236,4276,4474,4523,4689,4776,4977,5031,5142,5118,5183,5132,5037,
"South Kesteven",7215,7210,7361,7454,7555,7535,7667,7787,7765,7637,7593,7324,7114,
"West Lindsey",4289,4333,4436,4417,4533,4536,4734,4893,4973,4896,4826,4705,4520,
"Ashfield",6788,7012,7207,7352,7511,7708,7670,7641,7543,7559,7438,7312,7073,
"Bassetlaw",5971,6079,6069,6144,6264,6298,6355,6391,6388,6442,6361,6306,6209,
"Broxtowe",5454,5640,5921,6195,6383,6394,6454,6357,6178,5979,5839,5690,5519,
"Gedling",5978,6164,6258,6457,6502,6517,6513,6510,6398,6269,6223,6121,5933,
"Mansfield",6035,6170,6294,6444,6623,6684,6698,6710,6709,6673,6569,6430,6210,
"Newark and Sherwood",6191,6292,6334,6337,6520,6571,6694,6604,6525,6430,6388,6346,6200,
"Rushcliffe",6065,6183,6337,6336,6260,6173,6035,5958,5937,5994,6070,5966,5917,
"Herefordshire, County of",9085,9154,9287,9557,9797,9903,9919,9854,9586,9466,9337,9120,8929,
"Shropshire",15019,15111,15416,15732,15680,15436,15416,15097,15034,15120,15034,14857,14788,
"Stoke-on-Trent",16520,16890,16957,17168,17504,17455,17762,17877,17921,17640,17135,16665,16391,
"Telford and Wrekin",10559,10810,11027,11426,11479,11454,11429,11287,11160,11103,11022,10844,10789,
"Cannock Chase",5599,5695,5777,5815,5760,5785,5710,5591,5475,5456,5378,5406,5412,
"East Staffordshire",6678,6862,7009,7008,7246,7296,7295,7301,7401,7294,7247,7154,7138,
"Lichfield",5249,5200,5236,5285,5253,5247,5217,5214,5079,4990,5004,5107,5147,
"Newcastle-under-Lyme",6319,6386,6306,6390,6380,6393,6358,6483,6297,6233,6169,5969,5872,
"South Staffordshire",4935,4863,4876,4888,4869,4931,4990,4998,4985,4966,5041,4999,5060,
"Stafford",6802,6894,6987,6965,6875,6771,6620,6551,6709,6800,6724,6850,6755,
"Staffordshire Moorlands",4534,4563,4600,4709,4740,4690,4573,4486,4331,4389,4302,4173,4133,
"Tamworth",4803,4852,5005,5074,5079,4976,4848,4723,4680,4556,4524,4428,4431,
"North Warwickshire",3125,3186,3219,3307,3287,3326,3358,3319,3329,3400,3354,3354,3291,
"Nuneaton and Bedworth",7450,7628,7804,7937,8030,8052,8002,7972,8002,8051,7983,8123,8089,
"Rugby",5668,5866,6153,6293,6386,6421,6511,6619,6586,6545,6561,6574,6590,
"Stratford-on-Avon",6119,6115,5974,5934,5869,5824,5792,5884,5970,6093,6165,6311,6388,
"Warwick",7398,7609,7708,7893,7990,7909,7825,7797,7599,7387,7521,7508,7431,
"Birmingham",79220,81472,82032,82111,83876,84650,84899,85462,85939,85190,83536,81611,79650,
"Coventry",20674,21206,21956,22585,23199,23571,23768,23783,23706,23295,23068,22757,22395,
"Dudley",18266,18395,18767,18861,19083,19299,19622,19541,19382,19405,19102,18768,18466,
"Sandwell",21244,22186,22693,22843,23557,24078,23931,24165,24457,24286,23772,23396,22938,
"Solihull",11227,11279,11381,11658,11945,12079,12330,12435,12481,12335,12393,12281,12069,
"Walsall",17562,17859,18089,18328,18615,18735,18872,19074,19381,19446,19650,19501,19265,
"Wolverhampton",15737,16007,16356,16828,17364,17493,17984,18122,18195,18041,18026,17784,17336,
"Bromsgrove",4848,4833,4745,4804,4814,4902,4943,4958,5069,5089,5163,5222,5267,
"Malvern Hills",3349,3280,3293,3279,3415,3403,3384,3340,3352,3335,3317,3263,3191,
"Redditch",5470,5515,5529,5670,5727,5661,5601,5578,5576,5462,5328,5292,5180,
"Worcester",6011,6149,6251,6384,6418,6461,6361,6284,6241,6036,5771,5661,5466,
"Wychavon",5943,5878,5801,5691,5801,5917,5995,6190,6270,6392,6307,6375,6323,
