Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"Crawley",6935,7188,7739,8143,8315,8348,8470,8328,8328,8100,8006,7829,7764,
"Horsham",6974,6990,7095,7143,7197,7184,7180,7129,7185,7161,7338,7276,7333,
"Mid Sussex",8157,8138,8241,8327,8494,8559,8708,8641,8643,8629,8584,8437,8382,
"Worthing",5947,5982,6147,6344,6319,6207,6087,6128,6020,5920,5855,5744,5556,
"Bath and North East Somerset",8798,8962,9050,9231,9327,9462,9468,9564,9587,9486,9426,9314,9333,
"Bournemouth, Christchurch and Poole",18765,19512,20225,20975,21680,21739,21870,21927,21961,21334,20863,20275,19750,
"Bristol, City of",26379,27640,28575,29644,30692,30940,31068,30812,30687,29800,28994,28366,27646,
"Cornwall",25815,26362,27010,27565,28269,28873,29165,29506,29309,28787,28270,27683,26912,
"Dorset",16756,16953,17188,17262,17354,17325,17299,17186,16982,16578,16279,15875,15482,
"Isles of Scilly",119,112,109,106,95,101,106,115,105,109,101,92,71,
"North Somerset",11252,11408,11702,11721,11976,12114,12125,12032,11929,11731,11491,11317,11087,
"Plymouth",14326,14638,15053,15376,15698,15876,16056,16010,15847,15308,14969,14630,14232,
"South Gloucestershire",15053,15425,15731,16021,16205,16212,16228,16362,16234,16300,16325,16303,16253,
"Swindon",13126,13513,13861,14162,14671,14855,15078,15144,15079,14770,14479,14152,13815,
"Torbay",6675,6719,6774,6799,6930,7052,7259,7355,7354,7178,6918,6733,6414,
"Wiltshire",26688,26967,27749,28514,28794,28536,28610,28342,28164,27686,27307,26778,26196,
"East Devon",5689,5726,5724,5901,6080,6165,6264,6408,6533,6552,6492,6446,6418,
"Exeter",6098,6347,6565,6707,6981,6950,6893,6789,6615,6473,6491,6389,6186,
"Mid Devon",4298,4351,4454,4502,4434,4467,4452,4372,4270,4146,4172,4102,4090,
"North Devon",4757,4811,4860,5013,5049,5094,5122,5037,4927,4895,4801,4770,4664,
"South Hams",3598,3613,3635,3720,3794,3835,3869,3796,3630,3561,3543,3578,3546,
"Teignbridge",5909,5964,6019,5970,6085,6169,6352,6411,6454,6325,6249,6191,6131,
"Torridge",3003,3016,3142,3127,3311,3355,3355,3295,3324,3240,3173,2979,2923,
"West Devon",2498,2512,2523,2574,2551,2502,2504,2488,2505,2519,2393,2319,2194,
"Cheltenham",6071,6222,6374,6496,6645,6605,6701,6648,6681,6497,6369,6181,6037,
"Cotswold",3975,3901,3890,3945,3948,4031,4006,3919,3901,4029,4175,4218,4163,
"Forest of Dean",4035,4050,4052,4069,4154,4107,4163,4163,4227,4241,4209,4153,4128,
"Gloucester",7677,7893,8110,8251,8528,8648,8755,8868,9063,8729,8427,8176,7840,
"Stroud",5926,5955,6080,6110,6071,6000,5991,6082,6062,5916,5880,5830,5742,
"Tewkesbury",4272,4366,4503,4656,4716,4880,5034,5128,5180,5354,5557,5591,5495,
"Mendip",5840,5943,5890,5936,6051,5949,5886,5966,5963,5825,5888,5917,5764,
"Sedgemoor",5835,5918,6157,6371,6564,6688,6797,6767,6803,6767,6597,6373,6168,
"Somerset West and Taunton",7280,7471,7639,7699,7776,7761,7907,7996,7964,7773,7837,7671,7496,
"South Somerset",8345,8492,8622,8847,9046,9114,9054,8920,8861,8861,8682,8522,8356,
"Isle of Anglesey / Ynys Môn",3625,3714,3835,3896,4014,4011,4022,3904,3789,3684,3600,3421,3323,
"Gwynedd",6309,6537,6756,6746,6760,6687,6579,6404,6331,6067,5980,5802,5691,
"Conwy",5603,5693,5805,5848,5850,5876,5869,5769,5689,5589,5467,5358,5232,
"Denbighshire / Sir Ddinbych",5102,5171,5250,5393,5417,5421,5483,5458,5271,5211,5094,4984,4920,
"Flintshire / Sir y Fflint",8701,8836,9034,9312,9216,8973,8896,8597,8435,8373,8289,8160,7967,
"Wrexham / Wrecsam",8146,8376,8550,8872,8919,8881,8716,8489,8122,7981,7808,7581,7321,
"Powys",6484,6521,6481,6561,6584,6426,6385,6331,6081,6089,6008,5959,5834,
"Ceredigion",3247,3282,3384,3432,3362,3358,3373,3371,3234,3174,3108,3024,2877,
"Pembrokeshire / Sir Benfro",6422,6525,6597,6711,6823,6699,6581,6471,6223,6097,6017,5904,5719,
"Carmarthenshire / Sir Gaerfyrddin",9774,9901,10002,10350,10339,10189,10110,9942,9791,9621,9615,9488,9259,
"Swansea / Abertawe",12762,12867,12991,13084,13251,13232,13180,13239,13201,12806,12578,12285,11995,
"Neath Port Talbot / Castell-nedd Port Talbot",7705,7736,7716,7661,7747,7668,7706,7718,7738,7597,7606,7496,7223,
"Bridgend / Pen-y-bont ar Ogwr",7778,7775,7792,7819,8018,8072,8172,8206,8114,7992,7986,7804,7636,
"Vale of Glamorgan / Bro Morgannwg",7073,7221,7395,7374,7412,7293,7231,7121,7091,7130,7216,7195,7003,
"Cardiff / Caerdydd",19974,20886,21714,22416,22976,23065,23053,22945,22533,21921,21505,20916,20417,
"Rhondda Cynon Taf",13953,14202,14299,14504,14630,14656,14483,14290,14073,13872,13622,13393,13049,
"Merthyr Tydfil / Merthyr Tudful",3448,3522,3547,3623,3683,3655,3603,3693,3748,3719,3718,3658,3494,
"Caerphilly / Caerffili",10640,10822,11120,11244,11099,10889,10750,10607,10516,10373,10197,9917,9611,
"Blaenau Gwent",3849,3927,3976,4001,4033,4022,3997,3887,3807,3738,3739,3689,3639,
"Torfaen / Tor-faen",5282,5424,5407,5374,5423,5449,5472,5353,5291,5264,5207,5191,5105,
"Monmouthshire / Sir Fynwy",4590,4513,4570,4640,4568,4557,4404,4366,4270,4249,4175,4096,4021,
"Newport / Casnewydd",8880,9105,9332,9594,9725,9698,9610,9761,9913,10162,10168,10221,10005,
"Aberdeen City",10833,11269,11598,11627,12148,12253,12298,12270,12206,12023,11751,11716,11434,
"Aberdeenshire",13751,14152,14621,15155,15322,15373,15409,15191,14966,14660,14564,14283,13766,
"Angus",5923,5919,5973,5953,5921,5886,5919,5936,5792,5697,5552,5375,5223,
"Argyll and Bute",4062,4041,4070,4114,4115,4085,3961,3878,3848,3692,3610,3487,3336,
"City of Edinburgh",23287,24474,25293,26371,27060,27109,27033,26992,26510,26011,25309,24574,23772,
"Clackmannanshire",2926,2965,2981,2924,2926,2887,2857,2847,2855,2792,2686,2618,2499,
"Dumfries and Galloway",7456,7587,7614,7679,7479,7298,7133,6952,6780,6640,6488,6356,6229,
"Dundee City",7803,8008,7966,7872,8147,8251,8176,8151,7991,7767,7510,7411,7210,
"East Ayrshire",6536,6628,6726,6771,6890,6841,6710,6764,6704,6470,6349,6253,6069,
"East Dunbartonshire",5071,5074,5063,5140,5219,5133,5275,5439,5463,5648,5619,5511,5412,
"East Lothian",5690,5764,5832,5951,6029,5925,5843,5844,5737,5585,5651,5657,5568,
"East Renfrewshire",4932,4852,4817,4995,4963,5093,5257,5263,5284,5285,5185,5103,5032,
"Falkirk",9008,9196,9359,9377,9345,9154,8947,8790,8663,8371,8175,7952,7723,
"Fife",20118,20483,20733,20867,21002,20767,20478,20300,19806,19405,18956,18541,17873,
"Glasgow City",31894,32809,33247,33290,34269,34745,35022,35346,34877,34204,33646,33048,31901,
"Highland",11944,12233,12457,12628,12521,12190,11872,11837,11702,11376,11176,10939,10481,
"Inverclyde",4244,4218,4154,4188,4112,4051,4030,3915,3810,3702,3579,3509,3373,
"Midlothian",4628,4714,4865,4931,5136,5220,5351,5530,5657,5718,5821,5847,5683,
"Moray",4703,4928,5096,5230,5103,5007,4953,4877,4781,4689,4522,4426,4367,
"Na h-Eileanan Siar",1345,1350,1335,1331,1297,1263,1267,1236,1231,1247,1199,1124,1106,
"North Ayrshire",7411,7494,7437,7435,7386,7204,7033,6960,6785,6516,6442,6170,6048,
"North Lanarkshire",20144,20423,20443,20495,20308,19968,19484,19226,19031,18601,18329,18158,17759,
"Orkney Islands",1007,1055,1088,1107,1101,1072,1031,1025,984,982,966,986,978,
"Perth and Kinross",7014,7143,7244,7377,7367,7239,7158,7272,7181,7064,6897,6799,6551,
"Renfrewshire",9557,9524,9522,9568,9598,9546,9435,9344,9294,9183,9022,8891,8863,
"Scottish Borders",5861,5824,5870,5720,5714,5758,5811,5778,5770,5646,5486,5307,5147,
"Shetland Islands",1270,1312,1375,1381,1353,1380,1348,1317,1290,1279,1195,1189,1130,
"South Ayrshire",5426,5449,5415,5540,5477,5403,5360,5334,5214,5185,5097,5007,4755,
"South Lanarkshire",17349,17514,17554,17378,17473,17301,17125,17318,17040,16999,16803,16686,16380,
"Stirling",4631,4495,4524,4371,4399,4375,4348,4420,4438,4336,4294,4195,4072,
"West Dunbartonshire",5152,5246,5255,5281,5292,5205,5106,5046,4949,4829,4626,4549,4400,
"West Lothian",11100,11363,11393,11539,11318,11061,10827,10776,10599,10504,10357,10048,9666,
"Antrim and Newtownabbey",9284,9560,9714,9825,9832,9647,9426,9278,9218,8949,8790,8688,8535,
"Ards and North Down",9198,9310,9402,9452,9470,9334,9241,9189,9106,8902,8650,8476,8279,
"Armagh City, Banbridge and Craigavon",14017,14597,14957,15274,15437,15456,15383,15331,15367,15172,15102,14968,14654,
"Belfast",20576,21186,21840,22635,23331,23435,23337,23332,22984,22474,22047,21674,21097,
"Causeway Coast and Glens",8592,8702,8734,8944,8917,8834,8769,8891,8800,8640,8474,8381,8151,
"Derry City and Strabane",10173,10445,10646,10812,10991,10840,10681,10664,10619,10365,10270,10133,9834,
"Fermanagh and Omagh",7458,7639,7883,7946,8006,7934,7814,7709,7730,7695,7793,7731,7559,
"Lisburn and Castlereagh",8253,8595,8902,9134,9218,9057,9052,9070,8949,8942,9054,9093,8923,
"Mid and East Antrim",8205,8248,8252,8253,8195,8087,8057,8048,8052,8042,8043,7915,7756,
"Mid Ulster",9929,10233,10506,10814,10830,10999,11038,10921,10944,10978,10889,10790,10697,
"Newry, Mourne and Down",12170,12439,12754,13005,13097,13050,12983,12883,13000,12842,12624,12520,12251,
"Total",3711983,3792921,3870557,3926881,3996319,4013623,4026270,4027092,4014314,3960741,3914028,3857263,3782330,


Source: Department for Work and Pensions
