Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","5-9"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"County Durham",25684,25383,25485,25920,26810,27558,28227,28876,29442,29792,29989,30272,29949,
"Darlington",5878,5886,5909,6146,6236,6359,6432,6543,6461,6622,6650,6592,6509,
"Hartlepool",5313,5208,5157,5168,5384,5553,5677,5780,5890,5936,5957,5923,5774,
"Middlesbrough",8082,8072,8220,8366,8575,8793,8903,9138,9320,9423,9606,9777,9840,
"Northumberland",16473,16276,16183,16339,16346,16665,16602,16804,16842,17131,16975,16890,16606,
"Redcar and Cleveland",7386,7192,6992,7120,7296,7515,7558,7724,7814,8048,8259,8295,8289,
"Stockton-on-Tees",10736,10673,10746,11113,11438,11883,12165,12526,12853,13086,13134,13044,12921,
"Gateshead",10231,10108,10118,10382,10654,10824,11307,11453,11704,11654,11626,11458,11378,
"Newcastle upon Tyne",13845,13829,13850,14076,14382,15036,15681,16373,16846,17259,17441,17506,17375,
"North Tyneside",10213,10317,10478,10799,11041,11394,11660,11811,11775,11919,11968,12077,11928,
"South Tyneside",7639,7535,7507,7595,7772,7955,8173,8315,8442,8688,8703,8787,8728,
"Sunderland",14328,14197,14035,14162,14581,15009,15162,15469,15613,15993,16002,16089,16080,
"Blackburn with Darwen",10298,10259,10352,10518,10612,10777,10872,10970,11075,11272,11152,11038,11042,
"Blackpool",7404,7358,7402,7509,7709,7887,7935,7856,7940,8196,8378,8459,8510,
"Cheshire East",19941,19664,19605,19840,20382,20882,21210,21334,21626,21937,22034,22080,22331,
"Cheshire West and Chester",17465,17217,17285,17415,17904,18391,18450,18637,18893,19405,19752,20213,20338,
"Halton",7294,7234,7273,7475,7670,8024,8241,8438,8400,8473,8488,8483,8387,
"Warrington",11527,11460,11473,11615,11812,12175,12437,12575,12870,13107,13102,13020,13001,
"Allerdale",4971,4801,4730,4709,4743,4836,4994,5109,5271,5280,5323,5224,5175,
"Barrow-in-Furness",3789,3740,3720,3652,3669,3766,3808,3765,3750,3687,3670,3607,3706,
"Carlisle",5312,5370,5426,5547,5692,5840,5900,6034,6133,6341,6280,6366,6329,
"Copeland",3637,3598,3534,3609,3667,3722,3686,3758,3705,3752,3736,3787,3752,
"Eden",2598,2595,2559,2580,2606,2646,2576,2596,2594,2583,2608,2596,2589,
"South Lakeland",4811,4777,4699,4708,4795,4845,4872,4857,4897,4868,4829,4819,4745,
"Bolton",16538,16564,16582,16967,17450,18073,18433,19016,19407,19898,19976,20190,20186,
"Bury",10867,10848,11015,11219,11457,11822,12068,12288,12485,12825,12794,12752,12541,
"Manchester",26270,26673,27616,28993,30421,31894,33077,34453,35184,36051,36333,36693,36964,
"Oldham",15121,15092,15296,15516,15674,16100,16490,16769,16975,16979,17013,17065,17033,
"Rochdale",13064,12954,12996,13202,13569,14015,14305,14722,15015,15343,15466,15626,15807,
"Salford",12332,12379,12660,13138,13790,14478,15127,15573,16151,16413,16745,17015,17194,
"Stockport",15550,15595,15622,15923,16520,17109,17472,17810,18086,18270,18484,18668,18763,
"Tameside",12230,12170,12297,12588,12830,13333,13621,14103,14431,14779,14986,15114,15068,
"Trafford",13140,13364,13652,14147,14610,15155,15647,15935,16373,16763,16663,16764,16558,
"Wigan",17480,17486,17734,18172,18514,19033,19448,19793,19941,20119,19991,19870,19827,
"Burnley",5007,4970,5059,5169,5328,5499,5663,5835,5872,5953,6028,6067,5992,
"Chorley",5661,5709,5827,5956,6206,6451,6555,6662,6800,7036,7117,7213,7218,
"Fylde",3622,3526,3578,3574,3637,3802,3938,3977,4123,4149,4137,4142,4046,
"Hyndburn",5000,4947,4939,5004,5073,5060,5203,5267,5337,5342,5504,5472,5477,
"Lancaster",6806,6616,6550,6461,6684,6994,7143,7286,7630,7853,7994,8194,8339,
"Pendle",5392,5378,5397,5487,5527,5805,5985,6095,6251,6372,6394,6355,6341,
"Preston",7669,7665,7794,8049,8271,8546,8828,9095,9173,9208,9277,9407,9551,
"Ribble Valley",3274,3211,3156,3106,3219,3216,3266,3326,3341,3335,3293,3205,3223,
"Rossendale",3891,3813,3862,3970,4062,4203,4369,4499,4513,4572,4580,4653,4549,
"South Ribble",5845,5861,5836,5894,6003,6201,6325,6529,6633,6663,6674,6550,6538,
"West Lancashire",6184,6041,5955,5954,6077,6215,6251,6264,6272,6378,6421,6437,6480,
"Wyre",5231,5170,5207,5210,5356,5485,5559,5638,5630,5592,5556,5614,5647,
"Knowsley",8732,8408,8320,8375,8574,8746,8924,9115,9304,9466,9630,9706,10051,
"Liverpool",22774,22434,22287,22329,23020,23700,24631,25434,26134,27123,27557,28099,28725,
"Sefton",14251,14035,13833,13790,14024,14354,14499,14906,15300,15514,15647,15928,15833,
"St. Helens",9499,9373,9227,9334,9525,9810,10067,10327,10495,10839,10802,10828,10701,
"Wirral",17659,17638,17612,17772,18179,18526,18793,19085,19356,19741,19722,19797,19711,
"East Riding of Yorkshire",16933,16663,16646,16616,16951,17295,17542,17729,18032,18195,18169,18189,18262,
"Kingston upon Hull, City of",13397,13477,13649,14118,14557,15280,15689,16215,16562,16999,17211,17256,17170,
"North East Lincolnshire",8860,8724,8778,9052,9265,9550,9803,9980,10032,10196,10255,10260,10122,
"North Lincolnshire",9178,9218,9226,9431,9706,10004,10321,10529,10609,10674,10578,10392,10191,
"York",9037,8951,9211,9439,9826,10183,10462,10625,10888,10853,10798,10813,10724,
"Craven",2899,2754,2687,2688,2698,2723,2760,2861,2864,2943,2886,2856,2813,
"Hambleton",4668,4625,4529,4523,4564,4671,4651,4758,4769,4845,4799,4839,4725,
"Harrogate",8388,8491,8577,8734,8844,9031,9163,9224,9334,9296,9229,9138,9004,
"Richmondshire",2874,2842,2838,2798,2788,2782,2755,2801,2906,2938,2991,2913,2917,
"Ryedale",2527,2463,2422,2461,2515,2582,2582,2681,2729,2767,2766,2785,2755,
"Scarborough",5174,5138,5112,5121,5199,5261,5393,5390,5502,5619,5684,5595,5631,
"Selby",4520,4508,4500,4579,4732,4858,5035,5153,5218,5317,5311,5369,5459,
"Barnsley",12279,12210,12317,12695,13163,13605,13875,14162,14413,14760,14911,14959,15131,
"Doncaster",16583,16538,16728,17091,17557,18199,18874,19267,19549,19746,19734,19491,19448,
"Rotherham",14767,14575,14474,14748,15072,15438,15896,16240,16364,16700,16730,16803,16641,
"Sheffield",28710,29071,29621,30469,31449,32493,33136,33864,34061,34340,34436,34000,33829,
"Bradford",35826,36208,36684,37648,38324,39155,40024,40639,40733,41354,41189,41289,41184,
"Calderdale",11854,11828,11840,12012,12337,12632,12770,13057,13272,13495,13576,13588,13478,
"Kirklees",25331,25304,25653,26147,26691,27396,27912,28270,28787,29277,29366,29272,29227,
"Leeds",38896,38888,39606,40845,42193,43804,45393,47092,48127,49369,50276,50443,50607,
"Wakefield",17626,17527,17465,17788,18259,18828,19280,19851,20226,20936,21454,21731,21923,
"Derby",14407,14480,14698,15089,15660,16290,16803,17367,17798,18014,17889,17722,17468,
"Leicester",19566,19911,20384,20906,21455,22373,23153,23616,24128,24659,24784,24703,24955,
"North Northamptonshire",18460,18637,18623,19086,19950,20625,21216,22043,22648,23176,23419,23618,23599,
"Nottingham",15302,15457,15864,16475,17119,17832,18515,19048,19531,19958,20257,20445,20583,
"Rutland",1870,1854,1844,1881,1912,1917,1946,1959,1943,1907,1988,2011,1985,
"West Northamptonshire",21987,21926,22033,22471,23138,24178,24826,25688,26272,26876,27135,27321,27373,
"Amber Valley",6611,6429,6323,6354,6422,6503,6562,6671,6731,6820,6988,7101,6995,
"Bolsover",4049,3913,3923,4041,4190,4301,4364,4384,4425,4511,4556,4608,4667,
"Chesterfield",5327,5138,5061,5093,5223,5482,5596,5691,5822,5937,5906,5943,5831,
"Derbyshire Dales",3661,3645,3558,3641,3624,3604,3550,3510,3469,3519,3432,3391,3382,
"Erewash",5787,5769,5839,5970,6077,6369,6441,6608,6715,6888,6895,6880,6777,
"High Peak",5086,4932,4847,4892,4992,5019,5064,5103,5056,5109,5073,5030,4929,
"North East Derbyshire",4914,4841,4904,4922,4928,5035,5047,5142,5252,5390,5306,5404,5415,
"South Derbyshire",5507,5444,5501,5611,5761,5891,6036,6140,6093,6235,6374,6492,6596,
"Blaby",5193,5176,5294,5355,5479,5693,5752,5861,5941,6181,6206,6261,6273,
"Charnwood",8231,8250,8208,8329,8627,8975,9133,9459,9831,10081,10222,10337,10444,
"Harborough",5130,5110,5029,5018,5140,5281,5305,5477,5497,5496,5435,5469,5498,
"Hinckley and Bosworth",5699,5614,5550,5560,5773,5878,5874,6032,6167,6395,6502,6640,6673,
"Melton",2720,2713,2682,2720,2786,2813,2860,2913,2936,2959,2981,2963,2925,
"North West Leicestershire",5412,5415,5373,5452,5555,5673,5698,5795,5886,5949,6011,6030,6081,
"Oadby and Wigston",2942,2795,2751,2850,2981,3040,3120,3079,3177,3364,3422,3448,3508,
"Boston",3200,3162,3194,3223,3354,3540,3762,3868,4031,4284,4517,4664,4779,
"East Lindsey",6213,6056,5939,6045,6073,6249,6454,6701,6769,7064,7092,7055,6996,
"Lincoln",4392,4352,4300,4347,4538,4772,4943,5078,5186,5311,5367,5329,5477,
"North Kesteven",5738,5666,5589,5638,5713,5762,5925,6028,6288,6582,6721,6752,6829,
"South Holland",4458,4361,4299,4267,4290,4445,4615,4840,5044,5262,5379,5573,5645,
"South Kesteven",7343,7291,7150,7180,7404,7718,7814,8095,8366,8526,8446,8570,8682,
"West Lindsey",4699,4511,4538,4476,4607,4763,4883,4980,5107,5219,5242,5420,5471,
"Ashfield",6676,6597,6581,6721,6883,7012,7251,7414,7562,7816,7989,8031,8054,
"Bassetlaw",5988,5887,5825,5880,5975,6094,6143,6246,6450,6743,6813,6932,7034,
"Broxtowe",5335,5292,5250,5365,5587,5851,6014,6254,6373,6536,6505,6484,6374,
"Gedling",5953,5868,5888,5973,6246,6418,6589,6697,6931,7011,6956,6859,6823,
"Mansfield",5375,5320,5394,5528,5698,5925,6124,6323,6525,6775,6817,6920,6921,
"Newark and Sherwood",6438,6316,6259,6323,6383,6560,6687,6879,7065,7232,7282,7315,7234,
"Rushcliffe",6175,6192,6151,6288,6528,6774,6995,7151,7232,7221,7255,7213,7109,
"Herefordshire, County of",9447,9313,9185,9170,9396,9733,9888,10108,10418,10620,10757,10753,10626,
"Shropshire",15822,15565,15544,15604,15949,16179,16353,16571,16852,16936,16797,16913,16657,
"Stoke-on-Trent",13684,13748,13993,14333,14834,15572,15959,16124,16522,16980,17143,17457,17595,
"Telford and Wrekin",9960,10005,9859,10089,10459,10782,11062,11447,11738,12015,12264,12397,12287,
"Cannock Chase",5399,5362,5324,5435,5554,5700,5740,5829,5779,5761,5832,5793,5776,
"East Staffordshire",6458,6479,6525,6581,6642,6793,6935,7042,7162,7419,7529,7665,7717,
"Lichfield",5307,5323,5324,5373,5505,5565,5540,5592,5684,5776,5779,5805,5773,
"Newcastle-under-Lyme",6283,6260,6306,6384,6522,6653,6696,6660,6761,6896,6812,6750,6726,
"South Staffordshire",5422,5225,5185,5249,5365,5431,5415,5419,5452,5445,5556,5613,5619,
"Stafford",6465,6450,6485,6598,6894,7169,7298,7329,7461,7485,7478,7484,7512,
"Staffordshire Moorlands",4919,4820,4815,4793,4806,4934,5012,5098,5245,5235,5153,5076,4949,
"Tamworth",4485,4557,4541,4527,4646,4842,4864,4953,4974,4963,4902,4778,4700,
"North Warwickshire",3323,3285,3255,3230,3299,3230,3281,3345,3470,3492,3711,3792,3712,
"Nuneaton and Bedworth",7032,6930,6898,7004,7199,7450,7588,7868,8077,8192,8268,8303,8220,
"Rugby",5510,5517,5608,5686,5971,6177,6468,6574,6819,6953,7011,7114,7299,
"Stratford-on-Avon",6451,6349,6285,6241,6319,6414,6508,6472,6543,6631,6728,6883,7083,
"Warwick",6939,6943,6998,7191,7325,7535,7717,7836,7855,8000,8024,7959,8052,
"Birmingham",70902,71666,72897,74724,76517,78580,80403,81126,81658,82968,83354,82830,82950,
