time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus,total_revenue_reserve_schools_deficit,number_schools_with_surplus_over_threshold,pc_schools_with_surplus_over_threshold,school_surplus_over_threshold,school_over_threshold_av_per_school,committed_revenue_balances(B01),uncommitted_revenue_balances(B02),devolved_formula_capital_balance(B03),other_capital_balances(B05),community_focussed_school_revenue_balance(B06),outstanding_balance_of_capital_loans_to_school(B07),opening_pupil_focussed_revenue_balance(OB01),opening_community_focussed_revenue_balance(OB02),opening_capital_balance(OB03),total_income
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Central Bedfordshire,823,E06000056,Secondary,4,4,0,100,0,1585020,396255,11.1,1585020,0,3,75,1434092,478031,423224,1161794,21180,35446,2,0,1062490,2,157081,14229475
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Central Bedfordshire,823,E06000056,Special,2,2,0,100,0,1244769,622385,10.4,1244769,0,1,50,967842,967842,11721,1214988,0,60159,18061,0,815309,65024,75331,11948873
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Cambridgeshire,873,E10000003,All LA maintained schools,130,117,13,90,10,16774638,129036,9.5,17340184,-565546,67,57.3,14024600,209322,0,15766987,862014,145647,1007650,0,15684948,865224,1008668,176351041
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Cambridgeshire,873,E10000003,Nursery,7,5,2,71.4,28.6,867910,123987,17.2,982992,-115082,5,100,982992,196598,0,376570,41718,0,491341,0,600949,384430,63799,5049693
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Cambridgeshire,873,E10000003,Primary,119,108,11,90.8,9.2,14627892,122923,9.2,15078356,-450464,59,54.6,11996928,203338,0,14111582,807649,145571,516310,0,14042873,480793,937229,159649375
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Cambridgeshire,873,E10000003,PRU,1,1,0,100,0,186473,186473,25.5,186473,0,1,100,186473,186473,0,186473,12365,0,0,0,107606,0,7639,731709
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Cambridgeshire,873,E10000003,Special,3,3,0,100,0,1092363,364121,10,1092363,0,2,66.7,858207,429104,0,1092363,282,76,0,0,933519,0,1,10920264
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Peterborough,874,E06000031,All LA maintained schools,28,27,1,96.4,3.6,3705715,132347,5.8,3706808,-1093,6,22.2,1639948,273325,0,3596182,115896,903842,109533,0,4381134,40692,878537,64222485
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Peterborough,874,E06000031,Nursery,1,1,0,100,0,56858,56858,7.2,56858,0,0,0,0,0,0,56858,8700,11400,0,0,36029,0,15167,785428
202122,Financial year,Local authority,England,E92000001,East of England,E12000006,Peterborough,874,E06000031,Primary,22,21,1,95.5,4.5,2138247,97193,5.2,2139340,-1093,3,14.3,595169,198390,0,2152418,76715,578056,-14171,0,2897097,-19690,524146,41501436
