time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus,total_revenue_reserve_schools_deficit,number_schools_with_surplus_over_threshold,pc_schools_with_surplus_over_threshold,school_surplus_over_threshold,school_over_threshold_av_per_school,committed_revenue_balances(B01),uncommitted_revenue_balances(B02),devolved_formula_capital_balance(B03),other_capital_balances(B05),community_focussed_school_revenue_balance(B06),outstanding_balance_of_capital_loans_to_school(B07),opening_pupil_focussed_revenue_balance(OB01),opening_community_focussed_revenue_balance(OB02),opening_capital_balance(OB03),total_income
201617,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Primary,849,795,54,93.6,6.4,142552167,167906,7.3,146954570,-4402403,328,41.3,102863657,313609,70959330,69074663,5284412,1671292,2518174,x,160300092,1993468,7469538,1962707356
201617,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,PRU,26,24,1,92.3,3.8,3587512,137981,7.7,3587717,-205,9,37.5,2256447,250716,2054667,1505595,83085,6571,27250,x,3830267,0,69734,46555164
201617,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Secondary,93,63,28,67.7,30.1,17945018,195055,2.8,30228738,-12283720,28,44.4,23927085,854539,8819004,8622933,1606212,1423104,503081,x,27403905,-11888,2952988,647425503
201617,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Special,58,55,3,94.8,5.2,15844778,273186,8.1,15936309,-91531,22,40,10544254,479284,6624733,8751196,503168,252826,468849,x,15125498,697700,654859,195381056
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,All LA maintained schools,867,740,109,85.4,12.6,58541652,67522,4.6,81583325,-23041673,346,46.8,59662729,172436,49200400,8500799,8298593,1078425,840453,x,68090295,960065,9003792,1270074202
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,Nursery,33,23,10,69.7,30.3,1952106,59155,12.5,2278659,-326554,19,82.6,2198294,115700,2109620,-180835,290322,-4284,23321,x,1548397,175981,319451,15670449
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,Primary,698,624,61,89.4,8.7,53973161,77325,6.6,57050815,-3077655,279,44.7,39992057,143341,40232609,12896270,5520446,346064,844282,x,56504393,762881,5709223,815024567
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,PRU,15,10,4,66.7,26.7,586461,39097,2.5,967194,-380733,2,20,661474,330737,109492,475539,198799,0,1430,x,890950,1430,118023,23177246
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,Secondary,79,45,30,57,38,-5717391,-72372,-1.8,12940203,-18657594,27,60,10890269,403343,497230,-6097416,1793615,716791,-117204,x,2019473,-93959,2319932,313225780
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,Special,42,38,4,90.5,9.5,7747315,184460,7.5,8346453,-599138,19,50,5920635,311612,6251449,1407242,495410,19853,88624,x,7127081,113733,537164,102976160
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,All LA maintained schools,2640,2371,251,89.8,9.5,227057217,86007,5.3,269899231,-42842014,971,41,179099633,184449,98878021,124900097,18839243,2141612,3279099,x,222616751,2525811,17449958,4300376265
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,Nursery,67,50,17,74.6,25.4,1417690,21160,3.7,2670306,-1252617,27,54,2216088,82077,237734,797330,532334,6333,382626,x,1870837,304252,323152,38707118
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,Primary,2183,2021,149,92.6,6.8,187072987,85695,6.9,193409471,-6336484,801,39.6,122844253,153364,75440265,109768609,12747227,1818639,1864113,x,171015447,1599448,12174255,2729690042
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,PRU,40,24,13,60,32.5,-1275309,-31883,-1.9,2941783,-4217092,13,54.2,2163982,166460,1027753,-2303062,518473,-30394,0,x,1143811,0,412890,68289762
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,Secondary,218,155,61,71.1,28,15823191,72583,1.4,45357673,-29534482,68,43.9,32247209,474224,11591773,3188734,3120298,209302,1042684,x,25319729,618838,2734116,1148724900
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,Special,132,121,11,91.7,8.3,24018658,181960,7.6,25519997,-1501339,62,51.2,19628101,316582,10580495,13448487,1920911,137731,-10324,x,23266927,3272,1805545,314964443
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,All LA maintained schools,1459,1253,200,85.9,13.7,107066778,73384,4.7,137374489,-30307711,503,40.1,90488236,179897,69477382,31975688,9253850,2817038,5613707,x,114309255,5781921,12603827,2287245848
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Nursery,27,24,3,88.9,11.1,1930861,71513,11.1,1970502,-39641,18,75,1819455,101081,822855,1785419,217260,134563,-677413,x,2024215,-298446,310608,17438575
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Primary,1249,1100,145,88.1,11.6,95309037,76308,6.3,100441096,-5132059,423,38.5,62955871,148832,60470784,30764059,6994559,1557275,4074194,x,95997046,3816753,8773725,1519876236
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,PRU,27,22,4,81.5,14.8,1284861,47587,3.3,3170112,-1885251,11,50,2504592,227690,1029280,-89463,251748,218476,345044,x,1737965,345044,398302,39359520
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Secondary,99,59,39,59.6,39.4,1332207,13457,0.2,18996507,-17664301,26,44.1,13295889,511380,2700243,-2765417,1097135,774246,1397381,x,7212933,1319498,1879162,558876165
201718,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Special,57,48,9,84.2,15.8,7209812,126488,4.8,12796271,-5586459,25,52.1,9912429,396497,4454220,2281091,693148,132477,474501,x,7337096,599071,1242030,151695352
201718,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,All LA maintained schools,1301,1177,117,90.5,9,127221404,97787,7.7,134456705,-7235301,629,53.4,104758252,166547,81377342,43805633,13503292,4587195,2038429,x,121561000,2404418,18620122,1655630854
201718,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Nursery,33,28,5,84.8,15.2,2223348,67374,12.3,2284749,-61401,18,64.3,1939270,107737,757935,1107720,257969,42551,357693,x,1481269,638919,305603,18086969
201718,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Primary,1153,1054,93,91.4,8.1,98389595,85334,8.1,101357826,-2968232,546,51.8,75557950,138385,59188799,37608568,9805980,1661151,1592227,x,93803081,1719192,12393091,1211049450
201718,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,PRU,10,9,1,90,10,1777052,177705,11,1820599,-43547,5,55.6,1592026,318405,1344703,432348,400976,0,0,x,1940367,0,496418,16205645
