time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_new_st,Total_new_st_pc,Total_new_ehc,Total_new_ehc_pc,Total_new_all,Total_new_all_pc
2021,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 16 to 19,z,z,335,5.78085,335,5.78085
2021,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 16 to 19,z,z,264,3.77953,264,3.77953
2021,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 16 to 19,z,z,410,4.26905,410,4.26905
2021,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 16 to 19,z,z,474,4.02787,474,4.02787
2021,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Age 16 to 19,z,z,434,6.96629,434,6.96629
2021,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Age 20 to 25,z,z,7,0.23899,7,0.23899
2021,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Age 20 to 25,z,z,19,0.20997,19,0.20997
2021,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Age 20 to 25,z,z,13,0.23348,13,0.23348
2021,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Age 20 to 25,z,z,16,0.37629,16,0.37629
2021,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 20 to 25,z,z,29,0.50043,29,0.50043
2021,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 20 to 25,z,z,8,0.11453,8,0.11453
2021,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 20 to 25,z,z,29,0.30196,29,0.30196
2021,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 20 to 25,z,z,39,0.33141,39,0.33141
2021,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Age 20 to 25,z,z,19,0.30498,19,0.30498
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,z,z,180,100,180,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,z,z,265,100,265,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,z,z,321,100,321,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,z,z,177,100,177,100
