time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,MApprenEHC,MTrainEHC,MSuppIntEHC,WorkbasedEHC,Mres38week05EHC,Mres38week510EHC,Mres38week1115EHC,Mres38week1619EHC,Mres38week2025EHC,TotMres38weekEHC,Mres52week05EHC,Mres52week510EHC,Mres52week1115EHC,Mres52week1619EHC,Mres52week2025EHC,TotMres52weekEHC,Mres38week05,Mres38week510,Mres38week1115,Mres38week1619,TotMres38week,Mres52week05,Mres52week510,Mres52week1115,Mres52week1619,TotMres52week,DMO,DCO,DMODCOFunction
2022,Calendar year,Local authority,E92000001,England,E12000007,London,318,E09000027,Richmond upon Thames,10,2,11,23,0,1,9,8,7,25,0,0,1,4,2,7,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,210,E09000028,Southwark,2,0,23,25,0,1,3,3,0,7,0,0,0,1,0,1,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,319,E09000029,Sutton,5,2,1,8,0,0,3,3,0,6,0,0,2,0,0,2,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,6,2,81,89,0,1,16,7,1,25,0,1,2,1,3,7,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,0,2,20,22,0,0,0,0,0,0,0,1,0,2,1,4,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,212,E09000032,Wandsworth,3,6,14,23,0,1,8,8,4,21,0,0,0,3,2,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,213,E09000033,Westminster,0,0,10,10,0,0,2,2,1,5,0,0,1,3,1,5,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,3,17,0,20,0,0,1,0,0,1,0,1,2,0,0,3,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,14,9,6,29,0,0,0,0,0,0,0,0,1,2,0,3,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,10,17,62,89,0,0,1,2,0,3,0,0,5,2,0,7,z,z,z,z,z,z,z,z,z,z,N,Y,N
