time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 16 to 19,z,z,10774,21.7635,10774,21.76346
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 16 to 19,z,z,10700,20.089,10700,20.08899
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 16 to 19,z,z,15206,19.4443,15206,19.44427
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 16 to 19,z,z,16994,20.3992,16994,20.39925
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Age 16 to 19,z,z,10245,21.8271,10245,21.82713
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Age 20 to 25,z,z,1224,5.5485,1224,5.5485
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Age 20 to 25,z,z,3996,6.19477,3996,6.19477
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Age 20 to 25,z,z,3039,7.22333,3039,7.22333
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Age 20 to 25,z,z,1959,5.86492,1959,5.86492
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 20 to 25,z,z,3719,7.51237,3719,7.51237
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 20 to 25,z,z,4578,8.59508,4578,8.59508
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 20 to 25,z,z,6285,8.03678,6285,8.03678
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 20 to 25,z,z,6364,7.63921,6364,7.63921
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Age 20 to 25,z,z,3145,6.70047,3145,6.70047
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,z,z,1439,100,1439,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,z,z,2084,100,2084,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,z,z,2047,100,2047,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,z,z,1486,100,1486,100
